Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Bannock County, Idaho",17.30%,± 1.5%
"Baraga County, Michigan",20%,± 2.9%
"Barber County, Kansas",16%,± 4.9%
"Barbour County, Alabama",20.20%,± 3.3%
"Barbour County, West Virginia",22.30%,± 4.2%
"Barceloneta Municipio, Puerto Rico",19.80%,± 5.5%
"Barnes County, North Dakota",18.70%,± 3.3%
"Barnstable County, Massachusetts",18.80%,± 1%
"Barnwell County, South Carolina",23.30%,± 3%
"Barranquitas Municipio, Puerto Rico",18.20%,± 4.1%
"Barren County, Kentucky",16%,± 2.2%
"Barron County, Wisconsin",15.70%,± 1.2%
"Barrow County, Georgia",15.40%,± 1.6%
"Barry County, Michigan",13.20%,± 1.5%
"Barry County, Missouri",16.20%,± 2.7%
"Bartholomew County, Indiana",15.10%,± 1.3%
"Barton County, Kansas",18.80%,± 3%
"Barton County, Missouri",17.20%,± 3.1%
"Bartow County, Georgia",14%,± 1.5%
"Bastrop County, Texas",16.70%,± 1.8%
"Bates County, Missouri",16.60%,± 2.9%
"Bath County, Kentucky",17.80%,± 4.3%
"Bath County, Virginia",22.10%,± 9.8%
"Baxter County, Arkansas",14.70%,± 2%
"Bay County, Florida",18.20%,± 1.2%
"Bay County, Michigan",18.40%,± 1.6%
"Bayamón Municipio, Puerto Rico",18.80%,± 1.2%
"Bayfield County, Wisconsin",21.10%,± 1.4%
"Baylor County, Texas",14%,± 5.9%
"Beadle County, South Dakota",12.70%,± 2.4%
"Bear Lake County, Idaho",20.70%,± 3.6%
"Beaufort County, North Carolina",17.30%,± 2.3%
"Beaufort County, South Carolina",19.80%,± 1.4%
"Beauregard Parish, Louisiana",11.20%,± 2.2%
"Beaver County, Oklahoma",15.70%,± 4.2%
"Beaver County, Pennsylvania",17.10%,± 0.9%
"Beaver County, Utah",16.10%,± 4%
"Beaverhead County, Montana",15%,± 3.3%
"Becker County, Minnesota",17.90%,± 1.3%
"Beckham County, Oklahoma",20.50%,± 4.2%
"Bedford County, Pennsylvania",16.60%,± 1.4%
"Bedford County, Tennessee",17.50%,± 2.3%
"Bedford County, Virginia",12.60%,± 1.4%
"Bee County, Texas",23.30%,± 3.5%
"Belknap County, New Hampshire",18.30%,± 1.7%
"Bell County, Kentucky",21%,± 3.6%
"Bell County, Texas",19%,± 1%
"Belmont County, Ohio",18.90%,± 1.7%
"Beltrami County, Minnesota",20.90%,± 1.9%
"Ben Hill County, Georgia",16.70%,± 4.3%
"Benewah County, Idaho",19.90%,± 3.3%
"Bennett County, South Dakota",17.40%,± 7.4%
"Bennington County, Vermont",16.80%,± 1.9%
"Benson County, North Dakota",21%,± 3.3%
"Bent County, Colorado",21.80%,± 7.7%
"Benton County, Arkansas",13.90%,± 1%
"Benton County, Indiana",18%,± 2.5%
"Benton County, Iowa",15%,± 1.9%
"Benton County, Minnesota",17.30%,± 1.8%
"Benton County, Mississippi",17.20%,± 4.8%
"Benton County, Missouri",16.50%,± 2.9%
"Benton County, Oregon",18.20%,± 1.3%
"Benton County, Tennessee",20%,± 4.5%
"Benton County, Washington",16.10%,± 1.1%
"Benzie County, Michigan",20.30%,± 2%
"Bergen County, New Jersey",12.40%,± 0.4%
"Berkeley County, South Carolina",15.50%,± 1.2%
"Berkeley County, West Virginia",15.30%,± 1.4%
"Berks County, Pennsylvania",15.80%,± 0.6%
"Berkshire County, Massachusetts",18.70%,± 1.2%
"Bernalillo County, New Mexico",17.90%,± 0.6%
"Berrien County, Georgia",14.50%,± 2.7%
"Berrien County, Michigan",17.30%,± 0.9%
"Bertie County, North Carolina",17.20%,± 3.4%
"Bethel Census Area, Alaska",18.40%,± 3.4%
"Bexar County, Texas",18.60%,± 0.4%
"Bibb County, Alabama",15.30%,± 3.8%
"Bibb County, Georgia",18.60%,± 1.3%
"Bienville Parish, Louisiana",22.50%,± 3.5%
"Big Horn County, Montana",22.70%,± 4.1%
"Big Horn County, Wyoming",17.70%,± 2.8%
"Big Stone County, Minnesota",14.90%,± 2.3%
"Billings County, North Dakota",20.60%,± 8.1%
"Bingham County, Idaho",17.30%,± 1.8%
"Black Hawk County, Iowa",18.40%,± 1.1%
"Blackford County, Indiana",16.60%,± 3.1%
"Bladen County, North Carolina",17.40%,± 2.9%
"Blaine County, Idaho",16.90%,± 3.2%
"Blaine County, Montana",11.60%,± 2.6%
"Blaine County, Nebraska",5.80%,± 4.1%
"Blaine County, Oklahoma",15%,± 3.6%
"Blair County, Pennsylvania",18%,± 1.2%
"Blanco County, Texas",17.80%,± 4.2%
"Bland County, Virginia",11.80%,± 4.8%
"Bleckley County, Georgia",25.30%,± 5%
"Bledsoe County, Tennessee",20.60%,± 4%
"Blount County, Alabama",13%,± 1.8%
"Blount County, Tennessee",17.20%,± 1.3%
"Blue Earth County, Minnesota",21.10%,± 1.5%
"Boise County, Idaho",16%,± 3.7%
"Bolivar County, Mississippi",20.50%,± 3.2%
"Bollinger County, Missouri",13.80%,± 2.8%
"Bon Homme County, South Dakota",17.30%,± 3.5%
"Bond County, Illinois",22.40%,± 3.9%
"Bonner County, Idaho",17.70%,± 2.5%
"Bonneville County, Idaho",18%,± 1.6%
"Boone County, Arkansas",16.10%,± 2.4%
"Boone County, Illinois",18.90%,± 2.4%
"Boone County, Indiana",11%,± 1.3%
"Boone County, Iowa",16.60%,± 2.1%
"Boone County, Kentucky",13.50%,± 1.2%
"Boone County, Missouri",17.50%,± 1.3%
"Boone County, Nebraska",15.20%,± 2.8%
"Boone County, West Virginia",16.60%,± 2.9%
"Borden County, Texas",17.20%,± 15.6%
"Bosque County, Texas",19.30%,± 2.6%
"Bossier Parish, Louisiana",18.70%,± 1.6%
"Botetourt County, Virginia",17.30%,± 3.7%
"Bottineau County, North Dakota",13.60%,± 3%
"Boulder County, Colorado",13.70%,± 0.7%
"Boundary County, Idaho",13.50%,± 5%
"Bourbon County, Kansas",14.50%,± 2.7%
"Bourbon County, Kentucky",17.80%,± 2.4%
"Bowie County, Texas",20.50%,± 2.1%
"Bowman County, North Dakota",15.90%,± 4%
"Box Butte County, Nebraska",17%,± 3.4%
"Box Elder County, Utah",15.70%,± 1.4%
"Boyd County, Kentucky",15.50%,± 2.2%
"Boyd County, Nebraska",16.70%,± 4%
"Boyle County, Kentucky",13.40%,± 2%
"Bracken County, Kentucky",12.50%,± 3.1%
"Bradford County, Florida",20.50%,± 4.6%
"Bradford County, Pennsylvania",13.20%,± 1.2%
"Bradley County, Arkansas",13.40%,± 2.9%
"Bradley County, Tennessee",16.30%,± 1.4%
"Branch County, Michigan",14.90%,± 1.4%
"Brantley County, Georgia",16.70%,± 4.4%
"Braxton County, West Virginia",22.20%,± 5.1%
"Brazoria County, Texas",13.80%,± 0.9%
"Brazos County, Texas",17.10%,± 1%
"Breathitt County, Kentucky",16.70%,± 4%
"Breckinridge County, Kentucky",12.90%,± 2.4%
"Bremer County, Iowa",16.60%,± 2.4%
"Brevard County, Florida",17.10%,± 0.7%
"Brewster County, Texas",23.20%,± 5.9%
"Briscoe County, Texas",11.30%,± 7.9%
"Bristol Bay Borough, Alaska",13.60%,± 4.6%
"Bristol city, Virginia",20.50%,± 4.2%
"Bristol County, Massachusetts",17.70%,± 0.6%
"Bristol County, Rhode Island",17.20%,± 2%
"Broadwater County, Montana",14.10%,± 3.9%
"Bronx County, New York",33.80%,± 0.7%
"Brooke County, West Virginia",20.90%,± 4.4%
"Brookings County, South Dakota",14.70%,± 1.7%
"Brooks County, Georgia",22.90%,± 4.4%
"Brooks County, Texas",32.60%,± 12.3%
"Broome County, New York",20.30%,± 1%
"Broomfield County, Colorado",11.70%,± 1.2%
"Broward County, Florida",18.90%,± 0.5%
"Brown County, Illinois",21%,± 4.9%
"Brown County, Indiana",19.70%,± 3.3%
"Brown County, Kansas",17.90%,± 3.4%
"Brown County, Minnesota",16.20%,± 2.1%
"Brown County, Nebraska",19.80%,± 5.8%
"Brown County, Ohio",19.60%,± 2.4%
"Brown County, South Dakota",17.20%,± 2.4%
"Brown County, Texas",18.60%,± 1.8%
"Brown County, Wisconsin",15.90%,± 0.8%
"Brule County, South Dakota",19.90%,± 3.5%
"Brunswick County, North Carolina",18.40%,± 1.4%
"Brunswick County, Virginia",22.30%,± 4.4%
"Bryan County, Georgia",14%,± 2.6%
"Bryan County, Oklahoma",18.90%,± 1.7%
"Buchanan County, Iowa",16.30%,± 1.8%
"Buchanan County, Missouri",16.60%,± 1.5%
"Buchanan County, Virginia",14.80%,± 3%
"Buckingham County, Virginia",17.20%,± 3.1%
"Bucks County, Pennsylvania",12.60%,± 0.5%
"Buena Vista city, Virginia",35.50%,± 9.6%
"Buena Vista County, Iowa",12.20%,± 2.1%
"Buffalo County, Nebraska",17.30%,± 1.5%
"Buffalo County, South Dakota",29.10%,± 7.3%
"Buffalo County, Wisconsin",15.10%,± 1.8%
"Bullitt County, Kentucky",12.30%,± 1.3%
"Bulloch County, Georgia",17.70%,± 1.7%
"Bullock County, Alabama",18.20%,± 6.1%
"Buncombe County, North Carolina",18.60%,± 1.2%
"Bureau County, Illinois",17.20%,± 1.4%
"Burke County, Georgia",21.60%,± 3.6%
"Burke County, North Carolina",18.60%,± 1.5%
"Burke County, North Dakota",18.50%,± 4.2%
"Burleigh County, North Dakota",16.20%,± 1.3%
"Burleson County, Texas",11.70%,± 3%
"Burlington County, New Jersey",13.40%,± 0.6%
"Burnet County, Texas",19.40%,± 2.3%
"Burnett County, Wisconsin",17%,± 1.5%
"Burt County, Nebraska",15.40%,± 3.1%
"Butler County, Alabama",15.30%,± 2.5%
"Butler County, Iowa",15.60%,± 1.8%
"Butler County, Kansas",15.30%,± 1.5%
"Butler County, Kentucky",13%,± 3.6%
"Butler County, Missouri",16.60%,± 2.5%
"Butler County, Nebraska",15.30%,± 3.1%
"Butler County, Ohio",17.20%,± 0.9%
"Butler County, Pennsylvania",14.40%,± 0.7%
"Butte County, California",21%,± 1.1%
"Butte County, Idaho",21.20%,± 6.3%
"Butte County, South Dakota",17.50%,± 3.2%
"Butts County, Georgia",14.60%,± 3.4%
"Cabarrus County, North Carolina",14%,± 1%
"Cabell County, West Virginia",20%,± 1.5%
"Cabo Rojo Municipio, Puerto Rico",19.70%,± 2.9%
"Cache County, Utah",15.90%,± 1%
"Caddo County, Oklahoma",16.70%,± 1.7%
"Caddo Parish, Louisiana",22%,± 1.3%
"Caguas Municipio, Puerto Rico",18.90%,± 1.7%
"Calaveras County, California",26.20%,± 3.1%
"Calcasieu Parish, Louisiana",19.80%,± 1.6%
"Caldwell County, Kentucky",20.40%,± 5.4%
"Caldwell County, Missouri",16.80%,± 2.4%
"Caldwell County, North Carolina",15.80%,± 1.8%
"Caldwell County, Texas",19.60%,± 2.7%
"Caldwell Parish, Louisiana",12.90%,± 5.4%
"Caledonia County, Vermont",16.80%,± 1.8%
"Calhoun County, Alabama",18.20%,± 1.8%
"Calhoun County, Arkansas",14.60%,± 5.6%
"Calhoun County, Florida",31.40%,± 8.2%
"Calhoun County, Georgia",20.60%,± 6.6%
"Calhoun County, Illinois",14.30%,± 4.2%
"Calhoun County, Iowa",17.90%,± 2.7%
"Calhoun County, Michigan",18.20%,± 1.3%
"Calhoun County, Mississippi",17.90%,± 3.5%
"Calhoun County, South Carolina",16.30%,± 3.7%
"Calhoun County, Texas",15%,± 3.4%
"Calhoun County, West Virginia",14.20%,± 4.4%
"Callahan County, Texas",14.10%,± 2.7%
"Callaway County, Missouri",17.30%,± 2.2%
"Calloway County, Kentucky",19.70%,± 2.7%
"Calumet County, Wisconsin",12.20%,± 1.1%
"Calvert County, Maryland",15.30%,± 1.3%
"Camas County, Idaho",17.10%,± 10.8%
"Cambria County, Pennsylvania",18.90%,± 1%
"Camden County, Georgia",19.20%,± 2.3%
"Camden County, Missouri",18.50%,± 2.1%
"Camden County, New Jersey",16.20%,± 0.8%
"Camden County, North Carolina",15.10%,± 3.7%
"Cameron County, Pennsylvania",17.10%,± 3.5%
"Cameron County, Texas",25.80%,± 1.1%
"Cameron Parish, Louisiana",18.70%,± 5.5%
"Camp County, Texas",18.70%,± 4.8%
"Campbell County, Kentucky",13.50%,± 1.4%
"Campbell County, South Dakota",12.20%,± 4.7%
"Campbell County, Tennessee",16.90%,± 2.2%
"Campbell County, Virginia",16.20%,± 2.2%
"Campbell County, Wyoming",13.40%,± 2%
"Camuy Municipio, Puerto Rico",16.70%,± 3.7%
"Canadian County, Oklahoma",13.70%,± 1%
"Candler County, Georgia",18.40%,± 4.7%
"Cannon County, Tennessee",14.60%,± 3.2%
"Canóvanas Municipio, Puerto Rico",21.30%,± 3%
"Canyon County, Idaho",17.80%,± 1.2%
"Cape Girardeau County, Missouri",17.60%,± 1.6%
"Cape May County, New Jersey",20.90%,± 1.5%
"Capitol Planning Region, Connecticut",15.40%,± 0.5%
"Carbon County, Montana",16.90%,± 2.6%
"Carbon County, Pennsylvania",17.90%,± 1.8%
"Carbon County, Utah",14.10%,± 2.5%
"Carbon County, Wyoming",18.70%,± 4%
"Caribou County, Idaho",19.10%,± 3.7%
"Carlisle County, Kentucky",17.50%,± 4.6%
"Carlton County, Minnesota",20.20%,± 1.8%
"Carolina Municipio, Puerto Rico",20%,± 1.6%
"Caroline County, Maryland",20.20%,± 2.3%
"Caroline County, Virginia",14.30%,± 2.5%
"Carroll County, Arkansas",14.10%,± 2.8%
"Carroll County, Georgia",15.90%,± 1.6%
"Carroll County, Illinois",13.60%,± 2.3%
"Carroll County, Indiana",14.80%,± 2.1%
"Carroll County, Iowa",16.30%,± 2.1%
"Carroll County, Kentucky",21.50%,± 4.4%
"Carroll County, Maryland",13.60%,± 0.8%
"Carroll County, Mississippi",12.50%,± 3.9%
"Carroll County, Missouri",20.40%,± 3.7%
"Carroll County, New Hampshire",17.60%,± 1.8%
"Carroll County, Ohio",15%,± 2.4%
"Carroll County, Tennessee",16.70%,± 2.4%
"Carroll County, Virginia",16.70%,± 3.1%
"Carson City, Nevada",21.50%,± 1.9%
"Carson County, Texas",12.70%,± 3%
"Carter County, Kentucky",20.30%,± 3.1%
"Carter County, Missouri",16.30%,± 5.3%
"Carter County, Montana",7.70%,± 3.1%
"Carter County, Oklahoma",18.40%,± 1.4%
"Carter County, Tennessee",18.30%,± 1.9%
"Carteret County, North Carolina",19.30%,± 1.7%
"Carver County, Minnesota",11.40%,± 1%
"Cascade County, Montana",18.60%,± 1.6%
"Casey County, Kentucky",14.70%,± 3.9%
"Cass County, Illinois",17.10%,± 2.9%
"Cass County, Indiana",16.70%,± 1.8%
"Cass County, Iowa",15.60%,± 3.1%
"Cass County, Michigan",15.50%,± 1.6%
"Cass County, Minnesota",19.80%,± 1.4%
"Cass County, Missouri",15.90%,± 1.2%
"Cass County, Nebraska",14%,± 1.7%
"Cass County, North Dakota",17%,± 1.2%
"Cass County, Texas",18.70%,± 2.9%
"Cassia County, Idaho",16.10%,± 2.8%
"Castro County, Texas",19.70%,± 4.8%
"Caswell County, North Carolina",17.50%,± 2.8%
"Catahoula Parish, Louisiana",18.20%,± 5.1%
"Cataño Municipio, Puerto Rico",21.20%,± 3.5%
"Catawba County, North Carolina",13.90%,± 0.9%
"Catoosa County, Georgia",14.50%,± 2%
"Catron County, New Mexico",11.30%,± 7.9%
"Cattaraugus County, New York",19.60%,± 1.1%
"Cavalier County, North Dakota",11.10%,± 3.2%
"Cayey Municipio, Puerto Rico",17.10%,± 3.1%
"Cayuga County, New York",18.90%,± 1.5%
"Cecil County, Maryland",14.80%,± 1.2%
"Cedar County, Iowa",16.60%,± 2.6%
"Cedar County, Missouri",15.30%,± 4.2%
"Cedar County, Nebraska",16.50%,± 2.1%
"Ceiba Municipio, Puerto Rico",31%,± 6.3%
"Centre County, Pennsylvania",16.50%,± 1%
"Cerro Gordo County, Iowa",19%,± 1.9%
"Chaffee County, Colorado",19.60%,± 4.3%
"Chambers County, Alabama",17.70%,± 2.8%
"Chambers County, Texas",13%,± 2.4%
"Champaign County, Illinois",16.60%,± 1.3%
"Champaign County, Ohio",15.90%,± 1.8%
"Chariton County, Missouri",14.90%,± 2.9%
"Charles City County, Virginia",17.50%,± 3%
"Charles County, Maryland",16.70%,± 1%
"Charles Mix County, South Dakota",18.70%,± 2.4%
"Charleston County, South Carolina",16.30%,± 0.8%
"Charlevoix County, Michigan",19.70%,± 1.6%
"Charlotte County, Florida",20.20%,± 1.5%
"Charlotte County, Virginia",16.60%,± 3.3%
"Charlottesville city, Virginia",15.80%,± 1.7%
"Charlton County, Georgia",20%,± 4.7%
"Chase County, Kansas",14.20%,± 3.3%
"Chase County, Nebraska",17.60%,± 5.1%
"Chatham County, Georgia",19.50%,± 1.1%
"Chatham County, North Carolina",14.80%,± 2%
"Chattahoochee County, Georgia",30.30%,± 9.4%
"Chattooga County, Georgia",13.80%,± 2.3%
"Chautauqua County, Kansas",23.10%,± 5.3%
"Chautauqua County, New York",19.90%,± 1.2%
"Chaves County, New Mexico",20.30%,± 2.4%
"Cheatham County, Tennessee",17.20%,± 1.9%
"Cheboygan County, Michigan",19.70%,± 2.5%
"Chelan County, Washington",18.20%,± 1.6%
"Chemung County, New York",18.30%,± 1.7%
"Chenango County, New York",15.90%,± 1.6%
"Cherokee County, Alabama",16.40%,± 2.6%
"Cherokee County, Georgia",14.50%,± 1.1%
"Cherokee County, Iowa",15.20%,± 2.8%
"Cherokee County, Kansas",19%,± 2.8%
"Cherokee County, North Carolina",18.40%,± 3%
"Cherokee County, Oklahoma",18%,± 1.7%
"Cherokee County, South Carolina",19.20%,± 2.4%
"Cherokee County, Texas",17.50%,± 2.1%
"Cherry County, Nebraska",21.80%,± 5.8%
"Chesapeake city, Virginia",16%,± 1%
"Cheshire County, New Hampshire",15.40%,± 1.6%
"Chester County, Pennsylvania",12.20%,± 0.4%
"Chester County, South Carolina",20.70%,± 2.2%
"Chester County, Tennessee",18.20%,± 4.1%
"Chesterfield County, South Carolina",18.20%,± 2.2%
"Chesterfield County, Virginia",13.80%,± 0.7%
"Cheyenne County, Colorado",11.30%,± 4.9%
"Cheyenne County, Kansas",18.10%,± 4.9%
"Cheyenne County, Nebraska",15.80%,± 4.1%
"Chickasaw County, Iowa",12.80%,± 2.4%
"Chickasaw County, Mississippi",12.90%,± 2.7%
"Chicot County, Arkansas",15.10%,± 3.8%
"Childress County, Texas",12.80%,± 5.6%
"Chilton County, Alabama",14.90%,± 3.3%
"Chippewa County, Michigan",25.20%,± 2.2%
"Chippewa County, Minnesota",14.60%,± 2.5%
"Chippewa County, Wisconsin",16%,± 1.7%
"Chisago County, Minnesota",16.50%,± 1.3%
"Chittenden County, Vermont",14.90%,± 1%
"Choctaw County, Alabama",16.10%,± 3.6%
"Choctaw County, Mississippi",18%,± 4.4%
"Choctaw County, Oklahoma",18.80%,± 2.4%
"Chouteau County, Montana",17%,± 4.4%
"Chowan County, North Carolina",24.40%,± 5%
"Christian County, Illinois",20.60%,± 2.2%
"Christian County, Kentucky",19.50%,± 2.3%
"Christian County, Missouri",16.10%,± 1.4%
"Chugach Census Area, Alaska",15%,± 3.9%
"Churchill County, Nevada",15.70%,± 3.1%
"Ciales Municipio, Puerto Rico",28.70%,± 6.1%
"Cibola County, New Mexico",28.60%,± 4.2%
"Cidra Municipio, Puerto Rico",19.80%,± 3.3%
"Cimarron County, Oklahoma",10.10%,± 3.9%
"Citrus County, Florida",18.50%,± 1.6%
"Clackamas County, Oregon",13.70%,± 0.7%
"Claiborne County, Mississippi",17.90%,± 7%
"Claiborne County, Tennessee",15.60%,± 2.6%
"Claiborne Parish, Louisiana",28.70%,± 5.2%
"Clallam County, Washington",21.70%,± 2.1%
"Clare County, Michigan",20.10%,± 2.3%
"Clarendon County, South Carolina",19.20%,± 2.8%
"Clarion County, Pennsylvania",19.80%,± 1.6%
"Clark County, Arkansas",24.90%,± 3.4%
"Clark County, Idaho",19.30%,± 11.8%
"Clark County, Illinois",15.50%,± 2.6%
"Clark County, Indiana",15.20%,± 1.3%
"Clark County, Kansas",16%,± 6.3%
"Clark County, Kentucky",13.50%,± 2.3%
"Clark County, Missouri",12.20%,± 2.4%
"Clark County, Nevada",25.70%,± 0.4%
"Clark County, Ohio",18.60%,± 1%
"Clark County, South Dakota",16.40%,± 3%
"Clark County, Washington",16%,± 0.6%
"Clark County, Wisconsin",13.80%,± 0.8%
"Clarke County, Alabama",15.20%,± 2.9%
"Clarke County, Georgia",19.40%,± 1.6%
"Clarke County, Iowa",16.20%,± 4.7%
"Clarke County, Mississippi",17.70%,± 3.6%
"Clarke County, Virginia",13.20%,± 2.4%
"Clatsop County, Oregon",23.70%,± 2.6%
"Clay County, Alabama",10.80%,± 3.6%
"Clay County, Arkansas",15.40%,± 2.6%
"Clay County, Florida",15.70%,± 1.2%
"Clay County, Georgia",16.10%,± 7.3%
"Clay County, Illinois",15.50%,± 3.3%
"Clay County, Indiana",17.50%,± 2.8%
"Clay County, Iowa",14.30%,± 2.6%
"Clay County, Kansas",14.40%,± 3%
"Clay County, Kentucky",19.80%,± 4.3%
"Clay County, Minnesota",17.40%,± 1.6%
"Clay County, Mississippi",17.30%,± 4.1%
