Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Barceloneta Municipio, Puerto Rico",10.80%,± 2.5%
"Barnes County, North Dakota",15.40%,± 2.5%
"Barnstable County, Massachusetts",19%,± 0.9%
"Barnwell County, South Carolina",15.80%,± 2.9%
"Barranquitas Municipio, Puerto Rico",9.90%,± 2.4%
"Barren County, Kentucky",11.90%,± 1.4%
"Barron County, Wisconsin",14.70%,± 1.5%
"Barrow County, Georgia",7.90%,± 1.1%
"Barry County, Michigan",11.80%,± 1.7%
"Barry County, Missouri",13.90%,± 2.2%
"Bartholomew County, Indiana",11.50%,± 1.3%
"Barton County, Kansas",15.80%,± 2%
"Barton County, Missouri",15%,± 2.8%
"Bartow County, Georgia",8.80%,± 1.3%
"Bastrop County, Texas",9.10%,± 1.3%
"Bates County, Missouri",14%,± 2.2%
"Bath County, Kentucky",10.50%,± 2.6%
"Bath County, Virginia",15.60%,± 6.2%
"Baxter County, Arkansas",20.50%,± 1.8%
"Bay County, Florida",10.40%,± 0.9%
"Bay County, Michigan",15%,± 1.2%
"Bayamón Municipio, Puerto Rico",15.40%,± 0.8%
"Bayfield County, Wisconsin",15.80%,± 1.5%
"Baylor County, Texas",18.70%,± 5.7%
"Beadle County, South Dakota",12.70%,± 2.1%
"Bear Lake County, Idaho",13.70%,± 3%
"Beaufort County, North Carolina",14.50%,± 1.6%
"Beaufort County, South Carolina",13.40%,± 1.1%
"Beauregard Parish, Louisiana",10.50%,± 1.9%
"Beaver County, Oklahoma",12.20%,± 3.4%
"Beaver County, Pennsylvania",15.30%,± 0.8%
"Beaver County, Utah",8%,± 2.8%
"Beaverhead County, Montana",17.10%,± 3.3%
"Becker County, Minnesota",14.10%,± 1.2%
"Beckham County, Oklahoma",10.80%,± 2.7%
"Bedford County, Pennsylvania",16.50%,± 1.3%
"Bedford County, Tennessee",10%,± 1.6%
"Bedford County, Virginia",12%,± 1.2%
"Bee County, Texas",13.10%,± 3.4%
"Belknap County, New Hampshire",14.60%,± 1.5%
"Bell County, Kentucky",13%,± 2.6%
"Bell County, Texas",7.50%,± 0.5%
"Belmont County, Ohio",15.80%,± 1.5%
"Beltrami County, Minnesota",11.40%,± 1.2%
"Ben Hill County, Georgia",12.40%,± 2.7%
"Benewah County, Idaho",11.40%,± 3.2%
"Bennett County, South Dakota",10.70%,± 4%
"Bennington County, Vermont",16.30%,± 1.9%
"Benson County, North Dakota",9.20%,± 2.2%
"Bent County, Colorado",16.50%,± 5.1%
"Benton County, Arkansas",8.10%,± 0.7%
"Benton County, Indiana",13.70%,± 2%
"Benton County, Iowa",13.60%,± 1.9%
"Benton County, Minnesota",8.60%,± 1.1%
"Benton County, Mississippi",15.60%,± 3.9%
"Benton County, Missouri",19.50%,± 2.7%
"Benton County, Oregon",10.10%,± 1%
"Benton County, Tennessee",18.30%,± 3.2%
"Benton County, Washington",10.30%,± 0.8%
"Benzie County, Michigan",13.90%,± 2%
"Bergen County, New Jersey",11%,± 0.4%
"Berkeley County, South Carolina",9.50%,± 0.8%
"Berkeley County, West Virginia",9.70%,± 1.1%
"Berks County, Pennsylvania",12.60%,± 0.6%
"Berkshire County, Massachusetts",16.70%,± 1%
"Bernalillo County, New Mexico",13.10%,± 0.5%
"Berrien County, Georgia",12.10%,± 2.2%
"Berrien County, Michigan",13.20%,± 0.8%
"Bertie County, North Carolina",18.80%,± 3.6%
"Bethel Census Area, Alaska",4.60%,± 1.2%
"Bexar County, Texas",8.70%,± 0.3%
"Bibb County, Alabama",11.90%,± 2.9%
"Bibb County, Georgia",12.40%,± 1%
"Bienville Parish, Louisiana",21.30%,± 3.1%
"Big Horn County, Montana",10.30%,± 2.7%
"Big Horn County, Wyoming",18.50%,± 2.5%
"Big Stone County, Minnesota",18.50%,± 3.1%
"Billings County, North Dakota",12.80%,± 5.4%
"Bingham County, Idaho",10.90%,± 1.9%
"Black Hawk County, Iowa",12.60%,± 0.9%
"Blackford County, Indiana",16%,± 2.4%
"Bladen County, North Carolina",16.70%,± 2.4%
"Blaine County, Idaho",13.40%,± 3.3%
"Blaine County, Montana",13.70%,± 2.9%
"Blaine County, Nebraska",23.40%,± 8.1%
"Blaine County, Oklahoma",16.20%,± 3.6%
"Blair County, Pennsylvania",15.90%,± 1%
"Blanco County, Texas",10.80%,± 3.3%
"Bland County, Virginia",18.90%,± 4.4%
"Bleckley County, Georgia",13%,± 4.2%
"Bledsoe County, Tennessee",9.90%,± 2.7%
"Blount County, Alabama",12.40%,± 1.8%
"Blount County, Tennessee",11.90%,± 1.1%
"Blue Earth County, Minnesota",8.80%,± 0.9%
"Boise County, Idaho",15.80%,± 4.2%
"Bolivar County, Mississippi",11.80%,± 1.6%
"Bollinger County, Missouri",16%,± 3.2%
"Bon Homme County, South Dakota",17.60%,± 3%
"Bond County, Illinois",14%,± 2.5%
"Bonner County, Idaho",13.50%,± 1.9%
"Bonneville County, Idaho",10%,± 1%
"Boone County, Arkansas",13.30%,± 1.8%
"Boone County, Illinois",13.90%,± 2.4%
"Boone County, Indiana",8.40%,± 1.3%
"Boone County, Iowa",13.20%,± 2.3%
"Boone County, Kentucky",9.10%,± 1%
"Boone County, Missouri",9.30%,± 0.8%
"Boone County, Nebraska",16%,± 2.5%
"Boone County, West Virginia",15%,± 2.4%
"Borden County, Texas",7.90%,± 5%
"Bosque County, Texas",14.50%,± 2.2%
"Bossier Parish, Louisiana",10.60%,± 1.1%
"Botetourt County, Virginia",13.20%,± 2.3%
"Bottineau County, North Dakota",18.50%,± 3.5%
"Boulder County, Colorado",11.20%,± 0.6%
"Boundary County, Idaho",16.20%,± 3.8%
"Bourbon County, Kansas",16.60%,± 2.5%
"Bourbon County, Kentucky",12.40%,± 2.2%
"Bowie County, Texas",14.70%,± 1.4%
"Bowman County, North Dakota",18%,± 4.4%
"Box Butte County, Nebraska",16.50%,± 3.3%
"Box Elder County, Utah",7.90%,± 1.5%
"Boyd County, Kentucky",13.20%,± 1.6%
"Boyd County, Nebraska",17.30%,± 3.9%
"Boyle County, Kentucky",13.90%,± 2.1%
"Bracken County, Kentucky",13.80%,± 2.6%
"Bradford County, Florida",16.10%,± 3.3%
"Bradford County, Pennsylvania",14.30%,± 1%
"Bradley County, Arkansas",16.70%,± 3.5%
"Bradley County, Tennessee",11.90%,± 1.2%
"Branch County, Michigan",13.10%,± 1.3%
"Brantley County, Georgia",16.20%,± 3.3%
"Braxton County, West Virginia",13.90%,± 3.1%
"Brazoria County, Texas",7.80%,± 0.6%
"Brazos County, Texas",6.10%,± 0.5%
"Breathitt County, Kentucky",14.50%,± 2.8%
"Breckinridge County, Kentucky",14.60%,± 2.9%
"Bremer County, Iowa",13.10%,± 1.4%
"Brevard County, Florida",15.20%,± 0.6%
"Brewster County, Texas",14.20%,± 4.3%
"Briscoe County, Texas",17.20%,± 5.1%
"Bristol Bay Borough, Alaska",8.80%,± 3.7%
"Bristol city, Virginia",19.90%,± 3.2%
"Bristol County, Massachusetts",12.70%,± 0.5%
"Bristol County, Rhode Island",14.80%,± 1.5%
"Broadwater County, Montana",14.60%,± 4.8%
"Bronx County, New York",12.50%,± 0.4%
"Brooke County, West Virginia",16.40%,± 2.6%
"Brookings County, South Dakota",9.80%,± 1.5%
"Brooks County, Georgia",16.30%,± 3.4%
"Brooks County, Texas",13.50%,± 6.1%
"Broome County, New York",14.80%,± 0.8%
"Broomfield County, Colorado",8.30%,± 0.9%
"Broward County, Florida",12.30%,± 0.3%
"Brown County, Illinois",13.60%,± 3.6%
"Brown County, Indiana",11.10%,± 2.2%
"Brown County, Kansas",16.20%,± 2.8%
"Brown County, Minnesota",14.80%,± 1.8%
"Brown County, Nebraska",26.90%,± 5.4%
"Brown County, Ohio",12%,± 1.7%
"Brown County, South Dakota",14.70%,± 2%
"Brown County, Texas",12.50%,± 1.8%
"Brown County, Wisconsin",11.80%,± 0.8%
"Brule County, South Dakota",17.60%,± 3.7%
"Brunswick County, North Carolina",13.40%,± 1.1%
"Brunswick County, Virginia",16.30%,± 3%
"Bryan County, Georgia",5.50%,± 1.5%
"Bryan County, Oklahoma",11.20%,± 1.2%
"Buchanan County, Iowa",13.60%,± 2%
"Buchanan County, Missouri",12.90%,± 1.1%
"Buchanan County, Virginia",14.20%,± 2.4%
"Buckingham County, Virginia",15.50%,± 3.1%
"Bucks County, Pennsylvania",11.60%,± 0.5%
"Buena Vista city, Virginia",12.90%,± 3.2%
"Buena Vista County, Iowa",12.40%,± 2.3%
"Buffalo County, Nebraska",11.60%,± 1.2%
"Buffalo County, South Dakota",7.30%,± 3.9%
"Buffalo County, Wisconsin",16.10%,± 1.8%
"Bullitt County, Kentucky",8.80%,± 1%
"Bulloch County, Georgia",10.10%,± 1.7%
"Bullock County, Alabama",14%,± 4.2%
"Buncombe County, North Carolina",14%,± 0.9%
"Bureau County, Illinois",15.80%,± 1.6%
"Burke County, Georgia",15.80%,± 2.7%
"Burke County, North Carolina",13.80%,± 1.4%
"Burke County, North Dakota",16.10%,± 4.4%
"Burleigh County, North Dakota",12%,± 1.2%
"Burleson County, Texas",12.80%,± 2.4%
"Burlington County, New Jersey",12%,± 0.6%
"Burnet County, Texas",13.20%,± 1.8%
"Burnett County, Wisconsin",18.40%,± 1.6%
"Burt County, Nebraska",16.30%,± 2.1%
"Butler County, Alabama",15.50%,± 2.4%
"Butler County, Iowa",12.90%,± 1.9%
"Butler County, Kansas",11.10%,± 1.5%
"Butler County, Kentucky",11.10%,± 2.6%
"Butler County, Missouri",16%,± 2%
"Butler County, Nebraska",15.10%,± 2.6%
"Butler County, Ohio",11%,± 0.5%
"Butler County, Pennsylvania",13.90%,± 0.9%
"Butte County, California",12%,± 0.8%
"Butte County, Idaho",17.90%,± 6.6%
"Butte County, South Dakota",12.90%,± 3%
"Butts County, Georgia",11.90%,± 3.2%
"Cabarrus County, North Carolina",7.70%,± 0.6%
"Cabell County, West Virginia",14.30%,± 1.1%
"Cabo Rojo Municipio, Puerto Rico",14.30%,± 1.7%
"Cache County, Utah",6.20%,± 0.8%
"Caddo County, Oklahoma",14.90%,± 1.3%
"Caddo Parish, Louisiana",14%,± 0.8%
"Caguas Municipio, Puerto Rico",14.60%,± 1.2%
"Calaveras County, California",14.40%,± 1.9%
"Calcasieu Parish, Louisiana",10.90%,± 1%
"Caldwell County, Kentucky",15.70%,± 3.3%
"Caldwell County, Missouri",14.40%,± 2.1%
"Caldwell County, North Carolina",14.80%,± 1.6%
"Caldwell County, Texas",10.50%,± 2.1%
"Caldwell Parish, Louisiana",9.80%,± 3.2%
"Caledonia County, Vermont",15.10%,± 1.5%
"Calhoun County, Alabama",13.50%,± 1.2%
"Calhoun County, Arkansas",17.40%,± 5.1%
"Calhoun County, Florida",17.80%,± 3.3%
"Calhoun County, Georgia",16.60%,± 4.2%
"Calhoun County, Illinois",13.30%,± 2.6%
"Calhoun County, Iowa",17.30%,± 2%
"Calhoun County, Michigan",12.90%,± 0.9%
"Calhoun County, Mississippi",14.70%,± 2.4%
"Calhoun County, South Carolina",16.10%,± 3.5%
"Calhoun County, Texas",12.70%,± 2.9%
"Calhoun County, West Virginia",20.70%,± 5%
"Callahan County, Texas",14.20%,± 2.5%
"Callaway County, Missouri",10.80%,± 1.6%
"Calloway County, Kentucky",13.30%,± 1.9%
"Calumet County, Wisconsin",10.30%,± 1.2%
"Calvert County, Maryland",9.80%,± 1.1%
"Camas County, Idaho",13.30%,± 10.5%
"Cambria County, Pennsylvania",17%,± 1%
"Camden County, Georgia",8.30%,± 1.4%
"Camden County, Missouri",14.80%,± 1.7%
"Camden County, New Jersey",11.90%,± 0.5%
"Camden County, North Carolina",9%,± 3.3%
"Cameron County, Pennsylvania",16.40%,± 2.9%
"Cameron County, Texas",10.20%,± 0.6%
"Cameron Parish, Louisiana",9.60%,± 4%
"Camp County, Texas",12.30%,± 2.9%
"Campbell County, Kentucky",13%,± 1.2%
"Campbell County, South Dakota",18.20%,± 4.3%
"Campbell County, Tennessee",13.50%,± 1.7%
"Campbell County, Virginia",14.20%,± 1.4%
"Campbell County, Wyoming",8.30%,± 1.6%
"Camuy Municipio, Puerto Rico",12.90%,± 2.5%
"Canadian County, Oklahoma",9.20%,± 1%
"Candler County, Georgia",15.40%,± 4.1%
"Cannon County, Tennessee",14.30%,± 2.9%
"Canóvanas Municipio, Puerto Rico",11.90%,± 1.8%
"Canyon County, Idaho",8.50%,± 0.9%
"Cape Girardeau County, Missouri",12.50%,± 1.2%
"Cape May County, New Jersey",15.20%,± 1.2%
"Capitol Planning Region, Connecticut",12.50%,± 0.4%
"Carbon County, Montana",13.40%,± 2.8%
"Carbon County, Pennsylvania",15.90%,± 1.7%
"Carbon County, Utah",13.90%,± 2.1%
"Carbon County, Wyoming",12.10%,± 2.6%
"Caribou County, Idaho",12.50%,± 3.7%
"Carlisle County, Kentucky",16.90%,± 3.7%
"Carlton County, Minnesota",12.20%,± 1.6%
"Carolina Municipio, Puerto Rico",14.90%,± 1.2%
"Caroline County, Maryland",11.40%,± 1.4%
"Caroline County, Virginia",8.50%,± 2%
"Carroll County, Arkansas",13.90%,± 2.7%
"Carroll County, Georgia",9.90%,± 1%
"Carroll County, Illinois",16.30%,± 2.5%
"Carroll County, Indiana",14%,± 2.3%
"Carroll County, Iowa",14.60%,± 1.9%
"Carroll County, Kentucky",15%,± 3.5%
"Carroll County, Maryland",11.70%,± 0.9%
"Carroll County, Mississippi",14.50%,± 4.7%
"Carroll County, Missouri",13.10%,± 2.4%
"Carroll County, New Hampshire",18.80%,± 2.2%
"Carroll County, Ohio",12.20%,± 1.8%
"Carroll County, Tennessee",14.50%,± 2.2%
"Carroll County, Virginia",16.20%,± 2.2%
"Carson City, Nevada",16%,± 1.4%
"Carson County, Texas",19.10%,± 4.8%
"Carter County, Kentucky",15.20%,± 2.5%
"Carter County, Missouri",15%,± 4.9%
"Carter County, Montana",18.40%,± 5.8%
"Carter County, Oklahoma",14.10%,± 1.3%
"Carter County, Tennessee",15%,± 1.8%
"Carteret County, North Carolina",15.50%,± 1.3%
"Carver County, Minnesota",8.60%,± 0.8%
"Cascade County, Montana",15.50%,± 1.4%
"Casey County, Kentucky",11.80%,± 2.8%
"Cass County, Illinois",16.20%,± 2.7%
"Cass County, Indiana",13.20%,± 1.8%
"Cass County, Iowa",16.20%,± 2.3%
"Cass County, Michigan",11.90%,± 1.2%
"Cass County, Minnesota",14.60%,± 1%
"Cass County, Missouri",11.80%,± 1.1%
"Cass County, Nebraska",9.40%,± 1.5%
"Cass County, North Dakota",8.50%,± 0.8%
"Cass County, Texas",15.40%,± 1.9%
"Cassia County, Idaho",7.60%,± 1.4%
"Castro County, Texas",7.40%,± 3.4%
"Caswell County, North Carolina",13.80%,± 2.3%
"Catahoula Parish, Louisiana",14.20%,± 4.2%
"Cataño Municipio, Puerto Rico",13.90%,± 2.2%
"Catawba County, North Carolina",12.60%,± 1.2%
"Catoosa County, Georgia",10.70%,± 1.8%
"Catron County, New Mexico",32.60%,± 9.8%
"Cattaraugus County, New York",13.20%,± 0.9%
"Cavalier County, North Dakota",20.50%,± 4.7%
"Cayey Municipio, Puerto Rico",14.30%,± 1.9%
"Cayuga County, New York",15.40%,± 1.3%
"Cecil County, Maryland",10.20%,± 1.2%
"Cedar County, Iowa",13.30%,± 1.7%
"Cedar County, Missouri",14.70%,± 3.5%
"Cedar County, Nebraska",15.70%,± 2.2%
"Ceiba Municipio, Puerto Rico",18.40%,± 3.5%
"Centre County, Pennsylvania",11%,± 1.1%
"Cerro Gordo County, Iowa",14.20%,± 1.4%
"Chaffee County, Colorado",14.70%,± 3%
"Chambers County, Alabama",12.90%,± 1.9%
"Chambers County, Texas",7.50%,± 1.9%
"Champaign County, Illinois",9.70%,± 0.7%
"Champaign County, Ohio",11.60%,± 1.6%
"Chariton County, Missouri",15.20%,± 2.7%
"Charles City County, Virginia",15.60%,± 2.4%
"Charles County, Maryland",8.60%,± 0.8%
"Charles Mix County, South Dakota",13.50%,± 2.3%
"Charleston County, South Carolina",11.30%,± 0.6%
"Charlevoix County, Michigan",12.60%,± 1.3%
"Charlotte County, Florida",19.60%,± 1.2%
"Charlotte County, Virginia",19.10%,± 3.6%
"Charlottesville city, Virginia",11.10%,± 1.7%
"Charlton County, Georgia",11.90%,± 3.2%
"Chase County, Kansas",18.60%,± 4.4%
"Chase County, Nebraska",14.20%,± 4.6%
"Chatham County, Georgia",10.70%,± 0.8%
"Chatham County, North Carolina",16%,± 1.8%
"Chattahoochee County, Georgia",3.30%,± 2.1%
"Chattooga County, Georgia",16.70%,± 2.4%
"Chautauqua County, Kansas",16.60%,± 3.7%
"Chautauqua County, New York",15.20%,± 1%
"Chaves County, New Mexico",13.90%,± 1.6%
"Cheatham County, Tennessee",9.20%,± 1.4%
"Cheboygan County, Michigan",16.30%,± 1.7%
"Chelan County, Washington",13.40%,± 1.4%
"Chemung County, New York",14.80%,± 1.2%
"Chenango County, New York",14.70%,± 1.2%
"Cherokee County, Alabama",15.80%,± 2.1%
"Cherokee County, Georgia",8.30%,± 0.7%
"Cherokee County, Iowa",17.80%,± 2.7%
"Cherokee County, Kansas",13.90%,± 2.3%
"Cherokee County, North Carolina",15.50%,± 2.3%
"Cherokee County, Oklahoma",13%,± 1.5%
"Cherokee County, South Carolina",13.40%,± 1.7%
"Cherokee County, Texas",10%,± 1.9%
"Cherry County, Nebraska",15.90%,± 3.8%
"Chesapeake city, Virginia",9%,± 0.6%
"Cheshire County, New Hampshire",13.40%,± 1.3%
"Chester County, Pennsylvania",10.50%,± 0.6%
"Chester County, South Carolina",14.40%,± 2.1%
"Chester County, Tennessee",13.40%,± 4.1%
"Chesterfield County, South Carolina",12.70%,± 1.4%
"Chesterfield County, Virginia",10.30%,± 0.6%
"Cheyenne County, Colorado",12.70%,± 4.2%
"Cheyenne County, Kansas",24.70%,± 4.4%
"Cheyenne County, Nebraska",14.90%,± 2.8%
"Chickasaw County, Iowa",13.70%,± 2.5%
"Chickasaw County, Mississippi",15.60%,± 2.7%
"Chicot County, Arkansas",17.90%,± 3.2%
"Childress County, Texas",12.40%,± 5.6%
"Chilton County, Alabama",11.90%,± 2%
"Chippewa County, Michigan",15.60%,± 1.6%
"Chippewa County, Minnesota",17.60%,± 2.5%
"Chippewa County, Wisconsin",14.10%,± 1.4%
"Chisago County, Minnesota",10.30%,± 1.2%
"Chittenden County, Vermont",11.60%,± 1%
"Choctaw County, Alabama",17.30%,± 3.8%
"Choctaw County, Mississippi",14.80%,± 3.7%
"Choctaw County, Oklahoma",18.30%,± 2.1%
"Chouteau County, Montana",18.60%,± 3.7%
"Chowan County, North Carolina",16.30%,± 3%
"Christian County, Illinois",18.50%,± 1.7%
"Christian County, Kentucky",9.60%,± 1.4%
"Christian County, Missouri",10.20%,± 1.3%
"Chugach Census Area, Alaska",10.40%,± 4%
"Churchill County, Nevada",15%,± 3%
"Ciales Municipio, Puerto Rico",15.70%,± 3.4%
"Cibola County, New Mexico",15.30%,± 3.3%
"Cidra Municipio, Puerto Rico",12.50%,± 2%
"Cimarron County, Oklahoma",21.90%,± 6.4%
"Citrus County, Florida",20.20%,± 1.2%
"Clackamas County, Oregon",11.50%,± 0.6%
"Claiborne County, Mississippi",16.20%,± 3.6%
"Claiborne County, Tennessee",13.50%,± 2.3%
"Claiborne Parish, Louisiana",19.60%,± 2.9%
"Clallam County, Washington",17.10%,± 1.5%
"Clare County, Michigan",17.60%,± 1.8%
"Clarendon County, South Carolina",18.30%,± 2.3%
"Clarion County, Pennsylvania",14.20%,± 1.1%
"Clark County, Arkansas",12.70%,± 2.4%
"Clark County, Idaho",15.50%,± 10%
"Clark County, Illinois",13.10%,± 2.3%
"Clark County, Indiana",10.60%,± 1%
"Clark County, Kansas",14.30%,± 3.8%
"Clark County, Kentucky",12.70%,± 1.8%
"Clark County, Missouri",20.20%,± 4%
"Clark County, Nevada",9.90%,± 0.2%
"Clark County, Ohio",15.40%,± 1%
"Clark County, South Dakota",15%,± 3.6%
"Clark County, Washington",10.20%,± 0.5%
"Clark County, Wisconsin",11.20%,± 1.1%
"Clarke County, Alabama",13.50%,± 2.1%
"Clarke County, Georgia",9.30%,± 0.9%
"Clarke County, Iowa",13.80%,± 3.5%
"Clarke County, Mississippi",15.80%,± 3.1%
"Clarke County, Virginia",9.90%,± 2.7%
"Clatsop County, Oregon",14.90%,± 1.7%
"Clay County, Alabama",12.20%,± 3%
"Clay County, Arkansas",19.50%,± 2.8%
"Clay County, Florida",8.30%,± 0.7%
"Clay County, Georgia",18.30%,± 6.6%
"Clay County, Illinois",18.70%,± 3.6%
"Clay County, Indiana",13.70%,± 1.9%
"Clay County, Iowa",14.40%,± 2.4%
"Clay County, Kansas",14.80%,± 3.3%
"Clay County, Kentucky",12.20%,± 3%
