Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Barton County, Kansas",20.70%,± 0.5%
"Barton County, Missouri",20.60%,± 0.4%
"Bartow County, Georgia",14.20%,± 0.2%
"Bastrop County, Texas",15.40%,± 0.1%
"Bates County, Missouri",19%,± 0.2%
"Bath County, Kentucky",16.90%,± 0.3%
"Bath County, Virginia",29%,± 5.5%
"Baxter County, Arkansas",31.10%,± 0.3%
"Bay County, Florida",18.10%,± 0.1%
"Bay County, Michigan",20.80%,± 0.1%
"Bayamón Municipio, Puerto Rico",23.20%,*****
"Bayfield County, Wisconsin",29.20%,± 0.1%
"Baylor County, Texas",23.90%,± 2.6%
"Beadle County, South Dakota",18.80%,± 1.2%
"Bear Lake County, Idaho",21.20%,± 0.7%
"Beaufort County, North Carolina",24.40%,± 0.2%
"Beaufort County, South Carolina",27.70%,± 0.1%
"Beauregard Parish, Louisiana",15.70%,± 0.2%
"Beaver County, Oklahoma",18.70%,± 0.4%
"Beaver County, Pennsylvania",22%,± 0.1%
"Beaver County, Utah",14.10%,± 0.5%
"Beaverhead County, Montana",23%,± 0.5%
"Becker County, Minnesota",21.40%,± 0.1%
"Beckham County, Oklahoma",13.80%,± 0.4%
"Bedford County, Pennsylvania",23%,± 0.1%
"Bedford County, Tennessee",14.60%,± 0.5%
"Bedford County, Virginia",22.20%,± 0.1%
"Bee County, Texas",12.60%,± 0.2%
"Belknap County, New Hampshire",22.80%,± 0.1%
"Bell County, Kentucky",18.70%,± 0.2%
"Bell County, Texas",11.30%,± 0.1%
"Belmont County, Ohio",21.10%,± 0.1%
"Beltrami County, Minnesota",16.60%,± 0.1%
"Ben Hill County, Georgia",17.70%,± 0.2%
"Benewah County, Idaho",23%,± 0.3%
"Bennett County, South Dakota",12.70%,± 2.1%
"Bennington County, Vermont",23.30%,± 0.1%
"Benson County, North Dakota",14%,*****
"Bent County, Colorado",18.40%,± 1%
"Benton County, Arkansas",13.60%,± 0.1%
"Benton County, Indiana",17.30%,± 0.2%
"Benton County, Iowa",18.80%,± 0.1%
"Benton County, Minnesota",13.60%,± 0.1%
"Benton County, Mississippi",20.70%,± 1.2%
"Benton County, Missouri",30.70%,± 0.3%
"Benton County, Oregon",16.90%,± 0.1%
"Benton County, Tennessee",23.60%,± 0.6%
"Benton County, Washington",15.40%,± 0.1%
"Benzie County, Michigan",27%,± 0.3%
"Bergen County, New Jersey",17.50%,± 0.1%
"Berkeley County, South Carolina",14.40%,± 0.1%
"Berkeley County, West Virginia",15%,± 0.1%
"Berks County, Pennsylvania",17.50%,± 0.1%
"Berkshire County, Massachusetts",24.10%,± 0.1%
"Bernalillo County, New Mexico",17.10%,± 0.1%
"Berrien County, Georgia",17.70%,± 0.4%
"Berrien County, Michigan",20.40%,*****
"Bertie County, North Carolina",23.90%,± 0.3%
"Bethel Census Area, Alaska",7.70%,± 0.3%
"Bexar County, Texas",12.30%,± 0.1%
"Bibb County, Alabama",16.80%,± 0.6%
"Bibb County, Georgia",16.20%,± 0.1%
"Bienville Parish, Louisiana",20.90%,± 0.1%
"Big Horn County, Montana",13%,± 0.1%
"Big Horn County, Wyoming",21.50%,± 0.4%
"Big Stone County, Minnesota",25.80%,± 0.2%
"Billings County, North Dakota",25.30%,± 4.6%
"Bingham County, Idaho",14.50%,± 0.1%
"Black Hawk County, Iowa",17.10%,± 0.1%
"Blackford County, Indiana",21.40%,± 0.2%
"Bladen County, North Carolina",22.80%,± 0.2%
"Blaine County, Idaho",20.30%,± 0.6%
"Blaine County, Montana",15.80%,± 0.4%
"Blaine County, Nebraska",37.50%,± 8%
"Blaine County, Oklahoma",18.80%,± 0.7%
"Blair County, Pennsylvania",20.90%,± 0.1%
"Blanco County, Texas",24.30%,± 0.7%
"Bland County, Virginia",23.70%,± 0.5%
"Bleckley County, Georgia",17.20%,± 0.9%
"Bledsoe County, Tennessee",19.30%,± 0.4%
"Blount County, Alabama",18.30%,± 0.2%
"Blount County, Tennessee",20.60%,± 0.1%
"Blue Earth County, Minnesota",14.50%,± 0.1%
"Boise County, Idaho",26.90%,± 0.6%
"Bolivar County, Mississippi",16.40%,± 0.1%
"Bollinger County, Missouri",20.50%,± 0.2%
"Bon Homme County, South Dakota",21.20%,± 0.3%
"Bond County, Illinois",18.10%,± 0.3%
"Bonner County, Idaho",25.70%,± 0.2%
"Bonneville County, Idaho",13.40%,± 0.1%
"Boone County, Arkansas",20.80%,± 0.2%
"Boone County, Illinois",16.30%,± 0.4%
"Boone County, Indiana",14.10%,± 0.2%
"Boone County, Iowa",19.20%,± 0.2%
"Boone County, Kentucky",14.20%,± 0.2%
"Boone County, Missouri",12.90%,± 0.1%
"Boone County, Nebraska",22.90%,± 0.3%
"Boone County, West Virginia",21.10%,± 0.3%
"Borden County, Texas",18.40%,± 6.7%
"Bosque County, Texas",24.90%,± 0.3%
"Bossier Parish, Louisiana",14.80%,± 0.1%
"Botetourt County, Virginia",23.20%,± 0.3%
"Bottineau County, North Dakota",24.60%,± 0.4%
"Boulder County, Colorado",15.30%,± 0.1%
"Boundary County, Idaho",23.60%,± 0.7%
"Bourbon County, Kansas",19.30%,± 0.3%
"Bourbon County, Kentucky",18.90%,± 0.4%
"Bowie County, Texas",17.10%,± 0.2%
"Bowman County, North Dakota",23%,± 0.5%
"Box Butte County, Nebraska",19.10%,± 0.5%
"Box Elder County, Utah",12.60%,± 0.1%
"Boyd County, Kentucky",19.90%,± 0.2%
"Boyd County, Nebraska",33.30%,± 2.8%
"Boyle County, Kentucky",18.80%,± 0.1%
"Bracken County, Kentucky",17%,± 0.4%
"Bradford County, Florida",17.80%,± 0.4%
"Bradford County, Pennsylvania",21.70%,± 0.1%
"Bradley County, Arkansas",18.50%,± 0.2%
"Bradley County, Tennessee",17.10%,± 0.1%
"Branch County, Michigan",18.80%,± 0.2%
"Brantley County, Georgia",16.50%,± 0.4%
"Braxton County, West Virginia",24.10%,± 0.6%
"Brazoria County, Texas",12.20%,± 0.1%
"Brazos County, Texas",9.50%,± 0.1%
"Breathitt County, Kentucky",17.90%,± 0.3%
"Breckinridge County, Kentucky",19.30%,± 0.3%
"Bremer County, Iowa",19.40%,± 0.2%
"Brevard County, Florida",24%,± 0.1%
"Brewster County, Texas",23.90%,*****
"Briscoe County, Texas",30.10%,± 6.6%
"Bristol Bay Borough, Alaska",12.60%,± 4.2%
"Bristol city, Virginia",23.50%,± 1%
"Bristol County, Massachusetts",17.20%,± 0.1%
"Bristol County, Rhode Island",20%,± 0.2%
"Broadwater County, Montana",24.30%,± 0.9%
"Bronx County, New York",13.30%,± 0.1%
"Brooke County, West Virginia",24.10%,± 0.1%
"Brookings County, South Dakota",12.90%,± 0.3%
"Brooks County, Georgia",19.70%,± 0.6%
"Brooks County, Texas",19.80%,± 3.2%
"Broome County, New York",19.70%,± 0.1%
"Broomfield County, Colorado",14.70%,± 0.1%
"Broward County, Florida",17.30%,± 0.1%
"Brown County, Illinois",14.80%,± 0.5%
"Brown County, Indiana",25.40%,± 0.6%
"Brown County, Kansas",20.80%,± 0.3%
"Brown County, Minnesota",21.40%,± 0.1%
"Brown County, Nebraska",28.90%,± 2.1%
"Brown County, Ohio",18.50%,± 0.2%
"Brown County, South Dakota",17.70%,± 0.4%
"Brown County, Texas",20.10%,± 0.2%
"Brown County, Wisconsin",15.60%,± 0.1%
"Brule County, South Dakota",19.10%,± 0.5%
"Brunswick County, North Carolina",32.70%,± 0.1%
"Brunswick County, Virginia",21.90%,± 0.6%
"Bryan County, Georgia",10.50%,± 0.2%
"Bryan County, Oklahoma",17.50%,± 0.1%
"Buchanan County, Iowa",18.10%,± 0.3%
"Buchanan County, Missouri",16.80%,± 0.1%
"Buchanan County, Virginia",23%,± 0.1%
"Buckingham County, Virginia",19.80%,± 0.3%
"Bucks County, Pennsylvania",19.50%,± 0.1%
"Buena Vista city, Virginia",17.90%,± 0.6%
"Buena Vista County, Iowa",16.30%,± 0.5%
"Buffalo County, Nebraska",15.60%,± 0.2%
"Buffalo County, South Dakota",7.50%,± 1.8%
"Buffalo County, Wisconsin",22.90%,± 0.1%
"Bullitt County, Kentucky",16.50%,± 0.1%
"Bulloch County, Georgia",11.80%,± 0.2%
"Bullock County, Alabama",16.60%,± 0.4%
"Buncombe County, North Carolina",20.60%,± 0.1%
"Bureau County, Illinois",22.30%,± 0.1%
"Burke County, Georgia",16.30%,± 0.3%
"Burke County, North Carolina",21%,± 0.2%
"Burke County, North Dakota",21.40%,± 3.3%
"Burleigh County, North Dakota",17%,± 0.1%
"Burleson County, Texas",21.70%,± 0.6%
"Burlington County, New Jersey",17.60%,*****
"Burnet County, Texas",23.10%,± 0.2%
"Burnett County, Wisconsin",30.20%,± 0.1%
"Burt County, Nebraska",24%,± 0.4%
"Butler County, Alabama",21.20%,± 0.5%
"Butler County, Iowa",22.70%,± 0.1%
"Butler County, Kansas",15.60%,± 0.1%
"Butler County, Kentucky",18.40%,± 0.1%
"Butler County, Missouri",19%,± 0.3%
"Butler County, Nebraska",20.50%,± 0.3%
"Butler County, Ohio",15.40%,± 0.1%
"Butler County, Pennsylvania",19.70%,± 0.1%
"Butte County, California",18.20%,± 0.1%
"Butte County, Idaho",22%,± 4.8%
"Butte County, South Dakota",19.60%,± 0.4%
"Butts County, Georgia",16%,± 0.6%
"Cabarrus County, North Carolina",13.30%,± 0.1%
"Cabell County, West Virginia",19.40%,± 0.1%
"Cabo Rojo Municipio, Puerto Rico",24%,*****
"Cache County, Utah",9.70%,± 0.1%
"Caddo County, Oklahoma",15.70%,± 0.1%
"Caddo Parish, Louisiana",17.90%,± 0.1%
"Caguas Municipio, Puerto Rico",21.50%,*****
"Calaveras County, California",28.80%,± 0.3%
"Calcasieu Parish, Louisiana",15.30%,± 0.1%
"Caldwell County, Kentucky",21%,± 0.8%
"Caldwell County, Missouri",20%,± 0.2%
"Caldwell County, North Carolina",20.70%,± 0.2%
"Caldwell County, Texas",15.20%,± 0.4%
"Caldwell Parish, Louisiana",18.20%,*****
"Caledonia County, Vermont",22.20%,± 0.3%
"Calhoun County, Alabama",17.90%,± 0.1%
"Calhoun County, Arkansas",21.40%,± 0.9%
"Calhoun County, Florida",18.30%,± 0.7%
"Calhoun County, Georgia",15.90%,± 0.8%
"Calhoun County, Illinois",24.20%,± 0.5%
"Calhoun County, Iowa",23%,± 0.2%
"Calhoun County, Michigan",18%,± 0.1%
"Calhoun County, Mississippi",19.60%,± 0.2%
"Calhoun County, South Carolina",23.60%,± 0.3%
"Calhoun County, Texas",18.40%,± 0.3%
"Calhoun County, West Virginia",25%,± 0.5%
"Callahan County, Texas",20.60%,± 0.5%
"Callaway County, Missouri",16.90%,± 0.3%
"Calloway County, Kentucky",17.10%,± 0.2%
"Calumet County, Wisconsin",15.80%,± 0.1%
"Calvert County, Maryland",15.50%,± 0.1%
"Camas County, Idaho",13.40%,± 4.8%
"Cambria County, Pennsylvania",23.10%,± 0.1%
"Camden County, Georgia",14.20%,± 0.2%
"Camden County, Missouri",28.60%,± 0.2%
"Camden County, New Jersey",16%,± 0.1%
"Camden County, North Carolina",15.80%,± 0.9%
"Cameron County, Pennsylvania",28%,± 0.4%
"Cameron County, Texas",13.70%,± 0.1%
"Cameron Parish, Louisiana",15.90%,± 2.1%
"Camp County, Texas",18.20%,± 0.7%
"Campbell County, Kentucky",16.60%,± 0.1%
"Campbell County, South Dakota",27.30%,± 3%
"Campbell County, Tennessee",20.60%,± 0.3%
"Campbell County, Virginia",20.70%,± 0.2%
"Campbell County, Wyoming",11.50%,± 0.2%
"Camuy Municipio, Puerto Rico",21.70%,*****
"Canadian County, Oklahoma",13.40%,± 0.1%
"Candler County, Georgia",18.50%,± 0.5%
"Cannon County, Tennessee",17.40%,± 0.2%
"Canóvanas Municipio, Puerto Rico",18.40%,*****
"Canyon County, Idaho",14.20%,± 0.1%
"Cape Girardeau County, Missouri",17%,± 0.1%
"Cape May County, New Jersey",27.80%,± 0.1%
"Capitol Planning Region, Connecticut",17.10%,± 0.1%
"Carbon County, Montana",26.70%,± 0.3%
"Carbon County, Pennsylvania",21.60%,± 0.2%
"Carbon County, Utah",18.40%,± 0.3%
"Carbon County, Wyoming",18.30%,± 0.5%
"Caribou County, Idaho",17%,± 0.5%
"Carlisle County, Kentucky",20.10%,± 0.4%
"Carlton County, Minnesota",17.90%,± 0.1%
"Carolina Municipio, Puerto Rico",23.60%,*****
"Caroline County, Maryland",16.90%,± 0.2%
"Caroline County, Virginia",16.40%,± 0.3%
"Carroll County, Arkansas",23.10%,± 0.4%
"Carroll County, Georgia",13.90%,± 0.2%
"Carroll County, Illinois",23.90%,± 0.3%
"Carroll County, Indiana",20.20%,± 0.1%
"Carroll County, Iowa",20.80%,± 0.2%
"Carroll County, Kentucky",16.10%,± 0.8%
"Carroll County, Maryland",17.40%,± 0.1%
"Carroll County, Mississippi",24%,*****
"Carroll County, Missouri",21.90%,± 0.3%
"Carroll County, New Hampshire",29.20%,± 0.3%
"Carroll County, Ohio",21.80%,± 0.5%
"Carroll County, Tennessee",20.10%,± 0.3%
"Carroll County, Virginia",25.10%,± 0.2%
"Carson City, Nevada",20.60%,± 0.2%
"Carson County, Texas",21%,± 1.1%
"Carter County, Kentucky",19.60%,± 0.5%
"Carter County, Missouri",20.20%,± 0.6%
"Carter County, Montana",30.90%,± 5%
"Carter County, Oklahoma",17%,± 0.1%
"Carter County, Tennessee",22.10%,± 0.2%
"Carteret County, North Carolina",25.80%,± 0.2%
"Carver County, Minnesota",13.20%,± 0.1%
"Cascade County, Montana",19%,± 0.1%
"Casey County, Kentucky",20.60%,± 0.3%
"Cass County, Illinois",18%,± 0.6%
"Cass County, Indiana",18.10%,± 0.5%
"Cass County, Iowa",23.10%,± 0.4%
"Cass County, Michigan",21.50%,± 0.1%
"Cass County, Minnesota",26.40%,± 0.1%
"Cass County, Missouri",17.20%,± 0.1%
"Cass County, Nebraska",18%,± 0.2%
"Cass County, North Dakota",12.50%,± 0.1%
"Cass County, Texas",22.20%,± 0.2%
"Cassia County, Idaho",14.10%,± 0.3%
"Castro County, Texas",16.40%,± 0.2%
"Caswell County, North Carolina",22%,± 0.2%
"Catahoula Parish, Louisiana",17%,± 0.7%
"Cataño Municipio, Puerto Rico",22.40%,*****
"Catawba County, North Carolina",18.30%,± 0.1%
"Catoosa County, Georgia",18.10%,± 0.2%
"Catron County, New Mexico",43.20%,± 6%
"Cattaraugus County, New York",19.90%,± 0.1%
"Cavalier County, North Dakota",28.20%,± 1.5%
"Cayey Municipio, Puerto Rico",22.40%,*****
"Cayuga County, New York",20%,± 0.1%
"Cecil County, Maryland",16.40%,± 0.1%
"Cedar County, Iowa",20%,± 0.1%
"Cedar County, Missouri",23.40%,± 0.6%
"Cedar County, Nebraska",21.60%,± 0.1%
"Ceiba Municipio, Puerto Rico",24.90%,*****
"Centre County, Pennsylvania",15.10%,± 0.1%
"Cerro Gordo County, Iowa",22.40%,± 0.2%
"Chaffee County, Colorado",26.30%,± 0.5%
"Chambers County, Alabama",19.70%,± 0.1%
"Chambers County, Texas",12.10%,± 0.5%
"Champaign County, Illinois",13.40%,± 0.1%
"Champaign County, Ohio",18.80%,± 0.3%
"Chariton County, Missouri",25%,± 0.4%
"Charles City County, Virginia",25.60%,± 0.1%
"Charles County, Maryland",12.90%,± 0.1%
"Charles Mix County, South Dakota",18.20%,± 0.1%
"Charleston County, South Carolina",17.30%,± 0.1%
"Charlevoix County, Michigan",25.40%,± 0.1%
"Charlotte County, Florida",40.30%,± 0.1%
"Charlotte County, Virginia",22.30%,± 0.4%
"Charlottesville city, Virginia",12.60%,± 0.2%
"Charlton County, Georgia",16.40%,± 0.5%
"Chase County, Kansas",23.20%,± 0.4%
"Chase County, Nebraska",24.90%,± 2.1%
"Chatham County, Georgia",16.20%,± 0.1%
"Chatham County, North Carolina",24.80%,± 0.3%
"Chattahoochee County, Georgia",2.90%,± 1.2%
"Chattooga County, Georgia",18%,± 0.5%
"Chautauqua County, Kansas",24.30%,± 0.8%
"Chautauqua County, New York",20.80%,± 0.1%
"Chaves County, New Mexico",15.90%,± 0.2%
"Cheatham County, Tennessee",15.50%,± 0.3%
"Cheboygan County, Michigan",28.20%,± 0.1%
"Chelan County, Washington",19.90%,± 0.2%
"Chemung County, New York",19.60%,± 0.1%
"Chenango County, New York",21.30%,± 0.1%
"Cherokee County, Alabama",23.20%,± 0.3%
"Cherokee County, Georgia",15%,± 0.1%
"Cherokee County, Iowa",24.20%,± 0.4%
"Cherokee County, Kansas",19.50%,± 0.5%
"Cherokee County, North Carolina",30.70%,± 0.5%
"Cherokee County, Oklahoma",17.20%,± 0.2%
"Cherokee County, South Carolina",16.90%,± 0.3%
"Cherokee County, Texas",17.70%,± 0.1%
"Cherry County, Nebraska",20.80%,± 0.2%
"Chesapeake city, Virginia",13.80%,± 0.1%
"Cheshire County, New Hampshire",21.10%,± 0.1%
"Chester County, Pennsylvania",17%,± 0.1%
"Chester County, South Carolina",18.60%,± 0.1%
"Chester County, Tennessee",17.30%,± 1%
"Chesterfield County, South Carolina",18.90%,± 0.2%
"Chesterfield County, Virginia",15.50%,± 0.1%
"Cheyenne County, Colorado",20%,± 3.6%
"Cheyenne County, Kansas",25.80%,± 0.4%
"Cheyenne County, Nebraska",20.80%,± 0.3%
"Chickasaw County, Iowa",21.80%,± 0.1%
"Chickasaw County, Mississippi",18.50%,± 0.7%
"Chicot County, Arkansas",21.30%,± 0.3%
"Childress County, Texas",13.90%,± 2.4%
"Chilton County, Alabama",16.80%,± 0.4%
"Chippewa County, Michigan",18.80%,± 0.2%
"Chippewa County, Minnesota",21.70%,± 0.3%
"Chippewa County, Wisconsin",18.60%,± 0.1%
"Chisago County, Minnesota",16%,± 0.1%
"Chittenden County, Vermont",15.90%,± 0.1%
"Choctaw County, Alabama",23.30%,± 0.1%
"Choctaw County, Mississippi",22.20%,± 0.1%
"Choctaw County, Oklahoma",20.40%,± 0.2%
"Chouteau County, Montana",21.70%,± 0.6%
"Chowan County, North Carolina",25.60%,± 0.7%
"Christian County, Illinois",19.50%,± 0.1%
"Christian County, Kentucky",12.40%,± 0.1%
"Christian County, Missouri",16.10%,± 0.1%
"Chugach Census Area, Alaska",13.20%,± 1.3%
"Churchill County, Nevada",19.40%,± 0.7%
"Ciales Municipio, Puerto Rico",22.40%,*****
"Cibola County, New Mexico",16.90%,*****
"Cidra Municipio, Puerto Rico",19.50%,*****
"Cimarron County, Oklahoma",24.10%,± 1%
"Citrus County, Florida",36.40%,± 0.1%
"Clackamas County, Oregon",18.90%,± 0.1%
"Claiborne County, Mississippi",18.10%,± 0.3%
"Claiborne County, Tennessee",19.70%,± 0.2%
"Claiborne Parish, Louisiana",21%,± 0.2%
"Clallam County, Washington",30.70%,± 0.1%
"Clare County, Michigan",24.40%,± 0.2%
"Clarendon County, South Carolina",24.10%,± 0.2%
"Clarion County, Pennsylvania",20%,± 0.1%
"Clark County, Arkansas",16.20%,± 0.1%
"Clark County, Idaho",16.50%,± 5.4%
"Clark County, Illinois",19.50%,± 0.1%
"Clark County, Indiana",16.30%,± 0.1%
"Clark County, Kansas",23.30%,± 3.2%
"Clark County, Kentucky",18.10%,± 0.4%
"Clark County, Missouri",20.60%,± 0.1%
"Clark County, Nevada",15.20%,*****
"Clark County, Ohio",19.90%,± 0.1%
"Clark County, South Dakota",23.40%,± 0.5%
"Clark County, Washington",16.10%,± 0.1%
"Clark County, Wisconsin",16.80%,± 0.1%
"Clarke County, Alabama",20.40%,± 0.1%
"Clarke County, Georgia",11.50%,± 0.1%
"Clarke County, Iowa",19.70%,± 1%
"Clarke County, Mississippi",20.70%,± 0.2%
"Clarke County, Virginia",21.50%,± 0.8%
"Clatsop County, Oregon",23.60%,± 0.3%
"Clay County, Alabama",20.80%,± 0.5%
"Clay County, Arkansas",22.10%,± 0.8%
"Clay County, Florida",16.50%,± 0.1%
"Clay County, Georgia",24.90%,± 5.8%
"Clay County, Illinois",20.60%,± 0.2%
"Clay County, Indiana",18.20%,± 0.2%
"Clay County, Iowa",21.60%,± 0.4%
"Clay County, Kansas",24.30%,± 0.7%
"Clay County, Kentucky",15.80%,± 0.1%
"Clay County, Minnesota",13.50%,± 0.1%
"Clay County, Mississippi",19%,± 0.1%
"Clay County, Missouri",14.60%,± 0.1%
