Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Allendale County, South Carolina",4.30%,± 0.4%
"Alpena County, Michigan",4.60%,± 0.2%
"Alpine County, California",8.90%,± 4.1%
"Amador County, California",3.70%,± 0.1%
"Amelia County, Virginia",5.40%,± 0.8%
"Amherst County, Virginia",5.30%,± 0.2%
"Amite County, Mississippi",5.30%,± 0.2%
"Añasco Municipio, Puerto Rico",3%,*****
"Anchorage Municipality, Alaska",6.70%,*****
"Anderson County, Kansas",6.70%,± 1%
"Anderson County, Kentucky",5.80%,± 0.7%
"Anderson County, South Carolina",5.60%,± 0.1%
"Anderson County, Tennessee",5.20%,± 0.1%
"Anderson County, Texas",5.10%,± 0.1%
"Andrew County, Missouri",5.70%,± 0.4%
"Andrews County, Texas",8.20%,± 0.1%
"Androscoggin County, Maine",5.50%,± 0.1%
"Angelina County, Texas",6.50%,± 0.1%
"Anne Arundel County, Maryland",6%,± 0.1%
"Anoka County, Minnesota",6%,± 0.1%
"Anson County, North Carolina",5%,± 0.1%
"Antelope County, Nebraska",6.70%,± 0.2%
"Antrim County, Michigan",3.90%,± 0.2%
"Apache County, Arizona",6.20%,± 0.1%
"Appanoose County, Iowa",4.90%,± 0.2%
"Appling County, Georgia",6.20%,± 0.8%
"Appomattox County, Virginia",6.20%,± 0.3%
"Aransas County, Texas",4.40%,± 0.1%
"Arapahoe County, Colorado",5.80%,± 0.1%
"Archer County, Texas",5.10%,± 0.3%
"Archuleta County, Colorado",4.20%,± 0.7%
"Arecibo Municipio, Puerto Rico",3.50%,*****
"Arenac County, Michigan",4.50%,± 0.2%
"Arkansas County, Arkansas",6.20%,± 0.1%
"Arlington County, Virginia",5.40%,± 0.1%
"Armstrong County, Pennsylvania",4.60%,± 0.1%
"Armstrong County, Texas",6.10%,± 1.3%
"Aroostook County, Maine",4.80%,± 0.1%
"Arroyo Municipio, Puerto Rico",3.80%,*****
"Arthur County, Nebraska",6.60%,± 2.6%
"Ascension Parish, Louisiana",6.80%,± 0.1%
"Ashe County, North Carolina",3.90%,± 0.2%
"Ashland County, Ohio",5.40%,± 0.1%
"Ashland County, Wisconsin",5.40%,± 0.4%
"Ashley County, Arkansas",6%,± 0.3%
"Ashtabula County, Ohio",5.60%,± 0.1%
"Asotin County, Washington",5.50%,± 0.3%
"Assumption Parish, Louisiana",5.30%,± 0.8%
"Atascosa County, Texas",6.90%,± 0.1%
"Atchison County, Kansas",5.20%,± 0.1%
"Atchison County, Missouri",4.80%,± 0.2%
"Athens County, Ohio",3.90%,± 0.2%
"Atkinson County, Georgia",6.20%,± 0.7%
"Atlantic County, New Jersey",5.30%,± 0.1%
"Atoka County, Oklahoma",5%,± 0.1%
"Attala County, Mississippi",6.10%,± 0.1%
"Audrain County, Missouri",6.20%,± 0.3%
"Audubon County, Iowa",6.60%,± 0.5%
"Auglaize County, Ohio",6.10%,± 0.1%
"Augusta County, Virginia",4.50%,± 0.1%
"Aurora County, South Dakota",6.80%,± 1.4%
"Austin County, Texas",5.40%,± 0.3%
"Autauga County, Alabama",5.70%,± 0.1%
"Avery County, North Carolina",3.60%,± 0.3%
"Avoyelles Parish, Louisiana",6.50%,± 0.1%
"Baca County, Colorado",4.80%,± 0.5%
"Bacon County, Georgia",7%,± 1.3%
"Bailey County, Texas",8.10%,± 1.9%
"Baker County, Florida",6%,± 0.7%
"Baker County, Georgia",2.90%,± 1.5%
"Baker County, Oregon",4.80%,± 0.3%
"Baldwin County, Alabama",5.20%,± 0.1%
"Baldwin County, Georgia",4.70%,± 0.2%
"Ballard County, Kentucky",4.40%,± 0.4%
"Baltimore city, Maryland",6.10%,± 0.1%
"Baltimore County, Maryland",5.70%,± 0.1%
"Bamberg County, South Carolina",4.60%,± 0.1%
"Bandera County, Texas",3.50%,± 0.6%
"Banks County, Georgia",5%,± 0.2%
"Banner County, Nebraska",9.10%,± 3.1%
"Bannock County, Idaho",6.40%,± 0.1%
"Baraga County, Michigan",4.20%,± 0.4%
"Barber County, Kansas",5.90%,± 0.7%
"Barbour County, Alabama",5.20%,± 0.1%
"Barbour County, West Virginia",4.80%,± 0.1%
"Barceloneta Municipio, Puerto Rico",3.60%,*****
"Barnes County, North Dakota",4.50%,± 0.3%
"Barnstable County, Massachusetts",3.50%,± 0.1%
"Barnwell County, South Carolina",6.70%,± 0.3%
"Barranquitas Municipio, Puerto Rico",4.20%,*****
"Barren County, Kentucky",6%,± 0.2%
"Barron County, Wisconsin",5.20%,± 0.2%
"Barrow County, Georgia",6.40%,± 0.1%
"Barry County, Michigan",5.30%,± 0.1%
"Barry County, Missouri",5.70%,± 0.1%
"Bartholomew County, Indiana",6.30%,± 0.1%
"Barton County, Kansas",6.30%,± 0.2%
"Barton County, Missouri",5.90%,± 0.3%
"Bartow County, Georgia",6.20%,± 0.1%
"Bastrop County, Texas",6.50%,± 0.1%
"Bates County, Missouri",6.30%,± 0.3%
"Bath County, Kentucky",6.60%,± 0.1%
"Bath County, Virginia",5%,± 3.2%
"Baxter County, Arkansas",4.20%,± 0.1%
"Bay County, Florida",5.60%,± 0.1%
"Bay County, Michigan",4.80%,± 0.1%
"Bayamón Municipio, Puerto Rico",3.50%,*****
"Bayfield County, Wisconsin",4.20%,± 0.2%
"Baylor County, Texas",4.70%,± 1.7%
"Beadle County, South Dakota",8.10%,± 0.8%
"Bear Lake County, Idaho",6.20%,± 0.1%
"Beaufort County, North Carolina",4.70%,± 0.1%
"Beaufort County, South Carolina",4.80%,± 0.1%
"Beauregard Parish, Louisiana",6.70%,± 0.1%
"Beaver County, Oklahoma",5.80%,± 0.3%
"Beaver County, Pennsylvania",4.90%,± 0.1%
"Beaver County, Utah",8%,± 0.8%
"Beaverhead County, Montana",4.40%,± 0.6%
"Becker County, Minnesota",6%,± 0.1%
"Beckham County, Oklahoma",6.40%,*****
"Bedford County, Pennsylvania",5%,± 0.1%
"Bedford County, Tennessee",6.50%,± 0.1%
"Bedford County, Virginia",4.40%,± 0.1%
"Bee County, Texas",5.10%,± 0.1%
"Belknap County, New Hampshire",4.10%,± 0.2%
"Bell County, Kentucky",6%,± 0.4%
"Bell County, Texas",7.90%,± 0.1%
"Belmont County, Ohio",4.60%,± 0.1%
"Beltrami County, Minnesota",6.60%,± 0.2%
"Ben Hill County, Georgia",6%,± 0.6%
"Benewah County, Idaho",5.40%,± 0.4%
"Bennett County, South Dakota",7.60%,± 1.7%
"Bennington County, Vermont",4.40%,± 0.1%
"Benson County, North Dakota",10.30%,*****
"Bent County, Colorado",4.10%,± 0.7%
"Benton County, Arkansas",6.70%,*****
"Benton County, Indiana",6.30%,± 0.2%
"Benton County, Iowa",5.90%,± 0.1%
"Benton County, Minnesota",6.30%,± 0.2%
"Benton County, Mississippi",4.30%,± 0.9%
"Benton County, Missouri",4.20%,± 0.2%
"Benton County, Oregon",3.70%,± 0.1%
"Benton County, Tennessee",4.60%,± 0.2%
"Benton County, Washington",6.60%,± 0.1%
"Benzie County, Michigan",4.30%,± 0.3%
"Bergen County, New Jersey",5.10%,± 0.1%
"Berkeley County, South Carolina",6.20%,± 0.1%
"Berkeley County, West Virginia",6.10%,± 0.1%
"Berks County, Pennsylvania",5.50%,± 0.1%
"Berkshire County, Massachusetts",4%,± 0.1%
"Bernalillo County, New Mexico",5.20%,± 0.1%
"Berrien County, Georgia",6.30%,± 0.2%
"Berrien County, Michigan",5.40%,*****
"Bertie County, North Carolina",4.20%,± 0.1%
"Bethel Census Area, Alaska",10.60%,± 0.4%
"Bexar County, Texas",6.60%,± 0.1%
"Bibb County, Alabama",5.20%,± 0.9%
"Bibb County, Georgia",6.50%,± 0.1%
"Bienville Parish, Louisiana",5.90%,± 0.1%
"Big Horn County, Montana",7.90%,± 0.4%
"Big Horn County, Wyoming",5.60%,± 0.2%
"Big Stone County, Minnesota",5.80%,± 0.2%
"Billings County, North Dakota",6.90%,± 2.4%
"Bingham County, Idaho",7.10%,± 0.1%
"Black Hawk County, Iowa",6.10%,± 0.1%
"Blackford County, Indiana",5.20%,± 0.1%
"Bladen County, North Carolina",4.60%,± 0.2%
"Blaine County, Idaho",3.20%,± 0.5%
"Blaine County, Montana",7.70%,± 0.2%
"Blaine County, Nebraska",4.40%,± 2.6%
"Blaine County, Oklahoma",4.90%,± 0.5%
"Blair County, Pennsylvania",5%,± 0.1%
"Blanco County, Texas",3.70%,± 0.6%
"Bland County, Virginia",4.20%,± 0.8%
"Bleckley County, Georgia",5%,± 0.2%
"Bledsoe County, Tennessee",4.30%,± 0.8%
"Blount County, Alabama",5.80%,± 0.1%
"Blount County, Tennessee",4.80%,± 0.1%
"Blue Earth County, Minnesota",5.20%,± 0.1%
"Boise County, Idaho",3.60%,± 0.3%
"Bolivar County, Mississippi",6.40%,± 0.2%
"Bollinger County, Missouri",5.30%,± 0.2%
"Bon Homme County, South Dakota",4.70%,± 0.1%
"Bond County, Illinois",3.80%,± 0.2%
"Bonner County, Idaho",4.60%,± 0.1%
"Bonneville County, Idaho",7.70%,± 0.1%
"Boone County, Arkansas",5.60%,± 0.1%
"Boone County, Illinois",5.20%,± 0.2%
"Boone County, Indiana",6.20%,± 0.1%
"Boone County, Iowa",5.10%,± 0.2%
"Boone County, Kentucky",6.40%,± 0.1%
"Boone County, Missouri",5.50%,± 0.1%
"Boone County, Nebraska",5.90%,± 0.1%
"Boone County, West Virginia",4.90%,± 0.1%
"Borden County, Texas",8.70%,± 4.1%
"Bosque County, Texas",5.10%,± 0.2%
"Bossier Parish, Louisiana",6.50%,± 0.1%
"Botetourt County, Virginia",4.10%,± 0.2%
"Bottineau County, North Dakota",5.30%,± 0.4%
"Boulder County, Colorado",4.10%,± 0.1%
"Boundary County, Idaho",6.60%,± 0.5%
"Bourbon County, Kansas",6.30%,± 0.3%
"Bourbon County, Kentucky",5.80%,± 0.9%
"Bowie County, Texas",6.10%,± 0.1%
"Bowman County, North Dakota",6.10%,± 0.8%
"Box Butte County, Nebraska",5.70%,± 0.3%
"Box Elder County, Utah",7.50%,± 0.1%
"Boyd County, Kentucky",5.60%,± 0.3%
"Boyd County, Nebraska",3.90%,± 1.2%
"Boyle County, Kentucky",4.80%,± 0.3%
"Bracken County, Kentucky",5.90%,± 0.3%
"Bradford County, Florida",5%,± 0.7%
"Bradford County, Pennsylvania",5.70%,± 0.1%
"Bradley County, Arkansas",6.20%,± 1.2%
"Bradley County, Tennessee",5.60%,± 0.1%
"Branch County, Michigan",6.10%,± 0.1%
"Brantley County, Georgia",5.90%,± 1%
"Braxton County, West Virginia",4.30%,± 0.1%
"Brazoria County, Texas",6.50%,± 0.1%
"Brazos County, Texas",5.60%,± 0.1%
"Breathitt County, Kentucky",5.70%,± 0.3%
"Breckinridge County, Kentucky",5.60%,± 0.2%
"Bremer County, Iowa",5.60%,± 0.1%
"Brevard County, Florida",4.40%,± 0.1%
"Brewster County, Texas",4.70%,± 2.6%
"Briscoe County, Texas",4.30%,± 3.1%
"Bristol Bay Borough, Alaska",7.70%,± 2.4%
"Bristol city, Virginia",5.10%,± 0.6%
"Bristol County, Massachusetts",5.10%,± 0.1%
"Bristol County, Rhode Island",3.90%,± 0.3%
"Broadwater County, Montana",4.50%,± 0.4%
"Bronx County, New York",6.90%,± 0.1%
"Brooke County, West Virginia",4.30%,± 0.2%
"Brookings County, South Dakota",5.70%,± 0.3%
"Brooks County, Georgia",5.50%,± 0.8%
"Brooks County, Texas",2.80%,± 1.4%
"Broome County, New York",4.90%,± 0.1%
"Broomfield County, Colorado",4.70%,± 0.1%
"Broward County, Florida",5.50%,± 0.1%
"Brown County, Illinois",4.70%,± 0.2%
"Brown County, Indiana",4.10%,± 0.4%
"Brown County, Kansas",6.10%,± 0.1%
"Brown County, Minnesota",5.30%,± 0.1%
"Brown County, Nebraska",7.70%,± 1.4%
"Brown County, Ohio",5.70%,± 0.1%
"Brown County, South Dakota",6%,± 0.4%
"Brown County, Texas",5.10%,± 0.1%
"Brown County, Wisconsin",5.90%,*****
"Brule County, South Dakota",5.70%,± 0.7%
"Brunswick County, North Carolina",3.70%,± 0.1%
"Brunswick County, Virginia",4.10%,± 0.1%
"Bryan County, Georgia",7.20%,± 0.4%
"Bryan County, Oklahoma",6.40%,± 0.1%
"Buchanan County, Iowa",6.40%,± 0.1%
"Buchanan County, Missouri",6.10%,± 0.1%
"Buchanan County, Virginia",4.10%,± 0.1%
"Buckingham County, Virginia",4.70%,± 0.4%
"Bucks County, Pennsylvania",4.70%,± 0.1%
"Buena Vista city, Virginia",4.90%,± 0.1%
"Buena Vista County, Iowa",7%,± 0.1%
"Buffalo County, Nebraska",6.10%,± 0.1%
"Buffalo County, South Dakota",12.60%,± 2.7%
"Buffalo County, Wisconsin",4.90%,± 0.1%
"Bullitt County, Kentucky",5%,± 0.2%
"Bulloch County, Georgia",5.70%,± 0.1%
"Bullock County, Alabama",5.40%,± 0.9%
"Buncombe County, North Carolina",4.60%,± 0.1%
"Bureau County, Illinois",5%,± 0.1%
"Burke County, Georgia",6.10%,± 0.2%
"Burke County, North Carolina",4.70%,± 0.1%
"Burke County, North Dakota",5.60%,± 1.6%
"Burleigh County, North Dakota",6.30%,± 0.1%
"Burleson County, Texas",5.60%,± 0.6%
"Burlington County, New Jersey",5%,*****
"Burnet County, Texas",4.90%,± 0.1%
"Burnett County, Wisconsin",3.70%,± 0.1%
"Burt County, Nebraska",5.20%,± 0.2%
"Butler County, Alabama",5.60%,± 0.2%
"Butler County, Iowa",5.20%,± 0.3%
"Butler County, Kansas",5.70%,± 0.1%
"Butler County, Kentucky",5.80%,± 0.1%
"Butler County, Missouri",6.40%,± 0.3%
"Butler County, Nebraska",5.60%,± 0.4%
"Butler County, Ohio",5.80%,± 0.1%
"Butler County, Pennsylvania",4.90%,*****
"Butte County, California",5.30%,± 0.1%
"Butte County, Idaho",4.30%,± 1.8%
"Butte County, South Dakota",6%,± 0.4%
"Butts County, Georgia",4.30%,± 0.5%
"Cabarrus County, North Carolina",6.10%,± 0.1%
"Cabell County, West Virginia",5.30%,± 0.1%
"Cabo Rojo Municipio, Puerto Rico",2.80%,*****
"Cache County, Utah",7.80%,± 0.1%
"Caddo County, Oklahoma",6%,± 0.1%
"Caddo Parish, Louisiana",6.30%,± 0.1%
"Caguas Municipio, Puerto Rico",3.30%,*****
"Calaveras County, California",4.10%,± 0.2%
"Calcasieu Parish, Louisiana",6.90%,± 0.1%
"Caldwell County, Kentucky",5.60%,± 0.3%
"Caldwell County, Missouri",5.60%,± 0.3%
"Caldwell County, North Carolina",4.90%,± 0.1%
"Caldwell County, Texas",6.20%,± 0.2%
"Caldwell Parish, Louisiana",5.70%,± 0.8%
"Caledonia County, Vermont",4.40%,± 0.2%
"Calhoun County, Alabama",5.60%,± 0.1%
"Calhoun County, Arkansas",3.90%,± 0.7%
"Calhoun County, Florida",4.20%,± 0.4%
"Calhoun County, Georgia",3.80%,± 0.6%
"Calhoun County, Illinois",4.60%,± 0.3%
"Calhoun County, Iowa",5.60%,± 0.2%
"Calhoun County, Michigan",5.80%,*****
"Calhoun County, Mississippi",5%,± 0.3%
"Calhoun County, South Carolina",4.50%,± 0.2%
"Calhoun County, Texas",6.20%,± 0.2%
"Calhoun County, West Virginia",4.20%,± 0.1%
"Callahan County, Texas",5.20%,± 0.5%
"Callaway County, Missouri",5.40%,± 0.2%
"Calloway County, Kentucky",4.50%,± 0.2%
"Calumet County, Wisconsin",5%,± 0.1%
"Calvert County, Maryland",5.10%,± 0.1%
"Camas County, Idaho",6.60%,± 2.6%
"Cambria County, Pennsylvania",4.70%,± 0.1%
"Camden County, Georgia",6.70%,± 0.1%
"Camden County, Missouri",4.30%,± 0.2%
"Camden County, New Jersey",5.90%,± 0.1%
"Camden County, North Carolina",5.50%,± 1.1%
"Cameron County, Pennsylvania",4.40%,± 0.4%
"Cameron County, Texas",7.40%,± 0.1%
"Cameron Parish, Louisiana",6.10%,± 1%
"Camp County, Texas",6.50%,± 1.5%
"Campbell County, Kentucky",5.60%,± 0.1%
"Campbell County, South Dakota",5.60%,± 1.1%
"Campbell County, Tennessee",5.60%,± 0.2%
"Campbell County, Virginia",5.10%,± 0.2%
"Campbell County, Wyoming",6.90%,± 0.6%
"Camuy Municipio, Puerto Rico",3.40%,*****
"Canadian County, Oklahoma",6.50%,± 0.1%
"Candler County, Georgia",6.60%,± 1.8%
"Cannon County, Tennessee",5.60%,± 0.3%
"Canóvanas Municipio, Puerto Rico",3.60%,*****
"Canyon County, Idaho",6.90%,± 0.1%
"Cape Girardeau County, Missouri",5.70%,± 0.1%
"Cape May County, New Jersey",4.30%,± 0.1%
"Capitol Planning Region, Connecticut",5.20%,± 0.1%
"Carbon County, Montana",3.50%,± 0.1%
"Carbon County, Pennsylvania",4.60%,± 0.1%
"Carbon County, Utah",6.20%,± 0.3%
"Carbon County, Wyoming",5.30%,± 0.6%
"Caribou County, Idaho",6.20%,± 0.2%
"Carlisle County, Kentucky",6.10%,± 0.2%
"Carlton County, Minnesota",5.10%,± 0.1%
"Carolina Municipio, Puerto Rico",3.40%,*****
"Caroline County, Maryland",6.10%,± 0.1%
"Caroline County, Virginia",5.90%,± 0.1%
"Carroll County, Arkansas",5.20%,± 0.2%
"Carroll County, Georgia",6.20%,± 0.1%
"Carroll County, Illinois",4.60%,± 0.1%
"Carroll County, Indiana",5.40%,± 0.2%
"Carroll County, Iowa",5.80%,± 0.3%
"Carroll County, Kentucky",6.70%,± 0.6%
"Carroll County, Maryland",5.40%,± 0.1%
"Carroll County, Mississippi",4.10%,*****
"Carroll County, Missouri",5.10%,± 0.4%
"Carroll County, New Hampshire",3.40%,± 0.1%
"Carroll County, Ohio",5%,± 0.1%
"Carroll County, Tennessee",5.20%,± 0.2%
"Carroll County, Virginia",4.20%,± 0.3%
"Carson City, Nevada",5.20%,± 0.1%
"Carson County, Texas",6.50%,± 1.1%
"Carter County, Kentucky",5.80%,± 0.4%
"Carter County, Missouri",6.10%,± 0.9%
"Carter County, Montana",4.70%,± 1.8%
"Carter County, Oklahoma",6.70%,± 0.1%
"Carter County, Tennessee",4.30%,± 0.3%
"Carteret County, North Carolina",3.80%,± 0.1%
"Carver County, Minnesota",6.10%,± 0.1%
"Cascade County, Montana",6.10%,± 0.1%
"Casey County, Kentucky",6.50%,± 0.5%
"Cass County, Illinois",5.20%,± 0.6%
"Cass County, Indiana",5.70%,± 0.2%
"Cass County, Iowa",5%,± 0.2%
"Cass County, Michigan",4.70%,± 0.1%
"Cass County, Minnesota",4.90%,± 0.1%
"Cass County, Missouri",5.80%,± 0.1%
"Cass County, Nebraska",5.60%,± 0.2%
"Cass County, North Dakota",6.50%,*****
"Cass County, Texas",5.60%,± 0.1%
"Cassia County, Idaho",7.80%,± 0.1%
"Castro County, Texas",7.80%,± 0.8%
"Caswell County, North Carolina",4.30%,± 0.3%
"Catahoula Parish, Louisiana",5.60%,*****
"Cataño Municipio, Puerto Rico",3.60%,*****
"Catawba County, North Carolina",5.40%,± 0.1%
"Catoosa County, Georgia",5.20%,± 0.3%
"Catron County, New Mexico",0.20%,± 0.3%
"Cattaraugus County, New York",5.50%,± 0.1%
"Cavalier County, North Dakota",7.20%,± 0.9%
"Cayey Municipio, Puerto Rico",3.40%,*****
"Cayuga County, New York",4.90%,± 0.1%
"Cecil County, Maryland",5.60%,± 0.1%
"Cedar County, Iowa",4.90%,± 0.3%
"Cedar County, Missouri",6.40%,± 0.4%
"Cedar County, Nebraska",6.50%,± 0.2%
"Ceiba Municipio, Puerto Rico",2.80%,*****
"Centre County, Pennsylvania",3.60%,± 0.1%
"Cerro Gordo County, Iowa",5.10%,± 0.2%
"Chaffee County, Colorado",3.90%,± 0.6%
"Chambers County, Alabama",6%,± 0.1%
"Chambers County, Texas",6.60%,± 0.4%
"Champaign County, Illinois",5.20%,± 0.1%
"Champaign County, Ohio",5.30%,± 0.2%
"Chariton County, Missouri",5.80%,± 0.3%
"Charles City County, Virginia",3.90%,± 0.2%
"Charles County, Maryland",5.80%,± 0.1%
"Charles Mix County, South Dakota",8.60%,± 0.6%
"Charleston County, South Carolina",5.60%,± 0.1%
"Charlevoix County, Michigan",4.10%,± 0.1%
"Charlotte County, Florida",2.80%,± 0.1%
"Charlotte County, Virginia",5.30%,± 0.3%
"Charlottesville city, Virginia",5.20%,± 0.3%
"Charlton County, Georgia",4.60%,± 0.6%
"Chase County, Kansas",4.70%,± 0.5%
"Chase County, Nebraska",6%,± 1.3%
"Chatham County, Georgia",5.90%,± 0.1%
"Chatham County, North Carolina",4.50%,± 0.1%
"Chattahoochee County, Georgia",8.30%,± 0.1%
"Chattooga County, Georgia",6.10%,± 0.3%
"Chautauqua County, Kansas",6.10%,± 0.4%
"Chautauqua County, New York",5.20%,± 0.1%
"Chaves County, New Mexico",6.20%,± 0.1%
"Cheatham County, Tennessee",5.50%,± 0.2%
"Cheboygan County, Michigan",3.90%,± 0.2%
"Chelan County, Washington",5.70%,± 0.1%
"Chemung County, New York",5.20%,± 0.1%
"Chenango County, New York",5.10%,± 0.1%
"Cherokee County, Alabama",4.60%,± 0.2%
"Cherokee County, Georgia",5.50%,± 0.1%
"Cherokee County, Iowa",5.20%,± 0.5%
"Cherokee County, Kansas",6.40%,± 0.7%
"Cherokee County, North Carolina",3.70%,± 0.3%
"Cherokee County, Oklahoma",5.60%,± 0.1%
"Cherokee County, South Carolina",6%,± 0.2%
"Cherokee County, Texas",6.90%,± 0.1%
"Cherry County, Nebraska",6.90%,± 1.6%
"Chesapeake city, Virginia",6.10%,± 0.1%
"Cheshire County, New Hampshire",4.50%,± 0.1%
"Chester County, Pennsylvania",5.30%,± 0.1%
"Chester County, South Carolina",5.50%,± 0.1%
"Chester County, Tennessee",5.30%,± 0.3%
"Chesterfield County, South Carolina",5.50%,± 0.1%
"Chesterfield County, Virginia",5.80%,± 0.1%
"Cheyenne County, Colorado",6.80%,± 3.4%
"Cheyenne County, Kansas",5.80%,± 0.2%
"Cheyenne County, Nebraska",6.10%,± 0.4%
"Chickasaw County, Iowa",6.50%,± 0.3%
"Chickasaw County, Mississippi",7.50%,± 0.4%
"Chicot County, Arkansas",5.60%,± 0.4%
"Childress County, Texas",5.50%,± 1.5%
"Chilton County, Alabama",6%,± 0.1%
"Chippewa County, Michigan",4.60%,± 0.2%
"Chippewa County, Minnesota",6.40%,± 0.5%
"Chippewa County, Wisconsin",5.30%,± 0.1%
"Chisago County, Minnesota",5.60%,± 0.2%
"Chittenden County, Vermont",4.30%,± 0.1%
"Choctaw County, Alabama",5.40%,± 0.2%
"Choctaw County, Mississippi",4.40%,± 0.7%
"Choctaw County, Oklahoma",6.80%,± 0.1%
"Chouteau County, Montana",6.20%,± 0.9%
"Chowan County, North Carolina",4.40%,± 1.5%
"Christian County, Illinois",5.70%,± 0.5%
"Christian County, Kentucky",9.50%,± 0.1%
"Christian County, Missouri",6.10%,± 0.1%
"Chugach Census Area, Alaska",5.90%,± 1.2%
"Churchill County, Nevada",6.30%,± 0.5%
"Ciales Municipio, Puerto Rico",3.70%,*****
"Cibola County, New Mexico",6.30%,± 0.2%
"Cidra Municipio, Puerto Rico",3.60%,*****
"Cimarron County, Oklahoma",5.90%,± 1.6%
"Citrus County, Florida",3.40%,± 0.1%
"Clackamas County, Oregon",5%,± 0.1%
"Claiborne County, Mississippi",6.10%,± 0.4%
"Claiborne County, Tennessee",5.40%,± 0.2%
"Claiborne Parish, Louisiana",4.70%,± 0.1%
"Clallam County, Washington",4.10%,± 0.1%
"Clare County, Michigan",4.80%,± 0.1%
"Clarendon County, South Carolina",4.40%,± 0.1%
"Clarion County, Pennsylvania",5%,± 0.1%
"Clark County, Arkansas",5%,± 0.3%
"Clark County, Idaho",6.60%,± 3.8%
"Clark County, Illinois",5.80%,± 0.2%
"Clark County, Indiana",5.90%,± 0.1%
"Clark County, Kansas",7.60%,± 1.8%
"Clark County, Kentucky",5.70%,± 0.5%
"Clark County, Missouri",6.20%,± 0.4%
"Clark County, Nevada",5.90%,*****
"Clark County, Ohio",5.80%,± 0.1%
"Clark County, South Dakota",8.90%,± 0.3%
"Clark County, Washington",5.70%,*****
"Clark County, Wisconsin",8%,± 0.1%
"Clarke County, Alabama",6.20%,± 0.6%
"Clarke County, Georgia",4.90%,*****
"Clarke County, Iowa",7.60%,± 1.8%
"Clarke County, Mississippi",5.90%,± 0.1%
"Clarke County, Virginia",3.60%,± 0.3%
"Clatsop County, Oregon",4.80%,± 0.2%
"Clay County, Alabama",5.20%,± 0.2%
"Clay County, Arkansas",5.20%,± 0.2%
"Clay County, Florida",5.30%,± 0.1%
"Clay County, Georgia",6.20%,± 3.2%
"Clay County, Illinois",5.50%,± 0.3%
"Clay County, Indiana",6.10%,± 0.4%
"Clay County, Iowa",6%,± 0.4%
"Clay County, Kansas",6%,± 0.4%
"Clay County, Kentucky",6.10%,± 0.5%
"Clay County, Minnesota",6.70%,± 0.1%
"Clay County, Mississippi",5.80%,± 0.1%
"Clay County, Missouri",6.10%,± 0.1%
"Clay County, Nebraska",6.50%,± 0.2%
