Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Amelia County, Virginia",2.60%,± 1.8%
"Amherst County, Virginia",5.40%,± 1.4%
"Amite County, Mississippi",7.60%,± 2.8%
"Añasco Municipio, Puerto Rico",10.60%,± 2.6%
"Anchorage Municipality, Alaska",5.70%,± 0.5%
"Anderson County, Kansas",6.20%,± 3%
"Anderson County, Kentucky",1.90%,± 0.8%
"Anderson County, South Carolina",5.90%,± 0.8%
"Anderson County, Tennessee",5.40%,± 1.2%
"Anderson County, Texas",6.50%,± 2.2%
"Andrew County, Missouri",3.50%,± 1.7%
"Andrews County, Texas",1.60%,± 1.2%
"Androscoggin County, Maine",9%,± 1.2%
"Angelina County, Texas",5.60%,± 1.1%
"Anne Arundel County, Maryland",3.80%,± 0.4%
"Anoka County, Minnesota",4.70%,± 0.3%
"Anson County, North Carolina",7.10%,± 1.9%
"Antelope County, Nebraska",3.80%,± 1.1%
"Antrim County, Michigan",3.60%,± 0.8%
"Apache County, Arizona",12.70%,± 1.1%
"Appanoose County, Iowa",6.50%,± 2%
"Appling County, Georgia",7.40%,± 2.7%
"Appomattox County, Virginia",3.40%,± 1%
"Aransas County, Texas",5.10%,± 2.5%
"Arapahoe County, Colorado",5%,± 0.3%
"Archer County, Texas",2.50%,± 1.2%
"Archuleta County, Colorado",2.50%,± 1.4%
"Arecibo Municipio, Puerto Rico",13.10%,± 1.5%
"Arenac County, Michigan",7.30%,± 1.5%
"Arkansas County, Arkansas",9.70%,± 2.6%
"Arlington County, Virginia",14.10%,± 0.8%
"Armstrong County, Pennsylvania",7.20%,± 0.9%
"Armstrong County, Texas",0%,± 6.7%
"Aroostook County, Maine",8.60%,± 0.9%
"Arroyo Municipio, Puerto Rico",10.30%,± 3.2%
"Arthur County, Nebraska",3.40%,± 3.5%
"Ascension Parish, Louisiana",3.70%,± 0.9%
"Ashe County, North Carolina",4.20%,± 1.2%
"Ashland County, Ohio",6.90%,± 1.5%
"Ashland County, Wisconsin",6.10%,± 1.6%
"Ashley County, Arkansas",8.90%,± 2.3%
"Ashtabula County, Ohio",8.50%,± 1%
"Asotin County, Washington",3.30%,± 1.1%
"Assumption Parish, Louisiana",9%,± 2.8%
"Atascosa County, Texas",5.50%,± 1.8%
"Atchison County, Kansas",7%,± 2.4%
"Atchison County, Missouri",4.40%,± 1.4%
"Athens County, Ohio",6.70%,± 1.1%
"Atkinson County, Georgia",4.40%,± 2.3%
"Atlantic County, New Jersey",12%,± 0.8%
"Atoka County, Oklahoma",7%,± 1.7%
"Attala County, Mississippi",8.10%,± 2.4%
"Audrain County, Missouri",6.70%,± 1.4%
"Audubon County, Iowa",7.10%,± 2.7%
"Auglaize County, Ohio",3.60%,± 1%
"Augusta County, Virginia",4.50%,± 1.1%
"Aurora County, South Dakota",1.80%,± 0.9%
"Austin County, Texas",3.50%,± 1.2%
"Autauga County, Alabama",4%,± 1.1%
"Avery County, North Carolina",4.50%,± 1.8%
"Avoyelles Parish, Louisiana",9.90%,± 2%
"Baca County, Colorado",5.10%,± 2%
"Bacon County, Georgia",7.40%,± 3.2%
"Bailey County, Texas",13.20%,± 7.2%
"Baker County, Florida",4%,± 1.7%
"Baker County, Georgia",7.20%,± 4.3%
"Baker County, Oregon",4.80%,± 1.6%
"Baldwin County, Alabama",2.30%,± 0.4%
"Baldwin County, Georgia",6.80%,± 1.4%
"Ballard County, Kentucky",5.40%,± 2.2%
"Baltimore city, Maryland",26.50%,± 0.8%
"Baltimore County, Maryland",7.80%,± 0.4%
"Bamberg County, South Carolina",15.40%,± 4.8%
"Bandera County, Texas",1.50%,± 0.8%
"Banks County, Georgia",2.50%,± 0.8%
"Banner County, Nebraska",2.40%,± 2.4%
"Bannock County, Idaho",5%,± 0.9%
"Baraga County, Michigan",7.90%,± 2%
"Barber County, Kansas",6%,± 2.1%
"Barbour County, Alabama",11.70%,± 2.1%
"Barbour County, West Virginia",6.90%,± 2.1%
"Barceloneta Municipio, Puerto Rico",8.60%,± 2.1%
"Barnes County, North Dakota",5.60%,± 2.1%
"Barnstable County, Massachusetts",5%,± 0.6%
"Barnwell County, South Carolina",11.60%,± 3.2%
"Barranquitas Municipio, Puerto Rico",9.80%,± 2.6%
"Barren County, Kentucky",6.70%,± 1.6%
"Barron County, Wisconsin",5.20%,± 0.8%
"Barrow County, Georgia",3.40%,± 1%
"Barry County, Michigan",3.40%,± 0.9%
"Barry County, Missouri",3.50%,± 1.1%
"Bartholomew County, Indiana",5.50%,± 1.1%
"Barton County, Kansas",5.80%,± 1.5%
"Barton County, Missouri",7.80%,± 2.7%
"Bartow County, Georgia",3.10%,± 0.7%
"Bastrop County, Texas",2.90%,± 0.8%
"Bates County, Missouri",7.40%,± 2%
"Bath County, Kentucky",9.50%,± 3.1%
"Bath County, Virginia",0.90%,± 1.2%
"Baxter County, Arkansas",4.40%,± 1.1%
"Bay County, Florida",4%,± 0.6%
"Bay County, Michigan",6.90%,± 0.9%
"Bayamón Municipio, Puerto Rico",12.50%,± 0.8%
"Bayfield County, Wisconsin",3.70%,± 0.9%
"Baylor County, Texas",3.10%,± 2.6%
"Beadle County, South Dakota",7%,± 2%
"Bear Lake County, Idaho",3.70%,± 2%
"Beaufort County, North Carolina",5.80%,± 1.4%
"Beaufort County, South Carolina",3.50%,± 0.8%
"Beauregard Parish, Louisiana",5.40%,± 1.2%
"Beaver County, Oklahoma",2.50%,± 1.3%
"Beaver County, Pennsylvania",8.50%,± 0.7%
"Beaver County, Utah",2.70%,± 2.2%
"Beaverhead County, Montana",0.90%,± 1.1%
"Becker County, Minnesota",5.10%,± 0.9%
"Beckham County, Oklahoma",5.60%,± 2.1%
"Bedford County, Pennsylvania",5.80%,± 0.9%
"Bedford County, Tennessee",3.90%,± 1.2%
"Bedford County, Virginia",3.60%,± 1%
"Bee County, Texas",5%,± 1.7%
"Belknap County, New Hampshire",4%,± 1%
"Bell County, Kentucky",7.70%,± 2%
"Bell County, Texas",5.80%,± 0.5%
"Belmont County, Ohio",6.90%,± 0.9%
"Beltrami County, Minnesota",6.90%,± 1.3%
"Ben Hill County, Georgia",10%,± 2.9%
"Benewah County, Idaho",2.10%,± 1%
"Bennett County, South Dakota",9%,± 6%
"Bennington County, Vermont",8.50%,± 2.1%
"Benson County, North Dakota",9.20%,± 1.9%
"Bent County, Colorado",7.90%,± 3.9%
"Benton County, Arkansas",2.80%,± 0.4%
"Benton County, Indiana",3.40%,± 1.8%
"Benton County, Iowa",3.20%,± 1.1%
"Benton County, Minnesota",5.30%,± 1.2%
"Benton County, Mississippi",6.30%,± 2.7%
"Benton County, Missouri",6.20%,± 1.5%
"Benton County, Oregon",7.70%,± 0.9%
"Benton County, Tennessee",4.20%,± 1.7%
"Benton County, Washington",5.10%,± 0.6%
"Benzie County, Michigan",2.90%,± 0.6%
"Bergen County, New Jersey",8%,± 0.4%
"Berkeley County, South Carolina",3.40%,± 0.5%
"Berkeley County, West Virginia",5.50%,± 1.2%
"Berks County, Pennsylvania",8.70%,± 0.6%
"Berkshire County, Massachusetts",9.40%,± 1%
"Bernalillo County, New Mexico",7%,± 0.4%
"Berrien County, Georgia",3.80%,± 1.6%
"Berrien County, Michigan",7.80%,± 0.8%
"Bertie County, North Carolina",11.30%,± 3.3%
"Bethel Census Area, Alaska",61.90%,± 2.9%
"Bexar County, Texas",6.40%,± 0.2%
"Bibb County, Alabama",7.50%,± 3.5%
"Bibb County, Georgia",11.50%,± 1.3%
"Bienville Parish, Louisiana",12.90%,± 2.7%
"Big Horn County, Montana",6.50%,± 2.7%
"Big Horn County, Wyoming",3%,± 1.4%
"Big Stone County, Minnesota",4.70%,± 1.4%
"Billings County, North Dakota",3.80%,± 3.3%
"Bingham County, Idaho",4.10%,± 1.3%
"Black Hawk County, Iowa",7.30%,± 0.7%
"Blackford County, Indiana",9.70%,± 4%
"Bladen County, North Carolina",7.90%,± 2.2%
"Blaine County, Idaho",1.90%,± 1.2%
"Blaine County, Montana",9.20%,± 2.4%
"Blaine County, Nebraska",1.50%,± 1.6%
"Blaine County, Oklahoma",2.20%,± 1.2%
"Blair County, Pennsylvania",8.50%,± 0.9%
"Blanco County, Texas",1.80%,± 1.3%
"Bland County, Virginia",3.50%,± 1.8%
"Bleckley County, Georgia",4%,± 2.1%
"Bledsoe County, Tennessee",5.20%,± 2.1%
"Blount County, Alabama",4.80%,± 1.2%
"Blount County, Tennessee",3%,± 0.6%
"Blue Earth County, Minnesota",7%,± 1.3%
"Boise County, Idaho",2.90%,± 2.2%
"Bolivar County, Mississippi",10.80%,± 2.1%
"Bollinger County, Missouri",3.80%,± 1.6%
"Bon Homme County, South Dakota",4.10%,± 1.5%
"Bond County, Illinois",8.40%,± 2.7%
"Bonner County, Idaho",4.30%,± 1.1%
"Bonneville County, Idaho",4.10%,± 0.9%
"Boone County, Arkansas",5.50%,± 1.6%
"Boone County, Illinois",4.40%,± 1.1%
"Boone County, Indiana",2.10%,± 0.7%
"Boone County, Iowa",5.30%,± 1.8%
"Boone County, Kentucky",3.30%,± 0.6%
"Boone County, Missouri",6.10%,± 0.8%
"Boone County, Nebraska",3.60%,± 1.5%
"Boone County, West Virginia",8.10%,± 1.8%
"Borden County, Texas",1.40%,± 2.3%
"Bosque County, Texas",2.90%,± 1.1%
"Bossier Parish, Louisiana",6.10%,± 1%
"Botetourt County, Virginia",3.70%,± 1.2%
"Bottineau County, North Dakota",2.20%,± 1.1%
"Boulder County, Colorado",5.20%,± 0.5%
"Boundary County, Idaho",1.70%,± 0.9%
"Bourbon County, Kansas",3.70%,± 1.7%
"Bourbon County, Kentucky",5.10%,± 1.9%
"Bowie County, Texas",6.20%,± 0.9%
"Bowman County, North Dakota",1.60%,± 1.1%
"Box Butte County, Nebraska",5.40%,± 2.4%
"Box Elder County, Utah",4.20%,± 1.1%
"Boyd County, Kentucky",8.70%,± 1.7%
"Boyd County, Nebraska",1.40%,± 0.9%
"Boyle County, Kentucky",5.80%,± 1.5%
"Bracken County, Kentucky",2.60%,± 1.3%
"Bradford County, Florida",7%,± 2.3%
"Bradford County, Pennsylvania",7.50%,± 1.3%
"Bradley County, Arkansas",8.60%,± 2.5%
"Bradley County, Tennessee",4.70%,± 1%
"Branch County, Michigan",6.40%,± 0.9%
"Brantley County, Georgia",6.50%,± 2.8%
"Braxton County, West Virginia",8.20%,± 3.6%
"Brazoria County, Texas",2.70%,± 0.4%
"Brazos County, Texas",5.50%,± 0.7%
"Breathitt County, Kentucky",13.30%,± 3%
"Breckinridge County, Kentucky",4.90%,± 1.4%
"Bremer County, Iowa",2%,± 0.7%
"Brevard County, Florida",4.70%,± 0.3%
"Brewster County, Texas",6.10%,± 2.5%
"Briscoe County, Texas",4%,± 3.1%
"Bristol Bay Borough, Alaska",10.20%,± 3.9%
"Bristol city, Virginia",10.30%,± 2.8%
"Bristol County, Massachusetts",9.60%,± 0.5%
"Bristol County, Rhode Island",6.10%,± 1.4%
"Broadwater County, Montana",1.90%,± 1.3%
"Bronx County, New York",60.20%,± 0.6%
"Brooke County, West Virginia",7%,± 2%
"Brookings County, South Dakota",5.80%,± 1.8%
"Brooks County, Georgia",7.20%,± 2.4%
"Brooks County, Texas",15.50%,± 6%
"Broome County, New York",12.50%,± 0.9%
"Broomfield County, Colorado",3.60%,± 0.7%
"Broward County, Florida",6.90%,± 0.3%
"Brown County, Illinois",6.30%,± 2.4%
"Brown County, Indiana",3.50%,± 1.5%
"Brown County, Kansas",4.70%,± 1.5%
"Brown County, Minnesota",4.60%,± 1%
"Brown County, Nebraska",2.90%,± 2.1%
"Brown County, Ohio",5.90%,± 1.6%
"Brown County, South Dakota",6.30%,± 1.3%
"Brown County, Texas",5.70%,± 1.4%
"Brown County, Wisconsin",4.90%,± 0.7%
"Brule County, South Dakota",5%,± 2.7%
"Brunswick County, North Carolina",2.40%,± 0.6%
"Brunswick County, Virginia",7.60%,± 2.5%
"Bryan County, Georgia",3%,± 1.1%
"Bryan County, Oklahoma",5.20%,± 0.9%
"Buchanan County, Iowa",6.20%,± 1.7%
"Buchanan County, Missouri",8.80%,± 1.3%
"Buchanan County, Virginia",4.90%,± 1.7%
"Buckingham County, Virginia",6.40%,± 2.2%
"Bucks County, Pennsylvania",4.70%,± 0.3%
"Buena Vista city, Virginia",5%,± 3.1%
"Buena Vista County, Iowa",4.30%,± 2.3%
"Buffalo County, Nebraska",4.30%,± 1.2%
"Buffalo County, South Dakota",14.20%,± 5%
"Buffalo County, Wisconsin",3.70%,± 1.3%
"Bullitt County, Kentucky",4.20%,± 0.9%
"Bulloch County, Georgia",5.40%,± 1.2%
"Bullock County, Alabama",10.40%,± 3.8%
"Buncombe County, North Carolina",5.40%,± 0.6%
"Bureau County, Illinois",5.80%,± 1.4%
"Burke County, Georgia",10.20%,± 3.2%
"Burke County, North Carolina",4.60%,± 1%
"Burke County, North Dakota",1.30%,± 1.3%
"Burleigh County, North Dakota",5.70%,± 0.8%
"Burleson County, Texas",3.40%,± 1.4%
"Burlington County, New Jersey",4.80%,± 0.4%
"Burnet County, Texas",3.30%,± 1.2%
"Burnett County, Wisconsin",3.20%,± 0.7%
"Burt County, Nebraska",5.50%,± 2.1%
"Butler County, Alabama",5%,± 1.3%
"Butler County, Iowa",3.40%,± 1%
"Butler County, Kansas",3.60%,± 1%
"Butler County, Kentucky",6.80%,± 2%
"Butler County, Missouri",8.80%,± 2.1%
"Butler County, Nebraska",2.70%,± 1.4%
"Butler County, Ohio",4.90%,± 0.4%
"Butler County, Pennsylvania",5.80%,± 0.6%
"Butte County, California",6.10%,± 0.6%
"Butte County, Idaho",6%,± 4.5%
"Butte County, South Dakota",3.80%,± 1.8%
"Butts County, Georgia",3.50%,± 1.7%
"Cabarrus County, North Carolina",3.70%,± 0.6%
"Cabell County, West Virginia",10.30%,± 1.2%
"Cabo Rojo Municipio, Puerto Rico",10.90%,± 1.7%
"Cache County, Utah",3.30%,± 0.7%
"Caddo County, Oklahoma",8.10%,± 1.4%
"Caddo Parish, Louisiana",10.30%,± 0.9%
"Caguas Municipio, Puerto Rico",13%,± 1.1%
"Calaveras County, California",2.10%,± 0.8%
"Calcasieu Parish, Louisiana",6.20%,± 0.9%
"Caldwell County, Kentucky",7.90%,± 2.8%
"Caldwell County, Missouri",6.60%,± 2.1%
"Caldwell County, North Carolina",4.80%,± 1%
"Caldwell County, Texas",4.50%,± 1.6%
"Caldwell Parish, Louisiana",9.10%,± 4.1%
"Caledonia County, Vermont",7.50%,± 1.6%
"Calhoun County, Alabama",5.60%,± 0.9%
"Calhoun County, Arkansas",3.30%,± 2.5%
"Calhoun County, Florida",6.80%,± 2.8%
"Calhoun County, Georgia",7.70%,± 3.7%
"Calhoun County, Illinois",3.10%,± 1.6%
"Calhoun County, Iowa",3.10%,± 1%
"Calhoun County, Michigan",7.40%,± 0.8%
"Calhoun County, Mississippi",7.50%,± 1.6%
"Calhoun County, South Carolina",5.30%,± 2%
"Calhoun County, Texas",4.10%,± 2.2%
"Calhoun County, West Virginia",7.70%,± 3.2%
"Callahan County, Texas",3.40%,± 1.3%
"Callaway County, Missouri",4%,± 1.3%
"Calloway County, Kentucky",5.20%,± 1.3%
"Calumet County, Wisconsin",3.80%,± 1%
"Calvert County, Maryland",3.10%,± 0.8%
"Camas County, Idaho",1.50%,± 2.4%
"Cambria County, Pennsylvania",11.10%,± 0.7%
"Camden County, Georgia",5.90%,± 1.4%
"Camden County, Missouri",2.80%,± 0.9%
"Camden County, New Jersey",10.50%,± 0.6%
"Camden County, North Carolina",1.30%,± 1.3%
"Cameron County, Pennsylvania",10.20%,± 2.8%
"Cameron County, Texas",6.80%,± 0.6%
"Cameron Parish, Louisiana",1.50%,± 1.2%
"Camp County, Texas",5%,± 2%
"Campbell County, Kentucky",6.60%,± 0.9%
"Campbell County, South Dakota",4.50%,± 3%
"Campbell County, Tennessee",6.20%,± 1.2%
"Campbell County, Virginia",5.20%,± 0.9%
"Campbell County, Wyoming",3%,± 1%
"Camuy Municipio, Puerto Rico",10.70%,± 2.1%
"Canadian County, Oklahoma",3.30%,± 0.6%
"Candler County, Georgia",6%,± 3.2%
"Cannon County, Tennessee",4.90%,± 2.1%
"Canóvanas Municipio, Puerto Rico",9.70%,± 1.6%
"Canyon County, Idaho",3.30%,± 0.6%
"Cape Girardeau County, Missouri",5.80%,± 1.1%
"Cape May County, New Jersey",6.20%,± 1.1%
"Capitol Planning Region, Connecticut",9.50%,± 0.3%
"Carbon County, Montana",2.70%,± 1.4%
"Carbon County, Pennsylvania",5.60%,± 1.5%
"Carbon County, Utah",4.40%,± 1.4%
"Carbon County, Wyoming",3.60%,± 1.8%
"Caribou County, Idaho",3%,± 1.8%
"Carlisle County, Kentucky",2.60%,± 1.5%
"Carlton County, Minnesota",4.80%,± 1.2%
"Carolina Municipio, Puerto Rico",10.80%,± 1.2%
"Caroline County, Maryland",6.10%,± 1.3%
"Caroline County, Virginia",5%,± 1.5%
"Carroll County, Arkansas",5%,± 1.5%
"Carroll County, Georgia",4.30%,± 0.7%
"Carroll County, Illinois",4.20%,± 1.5%
"Carroll County, Indiana",3.90%,± 1.1%
"Carroll County, Iowa",6.50%,± 1.9%
"Carroll County, Kentucky",6%,± 3%
"Carroll County, Maryland",4%,± 0.6%
"Carroll County, Mississippi",5.10%,± 2.9%
"Carroll County, Missouri",6.10%,± 2.1%
"Carroll County, New Hampshire",3%,± 0.9%
"Carroll County, Ohio",7%,± 1.9%
"Carroll County, Tennessee",6.60%,± 2%
"Carroll County, Virginia",4.20%,± 1.5%
"Carson City, Nevada",6.30%,± 1%
"Carson County, Texas",2.80%,± 2.1%
"Carter County, Kentucky",7%,± 1.7%
"Carter County, Missouri",10.50%,± 4.4%
"Carter County, Montana",5.70%,± 3.4%
"Carter County, Oklahoma",5.10%,± 0.9%
"Carter County, Tennessee",5.90%,± 1%
"Carteret County, North Carolina",3.90%,± 0.6%
"Carver County, Minnesota",4%,± 0.8%
"Cascade County, Montana",5.70%,± 0.9%
"Casey County, Kentucky",8.10%,± 2.1%
"Cass County, Illinois",5.60%,± 1.8%
"Cass County, Indiana",5.50%,± 1.2%
"Cass County, Iowa",6.30%,± 1.6%
"Cass County, Michigan",4.10%,± 0.9%
"Cass County, Minnesota",4.50%,± 0.6%
"Cass County, Missouri",4%,± 0.9%
"Cass County, Nebraska",3.50%,± 1%
"Cass County, North Dakota",6%,± 0.8%
"Cass County, Texas",6.10%,± 1.6%
"Cassia County, Idaho",4%,± 1.3%
"Castro County, Texas",3.20%,± 2.5%
"Caswell County, North Carolina",4.70%,± 2%
"Catahoula Parish, Louisiana",10.30%,± 3.9%
"Cataño Municipio, Puerto Rico",23.20%,± 2.6%
"Catawba County, North Carolina",4.90%,± 0.8%
"Catoosa County, Georgia",4.20%,± 1.5%
"Catron County, New Mexico",5.70%,± 5%
"Cattaraugus County, New York",10.40%,± 1.1%
"Cavalier County, North Dakota",4.60%,± 2.6%
"Cayey Municipio, Puerto Rico",16.30%,± 1.8%
"Cayuga County, New York",10%,± 1.1%
"Cecil County, Maryland",5.20%,± 1%
"Cedar County, Iowa",3.30%,± 1.1%
"Cedar County, Missouri",7.20%,± 2.7%
"Cedar County, Nebraska",2.80%,± 0.9%
"Ceiba Municipio, Puerto Rico",12.70%,± 3.3%
"Centre County, Pennsylvania",10.20%,± 1%
"Cerro Gordo County, Iowa",5.80%,± 1%
"Chaffee County, Colorado",4%,± 1.9%
"Chambers County, Alabama",7%,± 1.4%
"Chambers County, Texas",2.50%,± 1.3%
"Champaign County, Illinois",11.80%,± 1%
"Champaign County, Ohio",4.90%,± 1.4%
"Chariton County, Missouri",4.60%,± 1.8%
"Charles City County, Virginia",6.40%,± 1.8%
"Charles County, Maryland",3.30%,± 0.6%
"Charles Mix County, South Dakota",5.30%,± 1.2%
"Charleston County, South Carolina",6.10%,± 0.4%
"Charlevoix County, Michigan",5.50%,± 1.1%
"Charlotte County, Florida",4.50%,± 0.6%
"Charlotte County, Virginia",8%,± 2.6%
"Charlottesville city, Virginia",11.80%,± 1.8%
"Charlton County, Georgia",5.60%,± 2.3%
"Chase County, Kansas",4.60%,± 2.7%
"Chase County, Nebraska",2.50%,± 2.1%
"Chatham County, Georgia",7.30%,± 0.7%
"Chatham County, North Carolina",3.10%,± 0.7%
"Chattahoochee County, Georgia",0.70%,± 1%
"Chattooga County, Georgia",5.60%,± 1.7%
"Chautauqua County, Kansas",3.40%,± 1.8%
"Chautauqua County, New York",11.80%,± 1%
"Chaves County, New Mexico",6%,± 1.1%
"Cheatham County, Tennessee",1.80%,± 0.7%
"Cheboygan County, Michigan",4.70%,± 1.4%
"Chelan County, Washington",5.30%,± 1%
"Chemung County, New York",10.20%,± 1.1%
"Chenango County, New York",8.40%,± 1.3%
"Cherokee County, Alabama",3.20%,± 1.1%
"Cherokee County, Georgia",2.20%,± 0.4%
"Cherokee County, Iowa",7.60%,± 2.6%
"Cherokee County, Kansas",7.40%,± 2%
"Cherokee County, North Carolina",4.30%,± 1.5%
"Cherokee County, Oklahoma",6.50%,± 1.4%
"Cherokee County, South Carolina",6.10%,± 1.2%
"Cherokee County, Texas",6.10%,± 1.2%
"Cherry County, Nebraska",6.40%,± 3.4%
"Chesapeake city, Virginia",4.40%,± 0.5%
"Cheshire County, New Hampshire",4.70%,± 0.8%
"Chester County, Pennsylvania",4.10%,± 0.3%
"Chester County, South Carolina",6.80%,± 1.6%
"Chester County, Tennessee",4%,± 1.7%
"Chesterfield County, South Carolina",9.30%,± 1.9%
"Chesterfield County, Virginia",3.10%,± 0.4%
"Cheyenne County, Colorado",0.80%,± 0.7%
"Cheyenne County, Kansas",2.70%,± 2.4%
"Cheyenne County, Nebraska",6%,± 2%
"Chickasaw County, Iowa",3.30%,± 1.3%
"Chickasaw County, Mississippi",9.50%,± 3.4%
"Chicot County, Arkansas",11.40%,± 2.9%
"Childress County, Texas",2.10%,± 3.1%
"Chilton County, Alabama",3.30%,± 1.1%
"Chippewa County, Michigan",7.70%,± 1.5%
"Chippewa County, Minnesota",7.40%,± 2.1%
"Chippewa County, Wisconsin",4.20%,± 1.1%
"Chisago County, Minnesota",4%,± 0.9%
"Chittenden County, Vermont",6.90%,± 0.8%
"Choctaw County, Alabama",5.70%,± 2.4%
"Choctaw County, Mississippi",5.80%,± 2.3%
"Choctaw County, Oklahoma",8.30%,± 1.5%
"Chouteau County, Montana",5.40%,± 2.1%
"Chowan County, North Carolina",10.20%,± 3.3%
"Christian County, Illinois",5%,± 1.3%
"Christian County, Kentucky",7.20%,± 1.3%
"Christian County, Missouri",2.50%,± 0.7%
"Chugach Census Area, Alaska",5.70%,± 2.3%
"Churchill County, Nevada",3.50%,± 1.3%
"Ciales Municipio, Puerto Rico",13.40%,± 3.4%
"Cibola County, New Mexico",5.50%,± 1.5%
"Cidra Municipio, Puerto Rico",11.50%,± 2%
"Cimarron County, Oklahoma",3.20%,± 2.5%
"Citrus County, Florida",4.70%,± 0.6%
"Clackamas County, Oregon",4.90%,± 0.5%
"Claiborne County, Mississippi",12%,± 4.8%
"Claiborne County, Tennessee",5.10%,± 1.4%
"Claiborne Parish, Louisiana",12.70%,± 3.1%
"Clallam County, Washington",6.20%,± 0.8%
"Clare County, Michigan",7.80%,± 1.2%
"Clarendon County, South Carolina",11.70%,± 2.3%
"Clarion County, Pennsylvania",6.60%,± 1%
"Clark County, Arkansas",6.30%,± 1.9%
"Clark County, Idaho",0%,± 13.5%
"Clark County, Illinois",5.10%,± 1.6%
"Clark County, Indiana",4.60%,± 0.8%
"Clark County, Kansas",4.10%,± 2.5%
"Clark County, Kentucky",6.60%,± 1.6%
"Clark County, Missouri",5.80%,± 2.4%
"Clark County, Nevada",7.70%,± 0.2%
"Clark County, Ohio",7.10%,± 0.8%
"Clark County, South Dakota",3.20%,± 1.8%
"Clark County, Washington",4.80%,± 0.4%
"Clark County, Wisconsin",9.40%,± 0.8%
"Clarke County, Alabama",10.60%,± 2.8%
"Clarke County, Georgia",6.60%,± 0.9%
"Clarke County, Iowa",9.70%,± 3.8%
"Clarke County, Mississippi",6.80%,± 2.4%
"Clarke County, Virginia",2%,± 1%
"Clatsop County, Oregon",8.60%,± 2%
"Clay County, Alabama",6.40%,± 1.9%
"Clay County, Arkansas",5.90%,± 1.8%
"Clay County, Florida",3.60%,± 0.7%
"Clay County, Georgia",8.30%,± 4.6%
"Clay County, Illinois",5.30%,± 2.3%
"Clay County, Indiana",3.30%,± 1.2%
"Clay County, Iowa",4%,± 1.5%
"Clay County, Kansas",7.40%,± 2.4%
"Clay County, Kentucky",12%,± 3.2%
"Clay County, Minnesota",8.40%,± 1.5%
"Clay County, Mississippi",8%,± 2.5%
"Clay County, Missouri",4.50%,± 0.7%
