Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Arlington County, Virginia",16.70%,± 1.9%
"Armstrong County, Pennsylvania",19.50%,± 2.5%
"Armstrong County, Texas",13.50%,± 10%
"Aroostook County, Maine",19.80%,± 3%
"Arroyo Municipio, Puerto Rico",11.20%,± 6.8%
"Arthur County, Nebraska",8.20%,± 9.8%
"Ascension Parish, Louisiana",19.80%,± 3.3%
"Ashe County, North Carolina",21.10%,± 5.9%
"Ashland County, Ohio",18.60%,± 4.4%
"Ashland County, Wisconsin",23.80%,± 6.1%
"Ashley County, Arkansas",20.60%,± 6.8%
"Ashtabula County, Ohio",20.40%,± 3.1%
"Asotin County, Washington",19.30%,± 5.7%
"Assumption Parish, Louisiana",20.80%,± 8.3%
"Atascosa County, Texas",23.30%,± 5%
"Atchison County, Kansas",17.70%,± 6.6%
"Atchison County, Missouri",14.70%,± 4.7%
"Athens County, Ohio",10.30%,± 2.8%
"Atkinson County, Georgia",17.60%,± 10.7%
"Atlantic County, New Jersey",21.40%,± 2.3%
"Atoka County, Oklahoma",25%,± 5.6%
"Attala County, Mississippi",19.40%,± 8.6%
"Audrain County, Missouri",21.20%,± 6.1%
"Audubon County, Iowa",27.50%,± 8.1%
"Auglaize County, Ohio",22.20%,± 3.9%
"Augusta County, Virginia",22.90%,± 4.3%
"Aurora County, South Dakota",20.60%,± 9.7%
"Austin County, Texas",20.20%,± 6.1%
"Autauga County, Alabama",19.80%,± 4.3%
"Avery County, North Carolina",25.40%,± 6.6%
"Avoyelles Parish, Louisiana",22.10%,± 4.5%
"Baca County, Colorado",23.30%,± 8.1%
"Bacon County, Georgia",21.90%,± 8%
"Bailey County, Texas",14.90%,± 12.1%
"Baker County, Florida",22.90%,± 7.4%
"Baker County, Georgia",21%,± 14.3%
"Baker County, Oregon",24.30%,± 8.6%
"Baldwin County, Alabama",17.30%,± 2.8%
"Baldwin County, Georgia",17.90%,± 5.6%
"Ballard County, Kentucky",24.10%,± 8.5%
"Baltimore city, Maryland",21.30%,± 1.8%
"Baltimore County, Maryland",21.10%,± 1.1%
"Bamberg County, South Carolina",24.50%,± 13.4%
"Bandera County, Texas",10.20%,± 5.3%
"Banks County, Georgia",11.30%,± 4.5%
"Banner County, Nebraska",21.20%,± 18.8%
"Bannock County, Idaho",21.60%,± 3.1%
"Baraga County, Michigan",26.60%,± 7.5%
"Barber County, Kansas",30.80%,± 10.1%
"Barbour County, Alabama",29.80%,± 8.2%
"Barbour County, West Virginia",11.20%,± 6.7%
"Barceloneta Municipio, Puerto Rico",10.30%,± 5.7%
"Barnes County, North Dakota",21.10%,± 8.7%
"Barnstable County, Massachusetts",16%,± 3.2%
"Barnwell County, South Carolina",28.90%,± 8.3%
"Barranquitas Municipio, Puerto Rico",14.30%,± 6.6%
"Barren County, Kentucky",19.30%,± 4.2%
"Barron County, Wisconsin",24.40%,± 3.6%
"Barrow County, Georgia",21.40%,± 3.1%
"Barry County, Michigan",22.20%,± 3.8%
"Barry County, Missouri",20.80%,± 5.8%
"Bartholomew County, Indiana",20%,± 3.4%
"Barton County, Kansas",20.40%,± 5.8%
"Barton County, Missouri",12.50%,± 4.5%
"Bartow County, Georgia",20.60%,± 3.7%
"Bastrop County, Texas",22.90%,± 4.3%
"Bates County, Missouri",24.20%,± 6.7%
"Bath County, Kentucky",27.50%,± 8.9%
"Bath County, Virginia",16.80%,± 15.4%
"Baxter County, Arkansas",16.30%,± 4.3%
"Bay County, Florida",18.40%,± 2.3%
"Bay County, Michigan",21%,± 3.2%
"Bayamón Municipio, Puerto Rico",17.60%,± 2.3%
"Bayfield County, Wisconsin",16%,± 3.5%
"Baylor County, Texas",14.30%,± 11.8%
"Beadle County, South Dakota",26.30%,± 5.6%
"Bear Lake County, Idaho",35.80%,± 8.1%
"Beaufort County, North Carolina",14.50%,± 5.7%
"Beaufort County, South Carolina",18.10%,± 2.9%
"Beauregard Parish, Louisiana",20.30%,± 5.5%
"Beaver County, Oklahoma",19%,± 7.7%
"Beaver County, Pennsylvania",19.70%,± 2.3%
"Beaver County, Utah",30.80%,± 10.5%
"Beaverhead County, Montana",11.10%,± 6.8%
"Becker County, Minnesota",26.40%,± 3.7%
"Beckham County, Oklahoma",26.90%,± 8.9%
"Bedford County, Pennsylvania",19%,± 2.9%
"Bedford County, Tennessee",23.40%,± 6.2%
"Bedford County, Virginia",20.40%,± 4.2%
"Bee County, Texas",27%,± 7.3%
"Belknap County, New Hampshire",15.80%,± 4%
"Bell County, Kentucky",11.20%,± 4.2%
"Bell County, Texas",22.40%,± 2%
"Belmont County, Ohio",16.90%,± 3%
"Beltrami County, Minnesota",22%,± 3.8%
"Ben Hill County, Georgia",18%,± 6.9%
"Benewah County, Idaho",15.90%,± 5.5%
"Bennett County, South Dakota",17%,± 10.1%
"Bennington County, Vermont",19.10%,± 5.2%
"Benson County, North Dakota",29.60%,± 6.4%
"Bent County, Colorado",18%,± 11.2%
"Benton County, Arkansas",24.40%,± 1.9%
"Benton County, Indiana",21.30%,± 5.9%
"Benton County, Iowa",17.30%,± 3.8%
"Benton County, Minnesota",23.10%,± 4.2%
"Benton County, Mississippi",25.10%,± 13.7%
"Benton County, Missouri",20.60%,± 7.1%
"Benton County, Oregon",16.90%,± 2.9%
"Benton County, Tennessee",24.10%,± 7.3%
"Benton County, Washington",22%,± 2.4%
"Benzie County, Michigan",17%,± 4.6%
"Bergen County, New Jersey",15.60%,± 0.9%
"Berkeley County, South Carolina",22.70%,± 2.8%
"Berkeley County, West Virginia",16.20%,± 2.6%
"Berks County, Pennsylvania",22%,± 1.7%
"Berkshire County, Massachusetts",16.20%,± 2.6%
"Bernalillo County, New Mexico",18.40%,± 1.3%
"Berrien County, Georgia",23.50%,± 6.9%
"Berrien County, Michigan",21%,± 2.4%
"Bertie County, North Carolina",15.80%,± 6.7%
"Bethel Census Area, Alaska",37.10%,± 5.4%
"Bexar County, Texas",21.70%,± 1%
"Bibb County, Alabama",11.70%,± 4.3%
"Bibb County, Georgia",21.80%,± 3.4%
"Bienville Parish, Louisiana",26.40%,± 7.9%
"Big Horn County, Montana",29.50%,± 11.6%
"Big Horn County, Wyoming",28%,± 7.1%
"Big Stone County, Minnesota",24.30%,± 6.4%
"Billings County, North Dakota",17.60%,± 12.5%
"Bingham County, Idaho",25.60%,± 4.2%
"Black Hawk County, Iowa",24.20%,± 3.2%
"Blackford County, Indiana",28%,± 10.4%
"Bladen County, North Carolina",23.90%,± 8.1%
"Blaine County, Idaho",18.60%,± 8.2%
"Blaine County, Montana",20.30%,± 5.3%
"Blaine County, Nebraska",25%,± 21.2%
"Blaine County, Oklahoma",17.50%,± 8.2%
"Blair County, Pennsylvania",19.60%,± 2.6%
"Blanco County, Texas",25.80%,± 13.4%
"Bland County, Virginia",20.90%,± 12.5%
"Bleckley County, Georgia",16.40%,± 7.3%
"Bledsoe County, Tennessee",14.40%,± 8.8%
"Blount County, Alabama",21.30%,± 4.3%
"Blount County, Tennessee",19.90%,± 3%
"Blue Earth County, Minnesota",21.10%,± 2.9%
"Boise County, Idaho",22.60%,± 9.2%
"Bolivar County, Mississippi",24.90%,± 6.1%
"Bollinger County, Missouri",20.10%,± 9.7%
"Bon Homme County, South Dakota",28.80%,± 7.4%
"Bond County, Illinois",14.50%,± 5.6%
"Bonner County, Idaho",23.50%,± 5.6%
"Bonneville County, Idaho",26.80%,± 3.1%
"Boone County, Arkansas",22%,± 5.5%
"Boone County, Illinois",24.40%,± 5.8%
"Boone County, Indiana",21.90%,± 3.9%
"Boone County, Iowa",18.40%,± 5.1%
"Boone County, Kentucky",19.50%,± 2.6%
"Boone County, Missouri",19.30%,± 2.5%
"Boone County, Nebraska",15.90%,± 6%
"Boone County, West Virginia",16.30%,± 5.4%
"Borden County, Texas",46.30%,± 21.9%
"Bosque County, Texas",13%,± 4.9%
"Bossier Parish, Louisiana",20.50%,± 3%
"Botetourt County, Virginia",12.80%,± 4.3%
"Bottineau County, North Dakota",17.80%,± 8.2%
"Boulder County, Colorado",13.70%,± 1.4%
"Boundary County, Idaho",26.60%,± 9.2%
"Bourbon County, Kansas",23.90%,± 6.9%
"Bourbon County, Kentucky",22.40%,± 6.8%
"Bowie County, Texas",21.90%,± 3.4%
"Bowman County, North Dakota",21.70%,± 10.6%
"Box Butte County, Nebraska",22.20%,± 8.9%
"Box Elder County, Utah",26%,± 3%
"Boyd County, Kentucky",15%,± 4.2%
"Boyd County, Nebraska",15.90%,± 10.5%
"Boyle County, Kentucky",18.10%,± 4.5%
"Bracken County, Kentucky",30%,± 12.4%
"Bradford County, Florida",18.10%,± 8.4%
"Bradford County, Pennsylvania",21.80%,± 3%
"Bradley County, Arkansas",15%,± 6.9%
"Bradley County, Tennessee",21.70%,± 3.2%
"Branch County, Michigan",22%,± 3.1%
"Brantley County, Georgia",13.80%,± 8%
"Braxton County, West Virginia",16%,± 8.2%
"Brazoria County, Texas",20.30%,± 1.9%
"Brazos County, Texas",22.30%,± 2.5%
"Breathitt County, Kentucky",16.70%,± 7.3%
"Breckinridge County, Kentucky",13.20%,± 5.4%
"Bremer County, Iowa",26.80%,± 4.1%
"Brevard County, Florida",19.30%,± 1.8%
"Brewster County, Texas",19.90%,± 13.3%
"Briscoe County, Texas",30.80%,± 28.3%
"Bristol Bay Borough, Alaska",19.20%,± 24.2%
"Bristol city, Virginia",17.60%,± 7.9%
"Bristol County, Massachusetts",16.60%,± 1.1%
"Bristol County, Rhode Island",14.70%,± 3.4%
"Broadwater County, Montana",26%,± 13.6%
"Bronx County, New York",21.80%,± 1.1%
"Brooke County, West Virginia",17.40%,± 6.7%
"Brookings County, South Dakota",23.90%,± 5.4%
"Brooks County, Georgia",17.80%,± 8.4%
"Brooks County, Texas",50.10%,± 25.1%
"Broome County, New York",18%,± 2.3%
"Broomfield County, Colorado",15%,± 2.4%
"Broward County, Florida",17.70%,± 1%
"Brown County, Illinois",19.50%,± 8.1%
"Brown County, Indiana",20.30%,± 7.1%
"Brown County, Kansas",25.30%,± 6.7%
"Brown County, Minnesota",25.80%,± 3.8%
"Brown County, Nebraska",25.70%,± 13.5%
"Brown County, Ohio",23%,± 4.9%
"Brown County, South Dakota",21.20%,± 5.2%
"Brown County, Texas",16.50%,± 4.3%
"Brown County, Wisconsin",20.50%,± 1.7%
"Brule County, South Dakota",18%,± 7.5%
"Brunswick County, North Carolina",17.70%,± 3.2%
"Brunswick County, Virginia",14.90%,± 5.9%
"Bryan County, Georgia",21.70%,± 4.2%
"Bryan County, Oklahoma",18.70%,± 2.9%
"Buchanan County, Iowa",16.60%,± 3.2%
"Buchanan County, Missouri",23.50%,± 3.4%
"Buchanan County, Virginia",18.70%,± 10.7%
"Buckingham County, Virginia",29.20%,± 8.5%
"Bucks County, Pennsylvania",16.90%,± 1.3%
"Buena Vista city, Virginia",10.30%,± 8.1%
"Buena Vista County, Iowa",19.70%,± 5.5%
"Buffalo County, Nebraska",22.50%,± 4.4%
"Buffalo County, South Dakota",29.80%,± 12.6%
"Buffalo County, Wisconsin",17.40%,± 2.7%
"Bullitt County, Kentucky",18.80%,± 3.2%
"Bulloch County, Georgia",18.80%,± 3.4%
"Bullock County, Alabama",15.90%,± 9%
"Buncombe County, North Carolina",17.80%,± 2%
"Bureau County, Illinois",20.80%,± 4%
"Burke County, Georgia",18.90%,± 6.6%
"Burke County, North Carolina",24.70%,± 3.7%
"Burke County, North Dakota",31.30%,± 9.1%
"Burleigh County, North Dakota",21.10%,± 3.6%
"Burleson County, Texas",31.50%,± 7.8%
"Burlington County, New Jersey",18%,± 1.3%
"Burnet County, Texas",12.10%,± 3.6%
"Burnett County, Wisconsin",20.40%,± 3.7%
"Burt County, Nebraska",21.60%,± 5.8%
"Butler County, Alabama",14.60%,± 4.8%
"Butler County, Iowa",16.80%,± 4.5%
"Butler County, Kansas",21%,± 3%
"Butler County, Kentucky",28.70%,± 8.1%
"Butler County, Missouri",18.70%,± 4.5%
"Butler County, Nebraska",20.50%,± 7.8%
"Butler County, Ohio",21.50%,± 2%
"Butler County, Pennsylvania",17.60%,± 2.1%
"Butte County, California",19.90%,± 2.4%
"Butte County, Idaho",35.70%,± 19%
"Butte County, South Dakota",26.20%,± 9.3%
"Butts County, Georgia",22%,± 8.4%
"Cabarrus County, North Carolina",17%,± 2.2%
"Cabell County, West Virginia",19.40%,± 4.1%
"Cabo Rojo Municipio, Puerto Rico",11.80%,± 4.9%
"Cache County, Utah",25.40%,± 2%
"Caddo County, Oklahoma",23%,± 3.3%
"Caddo Parish, Louisiana",22.80%,± 2.4%
"Caguas Municipio, Puerto Rico",12.80%,± 2.4%
"Calaveras County, California",24.30%,± 7%
"Calcasieu Parish, Louisiana",21.10%,± 2.6%
"Caldwell County, Kentucky",11.80%,± 6.5%
"Caldwell County, Missouri",19.10%,± 5.4%
"Caldwell County, North Carolina",23.80%,± 3.5%
"Caldwell County, Texas",17.70%,± 6%
"Caldwell Parish, Louisiana",22.20%,± 10.4%
"Caledonia County, Vermont",17.40%,± 4.9%
"Calhoun County, Alabama",24.30%,± 4%
"Calhoun County, Arkansas",18.30%,± 11.1%
"Calhoun County, Florida",20.40%,± 10.1%
"Calhoun County, Georgia",27.30%,± 15.5%
"Calhoun County, Illinois",19.40%,± 9%
"Calhoun County, Iowa",27.60%,± 5.4%
"Calhoun County, Michigan",20.50%,± 2.3%
"Calhoun County, Mississippi",21.60%,± 6%
"Calhoun County, South Carolina",19.20%,± 8.1%
"Calhoun County, Texas",17.90%,± 8.7%
"Calhoun County, West Virginia",18.90%,± 10.1%
"Callahan County, Texas",20.50%,± 7.3%
"Callaway County, Missouri",20.30%,± 4.5%
"Calloway County, Kentucky",16.30%,± 3.9%
"Calumet County, Wisconsin",18.60%,± 3%
"Calvert County, Maryland",21.70%,± 3.4%
"Camas County, Idaho",44.30%,± 18%
"Cambria County, Pennsylvania",18.70%,± 2.1%
"Camden County, Georgia",22.60%,± 5.6%
"Camden County, Missouri",21.30%,± 4.3%
"Camden County, New Jersey",19.10%,± 1.5%
"Camden County, North Carolina",24.50%,± 10.8%
"Cameron County, Pennsylvania",9.40%,± 6.6%
"Cameron County, Texas",24.40%,± 1.7%
"Cameron Parish, Louisiana",31.80%,± 18.6%
"Camp County, Texas",11.20%,± 5.6%
"Campbell County, Kentucky",18.30%,± 2.6%
"Campbell County, South Dakota",33.30%,± 15.4%
"Campbell County, Tennessee",21.70%,± 4.8%
"Campbell County, Virginia",23.70%,± 5.3%
"Campbell County, Wyoming",22%,± 5.1%
"Camuy Municipio, Puerto Rico",10.20%,± 5.3%
"Canadian County, Oklahoma",21.30%,± 2.7%
"Candler County, Georgia",35.80%,± 14.2%
"Cannon County, Tennessee",7.70%,± 4.1%
"Canóvanas Municipio, Puerto Rico",12.70%,± 3.8%
"Canyon County, Idaho",27.90%,± 2.6%
"Cape Girardeau County, Missouri",17.60%,± 3.7%
"Cape May County, New Jersey",19%,± 4.1%
"Capitol Planning Region, Connecticut",17.20%,± 1%
"Carbon County, Montana",12.40%,± 3.9%
"Carbon County, Pennsylvania",16.70%,± 3.8%
"Carbon County, Utah",17%,± 3.6%
"Carbon County, Wyoming",19.10%,± 6%
"Caribou County, Idaho",26.80%,± 6.7%
"Carlisle County, Kentucky",19.30%,± 6.7%
"Carlton County, Minnesota",15.30%,± 3.3%
"Carolina Municipio, Puerto Rico",13%,± 3%
"Caroline County, Maryland",23.80%,± 4.9%
"Caroline County, Virginia",18.70%,± 5.4%
"Carroll County, Arkansas",30.70%,± 6.7%
"Carroll County, Georgia",17.60%,± 2.7%
"Carroll County, Illinois",20.50%,± 5.3%
"Carroll County, Indiana",19.30%,± 4.2%
"Carroll County, Iowa",16%,± 3.9%
"Carroll County, Kentucky",46%,± 13.9%
"Carroll County, Maryland",18.10%,± 2%
"Carroll County, Mississippi",24.70%,± 13.8%
"Carroll County, Missouri",15%,± 7.4%
"Carroll County, New Hampshire",19.60%,± 4.7%
"Carroll County, Ohio",20.20%,± 5.9%
"Carroll County, Tennessee",13.80%,± 3.6%
"Carroll County, Virginia",14.50%,± 5.6%
"Carson City, Nevada",25.50%,± 5.5%
"Carson County, Texas",25.10%,± 10.4%
"Carter County, Kentucky",13.30%,± 6.6%
"Carter County, Missouri",15.40%,± 11.1%
"Carter County, Montana",21.10%,± 10.8%
"Carter County, Oklahoma",21.20%,± 3.1%
"Carter County, Tennessee",19.50%,± 4%
"Carteret County, North Carolina",13.60%,± 2.9%
"Carver County, Minnesota",19.60%,± 1.9%
"Cascade County, Montana",19.80%,± 3.1%
"Casey County, Kentucky",26.50%,± 7.7%
"Cass County, Illinois",22.50%,± 5.9%
"Cass County, Indiana",21.70%,± 5.4%
"Cass County, Iowa",26.30%,± 6.2%
"Cass County, Michigan",18.80%,± 3.1%
"Cass County, Minnesota",22.10%,± 2.8%
"Cass County, Missouri",19%,± 2.9%
"Cass County, Nebraska",27.40%,± 4.7%
"Cass County, North Dakota",22.30%,± 2.7%
"Cass County, Texas",28.30%,± 6.1%
"Cassia County, Idaho",33%,± 5.4%
"Castro County, Texas",44.50%,± 15.5%
"Caswell County, North Carolina",27.30%,± 8.5%
"Catahoula Parish, Louisiana",38.20%,± 11.4%
"Cataño Municipio, Puerto Rico",18.50%,± 6.3%
"Catawba County, North Carolina",18.80%,± 2.3%
"Catoosa County, Georgia",16.20%,± 3.4%
"Catron County, New Mexico",5.30%,± 8.2%
"Cattaraugus County, New York",24.30%,± 2.7%
"Cavalier County, North Dakota",14.20%,± 5.1%
"Cayey Municipio, Puerto Rico",13.20%,± 4.3%
"Cayuga County, New York",20.50%,± 2.8%
"Cecil County, Maryland",17.40%,± 3.5%
"Cedar County, Iowa",22%,± 5.4%
"Cedar County, Missouri",26%,± 11.5%
"Cedar County, Nebraska",33.80%,± 6%
"Ceiba Municipio, Puerto Rico",12.30%,± 7.4%
"Centre County, Pennsylvania",17.10%,± 2.7%
"Cerro Gordo County, Iowa",17.40%,± 5.3%
"Chaffee County, Colorado",9.40%,± 6.2%
"Chambers County, Alabama",24.40%,± 6.8%
"Chambers County, Texas",16.60%,± 5.7%
"Champaign County, Illinois",20.70%,± 2.4%
"Champaign County, Ohio",14.80%,± 3.9%
"Chariton County, Missouri",25.90%,± 5.3%
"Charles City County, Virginia",13.50%,± 6%
"Charles County, Maryland",18.90%,± 2.6%
"Charles Mix County, South Dakota",18.80%,± 5.3%
"Charleston County, South Carolina",18%,± 1.7%
"Charlevoix County, Michigan",14.50%,± 3%
"Charlotte County, Florida",17.50%,± 4%
"Charlotte County, Virginia",20.20%,± 8%
"Charlottesville city, Virginia",13.50%,± 4.5%
"Charlton County, Georgia",14.90%,± 11.7%
"Chase County, Kansas",24.30%,± 9.8%
"Chase County, Nebraska",24.50%,± 11.6%
"Chatham County, Georgia",22%,± 2.8%
"Chatham County, North Carolina",20%,± 3.8%
"Chattahoochee County, Georgia",33.50%,± 9.4%
"Chattooga County, Georgia",23.50%,± 5.8%
"Chautauqua County, Kansas",31.20%,± 11%
"Chautauqua County, New York",20.80%,± 2.5%
"Chaves County, New Mexico",21.30%,± 4.8%
"Cheatham County, Tennessee",20.90%,± 4.6%
"Cheboygan County, Michigan",15.80%,± 4.1%
"Chelan County, Washington",22.60%,± 4%
"Chemung County, New York",19.70%,± 3.3%
"Chenango County, New York",20.30%,± 2.8%
"Cherokee County, Alabama",20.90%,± 5.5%
"Cherokee County, Georgia",17.70%,± 2.1%
"Cherokee County, Iowa",25.60%,± 7.3%
"Cherokee County, Kansas",24.60%,± 5.5%
"Cherokee County, North Carolina",10.50%,± 4.3%
"Cherokee County, Oklahoma",27%,± 4.4%
"Cherokee County, South Carolina",25%,± 5.8%
"Cherokee County, Texas",22.30%,± 4.6%
"Cherry County, Nebraska",16.70%,± 6.1%
"Chesapeake city, Virginia",20%,± 1.6%
"Cheshire County, New Hampshire",18%,± 3.4%
"Chester County, Pennsylvania",16.60%,± 1.1%
"Chester County, South Carolina",16.90%,± 6.7%
"Chester County, Tennessee",15%,± 5.7%
"Chesterfield County, South Carolina",13.40%,± 4%
"Chesterfield County, Virginia",18.40%,± 1.7%
"Cheyenne County, Colorado",22.30%,± 10.3%
"Cheyenne County, Kansas",28.30%,± 12%
"Cheyenne County, Nebraska",26.20%,± 9%
"Chickasaw County, Iowa",29.40%,± 6.3%
"Chickasaw County, Mississippi",26%,± 9.3%
"Chicot County, Arkansas",28.10%,± 9.7%
"Childress County, Texas",23.40%,± 11.6%
"Chilton County, Alabama",20.90%,± 6.1%
"Chippewa County, Michigan",24%,± 4.9%
"Chippewa County, Minnesota",22.70%,± 6.3%
"Chippewa County, Wisconsin",25.60%,± 3.8%
"Chisago County, Minnesota",16.10%,± 3.4%
"Chittenden County, Vermont",13.70%,± 2.3%
"Choctaw County, Alabama",10.40%,± 5.5%
"Choctaw County, Mississippi",20.30%,± 7.5%
"Choctaw County, Oklahoma",27.90%,± 6.2%
"Chouteau County, Montana",22.60%,± 6.8%
"Chowan County, North Carolina",21.10%,± 7.5%
"Christian County, Illinois",24.40%,± 5.1%
"Christian County, Kentucky",23.60%,± 3.9%
"Christian County, Missouri",20.90%,± 2.9%
"Chugach Census Area, Alaska",30.30%,± 14.1%
"Churchill County, Nevada",27.30%,± 7.2%
"Ciales Municipio, Puerto Rico",16.30%,± 8.1%
"Cibola County, New Mexico",27.10%,± 6.8%
"Cidra Municipio, Puerto Rico",13.60%,± 5.3%
"Cimarron County, Oklahoma",27.90%,± 16.1%
"Citrus County, Florida",17.80%,± 4.2%
"Clackamas County, Oregon",16.90%,± 1.3%
"Claiborne County, Mississippi",24%,± 14.6%
"Claiborne County, Tennessee",22.60%,± 6.8%
"Claiborne Parish, Louisiana",24.50%,± 8.6%
"Clallam County, Washington",27.50%,± 3.9%
"Clare County, Michigan",26.40%,± 4.7%
"Clarendon County, South Carolina",19.30%,± 5.1%
"Clarion County, Pennsylvania",22.70%,± 3.6%
"Clark County, Arkansas",18.60%,± 6.1%
"Clark County, Idaho",32.30%,± 22.3%
"Clark County, Illinois",21.40%,± 5.3%
"Clark County, Indiana",18.80%,± 2.9%
"Clark County, Kansas",25.10%,± 11.5%
"Clark County, Kentucky",12.70%,± 3.6%
"Clark County, Missouri",24.60%,± 11.1%
"Clark County, Nevada",20.60%,± 0.6%
"Clark County, Ohio",20.40%,± 2.7%
"Clark County, South Dakota",20.80%,± 9.9%
"Clark County, Washington",21.50%,± 1.5%
"Clark County, Wisconsin",26.80%,± 2.6%
"Clarke County, Alabama",11.30%,± 4.9%
"Clarke County, Georgia",19.30%,± 3.6%
"Clarke County, Iowa",18.80%,± 11.2%
"Clarke County, Mississippi",16.40%,± 7.8%
"Clarke County, Virginia",19.50%,± 7.5%
"Clatsop County, Oregon",16.80%,± 4.6%
"Clay County, Alabama",25.30%,± 7.8%
"Clay County, Arkansas",18.50%,± 5.6%
"Clay County, Florida",18.60%,± 2.6%
"Clay County, Georgia",24.90%,± 15.1%
"Clay County, Illinois",19.30%,± 8.2%
"Clay County, Indiana",17.90%,± 5.1%
"Clay County, Iowa",17.60%,± 6.4%
"Clay County, Kansas",25.60%,± 10.2%
"Clay County, Kentucky",17.10%,± 6.8%
"Clay County, Minnesota",22.40%,± 2.9%
