Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Butler County, Kentucky",16.30%,± 3.3%
"Butler County, Missouri",11.20%,± 1.9%
"Butler County, Nebraska",12.50%,± 2.5%
"Butler County, Ohio",6.90%,± 0.5%
"Butler County, Pennsylvania",8.90%,± 0.8%
"Butte County, California",8.40%,± 0.8%
"Butte County, Idaho",16.60%,± 6.4%
"Butte County, South Dakota",15.30%,± 3.4%
"Butts County, Georgia",12%,± 2.3%
"Cabarrus County, North Carolina",9%,± 0.8%
"Cabell County, West Virginia",5.80%,± 1.3%
"Cabo Rojo Municipio, Puerto Rico",12.10%,± 2.2%
"Cache County, Utah",7.30%,± 0.7%
"Caddo County, Oklahoma",18.20%,± 2.2%
"Caddo Parish, Louisiana",8.10%,± 0.8%
"Caguas Municipio, Puerto Rico",7.60%,± 1.2%
"Calaveras County, California",11.60%,± 2.3%
"Calcasieu Parish, Louisiana",13.80%,± 1.2%
"Caldwell County, Kentucky",11.70%,± 3.2%
"Caldwell County, Missouri",13.90%,± 2.4%
"Caldwell County, North Carolina",10.30%,± 1.2%
"Caldwell County, Texas",17.30%,± 2.5%
"Caldwell Parish, Louisiana",24.20%,± 7.3%
"Caledonia County, Vermont",13.10%,± 1.6%
"Calhoun County, Alabama",9.90%,± 0.9%
"Calhoun County, Arkansas",22%,± 6%
"Calhoun County, Florida",13.30%,± 3.4%
"Calhoun County, Georgia",7.80%,± 3.1%
"Calhoun County, Illinois",10.20%,± 3.3%
"Calhoun County, Iowa",13.10%,± 2%
"Calhoun County, Michigan",8.70%,± 0.7%
"Calhoun County, Mississippi",14.40%,± 3.7%
"Calhoun County, South Carolina",7.90%,± 2.6%
"Calhoun County, Texas",18.60%,± 3.8%
"Calhoun County, West Virginia",16.70%,± 6.1%
"Callahan County, Texas",13.60%,± 3.1%
"Callaway County, Missouri",8.90%,± 1.6%
"Calloway County, Kentucky",8.10%,± 1.5%
"Calumet County, Wisconsin",8.10%,± 1%
"Calvert County, Maryland",12.80%,± 1.2%
"Camas County, Idaho",13.90%,± 9.5%
"Cambria County, Pennsylvania",10.10%,± 0.8%
"Camden County, Georgia",11.20%,± 1.6%
"Camden County, Missouri",9.90%,± 1.5%
"Camden County, New Jersey",7%,± 0.4%
"Camden County, North Carolina",10.80%,± 4%
"Cameron County, Pennsylvania",9.20%,± 2.6%
"Cameron County, Texas",10.60%,± 0.7%
"Cameron Parish, Louisiana",10.30%,± 4.7%
"Camp County, Texas",10.90%,± 3.1%
"Campbell County, Kentucky",7.30%,± 0.9%
"Campbell County, South Dakota",15.20%,± 3.9%
"Campbell County, Tennessee",15.50%,± 2.3%
"Campbell County, Virginia",9.20%,± 1.3%
"Campbell County, Wyoming",22.50%,± 2.2%
"Camuy Municipio, Puerto Rico",12%,± 2.8%
"Canadian County, Oklahoma",9.80%,± 0.9%
"Candler County, Georgia",12.70%,± 3.5%
"Cannon County, Tennessee",11.20%,± 2.8%
"Canóvanas Municipio, Puerto Rico",10.10%,± 1.9%
"Canyon County, Idaho",14.70%,± 1.1%
"Cape Girardeau County, Missouri",7.60%,± 1.1%
"Cape May County, New Jersey",9.90%,± 1%
"Capitol Planning Region, Connecticut",5.90%,± 0.3%
"Carbon County, Montana",13.10%,± 2.2%
"Carbon County, Pennsylvania",12.50%,± 1.6%
"Carbon County, Utah",15%,± 2.4%
"Carbon County, Wyoming",22.50%,± 4.4%
"Caribou County, Idaho",26.40%,± 4.6%
"Carlisle County, Kentucky",12.30%,± 3.9%
"Carlton County, Minnesota",10.20%,± 1.2%
"Carolina Municipio, Puerto Rico",6.50%,± 1%
"Caroline County, Maryland",15.20%,± 1.9%
"Caroline County, Virginia",12.10%,± 2.5%
"Carroll County, Arkansas",18.10%,± 2.7%
"Carroll County, Georgia",10.50%,± 1.3%
"Carroll County, Illinois",8.60%,± 2.2%
"Carroll County, Indiana",12.90%,± 2%
"Carroll County, Iowa",10.30%,± 1.3%
"Carroll County, Kentucky",13.90%,± 3.3%
"Carroll County, Maryland",10%,± 0.7%
"Carroll County, Mississippi",20.10%,± 5.9%
"Carroll County, Missouri",11.10%,± 2.4%
"Carroll County, New Hampshire",13.70%,± 1.9%
"Carroll County, Ohio",13.30%,± 2.3%
"Carroll County, Tennessee",12.30%,± 2.1%
"Carroll County, Virginia",12.30%,± 2.5%
"Carson City, Nevada",9%,± 1.4%
"Carson County, Texas",9.20%,± 2.9%
"Carter County, Kentucky",11.10%,± 2.4%
"Carter County, Missouri",9.90%,± 4.5%
"Carter County, Montana",14.80%,± 4%
"Carter County, Oklahoma",11.60%,± 1.3%
"Carter County, Tennessee",10.90%,± 2.1%
"Carteret County, North Carolina",10.30%,± 1.2%
"Carver County, Minnesota",7.20%,± 0.9%
"Cascade County, Montana",10.80%,± 1.2%
"Casey County, Kentucky",13.70%,± 3.2%
"Cass County, Illinois",14.70%,± 3.3%
"Cass County, Indiana",10.10%,± 1.6%
"Cass County, Iowa",10.80%,± 1.6%
"Cass County, Michigan",11.70%,± 1.7%
"Cass County, Minnesota",12%,± 1%
"Cass County, Missouri",11.50%,± 1.2%
"Cass County, Nebraska",12.60%,± 1.8%
"Cass County, North Dakota",8.10%,± 0.8%
"Cass County, Texas",10%,± 2.2%
"Cassia County, Idaho",16.50%,± 2.1%
"Castro County, Texas",16%,± 5%
"Caswell County, North Carolina",13.60%,± 2.7%
"Catahoula Parish, Louisiana",13.90%,± 4.4%
"Cataño Municipio, Puerto Rico",7%,± 2%
"Catawba County, North Carolina",7.90%,± 0.8%
"Catoosa County, Georgia",10.20%,± 1.8%
"Catron County, New Mexico",30.50%,± 11.7%
"Cattaraugus County, New York",11.50%,± 0.8%
"Cavalier County, North Dakota",14.80%,± 4.1%
"Cayey Municipio, Puerto Rico",10%,± 2.1%
"Cayuga County, New York",10.20%,± 0.9%
"Cecil County, Maryland",11.10%,± 1.3%
"Cedar County, Iowa",14.50%,± 1.9%
"Cedar County, Missouri",13.10%,± 4.3%
"Cedar County, Nebraska",12.80%,± 2.3%
"Ceiba Municipio, Puerto Rico",13.60%,± 4.4%
"Centre County, Pennsylvania",5.60%,± 0.6%
"Cerro Gordo County, Iowa",7.30%,± 1.4%
"Chaffee County, Colorado",9.90%,± 2.2%
"Chambers County, Alabama",9.70%,± 1.6%
"Chambers County, Texas",14.10%,± 2.8%
"Champaign County, Illinois",5.40%,± 0.6%
"Champaign County, Ohio",9.10%,± 1.4%
"Chariton County, Missouri",17.40%,± 2.7%
"Charles City County, Virginia",14.10%,± 2.8%
"Charles County, Maryland",9.10%,± 0.9%
"Charles Mix County, South Dakota",12.20%,± 2%
"Charleston County, South Carolina",7.40%,± 0.6%
"Charlevoix County, Michigan",9.70%,± 1.2%
"Charlotte County, Florida",9.80%,± 0.8%
"Charlotte County, Virginia",13.50%,± 3.5%
"Charlottesville city, Virginia",2.90%,± 0.9%
"Charlton County, Georgia",14.90%,± 7.1%
"Chase County, Kansas",12.40%,± 3.4%
"Chase County, Nebraska",14.20%,± 4.4%
"Chatham County, Georgia",6.50%,± 0.7%
"Chatham County, North Carolina",9.50%,± 1.4%
"Chattahoochee County, Georgia",9.40%,± 4%
"Chattooga County, Georgia",14.10%,± 2.4%
"Chautauqua County, Kansas",15.80%,± 4.1%
"Chautauqua County, New York",8.90%,± 0.7%
"Chaves County, New Mexico",12.90%,± 1.9%
"Cheatham County, Tennessee",13%,± 1.8%
"Cheboygan County, Michigan",14%,± 1.6%
"Chelan County, Washington",15.80%,± 1.8%
"Chemung County, New York",7.70%,± 1.1%
"Chenango County, New York",10.90%,± 1.3%
"Cherokee County, Alabama",12%,± 2.5%
"Cherokee County, Georgia",8.70%,± 0.9%
"Cherokee County, Iowa",10.80%,± 2.1%
"Cherokee County, Kansas",12%,± 1.9%
"Cherokee County, North Carolina",12.20%,± 2.7%
"Cherokee County, Oklahoma",13%,± 1.6%
"Cherokee County, South Carolina",10.90%,± 2%
"Cherokee County, Texas",14.50%,± 2%
"Cherry County, Nebraska",15.30%,± 4.3%
"Chesapeake city, Virginia",9.20%,± 0.8%
"Cheshire County, New Hampshire",9.60%,± 1.1%
"Chester County, Pennsylvania",6.40%,± 0.3%
"Chester County, South Carolina",9.80%,± 1.8%
"Chester County, Tennessee",8.30%,± 2.9%
"Chesterfield County, South Carolina",13.80%,± 1.8%
"Chesterfield County, Virginia",8%,± 0.5%
"Cheyenne County, Colorado",21%,± 5.8%
"Cheyenne County, Kansas",12.40%,± 3.9%
"Cheyenne County, Nebraska",13.90%,± 3.2%
"Chickasaw County, Iowa",13.50%,± 2.4%
"Chickasaw County, Mississippi",8.20%,± 2.5%
"Chicot County, Arkansas",15.50%,± 4.1%
"Childress County, Texas",20.60%,± 10.7%
"Chilton County, Alabama",20.90%,± 2.4%
"Chippewa County, Michigan",8.30%,± 1.2%
"Chippewa County, Minnesota",10.10%,± 1.8%
"Chippewa County, Wisconsin",10.80%,± 1.1%
"Chisago County, Minnesota",13.20%,± 1%
"Chittenden County, Vermont",6.10%,± 0.7%
"Choctaw County, Alabama",15.80%,± 4.3%
"Choctaw County, Mississippi",13.10%,± 3.6%
"Choctaw County, Oklahoma",11.50%,± 1.5%
"Chouteau County, Montana",13.80%,± 3%
"Chowan County, North Carolina",8.60%,± 2.9%
"Christian County, Illinois",10.30%,± 1.6%
"Christian County, Kentucky",11.30%,± 1.7%
"Christian County, Missouri",9.50%,± 1.2%
"Chugach Census Area, Alaska",18%,± 4.3%
"Churchill County, Nevada",15.50%,± 2.9%
"Ciales Municipio, Puerto Rico",13.20%,± 4.1%
"Cibola County, New Mexico",13.30%,± 3.1%
"Cidra Municipio, Puerto Rico",10.50%,± 2.4%
"Cimarron County, Oklahoma",15.50%,± 6%
"Citrus County, Florida",11.60%,± 1.4%
"Clackamas County, Oregon",9%,± 0.6%
"Claiborne County, Mississippi",10.40%,± 4.8%
"Claiborne County, Tennessee",12%,± 2%
"Claiborne Parish, Louisiana",14.50%,± 4.5%
"Clallam County, Washington",11.10%,± 1.2%
"Clare County, Michigan",12.20%,± 1.8%
"Clarendon County, South Carolina",12.70%,± 1.9%
"Clarion County, Pennsylvania",11.90%,± 1.1%
"Clark County, Arkansas",9.10%,± 2.1%
"Clark County, Idaho",27.50%,± 10.6%
"Clark County, Illinois",13.40%,± 2.5%
"Clark County, Indiana",8.80%,± 0.9%
"Clark County, Kansas",14%,± 3.7%
"Clark County, Kentucky",9.50%,± 2%
"Clark County, Missouri",12.50%,± 4.1%
"Clark County, Nevada",8.30%,± 0.2%
"Clark County, Ohio",9.40%,± 1%
"Clark County, South Dakota",12.40%,± 3.8%
"Clark County, Washington",9.40%,± 0.5%
"Clark County, Wisconsin",15%,± 1%
"Clarke County, Alabama",11.40%,± 2.8%
"Clarke County, Georgia",5.20%,± 0.8%
"Clarke County, Iowa",12%,± 2.6%
"Clarke County, Mississippi",12.40%,± 3%
"Clarke County, Virginia",10.20%,± 2.8%
"Clatsop County, Oregon",9.80%,± 1.6%
"Clay County, Alabama",11.60%,± 3.2%
"Clay County, Arkansas",12.10%,± 2%
"Clay County, Florida",8.90%,± 0.9%
"Clay County, Georgia",19.50%,± 7.8%
"Clay County, Illinois",14%,± 2.5%
"Clay County, Indiana",11.70%,± 2.2%
"Clay County, Iowa",10.40%,± 2%
"Clay County, Kansas",12.90%,± 3.2%
"Clay County, Kentucky",13.40%,± 3.6%
"Clay County, Minnesota",9.10%,± 1%
