Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Atchison County, Kansas",757,± 173,"7,822"
"Atchison County, Missouri",118,± 34,"2,546"
"Athens County, Ohio","3,733",± 485,"28,218"
"Atkinson County, Georgia",225,± 88,"3,605"
"Atlantic County, New Jersey","9,528",± 760,"129,611"
"Atoka County, Oklahoma",347,± 79,"5,015"
"Attala County, Mississippi",484,± 135,"7,022"
"Audrain County, Missouri",678,± 210,"11,077"
"Audubon County, Iowa",163,± 57,"2,837"
"Auglaize County, Ohio","1,349",± 254,"23,945"
"Augusta County, Virginia","2,111",± 374,"37,573"
"Aurora County, South Dakota",65,± 32,"1,396"
"Austin County, Texas",822,± 271,"14,541"
"Autauga County, Alabama","1,872",± 419,"26,411"
"Avery County, North Carolina",437,± 136,"6,698"
"Avoyelles Parish, Louisiana",728,± 213,"14,861"
"Baca County, Colorado",93,± 38,"1,494"
"Bacon County, Georgia",213,± 115,"4,253"
"Bailey County, Texas",256,± 126,"2,988"
"Baker County, Florida",646,± 289,"11,509"
"Baker County, Georgia",26,± 25,900
"Baker County, Oregon",345,± 122,"6,270"
"Baldwin County, Alabama","5,902",± 697,"107,254"
"Baldwin County, Georgia","1,646",± 545,"16,838"
"Ballard County, Kentucky",49,± 27,"3,248"
"Baltimore city, Maryland","22,452","± 1,171","275,370"
"Baltimore County, Maryland","29,876","± 1,520","429,630"
"Bamberg County, South Carolina",283,± 123,"5,043"
"Bandera County, Texas",471,± 155,"9,206"
"Banks County, Georgia",688,± 163,"8,420"
"Banner County, Nebraska",22,± 12,348
"Bannock County, Idaho","3,086",± 416,"39,464"
"Baraga County, Michigan",178,± 51,"2,995"
"Barber County, Kansas",117,± 34,"1,936"
"Barbour County, Alabama",696,± 154,"8,452"
"Barbour County, West Virginia",372,± 198,"5,728"
"Barceloneta Municipio, Puerto Rico",211,± 156,"6,913"
"Barnes County, North Dakota",373,± 88,"5,474"
"Barnstable County, Massachusetts","7,041",± 612,"113,900"
"Barnwell County, South Carolina",544,± 181,"8,808"
"Barranquitas Municipio, Puerto Rico",437,± 202,"8,759"
"Barren County, Kentucky",925,± 208,"18,702"
"Barron County, Wisconsin","1,245",± 171,"22,593"
"Barrow County, Georgia","2,712",± 457,"41,974"
"Barry County, Michigan","1,037",± 254,"28,904"
"Barry County, Missouri",479,± 186,"14,930"
"Bartholomew County, Indiana","2,068",± 356,"40,798"
"Barton County, Kansas",572,± 124,"12,396"
"Barton County, Missouri",277,± 115,"4,631"
"Bartow County, Georgia","3,297",± 533,"52,132"
"Bastrop County, Texas","2,380",± 536,"45,372"
"Bates County, Missouri",375,± 131,"7,009"
"Bath County, Kentucky",165,± 92,"4,862"
"Bath County, Virginia",102,± 88,"1,753"
"Baxter County, Arkansas",766,± 219,"15,371"
"Bay County, Florida","4,892",± 603,"84,899"
"Bay County, Michigan","2,021",± 314,"48,294"
"Bayamón Municipio, Puerto Rico","4,265",± 489,"66,908"
"Bayfield County, Wisconsin",384,± 66,"7,434"
"Baylor County, Texas",95,± 72,"1,490"
"Beadle County, South Dakota",591,± 140,"9,304"
"Bear Lake County, Idaho",210,± 62,"2,723"
"Beaufort County, North Carolina","1,119",± 251,"19,319"
"Beaufort County, South Carolina","4,657",± 601,"79,528"
"Beauregard Parish, Louisiana","1,194",± 364,"14,535"
"Beaver County, Oklahoma",161,± 58,"2,359"
"Beaver County, Pennsylvania","4,020",± 438,"80,302"
"Beaver County, Utah",310,± 157,"3,064"
"Beaverhead County, Montana",377,± 118,"4,600"
"Becker County, Minnesota",908,± 128,"16,607"
"Beckham County, Oklahoma",413,± 159,"8,565"
"Bedford County, Pennsylvania","1,024",± 176,"22,220"
"Bedford County, Tennessee","1,291",± 342,"23,327"
"Bedford County, Virginia","2,803",± 415,"37,171"
"Bee County, Texas",675,± 195,"10,381"
"Belknap County, New Hampshire","2,184",± 303,"32,842"
"Bell County, Kentucky",625,± 183,"7,246"
"Bell County, Texas","11,077",± 951,"152,373"
"Belmont County, Ohio","1,426",± 229,"28,440"
"Beltrami County, Minnesota","1,683",± 217,"21,422"
"Ben Hill County, Georgia",336,± 146,"7,089"
"Benewah County, Idaho",113,± 39,"3,815"
"Bennett County, South Dakota",128,± 52,"1,091"
"Bennington County, Vermont","1,611",± 287,"17,673"
"Benson County, North Dakota",238,± 68,"2,048"
"Bent County, Colorado",121,± 60,"1,682"
"Benton County, Arkansas","7,376",± 696,"142,914"
"Benton County, Indiana",202,± 71,"4,081"
"Benton County, Iowa",780,± 137,"13,194"
"Benton County, Minnesota","1,403",± 199,"22,406"
"Benton County, Mississippi",115,± 75,"3,253"
"Benton County, Missouri",434,± 115,"7,062"
"Benton County, Oregon","5,549",± 518,"46,601"
"Benton County, Tennessee",201,± 83,"6,071"
"Benton County, Washington","6,215",± 771,"94,424"
"Benzie County, Michigan",418,± 87,"8,029"
"Bergen County, New Jersey","37,798","± 1,810","492,359"
"Berkeley County, South Carolina","6,249",± 835,"108,726"
"Berkeley County, West Virginia","4,147",± 534,"61,928"
"Berks County, Pennsylvania","11,035",± 791,"211,422"
"Berkshire County, Massachusetts","6,034",± 536,"64,150"
"Bernalillo County, New Mexico","23,197","± 1,473","321,945"
"Berrien County, Georgia",492,± 159,"7,257"
"Berrien County, Michigan","4,115",± 430,"71,098"
"Bertie County, North Carolina",456,± 198,"6,308"
"Bethel Census Area, Alaska",490,± 101,"6,562"
"Bexar County, Texas","58,493","± 2,272","957,948"
"Bibb County, Alabama",378,± 133,"8,242"
"Bibb County, Georgia","4,071",± 502,"64,934"
"Bienville Parish, Louisiana",127,± 63,"4,501"
"Big Horn County, Montana",343,± 109,"4,740"
"Big Horn County, Wyoming",342,± 88,"4,960"
"Big Stone County, Minnesota",221,± 56,"2,360"
"Billings County, North Dakota",34,± 17,422
"Bingham County, Idaho","1,196",± 268,"21,636"
"Black Hawk County, Iowa","4,314",± 497,"66,619"
"Blackford County, Indiana",193,± 80,"5,151"
"Bladen County, North Carolina",693,± 248,"10,949"
"Blaine County, Idaho",578,± 218,"13,615"
"Blaine County, Montana",208,± 62,"2,679"
"Blaine County, Nebraska",17,± 11,206
"Blaine County, Oklahoma",169,± 55,"3,084"
"Blair County, Pennsylvania","3,044",± 329,"57,506"
"Blanco County, Texas",332,± 136,"5,502"
"Bland County, Virginia",136,± 86,"2,280"
"Bleckley County, Georgia",462,± 148,"5,005"
"Bledsoe County, Tennessee",308,± 150,"5,617"
"Blount County, Alabama","1,406",± 317,"24,856"
"Blount County, Tennessee","3,177",± 552,"65,081"
"Blue Earth County, Minnesota","2,785",± 373,"38,801"
"Boise County, Idaho",120,± 56,"3,375"
"Bolivar County, Mississippi","1,075",± 235,"11,008"
"Bollinger County, Missouri",232,± 117,"4,664"
"Bon Homme County, South Dakota",208,± 69,"2,642"
"Bond County, Illinois",732,± 170,"7,146"
"Bonner County, Idaho",701,± 213,"19,991"
"Bonneville County, Idaho","3,494",± 418,"56,015"
"Boone County, Arkansas",987,± 283,"16,224"
"Boone County, Illinois","1,066",± 247,"25,874"
"Boone County, Indiana","2,277",± 531,"36,952"
"Boone County, Iowa",825,± 178,"14,186"
"Boone County, Kentucky","3,488",± 519,"70,514"
"Boone County, Missouri","9,235",± 972,"96,815"
"Boone County, Nebraska",96,± 28,"2,792"
"Boone County, West Virginia",489,± 150,"7,033"
"Borden County, Texas",32,± 27,279
"Bosque County, Texas",480,± 141,"7,683"
"Bossier Parish, Louisiana","3,054",± 590,"53,983"
"Botetourt County, Virginia",839,± 208,"16,237"
"Bottineau County, North Dakota",174,± 54,"3,051"
"Boulder County, Colorado","15,113",± 956,"178,057"
"Boundary County, Idaho",165,± 92,"4,810"
"Bourbon County, Kansas",527,± 122,"6,500"
"Bourbon County, Kentucky",401,± 140,"9,098"
"Bowie County, Texas","2,640",± 429,"38,137"
"Bowman County, North Dakota",103,± 39,"1,432"
"Box Butte County, Nebraska",162,± 70,"5,245"
"Box Elder County, Utah","1,547",± 284,"26,993"
"Boyd County, Kentucky",894,± 218,"19,119"
"Boyd County, Nebraska",47,± 24,861
"Boyle County, Kentucky",679,± 181,"12,717"
"Bracken County, Kentucky",177,± 69,"3,706"
"Bradford County, Florida",492,± 163,"10,645"
"Bradford County, Pennsylvania","1,436",± 223,"25,961"
"Bradley County, Arkansas",238,± 75,"3,745"
"Bradley County, Tennessee","3,840",± 512,"51,057"
"Branch County, Michigan",693,± 144,"19,239"
"Brantley County, Georgia",353,± 169,"6,986"
"Braxton County, West Virginia",147,± 91,"3,812"
"Brazoria County, Texas","11,738","± 1,024","174,330"
"Brazos County, Texas","15,106","± 1,274","114,256"
"Breathitt County, Kentucky",569,± 162,"4,553"
"Breckinridge County, Kentucky",484,± 172,"7,803"
"Bremer County, Iowa",787,± 152,"12,928"
"Brevard County, Florida","14,865","± 1,447","272,451"
"Brewster County, Texas",338,± 186,"4,772"
"Briscoe County, Texas",25,± 20,496
"Bristol Bay Borough, Alaska",26,± 32,425
"Bristol city, Virginia",385,± 149,"7,430"
"Bristol County, Massachusetts","17,636","± 1,010","290,854"
"Bristol County, Rhode Island","2,404",± 323,"26,005"
"Broadwater County, Montana",130,± 70,"3,182"
"Bronx County, New York","32,263","± 1,804","583,452"
"Brooke County, West Virginia",632,± 226,"9,592"
"Brookings County, South Dakota","1,801",± 365,"19,168"
"Brooks County, Georgia",327,± 142,"6,627"
"Brooks County, Texas",398,± 218,"3,009"
"Broome County, New York","8,443",± 749,"87,302"
"Broomfield County, Colorado","2,517",± 362,"41,879"
"Broward County, Florida","46,607","± 2,242","985,363"
"Brown County, Illinois",53,± 28,"2,418"
"Brown County, Indiana",126,± 71,"7,329"
"Brown County, Kansas",329,± 87,"4,506"
"Brown County, Minnesota",872,± 158,"13,487"
"Brown County, Nebraska",74,± 36,"1,285"
"Brown County, Ohio",877,± 197,"19,080"
"Brown County, South Dakota","1,187",± 232,"20,760"
"Brown County, Texas",829,± 195,"17,303"
"Brown County, Wisconsin","7,677",± 571,"141,720"
"Brule County, South Dakota",186,± 69,"2,650"
"Brunswick County, North Carolina","2,912",± 452,"56,463"
"Brunswick County, Virginia",447,± 151,"6,485"
"Bryan County, Georgia","1,304",± 318,"20,236"
"Bryan County, Oklahoma","1,668",± 234,"20,502"
"Buchanan County, Iowa",597,± 139,"10,443"
"Buchanan County, Missouri","2,182",± 284,"38,722"
"Buchanan County, Virginia",420,± 136,"5,990"
"Buckingham County, Virginia",205,± 88,"6,801"
"Bucks County, Pennsylvania","21,721","± 1,247","339,862"
"Buena Vista city, Virginia",145,± 80,"3,117"
"Buena Vista County, Iowa",693,± 132,"10,361"
"Buffalo County, Nebraska","1,696",± 244,"27,501"
"Buffalo County, South Dakota",19,± 21,592
"Buffalo County, Wisconsin",260,± 54,"6,930"
"Bullitt County, Kentucky","1,444",± 312,"41,100"
"Bulloch County, Georgia","2,937",± 472,"36,155"
"Bullock County, Alabama",138,± 67,"3,744"
"Buncombe County, North Carolina","7,753",± 841,"131,883"
"Bureau County, Illinois",923,± 127,"15,906"
"Burke County, Georgia",366,± 166,"10,558"
"Burke County, North Carolina","2,004",± 315,"39,539"
"Burke County, North Dakota",55,± 27,"1,054"
"Burleigh County, North Dakota","3,054",± 383,"50,965"
"Burleson County, Texas",613,± 180,"7,840"
"Burlington County, New Jersey","17,729",± 987,"233,289"
"Burnet County, Texas","1,227",± 288,"23,128"
"Burnett County, Wisconsin",372,± 68,"6,854"
"Burt County, Nebraska",184,± 54,"3,048"
"Butler County, Alabama",385,± 113,"7,495"
"Butler County, Iowa",351,± 79,"6,880"
"Butler County, Kansas","2,935",± 478,"31,636"
"Butler County, Kentucky",357,± 115,"4,673"
"Butler County, Missouri","1,024",± 291,"17,433"
"Butler County, Nebraska",266,± 84,"4,470"
"Butler County, Ohio","10,290",± 720,"186,002"
"Butler County, Pennsylvania","5,475",± 547,"96,617"
"Butte County, California","7,208",± 636,"95,378"
"Butte County, Idaho",43,± 23,"1,050"
"Butte County, South Dakota",253,± 103,"5,109"
"Butts County, Georgia",480,± 176,"10,251"
"Cabarrus County, North Carolina","6,832",± 742,"113,579"
"Cabell County, West Virginia","3,299",± 486,"40,146"
"Cabo Rojo Municipio, Puerto Rico","1,056",± 292,"15,402"
"Cache County, Utah","5,605",± 551,"67,546"
"Caddo County, Oklahoma",705,± 128,"10,794"
"Caddo Parish, Louisiana","6,792",± 750,"96,578"
"Caguas Municipio, Puerto Rico","3,068",± 590,"47,611"
"Calaveras County, California",818,± 255,"17,362"
"Calcasieu Parish, Louisiana","6,495",± 877,"91,987"
"Caldwell County, Kentucky",215,± 102,"5,434"
"Caldwell County, Missouri",198,± 54,"3,778"
"Caldwell County, North Carolina","2,049",± 404,"36,435"
"Caldwell County, Texas",956,± 259,"20,563"
"Caldwell Parish, Louisiana",123,± 65,"3,157"
"Caledonia County, Vermont","1,446",± 236,"15,786"
"Calhoun County, Alabama","2,582",± 395,"49,455"
"Calhoun County, Arkansas",110,± 62,"1,643"
"Calhoun County, Florida",220,± 88,"4,518"
"Calhoun County, Georgia",122,± 59,"1,603"
"Calhoun County, Illinois",86,± 47,"1,770"
"Calhoun County, Iowa",248,± 53,"4,237"
"Calhoun County, Michigan","3,015",± 387,"59,548"
"Calhoun County, Mississippi",245,± 89,"5,673"
"Calhoun County, South Carolina",448,± 162,"6,185"
"Calhoun County, Texas",734,± 251,"9,691"
"Calhoun County, West Virginia",59,± 48,"1,927"
"Callahan County, Texas",404,± 122,"6,237"
"Callaway County, Missouri","1,063",± 223,"20,583"
"Calloway County, Kentucky","1,203",± 280,"17,388"
"Calumet County, Wisconsin","1,385",± 218,"28,969"
"Calvert County, Maryland","3,639",± 469,"47,275"
"Camas County, Idaho",30,± 23,498
"Cambria County, Pennsylvania","3,551",± 503,"57,707"
"Camden County, Georgia","1,179",± 255,"21,987"
"Camden County, Missouri","1,052",± 175,"18,069"
"Camden County, New Jersey","15,709",± 949,"256,795"
"Camden County, North Carolina",531,± 193,"4,793"
"Cameron County, Pennsylvania",53,± 28,"1,810"
"Cameron County, Texas","13,922","± 1,131","168,550"
"Cameron Parish, Louisiana",84,± 59,"2,584"
"Camp County, Texas",438,± 177,"5,211"
"Campbell County, Kentucky","2,816",± 335,"47,628"
"Campbell County, South Dakota",58,± 31,763
"Campbell County, Tennessee",748,± 178,"15,272"
"Campbell County, Virginia","1,457",± 293,"26,222"
"Campbell County, Wyoming","1,992",± 445,"24,282"
"Camuy Municipio, Puerto Rico",907,± 270,"10,870"
"Canadian County, Oklahoma","5,126",± 584,"79,112"
"Candler County, Georgia",537,± 209,"4,464"
"Cannon County, Tennessee",450,± 196,"6,445"
"Canóvanas Municipio, Puerto Rico",791,± 232,"15,299"
"Canyon County, Idaho","5,016",± 479,"108,514"
"Cape Girardeau County, Missouri","3,303",± 464,"41,353"
"Cape May County, New Jersey","3,457",± 443,"42,214"
"Capitol Planning Region, Connecticut","37,217","± 1,593","496,708"
"Carbon County, Montana",362,± 74,"5,215"
"Carbon County, Pennsylvania","1,664",± 265,"30,774"
"Carbon County, Utah",524,± 145,"8,256"
"Carbon County, Wyoming",418,± 138,"6,623"
"Caribou County, Idaho",227,± 85,"3,366"
"Carlisle County, Kentucky",66,± 32,"1,817"
"Carlton County, Minnesota","1,198",± 246,"16,701"
"Carolina Municipio, Puerto Rico","3,567",± 534,"59,924"
"Caroline County, Maryland",992,± 190,"16,020"
"Caroline County, Virginia","1,064",± 370,"15,171"
"Carroll County, Arkansas",688,± 230,"11,794"
"Carroll County, Georgia","3,881",± 542,"56,102"
"Carroll County, Illinois",379,± 90,"6,794"
"Carroll County, Indiana",415,± 124,"9,599"
"Carroll County, Iowa",524,± 95,"10,755"
"Carroll County, Kentucky",93,± 69,"4,487"
"Carroll County, Maryland","6,868",± 703,"91,143"
"Carroll County, Mississippi",122,± 75,"3,655"
"Carroll County, Missouri",342,± 105,"3,840"
"Carroll County, New Hampshire","1,684",± 392,"24,833"
"Carroll County, Ohio",521,± 164,"11,916"
"Carroll County, Tennessee",911,± 220,"11,911"
"Carroll County, Virginia",756,± 236,"12,303"
"Carson City, Nevada","1,533",± 360,"27,340"
"Carson County, Texas",285,± 122,"2,833"
"Carter County, Kentucky",606,± 180,"9,177"
"Carter County, Missouri",97,± 64,"2,315"
"Carter County, Montana",41,± 17,663
"Carter County, Oklahoma","1,215",± 183,"21,366"
"Carter County, Tennessee","1,535",± 303,"23,155"
"Carteret County, North Carolina","1,811",± 260,"30,029"
"Carver County, Minnesota","3,698",± 427,"58,541"
"Cascade County, Montana","2,315",± 344,"38,310"
"Casey County, Kentucky",386,± 147,"5,490"
"Cass County, Illinois",292,± 74,"5,896"
"Cass County, Indiana",814,± 157,"18,269"
"Cass County, Iowa",610,± 176,"6,520"
"Cass County, Michigan","1,247",± 187,"23,921"
"Cass County, Minnesota",777,± 98,"12,987"
"Cass County, Missouri","2,866",± 450,"54,445"
"Cass County, Nebraska",923,± 162,"13,850"
"Cass County, North Dakota","6,936",± 743,"109,301"
"Cass County, Texas",691,± 196,"10,920"
"Cassia County, Idaho",810,± 180,"11,500"
"Castro County, Texas",322,± 137,"3,467"
"Caswell County, North Carolina",608,± 165,"9,556"
"Catahoula Parish, Louisiana",289,± 123,"2,928"
"Cataño Municipio, Puerto Rico",537,± 153,"7,247"
"Catawba County, North Carolina","3,718",± 528,"75,895"
"Catoosa County, Georgia","2,283",± 380,"32,689"
"Catron County, New Mexico",42,± 35,961
"Cattaraugus County, New York","2,439",± 260,"33,221"
"Cavalier County, North Dakota",60,± 40,"1,699"
"Cayey Municipio, Puerto Rico","1,090",± 292,"13,834"
"Cayuga County, New York","2,574",± 304,"34,744"
"Cecil County, Maryland","3,327",± 512,"50,196"
"Cedar County, Iowa",523,± 132,"9,710"
"Cedar County, Missouri",327,± 142,"5,354"
"Cedar County, Nebraska",359,± 73,"4,303"
"Ceiba Municipio, Puerto Rico",68,± 53,"3,673"
"Centre County, Pennsylvania","12,101",± 834,"74,670"
"Cerro Gordo County, Iowa","1,142",± 253,"21,989"
"Chaffee County, Colorado",790,± 259,"8,752"
"Chambers County, Alabama",787,± 291,"15,072"
"Chambers County, Texas","1,288",± 340,"21,916"
"Champaign County, Illinois","14,290",± 959,"101,124"
"Champaign County, Ohio","1,075",± 246,"18,909"
"Chariton County, Missouri",267,± 84,"3,199"
"Charles City County, Virginia",126,± 50,"3,275"
"Charles County, Maryland","4,638",± 564,"84,642"
"Charles Mix County, South Dakota",353,± 83,"3,849"
"Charleston County, South Carolina","12,382","± 1,012","211,159"
"Charlevoix County, Michigan",585,± 101,"12,615"
"Charlotte County, Florida","3,052",± 420,"67,994"
"Charlotte County, Virginia",313,± 120,"4,689"
"Charlottesville city, Virginia","3,785",± 432,"23,975"
"Charlton County, Georgia",251,± 111,"4,993"
"Chase County, Kansas",85,± 31,"1,166"
"Chase County, Nebraska",86,± 38,"1,729"
"Chatham County, Georgia","9,406",± 812,"142,627"
"Chatham County, North Carolina","2,347",± 527,"35,458"
"Chattahoochee County, Georgia",147,± 80,"1,494"
"Chattooga County, Georgia",419,± 128,"9,156"
"Chautauqua County, Kansas",180,± 55,"1,325"
"Chautauqua County, New York","3,976",± 430,"55,176"
"Chaves County, New Mexico","1,889",± 347,"26,612"
"Cheatham County, Tennessee","1,080",± 211,"20,813"
"Cheboygan County, Michigan",474,± 98,"10,380"
"Chelan County, Washington","1,800",± 317,"37,236"
"Chemung County, New York","2,315",± 366,"36,664"
"Chenango County, New York","1,302",± 209,"21,234"
"Cherokee County, Alabama",788,± 208,"10,288"
"Cherokee County, Georgia","9,155","± 1,025","141,191"
"Cherokee County, Iowa",496,± 108,"5,954"
"Cherokee County, Kansas",564,± 138,"8,711"
"Cherokee County, North Carolina",571,± 241,"11,391"
"Cherokee County, Oklahoma","1,598",± 232,"20,388"
"Cherokee County, South Carolina","1,390",± 320,"24,212"
"Cherokee County, Texas","1,458",± 366,"20,080"
"Cherry County, Nebraska",175,± 74,"2,925"
"Chesapeake city, Virginia","7,769",± 869,"117,682"
"Cheshire County, New Hampshire","3,090",± 473,"39,109"
"Chester County, Pennsylvania","20,289","± 1,061","282,948"
"Chester County, South Carolina",647,± 187,"13,708"
"Chester County, Tennessee",357,± 184,"7,039"
"Chesterfield County, South Carolina",790,± 207,"18,142"
"Chesterfield County, Virginia","13,076",± 891,"186,171"
"Cheyenne County, Colorado",60,± 25,886
"Cheyenne County, Kansas",92,± 30,"1,284"
"Cheyenne County, Nebraska",444,± 140,"4,626"
"Chickasaw County, Iowa",257,± 87,"6,239"
"Chickasaw County, Mississippi",491,± 167,"6,743"
"Chicot County, Arkansas",258,± 105,"3,312"
"Childress County, Texas",149,± 101,"2,853"
"Chilton County, Alabama","1,064",± 255,"18,865"
"Chippewa County, Michigan","1,007",± 220,"15,711"
"Chippewa County, Minnesota",448,± 97,"6,048"
"Chippewa County, Wisconsin","1,864",± 341,"33,052"
"Chisago County, Minnesota","1,640",± 214,"30,092"
"Chittenden County, Vermont","8,782",± 708,"95,273"
"Choctaw County, Alabama",250,± 111,"4,532"
"Choctaw County, Mississippi",315,± 84,"3,153"
"Choctaw County, Oklahoma",343,± 71,"5,540"
"Chouteau County, Montana",125,± 30,"2,486"
"Chowan County, North Carolina",426,± 165,"5,922"
"Christian County, Illinois",636,± 183,"14,721"
"Christian County, Kentucky","1,097",± 275,"24,053"
"Christian County, Missouri","3,412",± 580,"43,789"
"Chugach Census Area, Alaska",213,± 86,"3,438"
"Churchill County, Nevada",786,± 237,"10,794"
"Ciales Municipio, Puerto Rico",192,± 95,"4,156"
"Cibola County, New Mexico",583,± 222,"8,912"
"Cidra Municipio, Puerto Rico",581,± 211,"12,847"
"Cimarron County, Oklahoma",21,± 13,"1,085"
"Citrus County, Florida","2,549",± 411,"49,315"
"Clackamas County, Oregon","10,534",± 940,"206,612"
"Claiborne County, Mississippi",226,± 125,"2,578"
"Claiborne County, Tennessee",807,± 203,"12,931"
"Claiborne Parish, Louisiana",208,± 87,"4,251"
"Clallam County, Washington","1,745",± 278,"30,216"
