Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Allegheny County, Pennsylvania","53,903","± 2,206","640,039"
"Allen County, Indiana","14,656",± 993,"189,834"
"Allen County, Kansas",319,± 92,"5,674"
"Allen County, Kentucky",630,± 189,"8,890"
"Allen County, Ohio","3,109",± 340,"46,253"
"Allen Parish, Louisiana",510,± 192,"7,782"
"Allendale County, South Carolina",104,± 63,"2,635"
"Alpena County, Michigan",798,± 151,"12,174"
"Alpine County, California",32,± 20,646
"Amador County, California",730,± 247,"15,877"
"Amelia County, Virginia",264,± 140,"6,340"
"Amherst County, Virginia",781,± 169,"14,978"
"Amite County, Mississippi",228,± 133,"3,788"
"Añasco Municipio, Puerto Rico",410,± 234,"8,619"
"Anchorage Municipality, Alaska","9,238",± 928,"142,335"
"Anderson County, Kansas",166,± 64,"3,514"
"Anderson County, Kentucky",774,± 207,"10,892"
"Anderson County, South Carolina","7,291",± 631,"92,914"
"Anderson County, Tennessee","2,833",± 419,"32,947"
"Anderson County, Texas","1,387",± 304,"20,005"
"Andrew County, Missouri",610,± 136,"8,572"
"Andrews County, Texas",462,± 215,"9,264"
"Androscoggin County, Maine","3,594",± 554,"56,011"
"Angelina County, Texas","2,380",± 454,"37,358"
"Anne Arundel County, Maryland","15,596","± 1,235","299,789"
"Anoka County, Minnesota","10,971",± 773,"194,364"
"Anson County, North Carolina",429,± 153,"8,731"
"Antelope County, Nebraska",257,± 67,"3,260"
"Antrim County, Michigan",518,± 101,"10,709"
"Apache County, Arizona","1,325",± 246,"18,242"
"Appanoose County, Iowa",343,± 102,"4,989"
"Appling County, Georgia",551,± 178,"7,394"
"Appomattox County, Virginia",421,± 137,"7,832"
"Aransas County, Texas",667,± 236,"9,291"
"Arapahoe County, Colorado","19,779","± 1,120","354,417"
"Archer County, Texas",315,± 91,"4,084"
"Archuleta County, Colorado",103,± 63,"5,974"
"Arecibo Municipio, Puerto Rico","1,579",± 331,"25,727"
"Arenac County, Michigan",325,± 74,"6,159"
"Arkansas County, Arkansas",483,± 137,"7,298"
"Arlington County, Virginia","5,753",± 594,"146,957"
"Armstrong County, Pennsylvania","2,360",± 264,"30,185"
"Armstrong County, Texas",85,± 41,818
"Aroostook County, Maine","1,745",± 259,"28,719"
"Arroyo Municipio, Puerto Rico",261,± 123,"3,877"
"Arthur County, Nebraska",7,± 4,223
"Ascension Parish, Louisiana","4,278",± 702,"62,579"
"Ashe County, North Carolina",637,± 174,"11,710"
"Ashland County, Ohio","1,421",± 258,"24,707"
"Ashland County, Wisconsin",359,± 101,"7,717"
"Ashley County, Arkansas",560,± 172,"6,568"
"Ashtabula County, Ohio","2,654",± 384,"42,136"
"Asotin County, Washington",591,± 141,"9,615"
"Assumption Parish, Louisiana",546,± 206,"8,579"
"Atascosa County, Texas","1,022",± 283,"20,548"
"Atchison County, Kansas",314,± 105,"7,822"
"Atchison County, Missouri",136,± 48,"2,546"
"Athens County, Ohio","1,725",± 410,"28,218"
"Atkinson County, Georgia",243,± 93,"3,605"
"Atlantic County, New Jersey","9,512",± 835,"129,611"
"Atoka County, Oklahoma",285,± 63,"5,015"
"Attala County, Mississippi",312,± 117,"7,022"
"Audrain County, Missouri",810,± 207,"11,077"
"Audubon County, Iowa",144,± 47,"2,837"
"Auglaize County, Ohio","1,546",± 272,"23,945"
"Augusta County, Virginia","2,534",± 381,"37,573"
"Aurora County, South Dakota",74,± 25,"1,396"
"Austin County, Texas",464,± 144,"14,541"
"Autauga County, Alabama","1,564",± 300,"26,411"
"Avery County, North Carolina",377,± 137,"6,698"
"Avoyelles Parish, Louisiana","1,123",± 240,"14,861"
"Baca County, Colorado",121,± 47,"1,494"
"Bacon County, Georgia",328,± 135,"4,253"
"Bailey County, Texas",94,± 72,"2,988"
"Baker County, Florida",836,± 258,"11,509"
"Baker County, Georgia",55,± 46,900
"Baker County, Oregon",388,± 118,"6,270"
"Baldwin County, Alabama","7,913","± 1,075","107,254"
"Baldwin County, Georgia",835,± 227,"16,838"
"Ballard County, Kentucky",343,± 119,"3,248"
"Baltimore city, Maryland","19,422","± 1,245","275,370"
"Baltimore County, Maryland","33,233","± 1,851","429,630"
"Bamberg County, South Carolina",328,± 121,"5,043"
"Bandera County, Texas",415,± 168,"9,206"
"Banks County, Georgia",381,± 119,"8,420"
"Banner County, Nebraska",3,± 4,348
"Bannock County, Idaho","2,896",± 391,"39,464"
"Baraga County, Michigan",284,± 84,"2,995"
"Barber County, Kansas",156,± 53,"1,936"
"Barbour County, Alabama",473,± 158,"8,452"
"Barbour County, West Virginia",369,± 132,"5,728"
"Barceloneta Municipio, Puerto Rico",383,± 194,"6,913"
"Barnes County, North Dakota",351,± 94,"5,474"
"Barnstable County, Massachusetts","8,197",± 658,"113,900"
"Barnwell County, South Carolina",218,± 95,"8,808"
"Barranquitas Municipio, Puerto Rico",804,± 298,"8,759"
"Barren County, Kentucky","1,569",± 247,"18,702"
"Barron County, Wisconsin","1,294",± 211,"22,593"
"Barrow County, Georgia","1,900",± 439,"41,974"
"Barry County, Michigan","1,866",± 294,"28,904"
"Barry County, Missouri",618,± 186,"14,930"
"Bartholomew County, Indiana","2,218",± 330,"40,798"
"Barton County, Kansas",711,± 189,"12,396"
"Barton County, Missouri",197,± 80,"4,631"
"Bartow County, Georgia","2,153",± 348,"52,132"
"Bastrop County, Texas","1,510",± 366,"45,372"
"Bates County, Missouri",291,± 89,"7,009"
"Bath County, Kentucky",236,± 105,"4,862"
"Bath County, Virginia",38,± 46,"1,753"
"Baxter County, Arkansas","1,185",± 233,"15,371"
"Bay County, Florida","5,165",± 548,"84,899"
"Bay County, Michigan","3,494",± 377,"48,294"
"Bayamón Municipio, Puerto Rico","3,797",± 415,"66,908"
"Bayfield County, Wisconsin",448,± 84,"7,434"
"Baylor County, Texas",120,± 81,"1,490"
"Beadle County, South Dakota",365,± 99,"9,304"
"Bear Lake County, Idaho",110,± 44,"2,723"
"Beaufort County, North Carolina","1,504",± 269,"19,319"
"Beaufort County, South Carolina","5,875",± 726,"79,528"
"Beauregard Parish, Louisiana",709,± 208,"14,535"
"Beaver County, Oklahoma",67,± 41,"2,359"
"Beaver County, Pennsylvania","5,525",± 453,"80,302"
"Beaver County, Utah",129,± 79,"3,064"
"Beaverhead County, Montana",334,± 118,"4,600"
"Becker County, Minnesota","1,169",± 153,"16,607"
"Beckham County, Oklahoma",478,± 180,"8,565"
"Bedford County, Pennsylvania","1,540",± 228,"22,220"
"Bedford County, Tennessee",906,± 193,"23,327"
"Bedford County, Virginia","2,544",± 519,"37,171"
"Bee County, Texas",633,± 259,"10,381"
"Belknap County, New Hampshire","1,829",± 349,"32,842"
"Bell County, Kentucky",409,± 133,"7,246"
"Bell County, Texas","10,792",± 904,"152,373"
"Belmont County, Ohio","2,277",± 321,"28,440"
"Beltrami County, Minnesota","1,857",± 266,"21,422"
"Ben Hill County, Georgia",319,± 132,"7,089"
"Benewah County, Idaho",159,± 68,"3,815"
"Bennett County, South Dakota",34,± 24,"1,091"
"Bennington County, Vermont","1,124",± 186,"17,673"
"Benson County, North Dakota",69,± 22,"2,048"
"Bent County, Colorado",53,± 56,"1,682"
"Benton County, Arkansas","7,031",± 637,"142,914"
"Benton County, Indiana",69,± 26,"4,081"
"Benton County, Iowa",922,± 161,"13,194"
"Benton County, Minnesota","1,818",± 230,"22,406"
"Benton County, Mississippi",185,± 105,"3,253"
"Benton County, Missouri",396,± 118,"7,062"
"Benton County, Oregon","2,694",± 328,"46,601"
"Benton County, Tennessee",489,± 134,"6,071"
"Benton County, Washington","5,583",± 560,"94,424"
"Benzie County, Michigan",562,± 125,"8,029"
"Bergen County, New Jersey","38,246","± 1,754","492,359"
"Berkeley County, South Carolina","5,799",± 616,"108,726"
"Berkeley County, West Virginia","3,011",± 495,"61,928"
"Berks County, Pennsylvania","12,567","± 1,042","211,422"
"Berkshire County, Massachusetts","5,174",± 506,"64,150"
"Bernalillo County, New Mexico","23,599","± 1,256","321,945"
"Berrien County, Georgia",365,± 114,"7,257"
"Berrien County, Michigan","4,270",± 393,"71,098"
"Bertie County, North Carolina",323,± 113,"6,308"
"Bethel Census Area, Alaska",309,± 110,"6,562"
"Bexar County, Texas","62,596","± 2,739","957,948"
"Bibb County, Alabama",457,± 177,"8,242"
"Bibb County, Georgia","4,532",± 568,"64,934"
"Bienville Parish, Louisiana",201,± 74,"4,501"
"Big Horn County, Montana",364,± 156,"4,740"
"Big Horn County, Wyoming",237,± 72,"4,960"
"Big Stone County, Minnesota",192,± 48,"2,360"
"Billings County, North Dakota",20,± 12,422
"Bingham County, Idaho","1,521",± 283,"21,636"
"Black Hawk County, Iowa","4,274",± 431,"66,619"
"Blackford County, Indiana",225,± 76,"5,151"
"Bladen County, North Carolina",653,± 247,"10,949"
"Blaine County, Idaho",497,± 226,"13,615"
"Blaine County, Montana",215,± 77,"2,679"
"Blaine County, Nebraska",8,± 7,206
"Blaine County, Oklahoma",105,± 39,"3,084"
"Blair County, Pennsylvania","4,521",± 464,"57,506"
"Blanco County, Texas",201,± 113,"5,502"
"Bland County, Virginia",145,± 73,"2,280"
"Bleckley County, Georgia",470,± 145,"5,005"
"Bledsoe County, Tennessee",218,± 114,"5,617"
"Blount County, Alabama","1,811",± 277,"24,856"
"Blount County, Tennessee","4,998",± 564,"65,081"
"Blue Earth County, Minnesota","2,312",± 308,"38,801"
"Boise County, Idaho",217,± 92,"3,375"
"Bolivar County, Mississippi",835,± 243,"11,008"
"Bollinger County, Missouri",250,± 111,"4,664"
"Bon Homme County, South Dakota",203,± 51,"2,642"
"Bond County, Illinois",374,± 149,"7,146"
"Bonner County, Idaho",834,± 203,"19,991"
"Bonneville County, Idaho","3,472",± 405,"56,015"
"Boone County, Arkansas","1,157",± 241,"16,224"
"Boone County, Illinois","1,256",± 285,"25,874"
"Boone County, Indiana","3,583",± 514,"36,952"
"Boone County, Iowa",662,± 162,"14,186"
"Boone County, Kentucky","4,189",± 499,"70,514"
"Boone County, Missouri","9,512",± 760,"96,815"
"Boone County, Nebraska",179,± 61,"2,792"
"Boone County, West Virginia",609,± 161,"7,033"
"Borden County, Texas",0,± 15,279
"Bosque County, Texas",341,± 90,"7,683"
"Bossier Parish, Louisiana","4,929",± 709,"53,983"
"Botetourt County, Virginia","1,117",± 211,"16,237"
"Bottineau County, North Dakota",221,± 73,"3,051"
"Boulder County, Colorado","8,912",± 717,"178,057"
"Boundary County, Idaho",304,± 161,"4,810"
"Bourbon County, Kansas",306,± 113,"6,500"
"Bourbon County, Kentucky",682,± 162,"9,098"
"Bowie County, Texas","2,686",± 438,"38,137"
"Bowman County, North Dakota",85,± 27,"1,432"
"Box Butte County, Nebraska",481,± 154,"5,245"
"Box Elder County, Utah",930,± 172,"26,993"
"Boyd County, Kentucky","2,200",± 383,"19,119"
"Boyd County, Nebraska",44,± 25,861
"Boyle County, Kentucky",950,± 192,"12,717"
"Bracken County, Kentucky",180,± 62,"3,706"
"Bradford County, Florida",677,± 187,"10,645"
"Bradford County, Pennsylvania","1,716",± 234,"25,961"
"Bradley County, Arkansas",409,± 168,"3,745"
"Bradley County, Tennessee","2,512",± 403,"51,057"
"Branch County, Michigan",975,± 186,"19,239"
"Brantley County, Georgia",680,± 272,"6,986"
"Braxton County, West Virginia",51,± 36,"3,812"
"Brazoria County, Texas","13,922","± 1,425","174,330"
"Brazos County, Texas","7,099",± 756,"114,256"
"Breathitt County, Kentucky",356,± 113,"4,553"
"Breckinridge County, Kentucky",517,± 152,"7,803"
"Bremer County, Iowa",978,± 211,"12,928"
"Brevard County, Florida","18,888","± 1,249","272,451"
"Brewster County, Texas",196,± 148,"4,772"
"Briscoe County, Texas",28,± 20,496
"Bristol Bay Borough, Alaska",20,± 20,425
"Bristol city, Virginia",347,± 150,"7,430"
"Bristol County, Massachusetts","19,365","± 1,150","290,854"
"Bristol County, Rhode Island","1,765",± 306,"26,005"
"Broadwater County, Montana",96,± 61,"3,182"
"Bronx County, New York","27,000","± 1,576","583,452"
"Brooke County, West Virginia",776,± 199,"9,592"
"Brookings County, South Dakota",907,± 196,"19,168"
"Brooks County, Georgia",302,± 101,"6,627"
"Brooks County, Texas",9,± 15,"3,009"
"Broome County, New York","5,765",± 602,"87,302"
"Broomfield County, Colorado","3,025",± 368,"41,879"
"Broward County, Florida","60,574","± 2,119","985,363"
"Brown County, Illinois",129,± 54,"2,418"
"Brown County, Indiana",522,± 210,"7,329"
"Brown County, Kansas",189,± 56,"4,506"
"Brown County, Minnesota",828,± 133,"13,487"
"Brown County, Nebraska",92,± 40,"1,285"
"Brown County, Ohio","1,100",± 268,"19,080"
"Brown County, South Dakota","1,564",± 298,"20,760"
"Brown County, Texas",828,± 209,"17,303"
"Brown County, Wisconsin","9,362",± 768,"141,720"
"Brule County, South Dakota",96,± 46,"2,650"
"Brunswick County, North Carolina","3,889",± 457,"56,463"
"Brunswick County, Virginia",298,± 118,"6,485"
"Bryan County, Georgia","1,720",± 402,"20,236"
"Bryan County, Oklahoma","1,329",± 246,"20,502"
"Buchanan County, Iowa",637,± 130,"10,443"
"Buchanan County, Missouri","2,642",± 355,"38,722"
"Buchanan County, Virginia",300,± 106,"5,990"
"Buckingham County, Virginia",220,± 93,"6,801"
"Bucks County, Pennsylvania","26,690","± 1,361","339,862"
"Buena Vista city, Virginia",128,± 89,"3,117"
"Buena Vista County, Iowa",441,± 125,"10,361"
"Buffalo County, Nebraska","1,959",± 271,"27,501"
"Buffalo County, South Dakota",31,± 21,592
"Buffalo County, Wisconsin",402,± 81,"6,930"
"Bullitt County, Kentucky","2,819",± 481,"41,100"
"Bulloch County, Georgia","2,070",± 432,"36,155"
"Bullock County, Alabama",134,± 110,"3,744"
"Buncombe County, North Carolina","10,341",± 917,"131,883"
"Bureau County, Illinois",756,± 119,"15,906"
"Burke County, Georgia",346,± 125,"10,558"
"Burke County, North Carolina","2,902",± 530,"39,539"
"Burke County, North Dakota",77,± 29,"1,054"
"Burleigh County, North Dakota","5,033",± 498,"50,965"
"Burleson County, Texas",315,± 145,"7,840"
"Burlington County, New Jersey","17,743","± 1,033","233,289"
"Burnet County, Texas",684,± 186,"23,128"
"Burnett County, Wisconsin",361,± 59,"6,854"
"Burt County, Nebraska",159,± 46,"3,048"
"Butler County, Alabama",365,± 98,"7,495"
"Butler County, Iowa",453,± 91,"6,880"
"Butler County, Kansas","2,167",± 331,"31,636"
"Butler County, Kentucky",221,± 95,"4,673"
"Butler County, Missouri",918,± 245,"17,433"
"Butler County, Nebraska",218,± 68,"4,470"
"Butler County, Ohio","13,250","± 1,145","186,002"
"Butler County, Pennsylvania","8,163",± 791,"96,617"
"Butte County, California","5,953",± 582,"95,378"
"Butte County, Idaho",36,± 20,"1,050"
"Butte County, South Dakota",252,± 98,"5,109"
"Butts County, Georgia",735,± 235,"10,251"
"Cabarrus County, North Carolina","8,177",± 832,"113,579"
"Cabell County, West Virginia","3,880",± 468,"40,146"
"Cabo Rojo Municipio, Puerto Rico","1,041",± 307,"15,402"
"Cache County, Utah","2,661",± 324,"67,546"
"Caddo County, Oklahoma",461,± 99,"10,794"
"Caddo Parish, Louisiana","7,867",± 718,"96,578"
"Caguas Municipio, Puerto Rico","4,130",± 629,"47,611"
"Calaveras County, California",550,± 204,"17,362"
"Calcasieu Parish, Louisiana","6,783",± 785,"91,987"
"Caldwell County, Kentucky",428,± 184,"5,434"
"Caldwell County, Missouri",194,± 57,"3,778"
"Caldwell County, North Carolina","1,739",± 377,"36,435"
"Caldwell County, Texas",675,± 228,"20,563"
"Caldwell Parish, Louisiana",353,± 127,"3,157"
"Caledonia County, Vermont","1,057",± 186,"15,786"
"Calhoun County, Alabama","3,411",± 459,"49,455"
"Calhoun County, Arkansas",78,± 42,"1,643"
"Calhoun County, Florida",408,± 133,"4,518"
"Calhoun County, Georgia",75,± 37,"1,603"
"Calhoun County, Illinois",245,± 69,"1,770"
"Calhoun County, Iowa",356,± 62,"4,237"
"Calhoun County, Michigan","3,420",± 423,"59,548"
"Calhoun County, Mississippi",247,± 82,"5,673"
"Calhoun County, South Carolina",543,± 185,"6,185"
"Calhoun County, Texas",524,± 284,"9,691"
"Calhoun County, West Virginia",179,± 62,"1,927"
"Callahan County, Texas",333,± 141,"6,237"
"Callaway County, Missouri","1,463",± 360,"20,583"
"Calloway County, Kentucky","1,149",± 263,"17,388"
"Calumet County, Wisconsin","1,867",± 242,"28,969"
"Calvert County, Maryland","2,082",± 375,"47,275"
"Camas County, Idaho",17,± 14,498
"Cambria County, Pennsylvania","5,243",± 449,"57,707"
"Camden County, Georgia","1,241",± 319,"21,987"
"Camden County, Missouri",998,± 216,"18,069"
"Camden County, New Jersey","20,050","± 1,128","256,795"
"Camden County, North Carolina",214,± 106,"4,793"
"Cameron County, Pennsylvania",49,± 36,"1,810"
"Cameron County, Texas","8,327",± 746,"168,550"
"Cameron Parish, Louisiana",115,± 109,"2,584"
"Camp County, Texas",332,± 138,"5,211"
"Campbell County, Kentucky","3,826",± 445,"47,628"
"Campbell County, South Dakota",22,± 16,763
"Campbell County, Tennessee","1,120",± 276,"15,272"
"Campbell County, Virginia","1,304",± 261,"26,222"
"Campbell County, Wyoming","1,136",± 310,"24,282"
"Camuy Municipio, Puerto Rico",936,± 278,"10,870"
"Canadian County, Oklahoma","5,341",± 654,"79,112"
"Candler County, Georgia",227,± 104,"4,464"
"Cannon County, Tennessee",497,± 161,"6,445"
"Canóvanas Municipio, Puerto Rico",878,± 274,"15,299"
"Canyon County, Idaho","4,283",± 460,"108,514"
"Cape Girardeau County, Missouri","3,180",± 435,"41,353"
"Cape May County, New Jersey","2,704",± 326,"42,214"
"Capitol Planning Region, Connecticut","34,187","± 1,405","496,708"
"Carbon County, Montana",269,± 63,"5,215"
"Carbon County, Pennsylvania","2,202",± 409,"30,774"
"Carbon County, Utah",340,± 105,"8,256"
"Carbon County, Wyoming",140,± 77,"6,623"
"Caribou County, Idaho",132,± 69,"3,366"
"Carlisle County, Kentucky",110,± 43,"1,817"
"Carlton County, Minnesota","1,503",± 261,"16,701"
"Carolina Municipio, Puerto Rico","3,389",± 484,"59,924"
"Caroline County, Maryland",857,± 148,"16,020"
"Caroline County, Virginia",535,± 174,"15,171"
"Carroll County, Arkansas",411,± 123,"11,794"
"Carroll County, Georgia","2,612",± 421,"56,102"
"Carroll County, Illinois",337,± 97,"6,794"
"Carroll County, Indiana",501,± 145,"9,599"
"Carroll County, Iowa",570,± 147,"10,755"
"Carroll County, Kentucky",61,± 36,"4,487"
"Carroll County, Maryland","6,066",± 509,"91,143"
"Carroll County, Mississippi",357,± 148,"3,655"
"Carroll County, Missouri",318,± 102,"3,840"
"Carroll County, New Hampshire","1,613",± 361,"24,833"
"Carroll County, Ohio",800,± 247,"11,916"
"Carroll County, Tennessee",771,± 186,"11,911"
"Carroll County, Virginia","1,329",± 416,"12,303"
"Carson City, Nevada","1,353",± 267,"27,340"
"Carson County, Texas",210,± 80,"2,833"
"Carter County, Kentucky",767,± 238,"9,177"
"Carter County, Missouri",66,± 60,"2,315"
"Carter County, Montana",12,± 8,663
"Carter County, Oklahoma","1,300",± 174,"21,366"
"Carter County, Tennessee","1,831",± 332,"23,155"
"Carteret County, North Carolina","2,052",± 278,"30,029"
"Carver County, Minnesota","3,861",± 425,"58,541"
"Cascade County, Montana","2,939",± 418,"38,310"
"Casey County, Kentucky",402,± 134,"5,490"
"Cass County, Illinois",248,± 80,"5,896"
"Cass County, Indiana",999,± 213,"18,269"
"Cass County, Iowa",347,± 100,"6,520"
"Cass County, Michigan","1,392",± 249,"23,921"
"Cass County, Minnesota",570,± 69,"12,987"
"Cass County, Missouri","3,419",± 485,"54,445"
"Cass County, Nebraska",878,± 156,"13,850"
"Cass County, North Dakota","10,431","± 1,103","109,301"
"Cass County, Texas",657,± 168,"10,920"
"Cassia County, Idaho",405,± 138,"11,500"
"Castro County, Texas",85,± 64,"3,467"
"Caswell County, North Carolina",790,± 238,"9,556"
"Catahoula Parish, Louisiana",212,± 99,"2,928"
"Cataño Municipio, Puerto Rico",415,± 142,"7,247"
"Catawba County, North Carolina","4,440",± 525,"75,895"
"Catoosa County, Georgia","1,912",± 344,"32,689"
"Catron County, New Mexico",23,± 27,961
"Cattaraugus County, New York","1,773",± 183,"33,221"
"Cavalier County, North Dakota",75,± 28,"1,699"
"Cayey Municipio, Puerto Rico","1,173",± 265,"13,834"
"Cayuga County, New York","2,249",± 277,"34,744"
"Cecil County, Maryland","2,860",± 379,"50,196"
"Cedar County, Iowa",510,± 102,"9,710"
"Cedar County, Missouri",515,± 183,"5,354"
"Cedar County, Nebraska",276,± 70,"4,303"
"Ceiba Municipio, Puerto Rico",207,± 120,"3,673"
"Centre County, Pennsylvania","4,786",± 630,"74,670"
"Cerro Gordo County, Iowa","1,415",± 246,"21,989"
"Chaffee County, Colorado",695,± 246,"8,752"
"Chambers County, Alabama","1,094",± 265,"15,072"
"Chambers County, Texas","1,092",± 321,"21,916"
"Champaign County, Illinois","6,555",± 713,"101,124"
"Champaign County, Ohio","1,119",± 255,"18,909"
"Chariton County, Missouri",185,± 48,"3,199"
"Charles City County, Virginia",184,± 60,"3,275"
"Charles County, Maryland","4,175",± 557,"84,642"
"Charles Mix County, South Dakota",188,± 52,"3,849"
"Charleston County, South Carolina","18,013","± 1,293","211,159"
"Charlevoix County, Michigan",986,± 159,"12,615"
"Charlotte County, Florida","4,084",± 480,"67,994"
"Charlotte County, Virginia",227,± 100,"4,689"
"Charlottesville city, Virginia","1,837",± 317,"23,975"
"Charlton County, Georgia",305,± 133,"4,993"
"Chase County, Kansas",59,± 28,"1,166"
"Chase County, Nebraska",80,± 40,"1,729"
"Chatham County, Georgia","9,872",± 869,"142,627"
"Chatham County, North Carolina","2,933",± 466,"35,458"
"Chattahoochee County, Georgia",91,± 45,"1,494"
"Chattooga County, Georgia",551,± 162,"9,156"
"Chautauqua County, Kansas",101,± 34,"1,325"
"Chautauqua County, New York","3,299",± 346,"55,176"
"Chaves County, New Mexico","1,461",± 344,"26,612"
"Cheatham County, Tennessee",902,± 215,"20,813"
"Cheboygan County, Michigan",589,± 113,"10,380"
"Chelan County, Washington","2,536",± 397,"37,236"
"Chemung County, New York","2,661",± 378,"36,664"
"Chenango County, New York","1,382",± 159,"21,234"
"Cherokee County, Alabama","1,020",± 248,"10,288"
"Cherokee County, Georgia","6,239",± 743,"141,191"
"Cherokee County, Iowa",367,± 90,"5,954"
"Cherokee County, Kansas",637,± 205,"8,711"
"Cherokee County, North Carolina",736,± 213,"11,391"
"Cherokee County, Oklahoma","1,734",± 310,"20,388"
"Cherokee County, South Carolina","1,089",± 260,"24,212"
"Cherokee County, Texas","1,321",± 283,"20,080"
"Cherry County, Nebraska",102,± 52,"2,925"
"Chesapeake city, Virginia","7,882",± 641,"117,682"
"Cheshire County, New Hampshire","2,521",± 357,"39,109"
"Chester County, Pennsylvania","18,049","± 1,069","282,948"
"Chester County, South Carolina",557,± 166,"13,708"
"Chester County, Tennessee",449,± 147,"7,039"
"Chesterfield County, South Carolina",729,± 149,"18,142"
"Chesterfield County, Virginia","13,113",± 895,"186,171"
"Cheyenne County, Colorado",54,± 27,886
"Cheyenne County, Kansas",63,± 31,"1,284"
"Cheyenne County, Nebraska",228,± 90,"4,626"
"Chickasaw County, Iowa",377,± 97,"6,239"
"Chickasaw County, Mississippi",334,± 143,"6,743"
"Chicot County, Arkansas",146,± 57,"3,312"
"Childress County, Texas",231,± 155,"2,853"
"Chilton County, Alabama","1,011",± 290,"18,865"
"Chippewa County, Michigan",957,± 201,"15,711"
"Chippewa County, Minnesota",230,± 62,"6,048"
"Chippewa County, Wisconsin","1,825",± 251,"33,052"
"Chisago County, Minnesota","1,829",± 263,"30,092"
"Chittenden County, Vermont","7,280",± 651,"95,273"
"Choctaw County, Alabama",213,± 93,"4,532"
"Choctaw County, Mississippi",189,± 91,"3,153"
"Choctaw County, Oklahoma",315,± 72,"5,540"
"Chouteau County, Montana",157,± 45,"2,486"
"Chowan County, North Carolina",216,± 161,"5,922"
"Christian County, Illinois","1,135",± 271,"14,721"
"Christian County, Kentucky","1,301",± 324,"24,053"
"Christian County, Missouri","3,846",± 619,"43,789"
"Chugach Census Area, Alaska",147,± 78,"3,438"
"Churchill County, Nevada",813,± 333,"10,794"
"Ciales Municipio, Puerto Rico",70,± 69,"4,156"
"Cibola County, New Mexico",369,± 163,"8,912"
"Cidra Municipio, Puerto Rico",885,± 257,"12,847"
"Cimarron County, Oklahoma",16,± 16,"1,085"
"Citrus County, Florida","4,013",± 561,"49,315"
"Clackamas County, Oregon","14,555","± 1,037","206,612"
"Claiborne County, Mississippi",169,± 115,"2,578"
"Claiborne County, Tennessee","1,024",± 279,"12,931"
"Claiborne Parish, Louisiana",333,± 106,"4,251"
"Clallam County, Washington","2,074",± 368,"30,216"
"Clare County, Michigan",573,± 111,"11,041"
