Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Avery County, North Carolina",8.20%,± 1.7%
"Avoyelles Parish, Louisiana",15.20%,± 1.9%
"Baca County, Colorado",9.80%,± 2.6%
"Bacon County, Georgia",9.40%,± 2.4%
"Bailey County, Texas",16.70%,± 5.5%
"Baker County, Florida",11.40%,± 2%
"Baker County, Georgia",10.10%,± 4%
"Baker County, Oregon",6.60%,± 1.6%
"Baldwin County, Alabama",6.40%,± 0.7%
"Baldwin County, Georgia",10.60%,± 1.6%
"Ballard County, Kentucky",5.20%,± 1.2%
"Baltimore city, Maryland",9%,± 0.4%
"Baltimore County, Maryland",5%,± 0.3%
"Bamberg County, South Carolina",16.30%,± 3.4%
"Bandera County, Texas",5.30%,± 1.3%
"Banks County, Georgia",14.20%,± 2.5%
"Banner County, Nebraska",2.90%,± 2.3%
"Bannock County, Idaho",5.10%,± 0.6%
"Baraga County, Michigan",6.50%,± 1.4%
"Barber County, Kansas",7.10%,± 2.4%
"Barbour County, Alabama",16.20%,± 1.8%
"Barbour County, West Virginia",8.50%,± 1.8%
"Barceloneta Municipio, Puerto Rico",6.90%,± 1.8%
"Barnes County, North Dakota",3.10%,± 1.2%
"Barnstable County, Massachusetts",2.60%,± 0.4%
"Barnwell County, South Carolina",9.90%,± 1.9%
"Barranquitas Municipio, Puerto Rico",9.10%,± 1.6%
"Barren County, Kentucky",8.60%,± 1.5%
"Barron County, Wisconsin",5.90%,± 0.7%
"Barrow County, Georgia",7.40%,± 0.9%
"Barry County, Michigan",4.80%,± 0.7%
"Barry County, Missouri",10.10%,± 1.6%
"Bartholomew County, Indiana",5.80%,± 1.1%
"Barton County, Kansas",7.60%,± 1.7%
"Barton County, Missouri",9.70%,± 2.2%
"Bartow County, Georgia",8%,± 0.9%
"Bastrop County, Texas",7.70%,± 1.1%
"Bates County, Missouri",8.40%,± 1.8%
"Bath County, Kentucky",8.80%,± 2.2%
"Bath County, Virginia",7.50%,± 3.7%
"Baxter County, Arkansas",8%,± 1.4%
"Bay County, Florida",6.40%,± 0.6%
"Bay County, Michigan",6.80%,± 0.9%
"Bayamón Municipio, Puerto Rico",6.50%,± 0.5%
"Bayfield County, Wisconsin",3.20%,± 0.7%
"Baylor County, Texas",10.70%,± 4.5%
"Beadle County, South Dakota",5.50%,± 2%
"Bear Lake County, Idaho",6%,± 1.6%
"Beaufort County, North Carolina",7.90%,± 1%
"Beaufort County, South Carolina",4.30%,± 0.7%
"Beauregard Parish, Louisiana",8%,± 1.3%
"Beaver County, Oklahoma",6.30%,± 1.9%
"Beaver County, Pennsylvania",3.90%,± 0.4%
"Beaver County, Utah",4.60%,± 2.5%
"Beaverhead County, Montana",4%,± 1.8%
"Becker County, Minnesota",4.80%,± 0.7%
"Beckham County, Oklahoma",11.30%,± 1.9%
"Bedford County, Pennsylvania",6.90%,± 0.7%
"Bedford County, Tennessee",9.30%,± 1.5%
"Bedford County, Virginia",5%,± 0.9%
"Bee County, Texas",12%,± 1.7%
"Belknap County, New Hampshire",5.10%,± 1%
"Bell County, Kentucky",12.60%,± 1.7%
"Bell County, Texas",5.70%,± 0.4%
"Belmont County, Ohio",6.60%,± 1%
"Beltrami County, Minnesota",5.70%,± 1%
"Ben Hill County, Georgia",11.10%,± 2.8%
"Benewah County, Idaho",12.40%,± 3%
"Bennett County, South Dakota",8.10%,± 4.2%
"Bennington County, Vermont",4%,± 0.8%
"Benson County, North Dakota",10.20%,± 2%
"Bent County, Colorado",12%,± 3.3%
"Benton County, Arkansas",5%,± 0.5%
"Benton County, Indiana",7.90%,± 2%
"Benton County, Iowa",4%,± 0.9%
"Benton County, Minnesota",6.30%,± 1.2%
"Benton County, Mississippi",12.80%,± 3.2%
"Benton County, Missouri",8.50%,± 1.8%
"Benton County, Oregon",2.50%,± 0.6%
"Benton County, Tennessee",9.40%,± 1.9%
"Benton County, Washington",4.80%,± 0.5%
"Benzie County, Michigan",4.50%,± 0.8%
"Bergen County, New Jersey",3%,± 0.2%
"Berkeley County, South Carolina",6.90%,± 0.8%
"Berkeley County, West Virginia",6.50%,± 0.8%
"Berks County, Pennsylvania",7.20%,± 0.4%
"Berkshire County, Massachusetts",4.50%,± 0.6%
"Bernalillo County, New Mexico",6%,± 0.3%
"Berrien County, Georgia",12.40%,± 2.4%
"Berrien County, Michigan",5.80%,± 0.5%
"Bertie County, North Carolina",14.80%,± 2.8%
"Bethel Census Area, Alaska",11%,± 1%
"Bexar County, Texas",7.50%,± 0.2%
"Bibb County, Alabama",14.70%,± 2.3%
"Bibb County, Georgia",9.80%,± 0.9%
"Bienville Parish, Louisiana",10.90%,± 2%
"Big Horn County, Montana",8.30%,± 2%
"Big Horn County, Wyoming",8.30%,± 2.2%
"Big Stone County, Minnesota",3.40%,± 1%
"Billings County, North Dakota",3.30%,± 2%
"Bingham County, Idaho",6.50%,± 1%
"Black Hawk County, Iowa",4.60%,± 0.6%
"Blackford County, Indiana",7.20%,± 1.9%
"Bladen County, North Carolina",8.40%,± 1.6%
"Blaine County, Idaho",4.90%,± 2%
"Blaine County, Montana",6.90%,± 1.7%
"Blaine County, Nebraska",9%,± 6.1%
"Blaine County, Oklahoma",10.20%,± 2.4%
"Blair County, Pennsylvania",5.20%,± 0.6%
"Blanco County, Texas",4.70%,± 2.1%
"Bland County, Virginia",6%,± 2.4%
"Bleckley County, Georgia",7.40%,± 2.4%
"Bledsoe County, Tennessee",14.80%,± 3%
"Blount County, Alabama",11.10%,± 1.4%
"Blount County, Tennessee",6.30%,± 0.7%
"Blue Earth County, Minnesota",3.10%,± 0.6%
"Boise County, Idaho",3.70%,± 1.2%
"Bolivar County, Mississippi",11.30%,± 1.5%
"Bollinger County, Missouri",12%,± 2.9%
"Bon Homme County, South Dakota",7.30%,± 1.5%
"Bond County, Illinois",8.80%,± 2%
"Bonner County, Idaho",6.50%,± 1.4%
"Bonneville County, Idaho",5.10%,± 0.8%
"Boone County, Arkansas",6.30%,± 1.4%
"Boone County, Illinois",6.40%,± 1.2%
"Boone County, Indiana",3.20%,± 0.7%
"Boone County, Iowa",4%,± 1%
"Boone County, Kentucky",3.80%,± 0.5%
"Boone County, Missouri",3.20%,± 0.4%
"Boone County, Nebraska",4.10%,± 1.7%
"Boone County, West Virginia",10.30%,± 1.9%
"Borden County, Texas",3.20%,± 2.3%
"Bosque County, Texas",7.80%,± 1.3%
"Bossier Parish, Louisiana",6.90%,± 0.9%
"Botetourt County, Virginia",4%,± 1.2%
"Bottineau County, North Dakota",5.60%,± 1.6%
"Boulder County, Colorado",2.30%,± 0.2%
"Boundary County, Idaho",8.50%,± 2.4%
"Bourbon County, Kansas",7.30%,± 2.3%
"Bourbon County, Kentucky",8.20%,± 1.9%
"Bowie County, Texas",6.60%,± 0.6%
"Bowman County, North Dakota",8.70%,± 3.5%
"Box Butte County, Nebraska",5.10%,± 1.8%
"Box Elder County, Utah",4.50%,± 0.7%
"Boyd County, Kentucky",8.50%,± 1%
"Boyd County, Nebraska",3.40%,± 2%
"Boyle County, Kentucky",6.80%,± 1%
"Bracken County, Kentucky",7.80%,± 2.2%
"Bradford County, Florida",12.10%,± 1.9%
"Bradford County, Pennsylvania",6.90%,± 0.7%
"Bradley County, Arkansas",9.10%,± 2%
"Bradley County, Tennessee",7.60%,± 0.8%
"Branch County, Michigan",5.60%,± 0.6%
"Brantley County, Georgia",14.80%,± 4%
"Braxton County, West Virginia",11.20%,± 3%
"Brazoria County, Texas",6.20%,± 0.6%
"Brazos County, Texas",5.60%,± 0.6%
"Breathitt County, Kentucky",13%,± 2%
"Breckinridge County, Kentucky",10.40%,± 2%
"Bremer County, Iowa",2.80%,± 0.9%
"Brevard County, Florida",5.10%,± 0.3%
"Brewster County, Texas",6.90%,± 2.7%
"Briscoe County, Texas",7.70%,± 4.3%
"Bristol Bay Borough, Alaska",3%,± 4.1%
"Bristol city, Virginia",11.10%,± 2.6%
"Bristol County, Massachusetts",6.90%,± 0.3%
"Bristol County, Rhode Island",4.30%,± 1.1%
"Broadwater County, Montana",4.30%,± 1.8%
"Bronx County, New York",12.90%,± 0.4%
"Brooke County, West Virginia",5.60%,± 1.4%
"Brookings County, South Dakota",2.70%,± 0.8%
"Brooks County, Georgia",11%,± 2.5%
"Brooks County, Texas",17.30%,± 7.3%
"Broome County, New York",6.50%,± 0.7%
"Broomfield County, Colorado",2.70%,± 0.6%
"Broward County, Florida",5.70%,± 0.2%
"Brown County, Illinois",16%,± 2.5%
"Brown County, Indiana",5.60%,± 1.3%
"Brown County, Kansas",5.20%,± 1.9%
"Brown County, Minnesota",4.80%,± 0.9%
"Brown County, Nebraska",6.10%,± 2.9%
"Brown County, Ohio",9.70%,± 1.4%
"Brown County, South Dakota",4.10%,± 1.1%
"Brown County, Texas",8.70%,± 1.6%
"Brown County, Wisconsin",4.10%,± 0.4%
"Brule County, South Dakota",4.80%,± 2.9%
"Brunswick County, North Carolina",4.70%,± 0.5%
"Brunswick County, Virginia",16.90%,± 2.7%
"Bryan County, Georgia",5.40%,± 1.2%
"Bryan County, Oklahoma",9%,± 1.1%
"Buchanan County, Iowa",3.60%,± 0.9%
"Buchanan County, Missouri",7.10%,± 0.8%
"Buchanan County, Virginia",15.50%,± 2.3%
"Buckingham County, Virginia",9.20%,± 1.5%
"Bucks County, Pennsylvania",3.50%,± 0.3%
"Buena Vista city, Virginia",13.20%,± 4.9%
"Buena Vista County, Iowa",9.30%,± 1.9%
"Buffalo County, Nebraska",4.90%,± 1%
"Buffalo County, South Dakota",16.50%,± 4.9%
"Buffalo County, Wisconsin",6.10%,± 1.1%
"Bullitt County, Kentucky",7.70%,± 0.9%
"Bulloch County, Georgia",8.90%,± 1.2%
"Bullock County, Alabama",16.70%,± 4.2%
"Buncombe County, North Carolina",4.90%,± 0.5%
"Bureau County, Illinois",6.70%,± 0.9%
"Burke County, Georgia",9.40%,± 2%
"Burke County, North Carolina",9.20%,± 1.2%
"Burke County, North Dakota",5.90%,± 2.1%
"Burleigh County, North Dakota",2.90%,± 0.5%
"Burleson County, Texas",10.90%,± 2.3%
"Burlington County, New Jersey",4%,± 0.3%
"Burnet County, Texas",5.10%,± 0.9%
"Burnett County, Wisconsin",5.70%,± 0.9%
"Burt County, Nebraska",7.30%,± 2.4%
"Butler County, Alabama",8.50%,± 1.7%
"Butler County, Iowa",5.10%,± 1%
"Butler County, Kansas",4.20%,± 0.6%
"Butler County, Kentucky",10.70%,± 2.2%
"Butler County, Missouri",12%,± 2%
"Butler County, Nebraska",3.90%,± 1.2%
"Butler County, Ohio",5.90%,± 0.4%
"Butler County, Pennsylvania",3.30%,± 0.3%
"Butte County, California",6.20%,± 0.5%
"Butte County, Idaho",6.40%,± 3.2%
"Butte County, South Dakota",6.60%,± 2.4%
"Butts County, Georgia",12.50%,± 2.1%
"Cabarrus County, North Carolina",5.30%,± 0.6%
"Cabell County, West Virginia",7%,± 0.8%
"Cabo Rojo Municipio, Puerto Rico",8.50%,± 1.2%
"Cache County, Utah",3.40%,± 0.6%
"Caddo County, Oklahoma",8.80%,± 1%
"Caddo Parish, Louisiana",9.30%,± 0.7%
"Caguas Municipio, Puerto Rico",6.20%,± 0.7%
"Calaveras County, California",5.90%,± 1.1%
"Calcasieu Parish, Louisiana",8.10%,± 0.8%
"Caldwell County, Kentucky",9.90%,± 3.4%
"Caldwell County, Missouri",6.90%,± 1.5%
"Caldwell County, North Carolina",12.10%,± 1.3%
"Caldwell County, Texas",12.30%,± 1.7%
"Caldwell Parish, Louisiana",13.70%,± 3.6%
"Caledonia County, Vermont",4.40%,± 0.6%
"Calhoun County, Alabama",10.50%,± 0.9%
"Calhoun County, Arkansas",12.40%,± 3.4%
"Calhoun County, Florida",13.80%,± 2.7%
"Calhoun County, Georgia",16.20%,± 2.7%
"Calhoun County, Illinois",6.30%,± 2.6%
"Calhoun County, Iowa",5%,± 1.2%
"Calhoun County, Michigan",6.40%,± 0.6%
"Calhoun County, Mississippi",15%,± 2.5%
"Calhoun County, South Carolina",7.60%,± 2.4%
"Calhoun County, Texas",8.10%,± 2.4%
"Calhoun County, West Virginia",8.20%,± 2.5%
"Callahan County, Texas",6%,± 1.6%
"Callaway County, Missouri",8.10%,± 1.3%
"Calloway County, Kentucky",6.30%,± 1.2%
"Calumet County, Wisconsin",3.50%,± 0.7%
"Calvert County, Maryland",4.40%,± 0.7%
"Camas County, Idaho",1.80%,± 1.9%
"Cambria County, Pennsylvania",5.20%,± 0.5%
"Camden County, Georgia",6%,± 1.1%
"Camden County, Missouri",6.60%,± 1%
"Camden County, New Jersey",6.20%,± 0.3%
"Camden County, North Carolina",4.30%,± 1.7%
"Cameron County, Pennsylvania",5.80%,± 1.9%
"Cameron County, Texas",12.60%,± 0.7%
"Cameron Parish, Louisiana",7.40%,± 3.5%
"Camp County, Texas",6%,± 1.8%
"Campbell County, Kentucky",4.60%,± 0.6%
"Campbell County, South Dakota",7.40%,± 3.1%
"Campbell County, Tennessee",12.20%,± 1.5%
"Campbell County, Virginia",6.10%,± 0.9%
"Campbell County, Wyoming",4.80%,± 1.1%
"Camuy Municipio, Puerto Rico",9.40%,± 1.7%
"Canadian County, Oklahoma",5.10%,± 0.6%
"Candler County, Georgia",11.80%,± 2.7%
"Cannon County, Tennessee",9.80%,± 2.3%
"Canóvanas Municipio, Puerto Rico",7.90%,± 1.3%
"Canyon County, Idaho",7.50%,± 0.7%
"Cape Girardeau County, Missouri",5.50%,± 0.8%
"Cape May County, New Jersey",3.70%,± 0.5%
"Capitol Planning Region, Connecticut",5.20%,± 0.2%
"Carbon County, Montana",2.40%,± 0.7%
"Carbon County, Pennsylvania",7.20%,± 1.1%
"Carbon County, Utah",5.60%,± 1.3%
"Carbon County, Wyoming",6.70%,± 1.8%
"Caribou County, Idaho",6%,± 2.5%
"Carlisle County, Kentucky",8%,± 2.4%
"Carlton County, Minnesota",3.90%,± 0.6%
"Carolina Municipio, Puerto Rico",5.10%,± 0.5%
"Caroline County, Maryland",10.20%,± 1.3%
"Caroline County, Virginia",7.90%,± 1.3%
"Carroll County, Arkansas",5.90%,± 1.2%
"Carroll County, Georgia",10.50%,± 1.1%
"Carroll County, Illinois",7.80%,± 1.5%
"Carroll County, Indiana",7.20%,± 1.7%
"Carroll County, Iowa",2.90%,± 0.6%
"Carroll County, Kentucky",11.40%,± 3%
"Carroll County, Maryland",4.10%,± 0.5%
"Carroll County, Mississippi",14.60%,± 3.9%
"Carroll County, Missouri",6.40%,± 1.6%
"Carroll County, New Hampshire",3.40%,± 0.8%
"Carroll County, Ohio",6.40%,± 1.3%
"Carroll County, Tennessee",6.70%,± 1.1%
"Carroll County, Virginia",10.10%,± 1.8%
"Carson City, Nevada",7.40%,± 1%
"Carson County, Texas",5.60%,± 1.9%
"Carter County, Kentucky",10.80%,± 1.8%
"Carter County, Missouri",13.70%,± 5.3%
"Carter County, Montana",4.80%,± 2.6%
"Carter County, Oklahoma",9.20%,± 1%
"Carter County, Tennessee",8.30%,± 1.1%
"Carteret County, North Carolina",6%,± 0.8%
"Carver County, Minnesota",1.80%,± 0.4%
"Cascade County, Montana",4.30%,± 0.6%
"Casey County, Kentucky",9.20%,± 2.4%
"Cass County, Illinois",7.20%,± 1.8%
"Cass County, Indiana",8.10%,± 1.2%
"Cass County, Iowa",6.90%,± 1.8%
"Cass County, Michigan",7.70%,± 0.8%
"Cass County, Minnesota",4.50%,± 0.5%
"Cass County, Missouri",3.80%,± 0.6%
"Cass County, Nebraska",3.30%,± 0.6%
"Cass County, North Dakota",2.40%,± 0.4%
"Cass County, Texas",8.90%,± 1.7%
"Cassia County, Idaho",7.70%,± 1.4%
"Castro County, Texas",6.50%,± 2.2%
"Caswell County, North Carolina",11.60%,± 2%
"Catahoula Parish, Louisiana",16.90%,± 3.5%
"Cataño Municipio, Puerto Rico",8.30%,± 1.4%
"Catawba County, North Carolina",8.40%,± 0.8%
"Catoosa County, Georgia",7.40%,± 1.1%
"Catron County, New Mexico",1.40%,± 1.3%
"Cattaraugus County, New York",6.50%,± 0.6%
"Cavalier County, North Dakota",3.50%,± 1.2%
"Cayey Municipio, Puerto Rico",5.90%,± 1.3%
"Cayuga County, New York",8.10%,± 0.8%
"Cecil County, Maryland",6.20%,± 0.8%
"Cedar County, Iowa",2.80%,± 0.7%
"Cedar County, Missouri",8%,± 2.1%
"Cedar County, Nebraska",3.50%,± 1%
"Ceiba Municipio, Puerto Rico",8%,± 2.4%
"Centre County, Pennsylvania",3.10%,± 0.4%
"Cerro Gordo County, Iowa",4.10%,± 0.8%
"Chaffee County, Colorado",4.50%,± 1.4%
"Chambers County, Alabama",10.80%,± 1.7%
"Chambers County, Texas",5.20%,± 1.3%
"Champaign County, Illinois",3.70%,± 0.5%
"Champaign County, Ohio",6.60%,± 1%
"Chariton County, Missouri",5.80%,± 1.6%
"Charles City County, Virginia",11.60%,± 1.9%
"Charles County, Maryland",3.40%,± 0.4%
"Charles Mix County, South Dakota",6.10%,± 1.4%
"Charleston County, South Carolina",5%,± 0.4%
"Charlevoix County, Michigan",4.10%,± 0.6%
"Charlotte County, Florida",5.70%,± 0.4%
"Charlotte County, Virginia",11%,± 2.6%
"Charlottesville city, Virginia",4.90%,± 1.1%
"Charlton County, Georgia",8.80%,± 2.2%
"Chase County, Kansas",4.90%,± 1.8%
"Chase County, Nebraska",6.30%,± 3.1%
"Chatham County, Georgia",6%,± 0.5%
"Chatham County, North Carolina",5.90%,± 1%
"Chattahoochee County, Georgia",3.50%,± 1.7%
"Chattooga County, Georgia",17%,± 2.2%
"Chautauqua County, Kansas",7.60%,± 2.2%
"Chautauqua County, New York",6.60%,± 0.5%
"Chaves County, New Mexico",9.90%,± 1.2%
"Cheatham County, Tennessee",6.70%,± 1.3%
"Cheboygan County, Michigan",8.40%,± 1.4%
"Chelan County, Washington",6.50%,± 1%
"Chemung County, New York",7.20%,± 0.7%
"Chenango County, New York",8.50%,± 1%
"Cherokee County, Alabama",11.50%,± 1.7%
"Cherokee County, Georgia",4.40%,± 0.6%
"Cherokee County, Iowa",4.70%,± 1.3%
"Cherokee County, Kansas",7.30%,± 1.7%
"Cherokee County, North Carolina",6.10%,± 1.2%
"Cherokee County, Oklahoma",7.90%,± 1%
"Cherokee County, South Carolina",10.80%,± 1.4%
"Cherokee County, Texas",11.90%,± 1.5%
"Cherry County, Nebraska",1.50%,± 1%
"Chesapeake city, Virginia",4.20%,± 0.4%
"Cheshire County, New Hampshire",4.20%,± 0.7%
"Chester County, Pennsylvania",2.80%,± 0.3%
"Chester County, South Carolina",11.30%,± 1.5%
"Chester County, Tennessee",11.10%,± 3.3%
"Chesterfield County, South Carolina",12.50%,± 1.7%
"Chesterfield County, Virginia",4.30%,± 0.3%
"Cheyenne County, Colorado",4.80%,± 2.2%
"Cheyenne County, Kansas",7.80%,± 2.7%
"Cheyenne County, Nebraska",5.70%,± 1.9%
"Chickasaw County, Iowa",3.40%,± 1%
"Chickasaw County, Mississippi",16%,± 2.4%
"Chicot County, Arkansas",14.50%,± 3.1%
"Childress County, Texas",11.90%,± 2.9%
"Chilton County, Alabama",11.90%,± 1.9%
"Chippewa County, Michigan",5.80%,± 1.1%
"Chippewa County, Minnesota",5.80%,± 1.4%
"Chippewa County, Wisconsin",5.20%,± 0.6%
"Chisago County, Minnesota",3.80%,± 0.6%
"Chittenden County, Vermont",3.10%,± 0.5%
"Choctaw County, Alabama",11.20%,± 2.3%
"Choctaw County, Mississippi",11.10%,± 2.5%
"Choctaw County, Oklahoma",10.50%,± 1.6%
"Chouteau County, Montana",6%,± 1.8%
"Chowan County, North Carolina",9.20%,± 2.8%
"Christian County, Illinois",7.50%,± 1%
"Christian County, Kentucky",8.40%,± 1.4%
"Christian County, Missouri",5.70%,± 0.7%
"Chugach Census Area, Alaska",3.70%,± 1.5%
"Churchill County, Nevada",5.30%,± 1.5%
"Ciales Municipio, Puerto Rico",11%,± 2.2%
"Cibola County, New Mexico",11.90%,± 2.4%
"Cidra Municipio, Puerto Rico",5.50%,± 1%
"Cimarron County, Oklahoma",6.50%,± 2.8%
"Citrus County, Florida",6.80%,± 0.6%
"Clackamas County, Oregon",3.60%,± 0.3%
"Claiborne County, Mississippi",13.10%,± 3.7%
"Claiborne County, Tennessee",9.70%,± 1.8%
"Claiborne Parish, Louisiana",17%,± 2.2%
"Clallam County, Washington",5%,± 0.7%
"Clare County, Michigan",8.40%,± 1.1%
"Clarendon County, South Carolina",14.70%,± 1.9%
"Clarion County, Pennsylvania",6.10%,± 0.7%
"Clark County, Arkansas",7%,± 1.5%
"Clark County, Idaho",23.10%,± 12.3%
"Clark County, Illinois",5.50%,± 1.5%
"Clark County, Indiana",6.90%,± 0.7%
"Clark County, Kansas",3.90%,± 2.4%
"Clark County, Kentucky",7%,± 1.4%
"Clark County, Missouri",8.20%,± 3.2%
"Clark County, Nevada",7.80%,± 0.2%
"Clark County, Ohio",8.60%,± 0.8%
"Clark County, South Dakota",3.20%,± 1.3%
"Clark County, Washington",4.70%,± 0.3%
"Clark County, Wisconsin",6.40%,± 0.5%
"Clarke County, Alabama",13.70%,± 2.3%
"Clarke County, Georgia",6.50%,± 0.9%
"Clarke County, Iowa",11.90%,± 3.6%
"Clarke County, Mississippi",10.50%,± 2.5%
"Clarke County, Virginia",4.50%,± 1.3%
"Clatsop County, Oregon",6.40%,± 0.9%
"Clay County, Alabama",11.60%,± 1.9%
"Clay County, Arkansas",9.80%,± 1.8%
"Clay County, Florida",5%,± 0.6%
"Clay County, Georgia",13.20%,± 5.8%
"Clay County, Illinois",7.40%,± 1.8%
"Clay County, Indiana",6.40%,± 1.5%
"Clay County, Iowa",3.90%,± 1%
"Clay County, Kansas",3.20%,± 1.4%
"Clay County, Kentucky",13.60%,± 2.2%
