Geography,Total—Civilian employed population 16 years and over—Estimate,MoE
"Angelina County, Texas","37,358","± 1,013"
"Anne Arundel County, Maryland","299,789","± 2,336"
"Anoka County, Minnesota","194,364","± 1,754"
"Anson County, North Carolina","8,731",± 691
"Antelope County, Nebraska","3,260",± 86
"Antrim County, Michigan","10,709",± 313
"Apache County, Arizona","18,242",± 593
"Appanoose County, Iowa","4,989",± 331
"Appling County, Georgia","7,394",± 523
"Appomattox County, Virginia","7,832",± 290
"Aransas County, Texas","9,291",± 614
"Arapahoe County, Colorado","354,417","± 2,334"
"Archer County, Texas","4,084",± 187
"Archuleta County, Colorado","5,974",± 397
"Arecibo Municipio, Puerto Rico","25,727","± 1,056"
"Arenac County, Michigan","6,159",± 185
"Arkansas County, Arkansas","7,298",± 398
"Arlington County, Virginia","146,957","± 1,352"
"Armstrong County, Pennsylvania","30,185",± 556
"Armstrong County, Texas",818,± 95
"Aroostook County, Maine","28,719",± 524
"Arroyo Municipio, Puerto Rico","3,877",± 457
"Arthur County, Nebraska",223,± 64
"Ascension Parish, Louisiana","62,579","± 1,370"
"Ashe County, North Carolina","11,710",± 517
"Ashland County, Ohio","24,707",± 674
"Ashland County, Wisconsin","7,717",± 234
"Ashley County, Arkansas","6,568",± 358
"Ashtabula County, Ohio","42,136",± 894
"Asotin County, Washington","9,615",± 416
"Assumption Parish, Louisiana","8,579",± 512
"Atascosa County, Texas","20,548",± 813
"Atchison County, Kansas","7,822",± 397
"Atchison County, Missouri","2,546",± 99
"Athens County, Ohio","28,218",± 837
"Atkinson County, Georgia","3,605",± 243
"Atlantic County, New Jersey","129,611","± 1,920"
"Atoka County, Oklahoma","5,015",± 212
"Attala County, Mississippi","7,022",± 481
"Audrain County, Missouri","11,077",± 428
"Audubon County, Iowa","2,837",± 138
"Auglaize County, Ohio","23,945",± 448
"Augusta County, Virginia","37,573",± 838
"Aurora County, South Dakota","1,396",± 95
"Austin County, Texas","14,541",± 607
"Autauga County, Alabama","26,411","± 1,003"
"Avery County, North Carolina","6,698",± 324
"Avoyelles Parish, Louisiana","14,861",± 738
"Baca County, Colorado","1,494",± 95
"Bacon County, Georgia","4,253",± 280
"Bailey County, Texas","2,988",± 326
"Baker County, Florida","11,509",± 565
"Baker County, Georgia",900,± 109
"Baker County, Oregon","6,270",± 355
"Baldwin County, Alabama","107,254","± 1,974"
"Baldwin County, Georgia","16,838",± 731
"Ballard County, Kentucky","3,248",± 211
"Baltimore city, Maryland","275,370","± 2,418"
"Baltimore County, Maryland","429,630","± 2,971"
"Bamberg County, South Carolina","5,043",± 384
"Bandera County, Texas","9,206",± 562
"Banks County, Georgia","8,420",± 434
"Banner County, Nebraska",348,± 66
"Bannock County, Idaho","39,464",± 797
"Baraga County, Michigan","2,995",± 140
"Barber County, Kansas","1,936",± 182
"Barbour County, Alabama","8,452",± 438
"Barbour County, West Virginia","5,728",± 442
"Barceloneta Municipio, Puerto Rico","6,913",± 685
"Barnes County, North Dakota","5,474",± 257
"Barnstable County, Massachusetts","113,900","± 1,658"
"Barnwell County, South Carolina","8,808",± 482
"Barranquitas Municipio, Puerto Rico","8,759",± 700
"Barren County, Kentucky","18,702",± 825
"Barron County, Wisconsin","22,593",± 477
"Barrow County, Georgia","41,974",± 940
"Barry County, Michigan","28,904",± 663
"Barry County, Missouri","14,930",± 628
"Bartholomew County, Indiana","40,798",± 824
"Barton County, Kansas","12,396",± 371
"Barton County, Missouri","4,631",± 291
"Bartow County, Georgia","52,132","± 1,237"
"Bastrop County, Texas","45,372","± 1,127"
"Bates County, Missouri","7,009",± 305
"Bath County, Kentucky","4,862",± 340
"Bath County, Virginia","1,753",± 221
"Baxter County, Arkansas","15,371",± 697
"Bay County, Florida","84,899","± 1,478"
"Bay County, Michigan","48,294",± 917
"Bayamón Municipio, Puerto Rico","66,908","± 1,410"
"Bayfield County, Wisconsin","7,434",± 219
"Baylor County, Texas","1,490",± 173
"Beadle County, South Dakota","9,304",± 393
"Bear Lake County, Idaho","2,723",± 155
"Beaufort County, North Carolina","19,319",± 686
"Beaufort County, South Carolina","79,528","± 1,773"
"Beauregard Parish, Louisiana","14,535",± 614
"Beaver County, Oklahoma","2,359",± 161
"Beaver County, Pennsylvania","80,302","± 1,009"
"Beaver County, Utah","3,064",± 197
"Beaverhead County, Montana","4,600",± 223
"Becker County, Minnesota","16,607",± 332
"Beckham County, Oklahoma","8,565",± 569
"Bedford County, Pennsylvania","22,220",± 473
"Bedford County, Tennessee","23,327",± 758
"Bedford County, Virginia","37,171",± 845
"Bee County, Texas","10,381",± 532
"Belknap County, New Hampshire","32,842",± 802
"Bell County, Kentucky","7,246",± 571
"Bell County, Texas","152,373","± 2,674"
"Belmont County, Ohio","28,440",± 798
"Beltrami County, Minnesota","21,422",± 474
"Ben Hill County, Georgia","7,089",± 418
"Benewah County, Idaho","3,815",± 210
"Bennett County, South Dakota","1,091",± 158
"Bennington County, Vermont","17,673",± 514
"Benson County, North Dakota","2,048",± 107
"Bent County, Colorado","1,682",± 174
"Benton County, Arkansas","142,914","± 1,733"
"Benton County, Indiana","4,081",± 199
"Benton County, Iowa","13,194",± 329
"Benton County, Minnesota","22,406",± 416
"Benton County, Mississippi","3,253",± 279
"Benton County, Missouri","7,062",± 329
"Benton County, Oregon","46,601","± 1,008"
"Benton County, Tennessee","6,071",± 390
"Benton County, Washington","94,424","± 1,496"
"Benzie County, Michigan","8,029",± 269
"Bergen County, New Jersey","492,359","± 3,118"
"Berkeley County, South Carolina","108,726","± 2,068"
"Berkeley County, West Virginia","61,928","± 1,241"
"Berks County, Pennsylvania","211,422","± 1,949"
"Berkshire County, Massachusetts","64,150","± 1,344"
"Bernalillo County, New Mexico","321,945","± 2,658"
"Berrien County, Georgia","7,257",± 525
"Berrien County, Michigan","71,098","± 1,246"
"Bertie County, North Carolina","6,308",± 384
"Bethel Census Area, Alaska","6,562",± 281
"Bexar County, Texas","957,948","± 5,248"
"Bibb County, Alabama","8,242",± 544
"Bibb County, Georgia","64,934","± 1,480"
"Bienville Parish, Louisiana","4,501",± 347
"Big Horn County, Montana","4,740",± 329
"Big Horn County, Wyoming","4,960",± 264
"Big Stone County, Minnesota","2,360",± 91
"Billings County, North Dakota",422,± 73
"Bingham County, Idaho","21,636",± 702
"Black Hawk County, Iowa","66,619","± 1,018"
"Blackford County, Indiana","5,151",± 314
"Bladen County, North Carolina","10,949",± 748
"Blaine County, Idaho","13,615",± 696
"Blaine County, Montana","2,679",± 159
"Blaine County, Nebraska",206,± 37
"Blaine County, Oklahoma","3,084",± 289
"Blair County, Pennsylvania","57,506",± 951
"Blanco County, Texas","5,502",± 297
"Bland County, Virginia","2,280",± 202
"Bleckley County, Georgia","5,005",± 415
"Bledsoe County, Tennessee","5,617",± 601
"Blount County, Alabama","24,856",± 818
"Blount County, Tennessee","65,081","± 1,122"
"Blue Earth County, Minnesota","38,801",± 744
"Boise County, Idaho","3,375",± 265
"Bolivar County, Mississippi","11,008",± 496
"Bollinger County, Missouri","4,664",± 247
"Bon Homme County, South Dakota","2,642",± 146
"Bond County, Illinois","7,146",± 365
"Bonner County, Idaho","19,991",± 618
"Bonneville County, Idaho","56,015",± 941
"Boone County, Arkansas","16,224",± 599
"Boone County, Illinois","25,874",± 750
"Boone County, Indiana","36,952",± 866
"Boone County, Iowa","14,186",± 377
"Boone County, Kentucky","70,514","± 1,137"
"Boone County, Missouri","96,815","± 1,382"
"Boone County, Nebraska","2,792",± 137
"Boone County, West Virginia","7,033",± 465
"Borden County, Texas",279,± 81
"Bosque County, Texas","7,683",± 305
"Bossier Parish, Louisiana","53,983","± 1,337"
"Botetourt County, Virginia","16,237",± 558
"Bottineau County, North Dakota","3,051",± 123
"Boulder County, Colorado","178,057","± 1,587"
"Boundary County, Idaho","4,810",± 404
"Bourbon County, Kansas","6,500",± 283
"Bourbon County, Kentucky","9,098",± 392
"Bowie County, Texas","38,137",± 937
"Bowman County, North Dakota","1,432",± 72
"Box Butte County, Nebraska","5,245",± 339
"Box Elder County, Utah","26,993",± 632
"Boyd County, Kentucky","19,119",± 733
"Boyd County, Nebraska",861,± 85
"Boyle County, Kentucky","12,717",± 502
"Bracken County, Kentucky","3,706",± 224
"Bradford County, Florida","10,645",± 495
"Bradford County, Pennsylvania","25,961",± 484
"Bradley County, Arkansas","3,745",± 294
"Bradley County, Tennessee","51,057","± 1,227"
"Branch County, Michigan","19,239",± 559
"Brantley County, Georgia","6,986",± 477
"Braxton County, West Virginia","3,812",± 375
"Brazoria County, Texas","174,330","± 2,059"
"Brazos County, Texas","114,256","± 1,561"
"Breathitt County, Kentucky","4,553",± 343
"Breckinridge County, Kentucky","7,803",± 435
"Bremer County, Iowa","12,928",± 388
"Brevard County, Florida","272,451","± 3,080"
"Brewster County, Texas","4,772",± 304
"Briscoe County, Texas",496,± 97
"Bristol Bay Borough, Alaska",425,± 67
"Bristol city, Virginia","7,430",± 475
"Bristol County, Massachusetts","290,854","± 2,410"
"Bristol County, Rhode Island","26,005",± 753
"Broadwater County, Montana","3,182",± 231
"Bronx County, New York","583,452","± 5,204"
"Brooke County, West Virginia","9,592",± 425
"Brookings County, South Dakota","19,168",± 497
"Brooks County, Georgia","6,627",± 435
"Brooks County, Texas","3,009",± 420
"Broome County, New York","87,302","± 1,295"
"Broomfield County, Colorado","41,879",± 747
"Broward County, Florida","985,363","± 5,622"
"Brown County, Illinois","2,418",± 159
"Brown County, Indiana","7,329",± 352
"Brown County, Kansas","4,506",± 191
"Brown County, Minnesota","13,487",± 277
"Brown County, Nebraska","1,285",± 140
"Brown County, Ohio","19,080",± 549
"Brown County, South Dakota","20,760",± 517
"Brown County, Texas","17,303",± 607
"Brown County, Wisconsin","141,720","± 1,441"
"Brule County, South Dakota","2,650",± 160
"Brunswick County, North Carolina","56,463","± 1,152"
"Brunswick County, Virginia","6,485",± 339
"Bryan County, Georgia","20,236",± 869
"Bryan County, Oklahoma","20,502",± 479
"Buchanan County, Iowa","10,443",± 274
"Buchanan County, Missouri","38,722",± 794
"Buchanan County, Virginia","5,990",± 552
"Buckingham County, Virginia","6,801",± 349
"Bucks County, Pennsylvania","339,862","± 2,533"
"Buena Vista city, Virginia","3,117",± 298
"Buena Vista County, Iowa","10,361",± 327
"Buffalo County, Nebraska","27,501",± 507
"Buffalo County, South Dakota",592,± 89
"Buffalo County, Wisconsin","6,930",± 166
"Bullitt County, Kentucky","41,100",± 770
"Bulloch County, Georgia","36,155","± 1,235"
"Bullock County, Alabama","3,744",± 383
"Buncombe County, North Carolina","131,883","± 2,386"
"Bureau County, Illinois","15,906",± 355
"Burke County, Georgia","10,558",± 508
"Burke County, North Carolina","39,539","± 1,158"
"Burke County, North Dakota","1,054",± 74
"Burleigh County, North Dakota","50,965",± 884
"Burleson County, Texas","7,840",± 321
"Burlington County, New Jersey","233,289","± 2,276"
"Burnet County, Texas","23,128",± 691
"Burnett County, Wisconsin","6,854",± 181
"Burt County, Nebraska","3,048",± 142
"Butler County, Alabama","7,495",± 353
"Butler County, Iowa","6,880",± 177
"Butler County, Kansas","31,636",± 696
"Butler County, Kentucky","4,673",± 285
"Butler County, Missouri","17,433",± 780
"Butler County, Nebraska","4,470",± 128
"Butler County, Ohio","186,002","± 2,138"
"Butler County, Pennsylvania","96,617","± 1,253"
"Butte County, California","95,378","± 1,530"
"Butte County, Idaho","1,050",± 145
"Butte County, South Dakota","5,109",± 327
"Butts County, Georgia","10,251",± 700
"Cabarrus County, North Carolina","113,579","± 1,591"
"Cabell County, West Virginia","40,146","± 1,127"
"Cabo Rojo Municipio, Puerto Rico","15,402",± 871
"Cache County, Utah","67,546",± 887
"Caddo County, Oklahoma","10,794",± 395
"Caddo Parish, Louisiana","96,578","± 1,678"
"Caguas Municipio, Puerto Rico","47,611","± 1,443"
"Calaveras County, California","17,362","± 1,018"
"Calcasieu Parish, Louisiana","91,987","± 1,996"
"Caldwell County, Kentucky","5,434",± 456
"Caldwell County, Missouri","3,778",± 158
"Caldwell County, North Carolina","36,435",± 960
"Caldwell County, Texas","20,563",± 735
"Caldwell Parish, Louisiana","3,157",± 318
"Caledonia County, Vermont","15,786",± 424
"Calhoun County, Alabama","49,455","± 1,190"
"Calhoun County, Arkansas","1,643",± 179
"Calhoun County, Florida","4,518",± 459
"Calhoun County, Georgia","1,603",± 131
"Calhoun County, Illinois","1,770",± 160
"Calhoun County, Iowa","4,237",± 149
"Calhoun County, Michigan","59,548",± 877
"Calhoun County, Mississippi","5,673",± 282
"Calhoun County, South Carolina","6,185",± 383
"Calhoun County, Texas","9,691",± 559
"Calhoun County, West Virginia","1,927",± 298
"Callahan County, Texas","6,237",± 288
"Callaway County, Missouri","20,583",± 679
"Calloway County, Kentucky","17,388",± 694
"Calumet County, Wisconsin","28,969",± 527
"Calvert County, Maryland","47,275",± 914
"Camas County, Idaho",498,± 95
"Cambria County, Pennsylvania","57,707",± 895
"Camden County, Georgia","21,987",± 841
"Camden County, Missouri","18,069",± 668
"Camden County, New Jersey","256,795","± 2,596"
"Camden County, North Carolina","4,793",± 317
"Cameron County, Pennsylvania","1,810",± 120
"Cameron County, Texas","168,550","± 2,126"
"Cameron Parish, Louisiana","2,584",± 264
"Camp County, Texas","5,211",± 356
"Campbell County, Kentucky","47,628",± 875
"Campbell County, South Dakota",763,± 89
"Campbell County, Tennessee","15,272",± 627
"Campbell County, Virginia","26,222",± 689
"Campbell County, Wyoming","24,282",± 749
"Camuy Municipio, Puerto Rico","10,870",± 702
"Canadian County, Oklahoma","79,112","± 1,179"
"Candler County, Georgia","4,464",± 363
"Cannon County, Tennessee","6,445",± 359
"Canóvanas Municipio, Puerto Rico","15,299",± 673
"Canyon County, Idaho","108,514","± 1,749"
"Cape Girardeau County, Missouri","41,353",± 807
"Cape May County, New Jersey","42,214",± 946
"Capitol Planning Region, Connecticut","496,708","± 2,711"
"Carbon County, Montana","5,215",± 265
"Carbon County, Pennsylvania","30,774",± 788
"Carbon County, Utah","8,256",± 366
"Carbon County, Wyoming","6,623",± 328
"Caribou County, Idaho","3,366",± 189
"Carlisle County, Kentucky","1,817",± 133
"Carlton County, Minnesota","16,701",± 397
"Carolina Municipio, Puerto Rico","59,924","± 1,316"
"Caroline County, Maryland","16,020",± 421
"Caroline County, Virginia","15,171",± 723
"Carroll County, Arkansas","11,794",± 570
"Carroll County, Georgia","56,102","± 1,313"
"Carroll County, Illinois","6,794",± 251
"Carroll County, Indiana","9,599",± 419
"Carroll County, Iowa","10,755",± 347
"Carroll County, Kentucky","4,487",± 284
"Carroll County, Maryland","91,143","± 1,206"
"Carroll County, Mississippi","3,655",± 357
"Carroll County, Missouri","3,840",± 181
"Carroll County, New Hampshire","24,833",± 721
"Carroll County, Ohio","11,916",± 442
"Carroll County, Tennessee","11,911",± 471
"Carroll County, Virginia","12,303",± 615
"Carson City, Nevada","27,340",± 610
"Carson County, Texas","2,833",± 173
"Carter County, Kentucky","9,177",± 540
"Carter County, Missouri","2,315",± 276
"Carter County, Montana",663,± 77
"Carter County, Oklahoma","21,366",± 417
"Carter County, Tennessee","23,155",± 643
"Carteret County, North Carolina","30,029",± 646
"Carver County, Minnesota","58,541",± 812
"Cascade County, Montana","38,310",± 688
"Casey County, Kentucky","5,490",± 433
"Cass County, Illinois","5,896",± 251
"Cass County, Indiana","18,269",± 522
"Cass County, Iowa","6,520",± 243
"Cass County, Michigan","23,921",± 675
"Cass County, Minnesota","12,987",± 238
"Cass County, Missouri","54,445",± 813
"Cass County, Nebraska","13,850",± 276
"Cass County, North Dakota","109,301","± 1,049"
"Cass County, Texas","10,920",± 538
"Cassia County, Idaho","11,500",± 428
"Castro County, Texas","3,467",± 255
"Caswell County, North Carolina","9,556",± 391
"Catahoula Parish, Louisiana","2,928",± 264
"Cataño Municipio, Puerto Rico","7,247",± 436
"Catawba County, North Carolina","75,895","± 1,566"
"Catoosa County, Georgia","32,689",± 998
"Catron County, New Mexico",961,± 223
"Cattaraugus County, New York","33,221",± 597
"Cavalier County, North Dakota","1,699",± 117
"Cayey Municipio, Puerto Rico","13,834",± 779
"Cayuga County, New York","34,744",± 821
"Cecil County, Maryland","50,196","± 1,289"
"Cedar County, Iowa","9,710",± 248
"Cedar County, Missouri","5,354",± 397
"Cedar County, Nebraska","4,303",± 105
"Ceiba Municipio, Puerto Rico","3,673",± 345
"Centre County, Pennsylvania","74,670","± 1,547"
"Cerro Gordo County, Iowa","21,989",± 595
"Chaffee County, Colorado","8,752",± 505
"Chambers County, Alabama","15,072",± 538
"Chambers County, Texas","21,916",± 963
"Champaign County, Illinois","101,124","± 1,815"
"Champaign County, Ohio","18,909",± 541
"Chariton County, Missouri","3,199",± 138
"Charles City County, Virginia","3,275",± 116
"Charles County, Maryland","84,642","± 1,290"
"Charles Mix County, South Dakota","3,849",± 128
"Charleston County, South Carolina","211,159","± 2,361"
"Charlevoix County, Michigan","12,615",± 260
"Charlotte County, Florida","67,994","± 1,518"
"Charlotte County, Virginia","4,689",± 248
"Charlottesville city, Virginia","23,975",± 733
"Charlton County, Georgia","4,993",± 398
"Chase County, Kansas","1,166",± 74
"Chase County, Nebraska","1,729",± 152
"Chatham County, Georgia","142,627","± 1,953"
"Chatham County, North Carolina","35,458","± 1,132"
"Chattahoochee County, Georgia","1,494",± 225
"Chattooga County, Georgia","9,156",± 497
"Chautauqua County, Kansas","1,325",± 90
"Chautauqua County, New York","55,176",± 994
"Chaves County, New Mexico","26,612",± 876
"Cheatham County, Tennessee","20,813",± 714
"Cheboygan County, Michigan","10,380",± 337
"Chelan County, Washington","37,236",± 823
"Chemung County, New York","36,664",± 889
"Chenango County, New York","21,234",± 518
"Cherokee County, Alabama","10,288",± 546
"Cherokee County, Georgia","141,191","± 2,093"
"Cherokee County, Iowa","5,954",± 227
"Cherokee County, Kansas","8,711",± 323
"Cherokee County, North Carolina","11,391",± 562
"Cherokee County, Oklahoma","20,388",± 571
"Cherokee County, South Carolina","24,212",± 944
"Cherokee County, Texas","20,080",± 710
"Cherry County, Nebraska","2,925",± 136
"Chesapeake city, Virginia","117,682","± 1,780"
"Cheshire County, New Hampshire","39,109",± 729
"Chester County, Pennsylvania","282,948","± 2,243"
"Chester County, South Carolina","13,708",± 646
"Chester County, Tennessee","7,039",± 459
"Chesterfield County, South Carolina","18,142",± 737
"Chesterfield County, Virginia","186,171","± 1,755"
"Cheyenne County, Colorado",886,± 97
"Cheyenne County, Kansas","1,284",± 77
"Cheyenne County, Nebraska","4,626",± 240
"Chickasaw County, Iowa","6,239",± 179
"Chickasaw County, Mississippi","6,743",± 321
"Chicot County, Arkansas","3,312",± 260
"Childress County, Texas","2,853",± 276
"Chilton County, Alabama","18,865",± 944
"Chippewa County, Michigan","15,711",± 463
"Chippewa County, Minnesota","6,048",± 165
"Chippewa County, Wisconsin","33,052",± 585
"Chisago County, Minnesota","30,092",± 497
"Chittenden County, Vermont","95,273","± 1,178"
"Choctaw County, Alabama","4,532",± 302
"Choctaw County, Mississippi","3,153",± 235
"Choctaw County, Oklahoma","5,540",± 203
"Chouteau County, Montana","2,486",± 134
"Chowan County, North Carolina","5,922",± 491
"Christian County, Illinois","14,721",± 570
"Christian County, Kentucky","24,053",± 787
"Christian County, Missouri","43,789",± 896
"Chugach Census Area, Alaska","3,438",± 235
"Churchill County, Nevada","10,794",± 696
"Ciales Municipio, Puerto Rico","4,156",± 436
"Cibola County, New Mexico","8,912",± 661
"Cidra Municipio, Puerto Rico","12,847",± 654
"Cimarron County, Oklahoma","1,085",± 83
"Citrus County, Florida","49,315","± 1,621"
"Clackamas County, Oregon","206,612","± 2,061"
"Claiborne County, Mississippi","2,578",± 342
"Claiborne County, Tennessee","12,931",± 615
"Claiborne Parish, Louisiana","4,251",± 288
"Clallam County, Washington","30,216",± 794
"Clare County, Michigan","11,041",± 401
"Clarendon County, South Carolina","11,104",± 521
"Clarion County, Pennsylvania","17,376",± 435
"Clark County, Arkansas","9,869",± 541
"Clark County, Idaho",404,± 91
"Clark County, Illinois","7,194",± 282
"Clark County, Indiana","62,265","± 1,242"
"Clark County, Kansas",946,± 75
"Clark County, Kentucky","16,821",± 604
"Clark County, Missouri","2,874",± 142
"Clark County, Nevada","1,057,265","± 4,912"
"Clark County, Ohio","60,332","± 1,024"
"Clark County, South Dakota","1,575",± 123
"Clark County, Washington","242,552","± 2,131"
"Clark County, Wisconsin","16,074",± 243
"Clarke County, Alabama","7,841",± 493
"Clarke County, Georgia","63,458","± 1,277"
"Clarke County, Iowa","4,561",± 282
"Clarke County, Mississippi","6,258",± 477
"Clarke County, Virginia","7,396",± 354
"Clatsop County, Oregon","18,558",± 636
"Clay County, Alabama","5,165",± 314
"Clay County, Arkansas","6,367",± 302
"Clay County, Florida","103,623","± 1,682"
"Clay County, Georgia","1,132",± 152
"Clay County, Illinois","5,789",± 316
"Clay County, Indiana","11,741",± 395
"Clay County, Iowa","8,420",± 316
"Clay County, Kansas","3,794",± 265
"Clay County, Kentucky","6,202",± 436
"Clay County, Minnesota","34,404",± 647
"Clay County, Mississippi","7,086",± 524
"Clay County, Missouri","133,662","± 1,637"
"Clay County, Nebraska","3,115",± 90
"Clay County, North Carolina","4,386",± 393
"Clay County, South Dakota","7,809",± 389
"Clay County, Tennessee","2,638",± 220
"Clay County, Texas","4,791",± 234
"Clay County, West Virginia","2,572",± 330
"Clayton County, Georgia","138,006","± 2,182"
"Clayton County, Iowa","8,611",± 279
"Clear Creek County, Colorado","5,590",± 341
"Clearfield County, Pennsylvania","34,861",± 927
"Clearwater County, Idaho","3,332",± 179
"Clearwater County, Minnesota","3,628",± 107
"Cleburne County, Alabama","5,692",± 390
"Cleburne County, Arkansas","9,386",± 417
"Clermont County, Ohio","104,710","± 1,486"
"Cleveland County, Arkansas","2,923",± 291
"Cleveland County, North Carolina","43,294","± 1,037"
"Cleveland County, Oklahoma","148,128","± 2,125"
"Clinch County, Georgia","2,515",± 441
"Clinton County, Illinois","18,281",± 480
"Clinton County, Indiana","15,524",± 490
"Clinton County, Iowa","21,617",± 729
"Clinton County, Kentucky","3,746",± 269
"Clinton County, Michigan","39,293",± 655
"Clinton County, Missouri","9,539",± 422
"Clinton County, New York","35,932",± 939
"Clinton County, Ohio","20,167",± 569
"Clinton County, Pennsylvania","17,621",± 410
"Cloud County, Kansas","4,156",± 232
"Coahoma County, Mississippi","7,572",± 417
"Coal County, Oklahoma","2,025",± 119
"Coamo Municipio, Puerto Rico","10,921",± 796
"Cobb County, Georgia","409,632","± 3,729"
"Cochise County, Arizona","44,200","± 1,065"
"Cochran County, Texas","1,069",± 77
"Cocke County, Tennessee","14,689",± 632
"Coconino County, Arizona","67,955","± 1,069"
"Codington County, South Dakota","15,397",± 391
"Coffee County, Alabama","21,804",± 602
"Coffee County, Georgia","17,710",± 807
"Coffee County, Tennessee","25,872",± 808
"Coffey County, Kansas","3,961",± 195
"Coke County, Texas","1,341",± 137
"Colbert County, Alabama","25,589",± 822
"Cole County, Missouri","37,723",± 863
"Coleman County, Texas","3,371",± 251
"Coles County, Illinois","23,400",± 678
"Colfax County, Nebraska","5,275",± 280
"Colfax County, New Mexico","5,160",± 475
"Colleton County, South Carolina","15,659",± 772
"Collier County, Florida","161,734","± 2,402"
"Collin County, Texas","565,939","± 3,970"
"Collingsworth County, Texas","1,306",± 180
"Colonial Heights city, Virginia","8,700",± 374
"Colorado County, Texas","8,841",± 431
"Colquitt County, Georgia","19,342",± 793
"Columbia County, Arkansas","9,232",± 553
"Columbia County, Florida","27,450",± 882
"Columbia County, Georgia","73,121","± 1,763"
"Columbia County, New York","29,575",± 694
"Columbia County, Oregon","24,361",± 734
"Columbia County, Pennsylvania","30,240",± 688
"Columbia County, Washington","1,833",± 157
"Columbia County, Wisconsin","30,765",± 498
"Columbiana County, Ohio","46,351","± 1,082"
"Columbus County, North Carolina","18,872",± 837
"Colusa County, California","9,728",± 458
"Comal County, Texas","77,609","± 1,252"
"Comanche County, Kansas",878,± 127
"Comanche County, Oklahoma","45,750","± 1,015"
"Comanche County, Texas","6,177",± 361
"Comerío Municipio, Puerto Rico","5,588",± 588
"Concho County, Texas",997,± 128
"Concordia Parish, Louisiana","5,455",± 438
"Conecuh County, Alabama","3,757",± 336
"Conejos County, Colorado","3,066",± 170
"Contra Costa County, California","573,653","± 3,049"
"Converse County, Wyoming","6,867",± 295
"Conway County, Arkansas","8,958",± 432
"Cook County, Georgia","7,551",± 380
"Cook County, Illinois","2,600,619","± 9,333"
"Cook County, Minnesota","2,876",± 162
"Cooke County, Texas","20,047",± 525
"Cooper County, Missouri","7,258",± 254
