Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Allamakee County, Iowa",8.40%,± 1.9%
"Allegan County, Michigan",7.60%,± 0.8%
"Allegany County, Maryland",16.40%,± 1.3%
"Allegany County, New York",11.10%,± 1.2%
"Alleghany County, North Carolina",4.40%,± 1.5%
"Alleghany County, Virginia",7.80%,± 2%
"Allegheny County, Pennsylvania",25.60%,± 0.4%
"Allen County, Indiana",19.80%,± 0.7%
"Allen County, Kansas",6.70%,± 1.9%
"Allen County, Kentucky",6%,± 1.9%
"Allen County, Ohio",15.60%,± 1.3%
"Allen Parish, Louisiana",7.90%,± 2%
"Allendale County, South Carolina",8.40%,± 3.1%
"Alpena County, Michigan",14.50%,± 1.7%
"Alpine County, California",7.40%,± 5.9%
"Amador County, California",8.70%,± 2.1%
"Amelia County, Virginia",1.60%,± 1.7%
"Amherst County, Virginia",8.60%,± 1.7%
"Amite County, Mississippi",2.80%,± 1.6%
"Añasco Municipio, Puerto Rico",19.90%,± 3%
"Anchorage Municipality, Alaska",32.10%,± 1%
"Anderson County, Kansas",3.60%,± 2.3%
"Anderson County, Kentucky",10.90%,± 3.2%
"Anderson County, South Carolina",10.50%,± 0.8%
"Anderson County, Tennessee",15.70%,± 1.6%
"Anderson County, Texas",9.20%,± 1.7%
"Andrew County, Missouri",9.30%,± 2.6%
"Andrews County, Texas",6.50%,± 2.5%
"Androscoggin County, Maine",30.30%,± 1.4%
"Angelina County, Texas",13.20%,± 1.2%
"Anne Arundel County, Maryland",17.80%,± 0.6%
"Anoka County, Minnesota",14.20%,± 0.5%
"Anson County, North Carolina",5.20%,± 1.8%
"Antelope County, Nebraska",4.70%,± 1.2%
"Antrim County, Michigan",5.40%,± 1.2%
"Apache County, Arizona",6.80%,± 0.9%
"Appanoose County, Iowa",12.30%,± 2.7%
"Appling County, Georgia",6.90%,± 3.2%
"Appomattox County, Virginia",3.90%,± 1.7%
"Aransas County, Texas",14.30%,± 3.1%
"Arapahoe County, Colorado",30.70%,± 0.6%
"Archer County, Texas",4.50%,± 1.8%
"Archuleta County, Colorado",9.40%,± 2.8%
"Arecibo Municipio, Puerto Rico",8.80%,± 1.1%
"Arenac County, Michigan",7.40%,± 1.3%
"Arkansas County, Arkansas",13.20%,± 2.7%
"Arlington County, Virginia",64%,± 0.8%
"Armstrong County, Pennsylvania",9.20%,± 0.9%
"Armstrong County, Texas",0%,± 6.7%
"Aroostook County, Maine",18.40%,± 1.4%
"Arroyo Municipio, Puerto Rico",8.10%,± 3.3%
"Arthur County, Nebraska",0%,± 13.1%
"Ascension Parish, Louisiana",7.80%,± 1.1%
"Ashe County, North Carolina",8.30%,± 1.7%
"Ashland County, Ohio",11.30%,± 1.3%
"Ashland County, Wisconsin",15.60%,± 2.6%
"Ashley County, Arkansas",9.50%,± 2.1%
"Ashtabula County, Ohio",13.20%,± 1%
"Asotin County, Washington",13.30%,± 2.3%
"Assumption Parish, Louisiana",3.90%,± 1.9%
"Atascosa County, Texas",6%,± 1.7%
"Atchison County, Kansas",13.70%,± 3.2%
"Atchison County, Missouri",10.10%,± 2.1%
"Athens County, Ohio",22.40%,± 1.6%
"Atkinson County, Georgia",6.80%,± 2.1%
"Atlantic County, New Jersey",27%,± 1%
"Atoka County, Oklahoma",4.90%,± 1.8%
"Attala County, Mississippi",9.90%,± 2.5%
"Audrain County, Missouri",9.20%,± 2.4%
"Audubon County, Iowa",4.20%,± 1.7%
"Auglaize County, Ohio",12.10%,± 1.7%
"Augusta County, Virginia",8.40%,± 1.1%
"Aurora County, South Dakota",5.20%,± 2%
"Austin County, Texas",6%,± 1.6%
"Autauga County, Alabama",7.80%,± 1.4%
"Avery County, North Carolina",8.30%,± 1.7%
"Avoyelles Parish, Louisiana",7.50%,± 1.8%
"Baca County, Colorado",11.20%,± 3.6%
"Bacon County, Georgia",6.20%,± 2.9%
"Bailey County, Texas",9.60%,± 5.2%
"Baker County, Florida",5.40%,± 2.7%
"Baker County, Georgia",4.60%,± 3.2%
"Baker County, Oregon",11.40%,± 2.3%
"Baldwin County, Alabama",12.60%,± 1%
"Baldwin County, Georgia",17.20%,± 2%
"Ballard County, Kentucky",9%,± 2.5%
"Baltimore city, Maryland",35.70%,± 0.7%
"Baltimore County, Maryland",27.70%,± 0.6%
"Bamberg County, South Carolina",9.80%,± 4%
"Bandera County, Texas",2.30%,± 1.3%
"Banks County, Georgia",2.30%,± 1.4%
"Banner County, Nebraska",0%,± 9.5%
"Bannock County, Idaho",19.40%,± 1.8%
"Baraga County, Michigan",12.90%,± 2%
"Barber County, Kansas",3.50%,± 1.8%
"Barbour County, Alabama",16%,± 2.2%
"Barbour County, West Virginia",7.70%,± 2.8%
"Barceloneta Municipio, Puerto Rico",5.60%,± 1.9%
"Barnes County, North Dakota",20.50%,± 3.3%
"Barnstable County, Massachusetts",14.20%,± 0.9%
"Barnwell County, South Carolina",10.60%,± 2.7%
"Barranquitas Municipio, Puerto Rico",5.60%,± 1.8%
"Barren County, Kentucky",15%,± 2.3%
"Barron County, Wisconsin",14.80%,± 1.4%
"Barrow County, Georgia",7.10%,± 1.1%
"Barry County, Michigan",5.40%,± 1%
"Barry County, Missouri",8.60%,± 1.9%
"Bartholomew County, Indiana",17.90%,± 1.4%
"Barton County, Kansas",11.70%,± 2.4%
"Barton County, Missouri",8.90%,± 2.8%
"Bartow County, Georgia",10.60%,± 1.5%
"Bastrop County, Texas",6.20%,± 1.6%
"Bates County, Missouri",8.30%,± 2.1%
"Bath County, Kentucky",5.30%,± 2%
"Bath County, Virginia",4.50%,± 2.8%
"Baxter County, Arkansas",9.50%,± 1.4%
"Bay County, Florida",21.10%,± 1.1%
"Bay County, Michigan",13.90%,± 1%
"Bayamón Municipio, Puerto Rico",20.90%,± 1.1%
"Bayfield County, Wisconsin",7.30%,± 1.2%
"Baylor County, Texas",13.30%,± 5.4%
"Beadle County, South Dakota",16.90%,± 2.9%
"Bear Lake County, Idaho",6.80%,± 2%
"Beaufort County, North Carolina",8.70%,± 1.5%
"Beaufort County, South Carolina",15.20%,± 1.1%
"Beauregard Parish, Louisiana",5%,± 0.8%
"Beaver County, Oklahoma",1.50%,± 1.1%
"Beaver County, Pennsylvania",15.10%,± 0.9%
"Beaver County, Utah",2.30%,± 2%
"Beaverhead County, Montana",10.10%,± 3.3%
"Becker County, Minnesota",12.20%,± 1.5%
"Beckham County, Oklahoma",12.20%,± 3.1%
"Bedford County, Pennsylvania",9.10%,± 1.1%
"Bedford County, Tennessee",10.60%,± 2%
"Bedford County, Virginia",7.60%,± 1.1%
"Bee County, Texas",13.40%,± 3.5%
"Belknap County, New Hampshire",17.70%,± 1.9%
"Bell County, Kentucky",14.70%,± 2.3%
"Bell County, Texas",24.30%,± 1%
"Belmont County, Ohio",12.70%,± 1.2%
"Beltrami County, Minnesota",17.50%,± 1.7%
"Ben Hill County, Georgia",16.60%,± 3.3%
"Benewah County, Idaho",8.30%,± 1.9%
"Bennett County, South Dakota",4.90%,± 2.6%
"Bennington County, Vermont",19.40%,± 2.5%
"Benson County, North Dakota",10%,± 2.5%
"Bent County, Colorado",9.60%,± 4.2%
"Benton County, Arkansas",14.80%,± 0.8%
"Benton County, Indiana",7%,± 1.8%
"Benton County, Iowa",6.10%,± 1.2%
"Benton County, Minnesota",26.40%,± 1.8%
"Benton County, Mississippi",1.50%,± 1.3%
"Benton County, Missouri",6%,± 1.6%
"Benton County, Oregon",29.10%,± 1.5%
"Benton County, Tennessee",4%,± 1.7%
"Benton County, Washington",22.50%,± 1.1%
"Benzie County, Michigan",5.20%,± 1.3%
"Bergen County, New Jersey",39.60%,± 0.6%
"Berkeley County, South Carolina",13.90%,± 1%
"Berkeley County, West Virginia",10.50%,± 1.1%
"Berks County, Pennsylvania",17%,± 0.6%
"Berkshire County, Massachusetts",30.40%,± 1.4%
"Bernalillo County, New Mexico",23.90%,± 0.6%
"Berrien County, Georgia",5.30%,± 1.7%
"Berrien County, Michigan",16.20%,± 1%
"Bertie County, North Carolina",2.60%,± 1.2%
"Bethel Census Area, Alaska",16.20%,± 2.9%
"Bexar County, Texas",28.30%,± 0.5%
"Bibb County, Alabama",7.60%,± 3%
"Bibb County, Georgia",26.10%,± 1.5%
"Bienville Parish, Louisiana",8.90%,± 2.2%
"Big Horn County, Montana",12.40%,± 3.6%
"Big Horn County, Wyoming",4.70%,± 1.5%
"Big Stone County, Minnesota",13.60%,± 2.5%
"Billings County, North Dakota",2.20%,± 2.7%
"Bingham County, Idaho",7.80%,± 1.7%
"Black Hawk County, Iowa",21.60%,± 1.3%
"Blackford County, Indiana",12%,± 2.9%
"Bladen County, North Carolina",4.80%,± 1.3%
"Blaine County, Idaho",24.70%,± 3.7%
"Blaine County, Montana",12%,± 2.6%
"Blaine County, Nebraska",0%,± 11.7%
"Blaine County, Oklahoma",4.30%,± 1.4%
"Blair County, Pennsylvania",15.60%,± 1.1%
"Blanco County, Texas",7.80%,± 2.3%
"Bland County, Virginia",2.10%,± 1.7%
"Bleckley County, Georgia",9.30%,± 2.6%
"Bledsoe County, Tennessee",3.70%,± 1.1%
"Blount County, Alabama",5.80%,± 1.2%
"Blount County, Tennessee",10.20%,± 0.9%
"Blue Earth County, Minnesota",29.20%,± 1.7%
"Boise County, Idaho",1.40%,± 0.7%
"Bolivar County, Mississippi",18.10%,± 2%
"Bollinger County, Missouri",3.20%,± 1.4%
"Bon Homme County, South Dakota",8.20%,± 2.2%
"Bond County, Illinois",10.50%,± 3%
"Bonner County, Idaho",9.20%,± 1.7%
"Bonneville County, Idaho",18.30%,± 1.1%
"Boone County, Arkansas",10.80%,± 1.9%
"Boone County, Illinois",8.60%,± 1.8%
"Boone County, Indiana",12.40%,± 1.6%
"Boone County, Iowa",13.50%,± 2.1%
"Boone County, Kentucky",21.50%,± 1.4%
"Boone County, Missouri",30.60%,± 1.3%
"Boone County, Nebraska",8.20%,± 1.9%
"Boone County, West Virginia",5.60%,± 1.6%
"Borden County, Texas",0%,± 20.6%
"Bosque County, Texas",4%,± 1.4%
"Bossier Parish, Louisiana",15.20%,± 1.2%
"Botetourt County, Virginia",4.10%,± 1.2%
"Bottineau County, North Dakota",9.60%,± 2.4%
"Boulder County, Colorado",29.90%,± 0.7%
"Boundary County, Idaho",7%,± 2.4%
"Bourbon County, Kansas",10.50%,± 2.5%
"Bourbon County, Kentucky",14.60%,± 2.9%
"Bowie County, Texas",18.20%,± 1.4%
"Bowman County, North Dakota",3.80%,± 1.9%
"Box Butte County, Nebraska",15.60%,± 3.8%
"Box Elder County, Utah",14.30%,± 1.8%
"Boyd County, Kentucky",12.30%,± 1.7%
"Boyd County, Nebraska",1.60%,± 0.9%
"Boyle County, Kentucky",18.10%,± 2.8%
"Bracken County, Kentucky",6.40%,± 2.1%
"Bradford County, Florida",8.90%,± 2.3%
"Bradford County, Pennsylvania",13.50%,± 1.6%
"Bradley County, Arkansas",14.80%,± 3%
"Bradley County, Tennessee",16.40%,± 1.2%
"Branch County, Michigan",10.50%,± 1.5%
"Brantley County, Georgia",1.30%,± 0.9%
"Braxton County, West Virginia",3.90%,± 1.5%
"Brazoria County, Texas",15%,± 0.8%
"Brazos County, Texas",36.50%,± 1.3%
"Breathitt County, Kentucky",6.80%,± 1.6%
"Breckinridge County, Kentucky",5.50%,± 1.4%
"Bremer County, Iowa",11.10%,± 1.6%
"Brevard County, Florida",19.80%,± 0.6%
"Brewster County, Texas",14.70%,± 4%
"Briscoe County, Texas",1.90%,± 1.3%
"Bristol Bay Borough, Alaska",16.50%,± 5.7%
"Bristol city, Virginia",25.20%,± 3.6%
"Bristol County, Massachusetts",41.10%,± 0.8%
"Bristol County, Rhode Island",25.70%,± 1.7%
"Broadwater County, Montana",1.90%,± 0.9%
"Bronx County, New York",88.30%,± 0.4%
"Brooke County, West Virginia",15.30%,± 3.5%
"Brookings County, South Dakota",25.70%,± 2.9%
"Brooks County, Georgia",9.20%,± 3%
"Brooks County, Texas",15%,± 9.4%
"Broome County, New York",30.40%,± 0.9%
"Broomfield County, Colorado",29.90%,± 1.2%
"Broward County, Florida",44.20%,± 0.5%
"Brown County, Illinois",15.60%,± 4.5%
"Brown County, Indiana",6.20%,± 1.6%
"Brown County, Kansas",10.10%,± 1.8%
"Brown County, Minnesota",13.80%,± 1.7%
"Brown County, Nebraska",8.80%,± 3.6%
"Brown County, Ohio",9%,± 1.4%
"Brown County, South Dakota",27.80%,± 2.5%
"Brown County, Texas",16.60%,± 1.9%
"Brown County, Wisconsin",27.90%,± 1%
"Brule County, South Dakota",19.10%,± 4.4%
"Brunswick County, North Carolina",6.60%,± 0.8%
"Brunswick County, Virginia",4.40%,± 1.8%
"Bryan County, Georgia",9%,± 2.1%
"Bryan County, Oklahoma",12.80%,± 1.2%
"Buchanan County, Iowa",9.80%,± 1.7%
"Buchanan County, Missouri",18.10%,± 1.6%
"Buchanan County, Virginia",2.60%,± 1.3%
"Buckingham County, Virginia",1.20%,± 0.8%
"Bucks County, Pennsylvania",17.50%,± 0.5%
"Buena Vista city, Virginia",7.10%,± 4%
"Buena Vista County, Iowa",20.30%,± 3.6%
"Buffalo County, Nebraska",19.80%,± 1.7%
"Buffalo County, South Dakota",7.30%,± 3.5%
"Buffalo County, Wisconsin",11.40%,± 1.8%
"Bullitt County, Kentucky",9.40%,± 1.2%
"Bulloch County, Georgia",26%,± 1.9%
"Bullock County, Alabama",15.50%,± 4.7%
"Buncombe County, North Carolina",20.50%,± 1%
"Bureau County, Illinois",10.80%,± 1.4%
"Burke County, Georgia",9.50%,± 2.6%
"Burke County, North Carolina",9.10%,± 1.3%
"Burke County, North Dakota",7.80%,± 2.3%
"Burleigh County, North Dakota",25.40%,± 1.4%
"Burleson County, Texas",6.40%,± 2.5%
"Burlington County, New Jersey",18.50%,± 0.7%
"Burnet County, Texas",7.60%,± 1.4%
"Burnett County, Wisconsin",5.70%,± 1%
"Burt County, Nebraska",8.90%,± 1.7%
"Butler County, Alabama",11.40%,± 2%
"Butler County, Iowa",7.20%,± 1.4%
"Butler County, Kansas",8.20%,± 1.4%
"Butler County, Kentucky",9.10%,± 2.3%
"Butler County, Missouri",11.80%,± 1.7%
"Butler County, Nebraska",8.10%,± 2.7%
"Butler County, Ohio",18.70%,± 0.7%
"Butler County, Pennsylvania",14.40%,± 0.8%
"Butte County, California",23.40%,± 1.1%
"Butte County, Idaho",7.30%,± 3.7%
"Butte County, South Dakota",10.50%,± 4.1%
"Butts County, Georgia",10.60%,± 3.5%
"Cabarrus County, North Carolina",12.30%,± 1.1%
"Cabell County, West Virginia",22.60%,± 1.4%
"Cabo Rojo Municipio, Puerto Rico",5.60%,± 1.6%
"Cache County, Utah",24.40%,± 1.3%
"Caddo County, Oklahoma",5.10%,± 1%
"Caddo Parish, Louisiana",19.90%,± 1%
"Caguas Municipio, Puerto Rico",21.20%,± 1.2%
"Calaveras County, California",4.20%,± 1.1%
"Calcasieu Parish, Louisiana",13.50%,± 1.3%
"Caldwell County, Kentucky",10.70%,± 2.4%
"Caldwell County, Missouri",7.40%,± 1.9%
"Caldwell County, North Carolina",9.80%,± 1.4%
"Caldwell County, Texas",11.90%,± 2.3%
"Caldwell Parish, Louisiana",7.40%,± 2.3%
"Caledonia County, Vermont",16.70%,± 1.6%
"Calhoun County, Alabama",11.80%,± 1.1%
"Calhoun County, Arkansas",2.40%,± 2.1%
"Calhoun County, Florida",5.80%,± 2.6%
"Calhoun County, Georgia",10.40%,± 3.6%
"Calhoun County, Illinois",3.20%,± 2.4%
"Calhoun County, Iowa",7.90%,± 1.5%
"Calhoun County, Michigan",18.40%,± 1%
"Calhoun County, Mississippi",8.10%,± 1.9%
"Calhoun County, South Carolina",3.10%,± 1.5%
"Calhoun County, Texas",11.40%,± 3.4%
"Calhoun County, West Virginia",2.40%,± 1.4%
"Callahan County, Texas",3.20%,± 1.1%
"Callaway County, Missouri",10.50%,± 1.7%
"Calloway County, Kentucky",21.50%,± 2.4%
"Calumet County, Wisconsin",14.90%,± 1.1%
"Calvert County, Maryland",5.20%,± 0.9%
"Camas County, Idaho",3.10%,± 3.2%
"Cambria County, Pennsylvania",13.40%,± 0.8%
"Camden County, Georgia",16.90%,± 2.2%
"Camden County, Missouri",14.90%,± 2%
"Camden County, New Jersey",26.60%,± 0.7%
"Camden County, North Carolina",5.10%,± 3%
"Cameron County, Pennsylvania",15.80%,± 3.3%
"Cameron County, Texas",19.30%,± 0.9%
"Cameron Parish, Louisiana",0.30%,± 0.5%
"Camp County, Texas",9.50%,± 2.6%
"Campbell County, Kentucky",28.30%,± 1.5%
"Campbell County, South Dakota",7.10%,± 3%
"Campbell County, Tennessee",12.60%,± 1.8%
"Campbell County, Virginia",11.30%,± 1.5%
"Campbell County, Wyoming",14.30%,± 2.3%
"Camuy Municipio, Puerto Rico",3.80%,± 1.5%
"Canadian County, Oklahoma",9.30%,± 0.8%
"Candler County, Georgia",5.50%,± 2.8%
"Cannon County, Tennessee",4.10%,± 1.3%
"Canóvanas Municipio, Puerto Rico",4.80%,± 1.2%
"Canyon County, Idaho",10.60%,± 0.9%
"Cape Girardeau County, Missouri",19%,± 1.6%
"Cape May County, New Jersey",18.90%,± 1.3%
"Capitol Planning Region, Connecticut",34.50%,± 0.6%
"Carbon County, Montana",7.70%,± 2.3%
"Carbon County, Pennsylvania",10.60%,± 1.7%
"Carbon County, Utah",13.50%,± 2.4%
"Carbon County, Wyoming",11.60%,± 3.5%
"Caribou County, Idaho",6.50%,± 2.8%
"Carlisle County, Kentucky",5.80%,± 2.3%
"Carlton County, Minnesota",10.70%,± 1.3%
"Carolina Municipio, Puerto Rico",28.50%,± 1.3%
"Caroline County, Maryland",11.90%,± 1.5%
"Caroline County, Virginia",2.20%,± 0.8%
"Carroll County, Arkansas",7.90%,± 1.5%
"Carroll County, Georgia",13.90%,± 1.4%
"Carroll County, Illinois",10.50%,± 2.1%
"Carroll County, Indiana",6.80%,± 1.8%
"Carroll County, Iowa",13.30%,± 2.5%
"Carroll County, Kentucky",12.10%,± 3.6%
"Carroll County, Maryland",10.90%,± 0.9%
"Carroll County, Mississippi",4.30%,± 2.3%
"Carroll County, Missouri",6.20%,± 1.9%
"Carroll County, New Hampshire",12.30%,± 2.1%
"Carroll County, Ohio",5.80%,± 1.5%
"Carroll County, Tennessee",9.30%,± 1.8%
"Carroll County, Virginia",3.40%,± 1.3%
"Carson City, Nevada",25.40%,± 2%
"Carson County, Texas",2.70%,± 2.3%
"Carter County, Kentucky",3.90%,± 1.5%
"Carter County, Missouri",8.80%,± 3.9%
"Carter County, Montana",5.20%,± 2.9%
"Carter County, Oklahoma",8.20%,± 1.2%
"Carter County, Tennessee",11.80%,± 1.2%
"Carteret County, North Carolina",13.10%,± 1.1%
"Carver County, Minnesota",12.30%,± 1.2%
"Cascade County, Montana",19.20%,± 1.2%
"Casey County, Kentucky",5.10%,± 1.9%
"Cass County, Illinois",8.50%,± 2.2%
"Cass County, Indiana",10.50%,± 1.7%
"Cass County, Iowa",15.40%,± 2.7%
"Cass County, Michigan",6.70%,± 1%
"Cass County, Minnesota",6.40%,± 0.7%
"Cass County, Missouri",9.40%,± 1%
"Cass County, Nebraska",6.40%,± 1.6%
"Cass County, North Dakota",43%,± 1.4%
"Cass County, Texas",6.90%,± 1.6%
"Cassia County, Idaho",10.70%,± 2.1%
"Castro County, Texas",8.60%,± 4.4%
"Caswell County, North Carolina",5.10%,± 2%
"Catahoula Parish, Louisiana",9.10%,± 4.2%
"Cataño Municipio, Puerto Rico",20.90%,± 2.5%
"Catawba County, North Carolina",15.60%,± 1.3%
"Catoosa County, Georgia",13.50%,± 1.8%
"Catron County, New Mexico",0.30%,± 0.7%
"Cattaraugus County, New York",16.30%,± 1.2%
"Cavalier County, North Dakota",9.30%,± 3.4%
"Cayey Municipio, Puerto Rico",22.80%,± 2.3%
"Cayuga County, New York",22.20%,± 1.6%
"Cecil County, Maryland",14.10%,± 1.3%
"Cedar County, Iowa",8.40%,± 1.8%
"Cedar County, Missouri",8.40%,± 2.3%
"Cedar County, Nebraska",6.60%,± 1.8%
"Ceiba Municipio, Puerto Rico",9.40%,± 2.5%
"Centre County, Pennsylvania",27.90%,± 1.2%
"Cerro Gordo County, Iowa",16.70%,± 1.4%
"Chaffee County, Colorado",7.10%,± 2.1%
"Chambers County, Alabama",13%,± 2.4%
"Chambers County, Texas",3.30%,± 1.2%
"Champaign County, Illinois",36.30%,± 1.2%
"Champaign County, Ohio",10%,± 1.5%
"Chariton County, Missouri",6.50%,± 1.8%
"Charles City County, Virginia",2.70%,± 1.5%
"Charles County, Maryland",8.60%,± 0.9%
"Charles Mix County, South Dakota",8.10%,± 1.6%
"Charleston County, South Carolina",27.30%,± 0.9%
"Charlevoix County, Michigan",11%,± 1.4%
"Charlotte County, Florida",14.70%,± 1%
"Charlotte County, Virginia",3.80%,± 1.3%
"Charlottesville city, Virginia",43.30%,± 2.4%
"Charlton County, Georgia",6.70%,± 4.1%
"Chase County, Kansas",6.60%,± 3.1%
"Chase County, Nebraska",3%,± 1.9%
"Chatham County, Georgia",27.90%,± 1.2%
"Chatham County, North Carolina",5.80%,± 1.1%
"Chattahoochee County, Georgia",22.30%,± 6.2%
"Chattooga County, Georgia",10%,± 2.4%
"Chautauqua County, Kansas",3.60%,± 1.6%
"Chautauqua County, New York",22.90%,± 1%
"Chaves County, New Mexico",10.50%,± 1.7%
"Cheatham County, Tennessee",6.70%,± 1.6%
"Cheboygan County, Michigan",6.10%,± 1.3%
"Chelan County, Washington",19.70%,± 1.7%
"Chemung County, New York",24%,± 1.5%
"Chenango County, New York",15.80%,± 1.6%
"Cherokee County, Alabama",3.60%,± 1%
"Cherokee County, Georgia",11%,± 1%
"Cherokee County, Iowa",12.70%,± 2.6%
"Cherokee County, Kansas",9.10%,± 2.1%
"Cherokee County, North Carolina",4.40%,± 1.4%
"Cherokee County, Oklahoma",14%,± 1.7%
"Cherokee County, South Carolina",11.10%,± 1.6%
"Cherokee County, Texas",6.80%,± 1.4%
"Cherry County, Nebraska",12.70%,± 5.3%
"Chesapeake city, Virginia",16.60%,± 0.9%
"Cheshire County, New Hampshire",23.70%,± 1.5%
"Chester County, Pennsylvania",17.60%,± 0.7%
"Chester County, South Carolina",5.30%,± 1.2%
"Chester County, Tennessee",7.20%,± 2%
"Chesterfield County, South Carolina",5.50%,± 1.1%
"Chesterfield County, Virginia",13.70%,± 0.6%
"Cheyenne County, Colorado",3.10%,± 3%
"Cheyenne County, Kansas",5.60%,± 3.1%
"Cheyenne County, Nebraska",18.90%,± 3.4%
"Chickasaw County, Iowa",6.60%,± 1.5%
"Chickasaw County, Mississippi",9%,± 2.7%
"Chicot County, Arkansas",8.70%,± 2.5%
"Childress County, Texas",7.90%,± 4.4%
"Chilton County, Alabama",4.30%,± 1.4%
"Chippewa County, Michigan",13.30%,± 1.6%
"Chippewa County, Minnesota",17%,± 2.8%
"Chippewa County, Wisconsin",15.90%,± 1.8%
"Chisago County, Minnesota",7.80%,± 1.2%
"Chittenden County, Vermont",35.50%,± 1.2%
"Choctaw County, Alabama",3%,± 1.3%
"Choctaw County, Mississippi",5.40%,± 2%
"Choctaw County, Oklahoma",9.90%,± 1.9%
"Chouteau County, Montana",5.50%,± 2.4%
"Chowan County, North Carolina",13.10%,± 3.8%
"Christian County, Illinois",9.20%,± 1.6%
"Christian County, Kentucky",21.90%,± 1.9%
"Christian County, Missouri",10.50%,± 1.2%
"Chugach Census Area, Alaska",26.60%,± 4.6%
"Churchill County, Nevada",12.20%,± 3.3%
"Ciales Municipio, Puerto Rico",5.50%,± 2%
"Cibola County, New Mexico",6.60%,± 1.9%
"Cidra Municipio, Puerto Rico",18.70%,± 2.6%
"Cimarron County, Oklahoma",5.20%,± 3.2%
"Citrus County, Florida",5.40%,± 0.8%
"Clackamas County, Oregon",20.70%,± 0.8%
"Claiborne County, Mississippi",4.30%,± 2.7%
"Claiborne County, Tennessee",7.50%,± 1.6%
"Claiborne Parish, Louisiana",7.20%,± 2.6%
"Clallam County, Washington",12.30%,± 1.3%
"Clare County, Michigan",7.40%,± 1.4%
"Clarendon County, South Carolina",7.40%,± 2.1%
"Clarion County, Pennsylvania",12.80%,± 1.3%
"Clark County, Arkansas",20.30%,± 2.6%
"Clark County, Idaho",0%,± 13.5%
"Clark County, Illinois",9%,± 2.1%
"Clark County, Indiana",15.20%,± 1.2%
"Clark County, Kansas",5.90%,± 2.6%
"Clark County, Kentucky",14%,± 2.5%
"Clark County, Missouri",7.30%,± 2.1%
"Clark County, Nevada",29.40%,± 0.3%
"Clark County, Ohio",14.70%,± 1%
"Clark County, South Dakota",7.30%,± 2.3%
"Clark County, Washington",22%,± 0.6%
"Clark County, Wisconsin",8.80%,± 0.9%
"Clarke County, Alabama",7.90%,± 2.4%
"Clarke County, Georgia",41.20%,± 1.5%
"Clarke County, Iowa",16.70%,± 5.5%
"Clarke County, Mississippi",3.90%,± 1.4%
"Clarke County, Virginia",5.40%,± 2.1%
"Clatsop County, Oregon",25.10%,± 2.6%
"Clay County, Alabama",9.20%,± 2.3%
"Clay County, Arkansas",6.70%,± 1.8%
"Clay County, Florida",10.80%,± 1%
"Clay County, Georgia",7.30%,± 4%
"Clay County, Illinois",8%,± 2.4%
"Clay County, Indiana",8.60%,± 1.9%
"Clay County, Iowa",19.20%,± 3.4%
"Clay County, Kansas",10%,± 3.4%
"Clay County, Kentucky",7.20%,± 2%
"Clay County, Minnesota",27%,± 1.9%
