Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Estimate",MoE
"Antrim County, Michigan","3,353",± 229
"Apache County, Arizona","5,770",± 389
"Appanoose County, Iowa","1,478",± 173
"Appling County, Georgia","2,065",± 335
"Appomattox County, Virginia","2,436",± 296
"Aransas County, Texas","3,341",± 522
"Arapahoe County, Colorado","159,298","± 2,283"
"Archer County, Texas","1,518",± 168
"Archuleta County, Colorado","2,142",± 394
"Arecibo Municipio, Puerto Rico","6,342",± 685
"Arenac County, Michigan","1,519",± 125
"Arkansas County, Arkansas","2,303",± 361
"Arlington County, Virginia","107,692","± 1,609"
"Armstrong County, Pennsylvania","8,934",± 459
"Armstrong County, Texas",346,± 79
"Aroostook County, Maine","9,632",± 486
"Arroyo Municipio, Puerto Rico","1,263",± 360
"Arthur County, Nebraska",111,± 38
"Ascension Parish, Louisiana","24,714","± 1,303"
"Ashe County, North Carolina","3,603",± 441
"Ashland County, Ohio","7,494",± 569
"Ashland County, Wisconsin","2,235",± 210
"Ashley County, Arkansas","1,771",± 287
"Ashtabula County, Ohio","11,629",± 689
"Asotin County, Washington","3,208",± 293
"Assumption Parish, Louisiana","2,447",± 344
"Atascosa County, Texas","5,385",± 665
"Atchison County, Kansas","2,729",± 382
"Atchison County, Missouri",743,± 90
"Athens County, Ohio","11,417",± 848
"Atkinson County, Georgia",976,± 146
"Atlantic County, New Jersey","46,273","± 1,966"
"Atoka County, Oklahoma","1,509",± 151
"Attala County, Mississippi","1,744",± 267
"Audrain County, Missouri","3,091",± 325
"Audubon County, Iowa",991,± 124
"Auglaize County, Ohio","7,905",± 434
"Augusta County, Virginia","12,978",± 839
"Aurora County, South Dakota",534,± 81
"Austin County, Texas","4,772",± 629
"Autauga County, Alabama","9,610",± 893
"Avery County, North Carolina","2,184",± 322
"Avoyelles Parish, Louisiana","4,092",± 544
"Baca County, Colorado",686,± 84
"Bacon County, Georgia","1,072",± 220
"Bailey County, Texas",700,± 188
"Baker County, Florida","3,921",± 612
"Baker County, Georgia",317,± 100
"Baker County, Oregon","2,442",± 301
"Baldwin County, Alabama","38,207","± 1,752"
"Baldwin County, Georgia","5,690",± 643
"Ballard County, Kentucky","1,103",± 211
"Baltimore city, Maryland","130,060","± 2,555"
"Baltimore County, Maryland","204,198","± 3,751"
"Bamberg County, South Carolina","1,176",± 187
"Bandera County, Texas","3,570",± 413
"Banks County, Georgia","2,841",± 341
"Banner County, Nebraska",215,± 56
"Bannock County, Idaho","15,030",± 910
"Baraga County, Michigan",941,± 97
"Barber County, Kansas",720,± 126
"Barbour County, Alabama","2,344",± 306
"Barbour County, West Virginia","1,469",± 269
"Barceloneta Municipio, Puerto Rico","1,997",± 370
"Barnes County, North Dakota","1,866",± 241
"Barnstable County, Massachusetts","47,769","± 1,380"
"Barnwell County, South Carolina","2,051",± 307
"Barranquitas Municipio, Puerto Rico","2,096",± 422
"Barren County, Kentucky","5,834",± 495
"Barron County, Wisconsin","6,828",± 419
"Barrow County, Georgia","13,816","± 1,040"
"Barry County, Michigan","9,717",± 655
"Barry County, Missouri","3,930",± 512
"Bartholomew County, Indiana","17,880",± 883
"Barton County, Kansas","3,974",± 367
"Barton County, Missouri","1,621",± 206
"Bartow County, Georgia","16,329","± 1,147"
"Bastrop County, Texas","14,920","± 1,127"
"Bates County, Missouri","1,742",± 227
"Bath County, Kentucky","1,169",± 252
"Bath County, Virginia",641,± 212
"Baxter County, Arkansas","4,835",± 533
"Bay County, Florida","31,104","± 1,295"
"Bay County, Michigan","15,104",± 868
"Bayamón Municipio, Puerto Rico","22,789","± 1,110"
"Bayfield County, Wisconsin","2,648",± 159
"Baylor County, Texas",614,± 181
"Beadle County, South Dakota","2,905",± 326
"Bear Lake County, Idaho",858,± 131
"Beaufort County, North Carolina","6,288",± 644
"Beaufort County, South Carolina","30,259","± 1,687"
"Beauregard Parish, Louisiana","5,074",± 499
"Beaver County, Oklahoma",740,± 118
"Beaver County, Pennsylvania","29,573",± 971
"Beaver County, Utah","1,114",± 229
"Beaverhead County, Montana","1,896",± 253
"Becker County, Minnesota","6,214",± 327
"Beckham County, Oklahoma","2,392",± 375
"Bedford County, Pennsylvania","6,698",± 417
"Bedford County, Tennessee","6,208",± 479
"Bedford County, Virginia","15,956",± 929
"Bee County, Texas","3,095",± 374
"Belknap County, New Hampshire","12,321",± 756
"Bell County, Kentucky","2,050",± 385
"Bell County, Texas","53,545","± 2,139"
"Belmont County, Ohio","7,984",± 487
"Beltrami County, Minnesota","8,063",± 394
"Ben Hill County, Georgia","1,737",± 359
"Benewah County, Idaho","1,008",± 152
"Bennett County, South Dakota",418,± 104
"Bennington County, Vermont","7,722",± 461
"Benson County, North Dakota",871,± 97
"Bent County, Colorado",530,± 126
"Benton County, Arkansas","56,529","± 1,748"
"Benton County, Indiana","1,142",± 139
"Benton County, Iowa","4,413",± 254
"Benton County, Minnesota","7,647",± 498
"Benton County, Mississippi",694,± 157
"Benton County, Missouri","2,231",± 323
"Benton County, Oregon","23,205",± 943
"Benton County, Tennessee","1,633",± 299
"Benton County, Washington","39,271","± 1,324"
"Benzie County, Michigan","2,811",± 228
"Bergen County, New Jersey","257,493","± 3,653"
"Berkeley County, South Carolina","39,313","± 1,784"
"Berkeley County, West Virginia","21,258","± 1,285"
"Berks County, Pennsylvania","72,569","± 2,055"
"Berkshire County, Massachusetts","28,966","± 1,185"
"Bernalillo County, New Mexico","144,655","± 2,476"
"Berrien County, Georgia","2,224",± 317
"Berrien County, Michigan","26,254",± 871
"Bertie County, North Carolina","1,839",± 298
"Bethel Census Area, Alaska","2,058",± 204
"Bexar County, Texas","359,381","± 5,804"
"Bibb County, Alabama","1,831",± 341
"Bibb County, Georgia","23,511","± 1,369"
"Bienville Parish, Louisiana",963,± 146
"Big Horn County, Montana","1,743",± 252
"Big Horn County, Wyoming","1,677",± 173
"Big Stone County, Minnesota",919,± 84
"Billings County, North Dakota",182,± 40
"Bingham County, Idaho","6,789",± 516
"Black Hawk County, Iowa","23,470",± 862
"Blackford County, Indiana","1,637",± 237
"Bladen County, North Carolina","3,260",± 619
"Blaine County, Idaho","4,769",± 723
"Blaine County, Montana","1,318",± 143
"Blaine County, Nebraska",102,± 30
"Blaine County, Oklahoma","1,077",± 154
"Blair County, Pennsylvania","19,574",± 861
"Blanco County, Texas","2,018",± 258
"Bland County, Virginia",604,± 146
"Bleckley County, Georgia","1,748",± 272
"Bledsoe County, Tennessee","1,350",± 254
"Blount County, Alabama","6,649",± 602
"Blount County, Tennessee","21,532","± 1,189"
"Blue Earth County, Minnesota","14,326",± 730
"Boise County, Idaho","1,385",± 191
"Bolivar County, Mississippi","3,816",± 417
"Bollinger County, Missouri","1,187",± 233
"Bon Homme County, South Dakota",940,± 111
"Bond County, Illinois","2,150",± 288
"Bonner County, Idaho","6,352",± 528
"Bonneville County, Idaho","21,129",± 975
"Boone County, Arkansas","5,033",± 591
"Boone County, Illinois","8,274",± 572
"Boone County, Indiana","19,270",± 878
"Boone County, Iowa","4,856",± 376
"Boone County, Kentucky","27,524","± 1,243"
"Boone County, Missouri","46,197","± 1,420"
"Boone County, Nebraska","1,022",± 148
"Boone County, West Virginia","2,153",± 326
"Borden County, Texas",97,± 37
"Bosque County, Texas","2,290",± 245
"Bossier Parish, Louisiana","20,588","± 1,336"
"Botetourt County, Virginia","5,584",± 545
"Bottineau County, North Dakota","1,134",± 118
"Boulder County, Colorado","99,736","± 1,784"
"Boundary County, Idaho","1,395",± 277
"Bourbon County, Kansas","1,915",± 236
"Bourbon County, Kentucky","3,395",± 388
"Bowie County, Texas","12,211",± 788
"Bowman County, North Dakota",535,± 91
"Box Butte County, Nebraska","1,848",± 263
"Box Elder County, Utah","8,927",± 556
"Boyd County, Kentucky","7,343",± 621
"Boyd County, Nebraska",270,± 52
"Boyle County, Kentucky","4,446",± 397
"Bracken County, Kentucky","1,153",± 183
"Bradford County, Florida","3,057",± 375
"Bradford County, Pennsylvania","8,210",± 471
"Bradley County, Arkansas","1,310",± 211
"Bradley County, Tennessee","17,199","± 1,203"
"Branch County, Michigan","4,940",± 364
"Brantley County, Georgia","1,774",± 417
"Braxton County, West Virginia",735,± 208
"Brazoria County, Texas","75,079","± 2,859"
"Brazos County, Texas","50,953","± 1,894"
"Breathitt County, Kentucky","1,694",± 227
"Breckinridge County, Kentucky","1,959",± 312
"Bremer County, Iowa","4,929",± 328
"Brevard County, Florida","116,921","± 2,922"
"Brewster County, Texas","1,679",± 334
"Briscoe County, Texas",181,± 61
"Bristol Bay Borough, Alaska",151,± 42
"Bristol city, Virginia","2,452",± 399
"Bristol County, Massachusetts","111,798","± 2,586"
"Bristol County, Rhode Island","13,747",± 794
"Broadwater County, Montana","1,142",± 197
"Bronx County, New York","160,963","± 4,201"
"Brooke County, West Virginia","2,915",± 393
"Brookings County, South Dakota","8,257",± 600
"Brooks County, Georgia","1,621",± 286
"Brooks County, Texas",896,± 314
"Broome County, New York","35,946","± 1,278"
"Broomfield County, Colorado","24,828",± 767
"Broward County, Florida","379,460","± 5,221"
"Brown County, Illinois",609,± 143
"Brown County, Indiana","2,676",± 311
"Brown County, Kansas","1,517",± 150
"Brown County, Minnesota","4,603",± 288
"Brown County, Nebraska",496,± 108
"Brown County, Ohio","5,968",± 585
"Brown County, South Dakota","7,255",± 517
"Brown County, Texas","5,259",± 449
"Brown County, Wisconsin","53,302","± 1,602"
"Brule County, South Dakota",972,± 135
"Brunswick County, North Carolina","20,321","± 1,110"
"Brunswick County, Virginia","1,553",± 300
"Bryan County, Georgia","8,614",± 730
"Bryan County, Oklahoma","6,801",± 419
"Buchanan County, Iowa","3,359",± 275
"Buchanan County, Missouri","11,738",± 637
"Buchanan County, Virginia","1,743",± 345
"Buckingham County, Virginia","1,663",± 261
"Bucks County, Pennsylvania","163,685","± 2,754"
"Buena Vista city, Virginia",915,± 276
"Buena Vista County, Iowa","2,567",± 235
"Buffalo County, Nebraska","9,707",± 527
"Buffalo County, South Dakota",199,± 45
"Buffalo County, Wisconsin","2,209",± 159
"Bullitt County, Kentucky","12,579",± 904
"Bulloch County, Georgia","11,683","± 1,006"
"Bullock County, Alabama",776,± 300
"Buncombe County, North Carolina","54,842","± 2,242"
"Bureau County, Illinois","4,592",± 274
"Burke County, Georgia","2,301",± 462
"Burke County, North Carolina","12,492",± 819
"Burke County, North Dakota",450,± 70
"Burleigh County, North Dakota","21,505",± 919
"Burleson County, Texas","2,641",± 367
"Burlington County, New Jersey","111,567","± 2,363"
"Burnet County, Texas","7,637",± 698
"Burnett County, Wisconsin","2,257",± 138
"Burt County, Nebraska",960,± 112
"Butler County, Alabama","1,877",± 258
"Butler County, Iowa","2,341",± 213
"Butler County, Kansas","13,057",± 635
"Butler County, Kentucky","1,332",± 245
"Butler County, Missouri","4,515",± 549
"Butler County, Nebraska","1,456",± 147
"Butler County, Ohio","72,176","± 1,926"
"Butler County, Pennsylvania","42,429","± 1,374"
"Butte County, California","36,826","± 1,268"
"Butte County, Idaho",345,± 81
"Butte County, South Dakota","1,659",± 255
"Butts County, Georgia","3,089",± 381
"Cabarrus County, North Carolina","49,050","± 1,918"
"Cabell County, West Virginia","16,186",± 967
"Cabo Rojo Municipio, Puerto Rico","4,384",± 591
"Cache County, Utah","26,206","± 1,043"
"Caddo County, Oklahoma","3,153",± 227
"Caddo Parish, Louisiana","35,017","± 1,634"
"Caguas Municipio, Puerto Rico","18,017","± 1,134"
"Calaveras County, California","5,520",± 607
"Calcasieu Parish, Louisiana","30,904","± 1,770"
"Caldwell County, Kentucky","1,575",± 285
"Caldwell County, Missouri",959,± 135
"Caldwell County, North Carolina","10,404",± 779
"Caldwell County, Texas","6,057",± 575
"Caldwell Parish, Louisiana",916,± 238
"Caledonia County, Vermont","5,740",± 382
"Calhoun County, Alabama","14,731","± 1,003"
"Calhoun County, Arkansas",355,± 108
"Calhoun County, Florida","1,191",± 258
"Calhoun County, Georgia",525,± 111
"Calhoun County, Illinois",795,± 149
"Calhoun County, Iowa","1,590",± 153
"Calhoun County, Michigan","18,982",± 831
"Calhoun County, Mississippi","1,163",± 183
"Calhoun County, South Carolina","2,180",± 295
"Calhoun County, Texas","3,061",± 476
"Calhoun County, West Virginia",416,± 102
"Callahan County, Texas","2,195",± 266
"Callaway County, Missouri","7,717",± 662
"Calloway County, Kentucky","5,872",± 580
"Calumet County, Wisconsin","11,148",± 501
"Calvert County, Maryland","22,932",± 951
"Camas County, Idaho",182,± 55
"Cambria County, Pennsylvania","19,504",± 851
"Camden County, Georgia","7,157",± 662
"Camden County, Missouri","5,652",± 424
"Camden County, New Jersey","107,021","± 2,293"
"Camden County, North Carolina","2,211",± 281
"Cameron County, Pennsylvania",454,± 88
"Cameron County, Texas","49,534","± 1,800"
"Cameron Parish, Louisiana",809,± 208
"Camp County, Texas","1,621",± 270
"Campbell County, Kentucky","22,525",± 884
"Campbell County, South Dakota",292,± 61
"Campbell County, Tennessee","4,365",± 476
"Campbell County, Virginia","8,899",± 711
"Campbell County, Wyoming","8,058",± 835
"Camuy Municipio, Puerto Rico","2,946",± 524
"Canadian County, Oklahoma","32,558","± 1,161"
"Candler County, Georgia","1,436",± 226
"Cannon County, Tennessee","2,125",± 324
"Canóvanas Municipio, Puerto Rico","4,513",± 510
"Canyon County, Idaho","33,389","± 1,580"
"Cape Girardeau County, Missouri","15,984",± 989
"Cape May County, New Jersey","16,760",± 846
"Capitol Planning Region, Connecticut","233,710","± 3,489"
"Carbon County, Montana","2,022",± 204
"Carbon County, Pennsylvania","9,320",± 749
"Carbon County, Utah","2,283",± 249
"Carbon County, Wyoming","1,575",± 250
"Caribou County, Idaho",836,± 171
"Carlisle County, Kentucky",482,± 108
"Carlton County, Minnesota","6,043",± 413
"Carolina Municipio, Puerto Rico","21,097","± 1,303"
"Caroline County, Maryland","5,114",± 385
"Caroline County, Virginia","5,564",± 592
"Carroll County, Arkansas","3,478",± 431
"Carroll County, Georgia","18,356",± 973
"Carroll County, Illinois","2,084",± 208
"Carroll County, Indiana","2,738",± 307
"Carroll County, Iowa","3,403",± 308
"Carroll County, Kentucky",693,± 157
"Carroll County, Maryland","44,709","± 1,143"
"Carroll County, Mississippi","1,197",± 266
"Carroll County, Missouri","1,366",± 174
"Carroll County, New Hampshire","9,230",± 758
"Carroll County, Ohio","3,818",± 433
"Carroll County, Tennessee","3,493",± 400
"Carroll County, Virginia","4,139",± 598
"Carson City, Nevada","9,105",± 591
"Carson County, Texas","1,256",± 173
"Carter County, Kentucky","2,748",± 389
"Carter County, Missouri",542,± 175
"Carter County, Montana",381,± 75
"Carter County, Oklahoma","6,685",± 393
"Carter County, Tennessee","7,575",± 603
"Carteret County, North Carolina","11,463",± 645
"Carver County, Minnesota","29,661","± 1,024"
"Cascade County, Montana","14,166",± 829
"Casey County, Kentucky","1,620",± 328
"Cass County, Illinois","1,342",± 186
"Cass County, Indiana","4,493",± 438
"Cass County, Iowa","2,219",± 241
"Cass County, Michigan","7,521",± 475
"Cass County, Minnesota","4,097",± 202
"Cass County, Missouri","20,628",± 872
"Cass County, Nebraska","5,346",± 399
"Cass County, North Dakota","48,253","± 2,038"
"Cass County, Texas","3,518",± 444
"Cassia County, Idaho","3,575",± 318
"Castro County, Texas","1,175",± 272
"Caswell County, North Carolina","2,860",± 353
"Catahoula Parish, Louisiana",991,± 230
"Cataño Municipio, Puerto Rico","2,089",± 320
"Catawba County, North Carolina","25,426","± 1,184"
"Catoosa County, Georgia","11,139",± 728
"Catron County, New Mexico",186,± 107
"Cattaraugus County, New York","10,605",± 470
"Cavalier County, North Dakota",732,± 115
"Cayey Municipio, Puerto Rico","4,977",± 619
"Cayuga County, New York","12,408",± 653
"Cecil County, Maryland","18,940","± 1,045"
"Cedar County, Iowa","2,999",± 253
"Cedar County, Missouri","1,794",± 307
"Cedar County, Nebraska","1,690",± 142
"Ceiba Municipio, Puerto Rico",786,± 228
"Centre County, Pennsylvania","38,053","± 1,170"
"Cerro Gordo County, Iowa","6,882",± 569
"Chaffee County, Colorado","3,815",± 492
"Chambers County, Alabama","4,025",± 446
"Chambers County, Texas","8,699",± 879
"Champaign County, Illinois","50,348","± 1,554"
"Champaign County, Ohio","6,116",± 578
"Chariton County, Missouri","1,106",± 130
"Charles City County, Virginia",936,± 90
"Charles County, Maryland","36,742","± 1,408"
"Charles Mix County, South Dakota","1,581",± 127
"Charleston County, South Carolina","101,235","± 2,365"
"Charlevoix County, Michigan","4,503",± 284
"Charlotte County, Florida","21,918","± 1,271"
"Charlotte County, Virginia","1,450",± 208
"Charlottesville city, Virginia","14,509",± 756
"Charlton County, Georgia","1,012",± 208
"Chase County, Kansas",360,± 67
"Chase County, Nebraska",607,± 92
"Chatham County, Georgia","54,571","± 2,006"
"Chatham County, North Carolina","17,499",± 906
"Chattahoochee County, Georgia",420,± 112
"Chattooga County, Georgia","2,011",± 257
"Chautauqua County, Kansas",450,± 71
"Chautauqua County, New York","18,844",± 916
"Chaves County, New Mexico","7,904",± 754
"Cheatham County, Tennessee","6,963",± 550
"Cheboygan County, Michigan","2,751",± 269
"Chelan County, Washington","13,123",± 805
"Chemung County, New York","13,078",± 796
"Chenango County, New York","7,169",± 493
"Cherokee County, Alabama","3,557",± 359
"Cherokee County, Georgia","62,318","± 1,971"
"Cherokee County, Iowa","2,020",± 190
"Cherokee County, Kansas","2,403",± 283
"Cherokee County, North Carolina","3,369",± 467
"Cherokee County, Oklahoma","7,727",± 524
"Cherokee County, South Carolina","6,734",± 636
"Cherokee County, Texas","6,531",± 653
"Cherry County, Nebraska","1,019",± 166
"Chesapeake city, Virginia","51,684","± 1,740"
"Cheshire County, New Hampshire","15,530",± 775
"Chester County, Pennsylvania","155,124","± 2,383"
"Chester County, South Carolina","3,107",± 378
"Chester County, Tennessee","1,724",± 355
"Chesterfield County, South Carolina","4,340",± 434
"Chesterfield County, Virginia","87,410","± 2,017"
"Cheyenne County, Colorado",413,± 74
"Cheyenne County, Kansas",511,± 67
"Cheyenne County, Nebraska","1,617",± 230
"Chickasaw County, Iowa","1,750",± 192
"Chickasaw County, Mississippi","1,383",± 225
"Chicot County, Arkansas",932,± 160
"Childress County, Texas",980,± 273
"Chilton County, Alabama","4,305",± 526
"Chippewa County, Michigan","4,970",± 434
"Chippewa County, Minnesota","2,014",± 185
"Chippewa County, Wisconsin","11,237",± 666
"Chisago County, Minnesota","10,914",± 639
"Chittenden County, Vermont","50,845","± 1,472"
"Choctaw County, Alabama",975,± 226
"Choctaw County, Mississippi",963,± 176
"Choctaw County, Oklahoma","1,779",± 161
"Chouteau County, Montana","1,091",± 130
"Chowan County, North Carolina","2,021",± 380
"Christian County, Illinois","4,680",± 481
"Christian County, Kentucky","6,571",± 547
"Christian County, Missouri","17,789",± 893
"Chugach Census Area, Alaska","1,394",± 223
"Churchill County, Nevada","3,918",± 558
"Ciales Municipio, Puerto Rico",700,± 204
"Cibola County, New Mexico","2,364",± 464
"Cidra Municipio, Puerto Rico","4,228",± 529
"Cimarron County, Oklahoma",424,± 65
"Citrus County, Florida","16,987","± 1,167"
"Clackamas County, Oregon","89,613","± 2,246"
"Claiborne County, Mississippi",809,± 257
"Claiborne County, Tennessee","3,764",± 529
"Claiborne Parish, Louisiana","1,050",± 208
"Clallam County, Washington","11,019",± 675
"Clare County, Michigan","3,000",± 277
"Clarendon County, South Carolina","2,996",± 317
"Clarion County, Pennsylvania","5,569",± 358
"Clark County, Arkansas","2,854",± 373
"Clark County, Idaho",118,± 49
"Clark County, Illinois","2,599",± 346
"Clark County, Indiana","21,110",± 982
"Clark County, Kansas",353,± 63
"Clark County, Kentucky","5,978",± 524
"Clark County, Missouri",734,± 139
"Clark County, Nevada","335,892","± 4,367"
"Clark County, Ohio","18,454",± 727
"Clark County, South Dakota",654,± 101
"Clark County, Washington","94,964","± 2,053"
"Clark County, Wisconsin","4,574",± 206
"Clarke County, Alabama","2,141",± 340
"Clarke County, Georgia","28,801","± 1,078"
"Clarke County, Iowa","1,446",± 264
"Clarke County, Mississippi","1,814",± 286
"Clarke County, Virginia","3,452",± 348
"Clatsop County, Oregon","5,918",± 550
"Clay County, Alabama","1,729",± 244
"Clay County, Arkansas","1,977",± 253
"Clay County, Florida","39,626","± 2,055"
"Clay County, Georgia",190,± 81
"Clay County, Illinois","1,969",± 277
"Clay County, Indiana","3,306",± 361
"Clay County, Iowa","2,873",± 330
"Clay County, Kansas","1,455",± 220
"Clay County, Kentucky","1,864",± 282
"Clay County, Minnesota","13,991",± 537
"Clay County, Mississippi","1,769",± 307
"Clay County, Missouri","53,488","± 1,544"
"Clay County, Nebraska","1,169",± 97
"Clay County, North Carolina","1,666",± 312
"Clay County, South Dakota","3,182",± 336
"Clay County, Tennessee",803,± 181
"Clay County, Texas","1,754",± 180
"Clay County, West Virginia",819,± 214
"Clayton County, Georgia","35,909","± 1,814"
"Clayton County, Iowa","2,441",± 224
"Clear Creek County, Colorado","2,631",± 382
"Clearfield County, Pennsylvania","11,200",± 590
"Clearwater County, Idaho","1,028",± 142
"Clearwater County, Minnesota","1,135",± 82
"Cleburne County, Alabama","1,631",± 301
"Cleburne County, Arkansas","2,788",± 312
"Clermont County, Ohio","41,047","± 1,603"
"Cleveland County, Arkansas","1,046",± 270
"Cleveland County, North Carolina","13,617",± 884
"Cleveland County, Oklahoma","63,244","± 1,520"
"Clinch County, Georgia",708,± 167
"Clinton County, Illinois","7,292",± 478
"Clinton County, Indiana","3,580",± 333
"Clinton County, Iowa","6,905",± 592
"Clinton County, Kentucky","1,019",± 225
"Clinton County, Michigan","15,949",± 747
"Clinton County, Missouri","3,042",± 300
"Clinton County, New York","13,027",± 760
"Clinton County, Ohio","6,427",± 630
"Clinton County, Pennsylvania","5,368",± 393
"Cloud County, Kansas","1,537",± 207
"Coahoma County, Mississippi","2,647",± 408
"Coal County, Oklahoma",562,± 97
"Coamo Municipio, Puerto Rico","2,857",± 505
"Cobb County, Georgia","199,117","± 3,932"
"Cochise County, Arizona","16,162",± 679
"Cochran County, Texas",297,± 66
"Cocke County, Tennessee","3,665",± 477
"Coconino County, Arizona","27,478",± 998
"Codington County, South Dakota","5,394",± 501
"Coffee County, Alabama","6,801",± 522
"Coffee County, Georgia","4,915",± 719
"Coffee County, Tennessee","8,548",± 725
"Coffey County, Kansas","1,352",± 153
"Coke County, Texas",339,± 112
"Colbert County, Alabama","8,632",± 785
"Cole County, Missouri","15,662",± 762
"Coleman County, Texas","1,051",± 229
"Coles County, Illinois","7,972",± 722
"Colfax County, Nebraska","1,075",± 151
"Colfax County, New Mexico","1,489",± 220
"Colleton County, South Carolina","4,147",± 482
"Collier County, Florida","58,051","± 2,152"
"Collin County, Texas","315,045","± 4,079"
"Collingsworth County, Texas",450,± 84
"Colonial Heights city, Virginia","3,424",± 386
"Colorado County, Texas","3,315",± 528
"Colquitt County, Georgia","5,460",± 488
"Columbia County, Arkansas","2,905",± 368
"Columbia County, Florida","9,294",± 746
"Columbia County, Georgia","32,411","± 1,486"
"Columbia County, New York","12,827",± 736
"Columbia County, Oregon","7,666",± 668
"Columbia County, Pennsylvania","10,243",± 616
"Columbia County, Washington",657,± 147
"Columbia County, Wisconsin","11,281",± 503
"Columbiana County, Ohio","12,860",± 874
"Columbus County, North Carolina","5,841",± 588
"Colusa County, California","2,327",± 330
"Comal County, Texas","35,933","± 1,367"
"Comanche County, Kansas",343,± 81
"Comanche County, Oklahoma","17,791",± 998
"Comanche County, Texas","1,898",± 312
"Comerío Municipio, Puerto Rico","1,732",± 417
"Concho County, Texas",475,± 97
"Concordia Parish, Louisiana","1,673",± 264
"Conecuh County, Alabama",910,± 170
"Conejos County, Colorado",949,± 136
"Contra Costa County, California","270,449","± 3,994"
"Converse County, Wyoming","2,291",± 305
"Conway County, Arkansas","2,899",± 377
"Cook County, Georgia","2,115",± 304
"Cook County, Illinois","1,158,970","± 8,224"
"Cook County, Minnesota","1,283",± 207
"Cooke County, Texas","6,306",± 546
"Cooper County, Missouri","2,533",± 248
"Coos County, New Hampshire","4,435",± 310
"Coos County, Oregon","7,731",± 763
"Coosa County, Alabama",927,± 197
"Copiah County, Mississippi","3,106",± 441
"Copper River Census Area, Alaska",444,± 86
"Corozal Municipio, Puerto Rico","3,043",± 583
"Corson County, South Dakota",637,± 68
"Cortland County, New York","8,843",± 542
"Coryell County, Texas","8,475",± 698
