Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Bingham County, Idaho",7.50%,± 1%
"Black Hawk County, Iowa",6.20%,± 0.5%
"Blackford County, Indiana",12.20%,± 2.3%
"Bladen County, North Carolina",10%,± 1.4%
"Blaine County, Idaho",3.60%,± 1.1%
"Blaine County, Montana",12.10%,± 2.1%
"Blaine County, Nebraska",19.60%,± 9.4%
"Blaine County, Oklahoma",8.10%,± 1.7%
"Blair County, Pennsylvania",7.30%,± 0.5%
"Blanco County, Texas",7.70%,± 1.7%
"Bland County, Virginia",8.80%,± 2.2%
"Bleckley County, Georgia",9.80%,± 2.3%
"Bledsoe County, Tennessee",11.50%,± 2.3%
"Blount County, Alabama",9%,± 1%
"Blount County, Tennessee",7.10%,± 0.6%
"Blue Earth County, Minnesota",4.30%,± 0.5%
"Boise County, Idaho",5%,± 1.2%
"Bolivar County, Mississippi",10.30%,± 1.1%
"Bollinger County, Missouri",10.10%,± 2.2%
"Bon Homme County, South Dakota",6.40%,± 1.5%
"Bond County, Illinois",10.80%,± 1.9%
"Bonner County, Idaho",8.80%,± 1.3%
"Bonneville County, Idaho",6.40%,± 0.5%
"Boone County, Arkansas",11.10%,± 1.3%
"Boone County, Illinois",6.80%,± 1.2%
"Boone County, Indiana",3.70%,± 0.5%
"Boone County, Iowa",5.60%,± 0.8%
"Boone County, Kentucky",5.40%,± 0.6%
"Boone County, Missouri",5.40%,± 0.5%
"Boone County, Nebraska",7.40%,± 1.4%
"Boone County, West Virginia",13.30%,± 1.7%
"Borden County, Texas",3.50%,± 3.1%
"Bosque County, Texas",9.90%,± 1.4%
"Bossier Parish, Louisiana",7.10%,± 0.7%
"Botetourt County, Virginia",6.90%,± 1.1%
"Bottineau County, North Dakota",5.60%,± 1.5%
"Boulder County, Colorado",3%,± 0.2%
"Boundary County, Idaho",8.80%,± 2.6%
"Bourbon County, Kansas",8.10%,± 1.5%
"Bourbon County, Kentucky",10.80%,± 1.5%
"Bowie County, Texas",6.20%,± 0.6%
"Bowman County, North Dakota",3.60%,± 1.5%
"Box Butte County, Nebraska",7.20%,± 2%
"Box Elder County, Utah",4.40%,± 0.7%
"Boyd County, Kentucky",12.70%,± 1.3%
"Boyd County, Nebraska",11.20%,± 3.2%
"Boyle County, Kentucky",10.40%,± 1.4%
"Bracken County, Kentucky",9.60%,± 2.1%
"Bradford County, Florida",7.80%,± 1.7%
"Bradford County, Pennsylvania",7.50%,± 0.6%
"Bradley County, Arkansas",10.90%,± 2.3%
"Bradley County, Tennessee",10.40%,± 0.7%
"Branch County, Michigan",7.40%,± 0.8%
"Brantley County, Georgia",8.70%,± 2.3%
"Braxton County, West Virginia",12.40%,± 2.2%
"Brazoria County, Texas",5.30%,± 0.3%
"Brazos County, Texas",4.10%,± 0.3%
"Breathitt County, Kentucky",17.80%,± 1.9%
"Breckinridge County, Kentucky",11.40%,± 1.8%
"Bremer County, Iowa",4.50%,± 0.7%
"Brevard County, Florida",8.70%,± 0.4%
"Brewster County, Texas",7.10%,± 2.2%
"Briscoe County, Texas",16.20%,± 5.6%
"Bristol Bay Borough, Alaska",7.60%,± 4.4%
"Bristol city, Virginia",12%,± 1.9%
"Bristol County, Massachusetts",6.80%,± 0.3%
"Bristol County, Rhode Island",4.80%,± 1%
"Broadwater County, Montana",9.10%,± 2.6%
"Bronx County, New York",9.90%,± 0.2%
"Brooke County, West Virginia",8.90%,± 1.4%
"Brookings County, South Dakota",4%,± 0.8%
"Brooks County, Georgia",10.20%,± 1.8%
"Brooks County, Texas",16.20%,± 3.6%
"Broome County, New York",7.80%,± 0.5%
"Broomfield County, Colorado",3.60%,± 0.5%
"Broward County, Florida",6.10%,± 0.2%
"Brown County, Illinois",8.10%,± 2.2%
"Brown County, Indiana",7.50%,± 1.3%
"Brown County, Kansas",9%,± 1.6%
"Brown County, Minnesota",6%,± 0.7%
"Brown County, Nebraska",9%,± 2.7%
"Brown County, Ohio",10%,± 1.1%
"Brown County, South Dakota",5.50%,± 1%
"Brown County, Texas",11.90%,± 1.1%
"Brown County, Wisconsin",4.70%,± 0.3%
"Brule County, South Dakota",6.20%,± 2.8%
"Brunswick County, North Carolina",7.10%,± 0.6%
"Brunswick County, Virginia",10.70%,± 1.6%
"Bryan County, Georgia",5.60%,± 1.1%
"Bryan County, Oklahoma",10.80%,± 0.9%
"Buchanan County, Iowa",5.80%,± 1.1%
"Buchanan County, Missouri",8.80%,± 0.6%
"Buchanan County, Virginia",18.40%,± 2.1%
"Buckingham County, Virginia",12.30%,± 2%
"Bucks County, Pennsylvania",5.60%,± 0.2%
"Buena Vista city, Virginia",9.80%,± 2.8%
"Buena Vista County, Iowa",5%,± 1%
"Buffalo County, Nebraska",5.30%,± 0.7%
"Buffalo County, South Dakota",11.30%,± 3.1%
"Buffalo County, Wisconsin",7.40%,± 1%
"Bullitt County, Kentucky",9.20%,± 0.8%
"Bulloch County, Georgia",6.50%,± 0.8%
"Bullock County, Alabama",5.90%,± 2.1%
"Buncombe County, North Carolina",6.70%,± 0.5%
"Bureau County, Illinois",8.10%,± 0.8%
"Burke County, Georgia",10.20%,± 1.6%
"Burke County, North Carolina",11.40%,± 1%
"Burke County, North Dakota",3.80%,± 1.6%
"Burleigh County, North Dakota",5.30%,± 0.6%
"Burleson County, Texas",7%,± 1.6%
"Burlington County, New Jersey",6.20%,± 0.3%
"Burnet County, Texas",8.10%,± 1.1%
"Burnett County, Wisconsin",8.60%,± 0.8%
"Burt County, Nebraska",8.90%,± 1.4%
"Butler County, Alabama",10.50%,± 1.3%
"Butler County, Iowa",4.70%,± 0.7%
"Butler County, Kansas",7.10%,± 0.9%
"Butler County, Kentucky",12.80%,± 1.9%
"Butler County, Missouri",13.20%,± 1.5%
"Butler County, Nebraska",6.50%,± 1.7%
"Butler County, Ohio",6.20%,± 0.3%
"Butler County, Pennsylvania",6.30%,± 0.5%
"Butte County, California",7.70%,± 0.6%
"Butte County, Idaho",8%,± 3.1%
"Butte County, South Dakota",7.80%,± 2.2%
"Butts County, Georgia",7.60%,± 1.5%
"Cabarrus County, North Carolina",5.30%,± 0.4%
"Cabell County, West Virginia",10.50%,± 0.9%
"Cabo Rojo Municipio, Puerto Rico",10.40%,± 1.3%
"Cache County, Utah",3.10%,± 0.3%
"Caddo County, Oklahoma",11.70%,± 1%
"Caddo Parish, Louisiana",9.60%,± 0.6%
"Caguas Municipio, Puerto Rico",13.90%,± 0.8%
"Calaveras County, California",12.30%,± 1.4%
"Calcasieu Parish, Louisiana",7.40%,± 0.6%
"Caldwell County, Kentucky",12.30%,± 2.1%
"Caldwell County, Missouri",8.90%,± 1.1%
"Caldwell County, North Carolina",10.40%,± 1.2%
"Caldwell County, Texas",8.60%,± 1%
"Caldwell Parish, Louisiana",9.90%,± 2.2%
"Caledonia County, Vermont",7.20%,± 0.9%
"Calhoun County, Alabama",11.80%,± 0.8%
"Calhoun County, Arkansas",12.90%,± 3.4%
"Calhoun County, Florida",11.20%,± 2.5%
"Calhoun County, Georgia",8.80%,± 1.9%
"Calhoun County, Illinois",12.30%,± 3.3%
"Calhoun County, Iowa",7.10%,± 1%
"Calhoun County, Michigan",7.60%,± 0.5%
"Calhoun County, Mississippi",12.50%,± 1.4%
"Calhoun County, South Carolina",9.40%,± 1.6%
"Calhoun County, Texas",11.90%,± 1.9%
"Calhoun County, West Virginia",9.60%,± 2.1%
"Callahan County, Texas",11.50%,± 2.1%
"Callaway County, Missouri",6.90%,± 0.9%
"Calloway County, Kentucky",8.50%,± 1.1%
"Calumet County, Wisconsin",4.80%,± 0.5%
"Calvert County, Maryland",4.40%,± 0.5%
"Camas County, Idaho",10.50%,± 7.5%
"Cambria County, Pennsylvania",8.90%,± 0.5%
"Camden County, Georgia",8.10%,± 1.1%
"Camden County, Missouri",9.30%,± 1%
"Camden County, New Jersey",7.90%,± 0.3%
"Camden County, North Carolina",9.20%,± 2.4%
"Cameron County, Pennsylvania",13.30%,± 2.4%
"Cameron County, Texas",7.20%,± 0.4%
"Cameron Parish, Louisiana",7.70%,± 2.6%
"Camp County, Texas",8.70%,± 1.3%
"Campbell County, Kentucky",7%,± 0.6%
"Campbell County, South Dakota",5.70%,± 2%
"Campbell County, Tennessee",16.10%,± 1.5%
"Campbell County, Virginia",7.50%,± 1%
"Campbell County, Wyoming",5.70%,± 0.9%
"Camuy Municipio, Puerto Rico",12.40%,± 1.6%
"Canadian County, Oklahoma",6.20%,± 0.5%
"Candler County, Georgia",13.50%,± 2.5%
"Cannon County, Tennessee",7.50%,± 1.7%
"Canóvanas Municipio, Puerto Rico",11.70%,± 1.2%
"Canyon County, Idaho",6.90%,± 0.5%
"Cape Girardeau County, Missouri",6.90%,± 0.7%
"Cape May County, New Jersey",8%,± 0.6%
"Capitol Planning Region, Connecticut",5.50%,± 0.2%
"Carbon County, Montana",6%,± 1%
"Carbon County, Pennsylvania",8.60%,± 0.8%
"Carbon County, Utah",9.60%,± 1.4%
"Carbon County, Wyoming",6.60%,± 1.7%
"Caribou County, Idaho",6.30%,± 1.6%
"Carlisle County, Kentucky",10.50%,± 2.1%
"Carlton County, Minnesota",6.40%,± 0.8%
"Carolina Municipio, Puerto Rico",11.80%,± 0.6%
"Caroline County, Maryland",8.30%,± 1%
"Caroline County, Virginia",8.10%,± 1.2%
"Carroll County, Arkansas",8.80%,± 1.2%
"Carroll County, Georgia",8%,± 0.8%
"Carroll County, Illinois",8.20%,± 0.9%
"Carroll County, Indiana",8%,± 1.4%
"Carroll County, Iowa",5.50%,± 1%
"Carroll County, Kentucky",11%,± 2%
"Carroll County, Maryland",5.50%,± 0.4%
"Carroll County, Mississippi",12.70%,± 3.5%
"Carroll County, Missouri",8.10%,± 1.3%
"Carroll County, New Hampshire",7.70%,± 1%
"Carroll County, Ohio",9.90%,± 1.5%
"Carroll County, Tennessee",11.40%,± 1.4%
"Carroll County, Virginia",10.20%,± 1.5%
"Carson City, Nevada",8.10%,± 0.9%
"Carson County, Texas",6%,± 1.7%
"Carter County, Kentucky",13.60%,± 1.5%
"Carter County, Missouri",20.20%,± 3.6%
"Carter County, Montana",8.60%,± 4.1%
"Carter County, Oklahoma",11.80%,± 0.9%
"Carter County, Tennessee",13%,± 1.2%
"Carteret County, North Carolina",9.10%,± 0.7%
"Carver County, Minnesota",3.40%,± 0.4%
"Cascade County, Montana",7.10%,± 0.7%
"Casey County, Kentucky",11.60%,± 1.8%
"Cass County, Illinois",8.40%,± 1.4%
"Cass County, Indiana",7%,± 0.9%
"Cass County, Iowa",7.90%,± 1.3%
"Cass County, Michigan",8.50%,± 0.9%
"Cass County, Minnesota",7.10%,± 0.5%
"Cass County, Missouri",6.90%,± 0.7%
"Cass County, Nebraska",5.90%,± 0.7%
"Cass County, North Dakota",4%,± 0.4%
"Cass County, Texas",12.90%,± 1.6%
"Cassia County, Idaho",7%,± 1.1%
"Castro County, Texas",6.20%,± 2%
"Caswell County, North Carolina",10.30%,± 1.5%
"Catahoula Parish, Louisiana",8.70%,± 2.3%
"Cataño Municipio, Puerto Rico",10.20%,± 1.5%
"Catawba County, North Carolina",7.90%,± 0.6%
"Catoosa County, Georgia",9.70%,± 1.2%
"Catron County, New Mexico",28.40%,± 7.7%
"Cattaraugus County, New York",7.50%,± 0.5%
"Cavalier County, North Dakota",6.10%,± 2.1%
"Cayey Municipio, Puerto Rico",17.40%,± 1.2%
"Cayuga County, New York",6.90%,± 0.5%
"Cecil County, Maryland",6.70%,± 0.7%
"Cedar County, Iowa",5.30%,± 0.8%
"Cedar County, Missouri",13.10%,± 2.2%
"Cedar County, Nebraska",3.80%,± 0.8%
"Ceiba Municipio, Puerto Rico",6.40%,± 1.7%
"Centre County, Pennsylvania",4.30%,± 0.4%
"Cerro Gordo County, Iowa",5.90%,± 0.9%
"Chaffee County, Colorado",5.20%,± 1.7%
"Chambers County, Alabama",13.30%,± 1.6%
"Chambers County, Texas",4.60%,± 1%
"Champaign County, Illinois",4.50%,± 0.3%
"Champaign County, Ohio",7.70%,± 0.8%
"Chariton County, Missouri",10.50%,± 1.7%
"Charles City County, Virginia",12.60%,± 1.6%
"Charles County, Maryland",5.40%,± 0.4%
"Charles Mix County, South Dakota",6.50%,± 1%
"Charleston County, South Carolina",5.70%,± 0.3%
"Charlevoix County, Michigan",7.60%,± 0.7%
"Charlotte County, Florida",10.80%,± 0.6%
"Charlotte County, Virginia",13.30%,± 2%
"Charlottesville city, Virginia",4.60%,± 0.7%
"Charlton County, Georgia",13.70%,± 2.8%
"Chase County, Kansas",5.50%,± 1.6%
"Chase County, Nebraska",6.20%,± 2.3%
"Chatham County, Georgia",8.30%,± 0.5%
"Chatham County, North Carolina",6.10%,± 0.8%
"Chattahoochee County, Georgia",5.30%,± 2.1%
"Chattooga County, Georgia",10.90%,± 1.4%
"Chautauqua County, Kansas",12.70%,± 2.4%
"Chautauqua County, New York",8.70%,± 0.6%
"Chaves County, New Mexico",11.10%,± 1.3%
"Cheatham County, Tennessee",7.80%,± 1%
"Cheboygan County, Michigan",10.50%,± 1.3%
"Chelan County, Washington",7.40%,± 0.8%
"Chemung County, New York",8.30%,± 0.8%
"Chenango County, New York",8.80%,± 0.7%
"Cherokee County, Alabama",12.70%,± 1.7%
"Cherokee County, Georgia",4.70%,± 0.5%
"Cherokee County, Iowa",5.10%,± 1.1%
"Cherokee County, Kansas",11.40%,± 1.5%
"Cherokee County, North Carolina",10.80%,± 1.7%
"Cherokee County, Oklahoma",11.80%,± 0.8%
"Cherokee County, South Carolina",8.10%,± 1%
"Cherokee County, Texas",7%,± 0.8%
"Cherry County, Nebraska",5.50%,± 1.5%
"Chesapeake city, Virginia",6.20%,± 0.4%
"Cheshire County, New Hampshire",6.40%,± 0.7%
"Chester County, Pennsylvania",4%,± 0.2%
"Chester County, South Carolina",9.20%,± 1%
"Chester County, Tennessee",6.90%,± 1.7%
"Chesterfield County, South Carolina",11.60%,± 1.2%
"Chesterfield County, Virginia",6.40%,± 0.4%
"Cheyenne County, Colorado",5.90%,± 2%
"Cheyenne County, Kansas",11.70%,± 2.7%
"Cheyenne County, Nebraska",7.40%,± 1.4%
"Chickasaw County, Iowa",6.40%,± 1.5%
"Chickasaw County, Mississippi",11.30%,± 1.6%
"Chicot County, Arkansas",15.40%,± 2.2%
"Childress County, Texas",11.20%,± 4.2%
"Chilton County, Alabama",11.60%,± 1.3%
"Chippewa County, Michigan",8.80%,± 0.8%
"Chippewa County, Minnesota",7.30%,± 1.4%
"Chippewa County, Wisconsin",5.60%,± 0.5%
"Chisago County, Minnesota",4.90%,± 0.6%
"Chittenden County, Vermont",4.30%,± 0.4%
"Choctaw County, Alabama",16.20%,± 2.5%
"Choctaw County, Mississippi",14.70%,± 2.4%
"Choctaw County, Oklahoma",15%,± 1.3%
"Chouteau County, Montana",5.90%,± 1.2%
"Chowan County, North Carolina",7.10%,± 1.9%
"Christian County, Illinois",8.80%,± 1.1%
"Christian County, Kentucky",9.30%,± 0.9%
"Christian County, Missouri",5.90%,± 0.7%
"Chugach Census Area, Alaska",5.40%,± 1.9%
"Churchill County, Nevada",10.40%,± 1.6%
"Ciales Municipio, Puerto Rico",14.80%,± 2.3%
"Cibola County, New Mexico",14.30%,± 2.2%
"Cidra Municipio, Puerto Rico",19.80%,± 1.7%
"Cimarron County, Oklahoma",9.40%,± 2.7%
"Citrus County, Florida",12.20%,± 0.7%
"Clackamas County, Oregon",6%,± 0.3%
"Claiborne County, Mississippi",8.90%,± 1.8%
"Claiborne County, Tennessee",14.70%,± 1.6%
"Claiborne Parish, Louisiana",10.10%,± 1.6%
"Clallam County, Washington",9.80%,± 0.7%
"Clare County, Michigan",12.90%,± 1.3%
"Clarendon County, South Carolina",11.30%,± 1.4%
"Clarion County, Pennsylvania",7.50%,± 0.7%
"Clark County, Arkansas",9.80%,± 1.5%
"Clark County, Idaho",4.80%,± 2.9%
"Clark County, Illinois",7.40%,± 1.3%
"Clark County, Indiana",8.20%,± 0.6%
"Clark County, Kansas",8.20%,± 2.6%
"Clark County, Kentucky",10.20%,± 1%
"Clark County, Missouri",6.20%,± 1.9%
"Clark County, Nevada",6.80%,± 0.1%
"Clark County, Ohio",9.30%,± 0.6%
"Clark County, South Dakota",5.40%,± 1.6%
"Clark County, Washington",6.20%,± 0.3%
"Clark County, Wisconsin",6%,± 0.6%
"Clarke County, Alabama",11.80%,± 1.5%
"Clarke County, Georgia",5.60%,± 0.6%
"Clarke County, Iowa",9.60%,± 2.3%
"Clarke County, Mississippi",14.80%,± 2.2%
"Clarke County, Virginia",6.40%,± 1.5%
"Clatsop County, Oregon",10.50%,± 1.2%
"Clay County, Alabama",14.60%,± 2.6%
"Clay County, Arkansas",10.90%,± 1.4%
"Clay County, Florida",7.30%,± 0.5%
"Clay County, Georgia",9.30%,± 4.1%
"Clay County, Illinois",10.80%,± 1.5%
"Clay County, Indiana",9.50%,± 1.3%
