Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Bristol County, Rhode Island",4.10%,± 0.9%
"Broadwater County, Montana",8.20%,± 4%
"Bronx County, New York",11.20%,± 0.4%
"Brooke County, West Virginia",5.70%,± 1.8%
"Brookings County, South Dakota",3.90%,± 0.9%
"Brooks County, Georgia",4.90%,± 2%
"Brooks County, Texas",2.10%,± 2.1%
"Broome County, New York",6.90%,± 0.8%
"Broomfield County, Colorado",3.20%,± 0.6%
"Broward County, Florida",5.80%,± 0.2%
"Brown County, Illinois",2.10%,± 2.1%
"Brown County, Indiana",3.90%,± 1.6%
"Brown County, Kansas",4.40%,± 1.7%
"Brown County, Minnesota",2.70%,± 0.9%
"Brown County, Nebraska",0.50%,± 0.7%
"Brown County, Ohio",4.40%,± 0.9%
"Brown County, South Dakota",3.60%,± 1.3%
"Brown County, Texas",3.80%,± 0.9%
"Brown County, Wisconsin",2.90%,± 0.4%
"Brule County, South Dakota",3.20%,± 1.9%
"Brunswick County, North Carolina",5%,± 1%
"Brunswick County, Virginia",5.20%,± 2.3%
"Bryan County, Georgia",5.50%,± 1.2%
"Bryan County, Oklahoma",4.80%,± 0.9%
"Buchanan County, Iowa",3%,± 1.2%
"Buchanan County, Missouri",4.80%,± 1%
"Buchanan County, Virginia",6%,± 2.6%
"Buckingham County, Virginia",5%,± 1.6%
"Bucks County, Pennsylvania",4.60%,± 0.3%
"Buena Vista city, Virginia",1.30%,± 1.6%
"Buena Vista County, Iowa",5%,± 1.3%
"Buffalo County, Nebraska",2.90%,± 0.8%
"Buffalo County, South Dakota",14.90%,± 5.7%
"Buffalo County, Wisconsin",2.30%,± 0.6%
"Bullitt County, Kentucky",4.60%,± 0.9%
"Bulloch County, Georgia",8.30%,± 1.5%
"Bullock County, Alabama",3.70%,± 3.7%
"Buncombe County, North Carolina",3.60%,± 0.5%
"Bureau County, Illinois",5.70%,± 1%
"Burke County, Georgia",5.20%,± 1.7%
"Burke County, North Carolina",6%,± 1%
"Burke County, North Dakota",2%,± 1.5%
"Burleigh County, North Dakota",2.70%,± 0.6%
"Burleson County, Texas",3.80%,± 1.8%
"Burlington County, New Jersey",5.10%,± 0.4%
"Burnet County, Texas",3.40%,± 1.1%
"Burnett County, Wisconsin",5.20%,± 1.1%
"Burt County, Nebraska",2.70%,± 1.5%
"Butler County, Alabama",6.80%,± 2.5%
"Butler County, Iowa",3.90%,± 1%
"Butler County, Kansas",3.10%,± 0.7%
"Butler County, Kentucky",5.40%,± 2.3%
"Butler County, Missouri",5.30%,± 1.4%
"Butler County, Nebraska",0.70%,± 0.5%
"Butler County, Ohio",5.10%,± 0.5%
"Butler County, Pennsylvania",4.70%,± 0.6%
"Butte County, California",7.10%,± 0.8%
"Butte County, Idaho",2%,± 1.9%
"Butte County, South Dakota",5.80%,± 2.9%
"Butts County, Georgia",4%,± 2%
"Cabarrus County, North Carolina",4.90%,± 0.6%
"Cabell County, West Virginia",6.10%,± 0.9%
"Cabo Rojo Municipio, Puerto Rico",14.60%,± 2.4%
"Cache County, Utah",2.40%,± 0.5%
"Caddo County, Oklahoma",6%,± 1%
"Caddo Parish, Louisiana",8.60%,± 1.1%
"Caguas Municipio, Puerto Rico",9.60%,± 1.3%
"Calaveras County, California",6.20%,± 1.4%
"Calcasieu Parish, Louisiana",5.60%,± 1%
"Caldwell County, Kentucky",4.70%,± 2.6%
"Caldwell County, Missouri",4.80%,± 1.9%
"Caldwell County, North Carolina",5.80%,± 1.1%
"Caldwell County, Texas",2.40%,± 0.7%
"Caldwell Parish, Louisiana",12.90%,± 5%
"Caledonia County, Vermont",2.60%,± 0.7%
"Calhoun County, Alabama",6.90%,± 1.1%
"Calhoun County, Arkansas",9.10%,± 3.9%
"Calhoun County, Florida",3.70%,± 1.8%
"Calhoun County, Georgia",11.40%,± 4.3%
"Calhoun County, Illinois",4.10%,± 1.8%
"Calhoun County, Iowa",2.70%,± 1.1%
"Calhoun County, Michigan",6.80%,± 0.7%
"Calhoun County, Mississippi",4.20%,± 1.6%
"Calhoun County, South Carolina",7.30%,± 2.3%
"Calhoun County, Texas",3.40%,± 1.4%
"Calhoun County, West Virginia",12.20%,± 6%
"Callahan County, Texas",4.80%,± 1.4%
"Callaway County, Missouri",5.20%,± 1.8%
"Calloway County, Kentucky",4.70%,± 1.4%
"Calumet County, Wisconsin",2.30%,± 0.7%
"Calvert County, Maryland",3.20%,± 0.7%
"Camas County, Idaho",5%,± 7.4%
"Cambria County, Pennsylvania",5%,± 0.6%
"Camden County, Georgia",4.70%,± 1.3%
"Camden County, Missouri",5.20%,± 1.3%
"Camden County, New Jersey",7.20%,± 0.4%
"Camden County, North Carolina",5.70%,± 2.5%
"Cameron County, Pennsylvania",7.10%,± 2.4%
"Cameron County, Texas",5.70%,± 0.5%
"Cameron Parish, Louisiana",2.10%,± 1.8%
"Camp County, Texas",5.40%,± 2.4%
"Campbell County, Kentucky",3.80%,± 0.7%
"Campbell County, South Dakota",3.90%,± 2.7%
"Campbell County, Tennessee",7.10%,± 1.6%
"Campbell County, Virginia",4.90%,± 1%
"Campbell County, Wyoming",3%,± 1%
"Camuy Municipio, Puerto Rico",5.40%,± 1.9%
"Canadian County, Oklahoma",4.10%,± 0.5%
"Candler County, Georgia",3.90%,± 2.1%
"Cannon County, Tennessee",3.30%,± 2%
"Canóvanas Municipio, Puerto Rico",17.70%,± 2.5%
"Canyon County, Idaho",3.50%,± 0.5%
"Cape Girardeau County, Missouri",3.20%,± 0.8%
"Cape May County, New Jersey",6.50%,± 1%
"Capitol Planning Region, Connecticut",5.60%,± 0.2%
"Carbon County, Montana",4.90%,± 1.7%
"Carbon County, Pennsylvania",6.90%,± 1.2%
"Carbon County, Utah",6.70%,± 1.9%
"Carbon County, Wyoming",4.80%,± 1.9%
"Caribou County, Idaho",2.80%,± 1.9%
"Carlisle County, Kentucky",4.20%,± 1.8%
"Carlton County, Minnesota",4.70%,± 1%
"Carolina Municipio, Puerto Rico",13.30%,± 1.1%
"Caroline County, Maryland",4.60%,± 1%
"Caroline County, Virginia",4.60%,± 1.3%
"Carroll County, Arkansas",3.10%,± 1.2%
"Carroll County, Georgia",5.90%,± 1%
"Carroll County, Illinois",4.90%,± 1.3%
"Carroll County, Indiana",3.10%,± 1.2%
"Carroll County, Iowa",1.90%,± 1.1%
"Carroll County, Kentucky",6.70%,± 3.7%
"Carroll County, Maryland",3.10%,± 0.5%
"Carroll County, Mississippi",6%,± 4.2%
"Carroll County, Missouri",4.70%,± 1.5%
"Carroll County, New Hampshire",5.60%,± 1.4%
"Carroll County, Ohio",3.90%,± 1.1%
"Carroll County, Tennessee",4.60%,± 1.2%
"Carroll County, Virginia",4.80%,± 2%
"Carson City, Nevada",4.70%,± 1.2%
"Carson County, Texas",1.90%,± 1.4%
"Carter County, Kentucky",6%,± 1.9%
"Carter County, Missouri",1.20%,± 1.6%
"Carter County, Montana",2.40%,± 2.8%
"Carter County, Oklahoma",4.20%,± 0.7%
"Carter County, Tennessee",7.20%,± 1.2%
"Carteret County, North Carolina",4.90%,± 1.1%
"Carver County, Minnesota",3.10%,± 0.5%
"Cascade County, Montana",3.30%,± 0.6%
"Casey County, Kentucky",10.40%,± 3.6%
"Cass County, Illinois",5.40%,± 1.8%
"Cass County, Indiana",4.20%,± 1.3%
"Cass County, Iowa",1.40%,± 0.7%
"Cass County, Michigan",5%,± 0.9%
"Cass County, Minnesota",6.40%,± 0.8%
"Cass County, Missouri",4.50%,± 0.9%
"Cass County, Nebraska",2.20%,± 0.7%
"Cass County, North Dakota",2.80%,± 0.5%
"Cass County, Texas",7.20%,± 1.9%
"Cassia County, Idaho",3%,± 1.3%
"Castro County, Texas",3.60%,± 1.6%
"Caswell County, North Carolina",6%,± 2.2%
"Catahoula Parish, Louisiana",6.50%,± 2.7%
"Cataño Municipio, Puerto Rico",13.70%,± 3.1%
"Catawba County, North Carolina",5.10%,± 0.8%
"Catoosa County, Georgia",3.70%,± 1%
"Catron County, New Mexico",5.70%,± 6.8%
"Cattaraugus County, New York",5.40%,± 0.8%
"Cavalier County, North Dakota",0.90%,± 1%
"Cayey Municipio, Puerto Rico",6.70%,± 1.7%
"Cayuga County, New York",4.30%,± 0.8%
"Cecil County, Maryland",4.90%,± 0.8%
"Cedar County, Iowa",3%,± 1.1%
"Cedar County, Missouri",2.50%,± 1.6%
"Cedar County, Nebraska",2%,± 1%
"Ceiba Municipio, Puerto Rico",11.20%,± 4.2%
"Centre County, Pennsylvania",4%,± 0.7%
"Cerro Gordo County, Iowa",3%,± 1%
"Chaffee County, Colorado",6%,± 3.8%
"Chambers County, Alabama",3.60%,± 1.2%
"Chambers County, Texas",7.50%,± 2.7%
"Champaign County, Illinois",4.80%,± 0.7%
"Champaign County, Ohio",4.50%,± 1.1%
"Chariton County, Missouri",4.30%,± 2.1%
"Charles City County, Virginia",4.10%,± 1.2%
"Charles County, Maryland",4.90%,± 0.6%
"Charles Mix County, South Dakota",7.10%,± 1.7%
"Charleston County, South Carolina",3.70%,± 0.4%
"Charlevoix County, Michigan",3.80%,± 1.3%
"Charlotte County, Florida",5.70%,± 0.8%
"Charlotte County, Virginia",3.60%,± 1.4%
"Charlottesville city, Virginia",5.10%,± 1.4%
"Charlton County, Georgia",8.30%,± 4.3%
"Chase County, Kansas",1.20%,± 1.1%
"Chase County, Nebraska",2.60%,± 2%
"Chatham County, Georgia",6.30%,± 0.7%
"Chatham County, North Carolina",2.80%,± 0.8%
"Chattahoochee County, Georgia",8.40%,± 4.7%
"Chattooga County, Georgia",4.70%,± 1.7%
"Chautauqua County, Kansas",5.60%,± 2.3%
"Chautauqua County, New York",5.40%,± 0.7%
"Chaves County, New Mexico",5.30%,± 1.3%
"Cheatham County, Tennessee",3.70%,± 1%
"Cheboygan County, Michigan",7.20%,± 1.2%
"Chelan County, Washington",3.40%,± 0.7%
"Chemung County, New York",6.30%,± 1%
"Chenango County, New York",7.10%,± 1.2%
"Cherokee County, Alabama",4%,± 1.5%
"Cherokee County, Georgia",3.70%,± 0.6%
"Cherokee County, Iowa",3.20%,± 1.6%
"Cherokee County, Kansas",2.30%,± 0.8%
"Cherokee County, North Carolina",4.90%,± 1.7%
"Cherokee County, Oklahoma",5.60%,± 1.2%
"Cherokee County, South Carolina",5.90%,± 1.3%
"Cherokee County, Texas",5.80%,± 1.3%
"Cherry County, Nebraska",0.40%,± 0.5%
"Chesapeake city, Virginia",5%,± 0.7%
"Cheshire County, New Hampshire",3.50%,± 0.6%
"Chester County, Pennsylvania",4%,± 0.3%
"Chester County, South Carolina",6.20%,± 1.5%
"Chester County, Tennessee",6.90%,± 3%
"Chesterfield County, South Carolina",8.70%,± 1.7%
"Chesterfield County, Virginia",4.70%,± 0.5%
"Cheyenne County, Colorado",2.10%,± 1.5%
"Cheyenne County, Kansas",1.80%,± 1.2%
"Cheyenne County, Nebraska",2.60%,± 1.1%
"Chickasaw County, Iowa",2.10%,± 1.1%
"Chickasaw County, Mississippi",3.10%,± 1.4%
"Chicot County, Arkansas",10.90%,± 3.2%
"Childress County, Texas",8.60%,± 8.4%
"Chilton County, Alabama",5.30%,± 1.4%
"Chippewa County, Michigan",7.70%,± 1.2%
"Chippewa County, Minnesota",5.20%,± 1.4%
"Chippewa County, Wisconsin",3%,± 0.8%
"Chisago County, Minnesota",3.70%,± 0.6%
"Chittenden County, Vermont",3.90%,± 0.6%
"Choctaw County, Alabama",5.20%,± 2.5%
"Choctaw County, Mississippi",7.30%,± 3.3%
"Choctaw County, Oklahoma",6.90%,± 1.4%
"Chouteau County, Montana",5.20%,± 3.1%
"Chowan County, North Carolina",4.30%,± 2.7%
"Christian County, Illinois",4.40%,± 1.3%
"Christian County, Kentucky",7.60%,± 1.5%
"Christian County, Missouri",3.60%,± 0.9%
"Chugach Census Area, Alaska",8.80%,± 3%
"Churchill County, Nevada",6.30%,± 1.8%
"Ciales Municipio, Puerto Rico",17.70%,± 4.5%
"Cibola County, New Mexico",7.30%,± 2.5%
"Cidra Municipio, Puerto Rico",6.30%,± 1.7%
"Cimarron County, Oklahoma",0.20%,± 0.4%
"Citrus County, Florida",7.20%,± 1.2%
"Clackamas County, Oregon",5%,± 0.5%
"Claiborne County, Mississippi",9%,± 4.1%
"Claiborne County, Tennessee",6.10%,± 1.7%
"Claiborne Parish, Louisiana",5.20%,± 2.5%
"Clallam County, Washington",5.40%,± 0.9%
"Clare County, Michigan",9.30%,± 1.5%
"Clarendon County, South Carolina",10.10%,± 1.8%
"Clarion County, Pennsylvania",5.50%,± 1.3%
"Clark County, Arkansas",4.10%,± 1.4%
"Clark County, Idaho",1.90%,± 2.4%
"Clark County, Illinois",4%,± 1.8%
"Clark County, Indiana",3.70%,± 0.7%
"Clark County, Kansas",1%,± 1%
"Clark County, Kentucky",5.20%,± 1.2%
"Clark County, Missouri",3.90%,± 2.4%
"Clark County, Nevada",7.70%,± 0.3%
"Clark County, Ohio",6.80%,± 0.8%
"Clark County, South Dakota",5.30%,± 2.6%
"Clark County, Washington",5.20%,± 0.4%
"Clark County, Wisconsin",3.40%,± 0.6%
"Clarke County, Alabama",12.50%,± 3.3%
"Clarke County, Georgia",5.30%,± 0.8%
"Clarke County, Iowa",3.90%,± 2.7%
"Clarke County, Mississippi",5.60%,± 2.6%
"Clarke County, Virginia",3.50%,± 1.5%
"Clatsop County, Oregon",4.80%,± 1.3%
"Clay County, Alabama",5.70%,± 2.3%
"Clay County, Arkansas",5.60%,± 2%
"Clay County, Florida",4.30%,± 0.6%
"Clay County, Georgia",3.50%,± 2.9%
"Clay County, Illinois",6%,± 2.3%
"Clay County, Indiana",4.30%,± 1.1%
"Clay County, Iowa",4.10%,± 1.9%
"Clay County, Kansas",1.40%,± 1%
"Clay County, Kentucky",10%,± 2.7%
"Clay County, Minnesota",4%,± 0.7%
"Clay County, Mississippi",8.90%,± 2.3%
"Clay County, Missouri",4%,± 0.5%
"Clay County, Nebraska",2.20%,± 0.9%
