Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Atkinson County, Georgia",26.60%,± 5.6%
"Atlantic County, New Jersey",9.80%,± 0.8%
"Atoka County, Oklahoma",15.90%,± 2.3%
"Attala County, Mississippi",24.90%,± 3.9%
"Audrain County, Missouri",24.30%,± 2.5%
"Audubon County, Iowa",15.90%,± 2.9%
"Auglaize County, Ohio",26.60%,± 1.8%
"Augusta County, Virginia",18.30%,± 1.8%
"Aurora County, South Dakota",17.30%,± 4%
"Austin County, Texas",15%,± 3.2%
"Autauga County, Alabama",17.40%,± 2.3%
"Avery County, North Carolina",8.60%,± 2.7%
"Avoyelles Parish, Louisiana",10.10%,± 1.9%
"Baca County, Colorado",10.40%,± 2.6%
"Bacon County, Georgia",20.50%,± 4.9%
"Bailey County, Texas",31.30%,± 10%
"Baker County, Florida",18.40%,± 4.3%
"Baker County, Georgia",13%,± 6.7%
"Baker County, Oregon",11.60%,± 2.7%
"Baldwin County, Alabama",13.10%,± 1.1%
"Baldwin County, Georgia",14.90%,± 3%
"Ballard County, Kentucky",14.70%,± 3.3%
"Baltimore city, Maryland",11.60%,± 0.5%
"Baltimore County, Maryland",10.60%,± 0.4%
"Bamberg County, South Carolina",31.90%,± 5.9%
"Bandera County, Texas",9%,± 2.7%
"Banks County, Georgia",20.50%,± 2.9%
"Banner County, Nebraska",3.40%,± 2.4%
"Bannock County, Idaho",13.50%,± 1.3%
"Baraga County, Michigan",16.20%,± 3%
"Barber County, Kansas",16%,± 3.9%
"Barbour County, Alabama",20.10%,± 3%
"Barbour County, West Virginia",14.60%,± 4%
"Barceloneta Municipio, Puerto Rico",11.70%,± 3.4%
"Barnes County, North Dakota",12.70%,± 2.7%
"Barnstable County, Massachusetts",8.20%,± 0.8%
"Barnwell County, South Carolina",23.70%,± 3.3%
"Barranquitas Municipio, Puerto Rico",16.40%,± 3.9%
"Barren County, Kentucky",23%,± 2.5%
"Barron County, Wisconsin",22.30%,± 1.7%
"Barrow County, Georgia",17.30%,± 1.6%
"Barry County, Michigan",21.90%,± 1.8%
"Barry County, Missouri",26.70%,± 3.2%
"Bartholomew County, Indiana",18.30%,± 1.5%
"Barton County, Kansas",17.30%,± 2.5%
"Barton County, Missouri",13.30%,± 2.9%
"Bartow County, Georgia",18.20%,± 1.9%
"Bastrop County, Texas",15%,± 1.8%
"Bates County, Missouri",18.50%,± 3%
"Bath County, Kentucky",30.30%,± 4.8%
"Bath County, Virginia",8%,± 4.6%
"Baxter County, Arkansas",23.70%,± 3.2%
"Bay County, Florida",10.60%,± 0.9%
"Bay County, Michigan",16.80%,± 1.1%
"Bayamón Municipio, Puerto Rico",9.70%,± 0.9%
"Bayfield County, Wisconsin",13.80%,± 1.5%
"Baylor County, Texas",14%,± 6.2%
"Beadle County, South Dakota",27.90%,± 3.1%
"Bear Lake County, Idaho",14.30%,± 2.8%
"Beaufort County, North Carolina",16.30%,± 2.2%
"Beaufort County, South Carolina",10.20%,± 1.1%
"Beauregard Parish, Louisiana",17.90%,± 2.9%
"Beaver County, Oklahoma",12.20%,± 3%
"Beaver County, Pennsylvania",15.40%,± 0.8%
"Beaver County, Utah",16.60%,± 3.7%
"Beaverhead County, Montana",8.60%,± 2.8%
"Becker County, Minnesota",15.50%,± 1.2%
"Beckham County, Oklahoma",9.40%,± 2.9%
"Bedford County, Pennsylvania",21.20%,± 1.5%
"Bedford County, Tennessee",23.60%,± 2.8%
"Bedford County, Virginia",14.20%,± 1.4%
"Bee County, Texas",15.60%,± 3.5%
"Belknap County, New Hampshire",11.90%,± 1.7%
"Bell County, Kentucky",22.20%,± 4%
"Bell County, Texas",13.20%,± 0.9%
"Belmont County, Ohio",17.50%,± 1.8%
"Beltrami County, Minnesota",11.60%,± 1%
"Ben Hill County, Georgia",24.40%,± 3.9%
"Benewah County, Idaho",16%,± 3%
"Bennett County, South Dakota",16.40%,± 5.3%
"Bennington County, Vermont",11%,± 1.7%
"Benson County, North Dakota",12.20%,± 2.5%
"Bent County, Colorado",15.10%,± 5.1%
"Benton County, Arkansas",14.80%,± 1%
"Benton County, Indiana",23.30%,± 3.7%
"Benton County, Iowa",17.30%,± 1.9%
"Benton County, Minnesota",17.10%,± 1.7%
"Benton County, Mississippi",30%,± 6.9%
"Benton County, Missouri",15.80%,± 2.7%
"Benton County, Oregon",8.30%,± 1.1%
"Benton County, Tennessee",25%,± 4%
"Benton County, Washington",12.10%,± 0.9%
"Benzie County, Michigan",15.10%,± 2.2%
"Bergen County, New Jersey",8.80%,± 0.3%
"Berkeley County, South Carolina",14.70%,± 1.1%
"Berkeley County, West Virginia",21.80%,± 1.8%
"Berks County, Pennsylvania",20.40%,± 0.7%
"Berkshire County, Massachusetts",10.30%,± 1%
"Bernalillo County, New Mexico",8.70%,± 0.5%
"Berrien County, Georgia",21.50%,± 3.1%
"Berrien County, Michigan",16.50%,± 1%
"Bertie County, North Carolina",22.60%,± 3.7%
"Bethel Census Area, Alaska",14.40%,± 3.5%
"Bexar County, Texas",11.30%,± 0.3%
"Bibb County, Alabama",25.50%,± 5.1%
"Bibb County, Georgia",15.20%,± 1.5%
"Bienville Parish, Louisiana",23.60%,± 4.6%
"Big Horn County, Montana",9.50%,± 3.3%
"Big Horn County, Wyoming",14%,± 2.6%
"Big Stone County, Minnesota",15.30%,± 2.7%
"Billings County, North Dakota",5.90%,± 3%
"Bingham County, Idaho",18%,± 1.8%
"Black Hawk County, Iowa",19.50%,± 1.2%
"Blackford County, Indiana",25.10%,± 4.5%
"Bladen County, North Carolina",21.10%,± 3.4%
"Blaine County, Idaho",11.80%,± 3%
"Blaine County, Montana",5.60%,± 2.1%
"Blaine County, Nebraska",8.30%,± 4.7%
"Blaine County, Oklahoma",15.90%,± 3.2%
"Blair County, Pennsylvania",16.70%,± 1.1%
"Blanco County, Texas",7.60%,± 3%
"Bland County, Virginia",21.60%,± 6.2%
"Bleckley County, Georgia",14.10%,± 4.4%
"Bledsoe County, Tennessee",16.30%,± 4.3%
"Blount County, Alabama",21.70%,± 1.8%
"Blount County, Tennessee",16.90%,± 1.3%
"Blue Earth County, Minnesota",16.60%,± 1.4%
"Boise County, Idaho",6.50%,± 2.3%
"Bolivar County, Mississippi",14%,± 2.5%
"Bollinger County, Missouri",19.40%,± 4.1%
"Bon Homme County, South Dakota",18.60%,± 3.4%
"Bond County, Illinois",18.80%,± 3%
"Bonner County, Idaho",15%,± 1.8%
"Bonneville County, Idaho",12.80%,± 1.2%
"Boone County, Arkansas",18.80%,± 2.4%
"Boone County, Illinois",20.50%,± 2.1%
"Boone County, Indiana",13.10%,± 1.4%
"Boone County, Iowa",17.40%,± 2.3%
"Boone County, Kentucky",18%,± 1.5%
"Boone County, Missouri",9.60%,± 1%
"Boone County, Nebraska",15.60%,± 3.1%
"Boone County, West Virginia",12.20%,± 3.4%
"Borden County, Texas",10%,± 7.4%
"Bosque County, Texas",14.70%,± 2.5%
"Bossier Parish, Louisiana",11.50%,± 1.1%
"Botetourt County, Virginia",14.50%,± 2.5%
"Bottineau County, North Dakota",11.70%,± 2.3%
"Boulder County, Colorado",7.50%,± 0.6%
"Boundary County, Idaho",14.80%,± 3.7%
"Bourbon County, Kansas",26.60%,± 3.8%
"Bourbon County, Kentucky",14.40%,± 2.9%
"Bowie County, Texas",14%,± 1.5%
"Bowman County, North Dakota",11.10%,± 3.4%
"Box Butte County, Nebraska",20.40%,± 4%
"Box Elder County, Utah",21.90%,± 1.7%
"Boyd County, Kentucky",14.20%,± 2%
"Boyd County, Nebraska",19.50%,± 5.4%
"Boyle County, Kentucky",21.90%,± 3%
"Bracken County, Kentucky",27.70%,± 4.4%
"Bradford County, Florida",15.40%,± 3.2%
"Bradford County, Pennsylvania",25.50%,± 1.6%
"Bradley County, Arkansas",23.30%,± 4.2%
"Bradley County, Tennessee",21.30%,± 1.8%
"Branch County, Michigan",29.30%,± 2%
"Brantley County, Georgia",24.10%,± 5.7%
"Braxton County, West Virginia",20.80%,± 4.1%
"Brazoria County, Texas",12.50%,± 0.8%
"Brazos County, Texas",9.50%,± 0.9%
"Breathitt County, Kentucky",17.60%,± 3.6%
"Breckinridge County, Kentucky",29.60%,± 3.7%
"Bremer County, Iowa",19.50%,± 1.9%
"Brevard County, Florida",10.40%,± 0.7%
"Brewster County, Texas",8.50%,± 4.6%
"Briscoe County, Texas",11.30%,± 6.8%
"Bristol Bay Borough, Alaska",14.10%,± 6.3%
"Bristol city, Virginia",16.30%,± 3.9%
"Bristol County, Massachusetts",13.50%,± 0.5%
"Bristol County, Rhode Island",4.90%,± 1.1%
"Broadwater County, Montana",15%,± 4%
"Bronx County, New York",12.40%,± 0.4%
"Brooke County, West Virginia",18.90%,± 2.6%
"Brookings County, South Dakota",16.50%,± 2%
"Brooks County, Georgia",19%,± 5%
"Brooks County, Texas",14.20%,± 6.7%
"Broome County, New York",12%,± 0.8%
"Broomfield County, Colorado",6.60%,± 0.8%
"Broward County, Florida",10.10%,± 0.3%
"Brown County, Illinois",18.70%,± 4.3%
"Brown County, Indiana",12.40%,± 2.4%
"Brown County, Kansas",18.50%,± 2.7%
"Brown County, Minnesota",20.40%,± 1.8%
"Brown County, Nebraska",12.80%,± 4.6%
"Brown County, Ohio",22.70%,± 2.5%
"Brown County, South Dakota",16.10%,± 1.8%
"Brown County, Texas",19.40%,± 2%
"Brown County, Wisconsin",17.80%,± 0.8%
"Brule County, South Dakota",13.10%,± 3.9%
"Brunswick County, North Carolina",11.10%,± 1.2%
"Brunswick County, Virginia",26%,± 4.1%
"Bryan County, Georgia",11.80%,± 2.5%
"Bryan County, Oklahoma",15.40%,± 1.4%
"Buchanan County, Iowa",21.60%,± 2.1%
"Buchanan County, Missouri",23.60%,± 1.8%
"Buchanan County, Virginia",14.60%,± 4%
"Buckingham County, Virginia",20.10%,± 3.2%
"Bucks County, Pennsylvania",10.70%,± 0.4%
"Buena Vista city, Virginia",11.40%,± 4.7%
"Buena Vista County, Iowa",35.50%,± 3.1%
"Buffalo County, Nebraska",15.10%,± 1.6%
"Buffalo County, South Dakota",10%,± 6%
"Buffalo County, Wisconsin",22.50%,± 2.2%
"Bullitt County, Kentucky",23.50%,± 1.6%
"Bulloch County, Georgia",16.60%,± 1.7%
"Bullock County, Alabama",34.40%,± 9.2%
"Buncombe County, North Carolina",10.70%,± 1%
"Bureau County, Illinois",23.10%,± 1.4%
"Burke County, Georgia",22.70%,± 3.2%
"Burke County, North Carolina",22%,± 2%
"Burke County, North Dakota",13%,± 3.5%
"Burleigh County, North Dakota",10.60%,± 1.3%
"Burleson County, Texas",15.80%,± 3.7%
"Burlington County, New Jersey",10.20%,± 0.5%
"Burnet County, Texas",9.70%,± 1.7%
"Burnett County, Wisconsin",20.70%,± 1.8%
"Burt County, Nebraska",14.10%,± 2.6%
"Butler County, Alabama",26.60%,± 3.2%
"Butler County, Iowa",20.40%,± 1.9%
"Butler County, Kansas",13.30%,± 1.2%
"Butler County, Kentucky",21.50%,± 4%
"Butler County, Missouri",22.70%,± 2.7%
"Butler County, Nebraska",21.70%,± 4%
"Butler County, Ohio",16.10%,± 0.8%
"Butler County, Pennsylvania",12.40%,± 0.8%
"Butte County, California",10.40%,± 0.7%
"Butte County, Idaho",17.20%,± 6.5%
"Butte County, South Dakota",15.50%,± 3.1%
"Butts County, Georgia",20.60%,± 4.5%
"Cabarrus County, North Carolina",12.50%,± 1%
"Cabell County, West Virginia",10.90%,± 1.3%
"Cabo Rojo Municipio, Puerto Rico",12.90%,± 2.8%
"Cache County, Utah",17.20%,± 1.1%
"Caddo County, Oklahoma",15.70%,± 2%
"Caddo Parish, Louisiana",12.60%,± 0.8%
"Caguas Municipio, Puerto Rico",10.70%,± 1.4%
"Calaveras County, California",8.80%,± 1.8%
"Calcasieu Parish, Louisiana",12.50%,± 1.2%
"Caldwell County, Kentucky",25.30%,± 5.1%
"Caldwell County, Missouri",23.10%,± 2.5%
"Caldwell County, North Carolina",24.10%,± 1.6%
"Caldwell County, Texas",13.60%,± 2.2%
"Caldwell Parish, Louisiana",20.20%,± 6.9%
"Caledonia County, Vermont",14.60%,± 1.6%
"Calhoun County, Alabama",21.10%,± 1.5%
"Calhoun County, Arkansas",18.80%,± 5.7%
"Calhoun County, Florida",12.40%,± 4%
"Calhoun County, Georgia",18.70%,± 6.7%
"Calhoun County, Illinois",11.30%,± 4.9%
"Calhoun County, Iowa",14.30%,± 2.3%
"Calhoun County, Michigan",22.60%,± 1.2%
"Calhoun County, Mississippi",30.20%,± 4.1%
"Calhoun County, South Carolina",17.80%,± 3.5%
"Calhoun County, Texas",17.30%,± 4.9%
"Calhoun County, West Virginia",21.80%,± 6.5%
"Callahan County, Texas",15.80%,± 2.8%
"Callaway County, Missouri",14.50%,± 2%
"Calloway County, Kentucky",17.10%,± 2.3%
"Calumet County, Wisconsin",20.50%,± 1.4%
"Calvert County, Maryland",6.80%,± 0.9%
"Camas County, Idaho",6%,± 4.7%
"Cambria County, Pennsylvania",16.70%,± 1%
"Camden County, Georgia",14.80%,± 2.6%
"Camden County, Missouri",14.60%,± 2.1%
"Camden County, New Jersey",13.40%,± 0.7%
"Camden County, North Carolina",8.40%,± 3.2%
"Cameron County, Pennsylvania",27.10%,± 4.5%
"Cameron County, Texas",12.50%,± 0.7%
"Cameron Parish, Louisiana",23.40%,± 7.5%
"Camp County, Texas",21%,± 3.9%
"Campbell County, Kentucky",11.60%,± 1.1%
"Campbell County, South Dakota",13.80%,± 4%
"Campbell County, Tennessee",20.30%,± 2.5%
"Campbell County, Virginia",19.80%,± 2.4%
"Campbell County, Wyoming",15.60%,± 2.3%
"Camuy Municipio, Puerto Rico",15.60%,± 3.1%
"Canadian County, Oklahoma",11.40%,± 0.9%
"Candler County, Georgia",20.30%,± 4%
"Cannon County, Tennessee",20.60%,± 3.1%
"Canóvanas Municipio, Puerto Rico",12.20%,± 2.4%
"Canyon County, Idaho",15.50%,± 1.1%
"Cape Girardeau County, Missouri",13%,± 1.6%
"Cape May County, New Jersey",7.90%,± 1.2%
"Capitol Planning Region, Connecticut",11.40%,± 0.4%
"Carbon County, Montana",13.30%,± 2.4%
"Carbon County, Pennsylvania",20.20%,± 1.8%
"Carbon County, Utah",17.10%,± 2.7%
"Carbon County, Wyoming",16.90%,± 2.7%
"Caribou County, Idaho",11.80%,± 2.7%
"Carlisle County, Kentucky",21.60%,± 4.1%
"Carlton County, Minnesota",15.10%,± 1.4%
"Carolina Municipio, Puerto Rico",9.70%,± 0.9%
"Caroline County, Maryland",13.40%,± 1.6%
"Caroline County, Virginia",14.20%,± 2.2%
"Carroll County, Arkansas",19.80%,± 3.4%
"Carroll County, Georgia",18.70%,± 1.9%
"Carroll County, Illinois",28.60%,± 2.6%
"Carroll County, Indiana",25.10%,± 2.9%
"Carroll County, Iowa",20.20%,± 2.6%
"Carroll County, Kentucky",27.80%,± 5.2%
"Carroll County, Maryland",8.50%,± 0.8%
"Carroll County, Mississippi",13.70%,± 4.9%
"Carroll County, Missouri",16.30%,± 3.1%
"Carroll County, New Hampshire",11.40%,± 1.6%
"Carroll County, Ohio",22.40%,± 2.5%
"Carroll County, Tennessee",22.10%,± 2.5%
"Carroll County, Virginia",21.20%,± 3%
"Carson City, Nevada",14.50%,± 1.8%
"Carson County, Texas",12.40%,± 3.1%
"Carter County, Kentucky",21.30%,± 3.3%
"Carter County, Missouri",24.20%,± 7.4%
"Carter County, Montana",7.40%,± 3.2%
"Carter County, Oklahoma",20.20%,± 1.4%
"Carter County, Tennessee",16.30%,± 1.7%
"Carteret County, North Carolina",11.40%,± 1.3%
"Carver County, Minnesota",10.20%,± 1%
"Cascade County, Montana",11.60%,± 1.3%
"Casey County, Kentucky",24.20%,± 4.2%
"Cass County, Illinois",27.40%,± 3.6%
"Cass County, Indiana",30%,± 2.3%
"Cass County, Iowa",17.10%,± 2.6%
"Cass County, Michigan",23%,± 1.9%
"Cass County, Minnesota",14.30%,± 1.2%
"Cass County, Missouri",13.10%,± 1.2%
"Cass County, Nebraska",14.50%,± 1.6%
"Cass County, North Dakota",11.10%,± 1%
"Cass County, Texas",20.90%,± 2.9%
"Cassia County, Idaho",20.40%,± 2.8%
"Castro County, Texas",14.10%,± 5.7%
"Caswell County, North Carolina",21.10%,± 3.5%
"Catahoula Parish, Louisiana",16.30%,± 4.8%
"Cataño Municipio, Puerto Rico",14.70%,± 3.2%
"Catawba County, North Carolina",25.10%,± 1.3%
"Catoosa County, Georgia",16.40%,± 1.9%
"Catron County, New Mexico",4.90%,± 4.7%
"Cattaraugus County, New York",17.40%,± 1.2%
"Cavalier County, North Dakota",8.90%,± 2.9%
"Cayey Municipio, Puerto Rico",12%,± 2.5%
"Cayuga County, New York",15.90%,± 1.2%
"Cecil County, Maryland",14.60%,± 1.2%
"Cedar County, Iowa",15.90%,± 1.9%
"Cedar County, Missouri",17.90%,± 3.2%
"Cedar County, Nebraska",14.80%,± 2.4%
"Ceiba Municipio, Puerto Rico",13.20%,± 4.5%
"Centre County, Pennsylvania",9.40%,± 0.9%
"Cerro Gordo County, Iowa",21.40%,± 1.9%
"Chaffee County, Colorado",5.30%,± 1.8%
"Chambers County, Alabama",28.50%,± 3.1%
"Chambers County, Texas",17%,± 2.5%
"Champaign County, Illinois",11%,± 0.9%
"Champaign County, Ohio",26%,± 2.2%
"Chariton County, Missouri",17.10%,± 2.5%
"Charles City County, Virginia",18.60%,± 2.7%
"Charles County, Maryland",9.70%,± 0.9%
"Charles Mix County, South Dakota",8.10%,± 2.2%
"Charleston County, South Carolina",8.80%,± 0.6%
"Charlevoix County, Michigan",17.20%,± 1.5%
"Charlotte County, Florida",11.20%,± 1.1%
"Charlotte County, Virginia",17%,± 3.5%
"Charlottesville city, Virginia",6%,± 1.1%
"Charlton County, Georgia",29.70%,± 7.4%
"Chase County, Kansas",23%,± 5.2%
"Chase County, Nebraska",9%,± 3.8%
"Chatham County, Georgia",14.90%,± 0.9%
"Chatham County, North Carolina",9.90%,± 1.2%
"Chattahoochee County, Georgia",12.80%,± 5.4%
"Chattooga County, Georgia",31.60%,± 3.2%
"Chautauqua County, Kansas",15.50%,± 3.4%
"Chautauqua County, New York",18.10%,± 1.3%
"Chaves County, New Mexico",17%,± 2%
"Cheatham County, Tennessee",14.30%,± 2%
"Cheboygan County, Michigan",16.90%,± 2.2%
"Chelan County, Washington",13.30%,± 1.8%
"Chemung County, New York",16.40%,± 1%
"Chenango County, New York",20.90%,± 1.7%
"Cherokee County, Alabama",20.20%,± 3%
"Cherokee County, Georgia",9.40%,± 0.8%
"Cherokee County, Iowa",20.90%,± 3.6%
"Cherokee County, Kansas",21.90%,± 2.9%
"Cherokee County, North Carolina",12.90%,± 2.3%
"Cherokee County, Oklahoma",11.80%,± 1.6%
"Cherokee County, South Carolina",24.40%,± 2.4%
"Cherokee County, Texas",17.80%,± 2.5%
"Cherry County, Nebraska",10.90%,± 2.9%
"Chesapeake city, Virginia",11.10%,± 0.8%
"Cheshire County, New Hampshire",14.70%,± 1.2%
"Chester County, Pennsylvania",7.10%,± 0.4%
"Chester County, South Carolina",27.50%,± 3.1%
"Chester County, Tennessee",25.20%,± 5.1%
"Chesterfield County, South Carolina",28.30%,± 2.3%
"Chesterfield County, Virginia",10.80%,± 0.6%
"Cheyenne County, Colorado",9.40%,± 3.6%
"Cheyenne County, Kansas",11.70%,± 4.3%
"Cheyenne County, Nebraska",14.70%,± 3.4%
"Chickasaw County, Iowa",27.60%,± 3.4%
"Chickasaw County, Mississippi",33.60%,± 3.9%
"Chicot County, Arkansas",17.90%,± 5.1%
"Childress County, Texas",12.30%,± 6.6%
"Chilton County, Alabama",21.80%,± 2.6%
"Chippewa County, Michigan",12.90%,± 1.7%
"Chippewa County, Minnesota",17.60%,± 2.6%
"Chippewa County, Wisconsin",19.60%,± 1.5%
"Chisago County, Minnesota",16%,± 1.4%
"Chittenden County, Vermont",7.30%,± 0.6%
"Choctaw County, Alabama",20.40%,± 3.8%
"Choctaw County, Mississippi",22.40%,± 5.5%
"Choctaw County, Oklahoma",17.40%,± 2.1%
"Chouteau County, Montana",10.30%,± 2.3%
"Chowan County, North Carolina",13.80%,± 4%
"Christian County, Illinois",16.50%,± 2.3%
"Christian County, Kentucky",21.70%,± 2.3%
"Christian County, Missouri",12.20%,± 1.4%
"Chugach Census Area, Alaska",12.40%,± 3.4%
"Churchill County, Nevada",16.30%,± 2.5%
"Ciales Municipio, Puerto Rico",21.90%,± 6.2%
"Cibola County, New Mexico",7.10%,± 3.1%
"Cidra Municipio, Puerto Rico",12.30%,± 2.6%
"Cimarron County, Oklahoma",14.70%,± 5.7%
"Citrus County, Florida",11.90%,± 1.3%
"Clackamas County, Oregon",12.40%,± 0.7%
"Claiborne County, Mississippi",17.70%,± 6.4%
"Claiborne County, Tennessee",27.80%,± 3.4%
"Claiborne Parish, Louisiana",14.20%,± 3.9%
"Clallam County, Washington",10.70%,± 1.3%
"Clare County, Michigan",19.60%,± 1.9%
"Clarendon County, South Carolina",17.50%,± 2.1%
"Clarion County, Pennsylvania",16.90%,± 1.5%
"Clark County, Arkansas",17.20%,± 2.6%
"Clark County, Idaho",11.90%,± 6%
"Clark County, Illinois",19.60%,± 2.9%
"Clark County, Indiana",19.50%,± 1.4%
"Clark County, Kansas",15.20%,± 4.5%
"Clark County, Kentucky",18.10%,± 2.2%
"Clark County, Missouri",31.60%,± 5.7%
"Clark County, Nevada",11.70%,± 0.3%
"Clark County, Ohio",21.90%,± 1.2%
"Clark County, South Dakota",10.60%,± 3.2%
"Clark County, Washington",14.90%,± 0.6%
"Clark County, Wisconsin",26%,± 1.3%
"Clarke County, Alabama",21.80%,± 3.5%
"Clarke County, Georgia",12.80%,± 1.3%
"Clarke County, Iowa",26.20%,± 5.8%
"Clarke County, Mississippi",21.10%,± 4.3%
"Clarke County, Virginia",9.30%,± 2.5%
"Clatsop County, Oregon",11.30%,± 1.8%
"Clay County, Alabama",28.80%,± 4.6%
"Clay County, Arkansas",22.20%,± 2.7%
"Clay County, Florida",12.10%,± 1%
"Clay County, Georgia",29.20%,± 9.6%
"Clay County, Illinois",18.80%,± 3.5%
"Clay County, Indiana",25.50%,± 3.1%
"Clay County, Iowa",16.80%,± 2.7%
"Clay County, Kansas",18.10%,± 4.8%
"Clay County, Kentucky",15.50%,± 3.1%
