Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Baltimore city, Maryland",24%,± 1.6%
"Baltimore County, Maryland",19.30%,± 1%
"Bamberg County, South Carolina",18.40%,± 11.4%
"Bandera County, Texas",12.40%,± 6.4%
"Banks County, Georgia",29%,± 7.5%
"Banner County, Nebraska",42.40%,± 23.7%
"Bannock County, Idaho",18.10%,± 2.8%
"Baraga County, Michigan",16.80%,± 6.1%
"Barber County, Kansas",29.80%,± 9.8%
"Barbour County, Alabama",26.40%,± 8.1%
"Barbour County, West Virginia",31.90%,± 8.4%
"Barceloneta Municipio, Puerto Rico",21.50%,± 7.8%
"Barnes County, North Dakota",24.10%,± 8.5%
"Barnstable County, Massachusetts",20.80%,± 2.3%
"Barnwell County, South Carolina",16.60%,± 7.7%
"Barranquitas Municipio, Puerto Rico",16.60%,± 7.8%
"Barren County, Kentucky",21.80%,± 5%
"Barron County, Wisconsin",17.30%,± 3%
"Barrow County, Georgia",22.10%,± 3.2%
"Barry County, Michigan",19.90%,± 3.3%
"Barry County, Missouri",20%,± 5.2%
"Bartholomew County, Indiana",26.20%,± 3.1%
"Barton County, Kansas",26.30%,± 5.4%
"Barton County, Missouri",24.40%,± 7.2%
"Bartow County, Georgia",18.30%,± 3.6%
"Bastrop County, Texas",20.60%,± 4.7%
"Bates County, Missouri",17%,± 5.4%
"Bath County, Kentucky",9.90%,± 4.6%
"Bath County, Virginia",37.20%,± 29.2%
"Baxter County, Arkansas",18.50%,± 5.1%
"Bay County, Florida",23.70%,± 3.2%
"Bay County, Michigan",22.80%,± 2.8%
"Bayamón Municipio, Puerto Rico",17.60%,± 2.2%
"Bayfield County, Wisconsin",25.70%,± 4%
"Baylor County, Texas",14.60%,± 13.8%
"Beadle County, South Dakota",14.80%,± 4.7%
"Bear Lake County, Idaho",23.80%,± 7.3%
"Beaufort County, North Carolina",15.60%,± 4.4%
"Beaufort County, South Carolina",22.90%,± 3%
"Beauregard Parish, Louisiana",18.90%,± 5.1%
"Beaver County, Oklahoma",17.40%,± 5.9%
"Beaver County, Pennsylvania",23.30%,± 2.1%
"Beaver County, Utah",21.60%,± 9%
"Beaverhead County, Montana",28.40%,± 10.4%
"Becker County, Minnesota",20.40%,± 3.4%
"Beckham County, Oklahoma",27.70%,± 7.5%
"Bedford County, Pennsylvania",21.30%,± 3.2%
"Bedford County, Tennessee",17%,± 4.8%
"Bedford County, Virginia",19.60%,± 3.7%
"Bee County, Texas",12.90%,± 6.4%
"Belknap County, New Hampshire",18.50%,± 4.8%
"Bell County, Kentucky",34.80%,± 7.4%
"Bell County, Texas",23%,± 2%
"Belmont County, Ohio",17.30%,± 2.9%
"Beltrami County, Minnesota",24.60%,± 3.5%
"Ben Hill County, Georgia",19.70%,± 13.3%
"Benewah County, Idaho",26.20%,± 7.2%
"Bennett County, South Dakota",17.30%,± 11.3%
"Bennington County, Vermont",21.30%,± 4.7%
"Benson County, North Dakota",23.50%,± 6.2%
"Bent County, Colorado",26.40%,± 10.8%
"Benton County, Arkansas",19.90%,± 1.8%
"Benton County, Indiana",25.70%,± 6.4%
"Benton County, Iowa",20.50%,± 2.9%
"Benton County, Minnesota",17.80%,± 3.2%
"Benton County, Mississippi",13.20%,± 9%
"Benton County, Missouri",24%,± 6.9%
"Benton County, Oregon",19.50%,± 2.8%
"Benton County, Tennessee",19.70%,± 6.9%
"Benton County, Washington",19.60%,± 2.5%
"Benzie County, Michigan",19.70%,± 4.6%
"Bergen County, New Jersey",20.50%,± 1.1%
"Berkeley County, South Carolina",23.20%,± 2.3%
"Berkeley County, West Virginia",24.80%,± 3.1%
"Berks County, Pennsylvania",20.10%,± 1.3%
"Berkshire County, Massachusetts",22.20%,± 3.4%
"Bernalillo County, New Mexico",22.10%,± 1.4%
"Berrien County, Georgia",21.50%,± 4.6%
"Berrien County, Michigan",21.70%,± 2.7%
"Bertie County, North Carolina",22.40%,± 10%
"Bethel Census Area, Alaska",12.50%,± 3.9%
"Bexar County, Texas",20.90%,± 0.8%
"Bibb County, Alabama",16.50%,± 7.7%
"Bibb County, Georgia",19.80%,± 3%
"Bienville Parish, Louisiana",14.50%,± 6.1%
"Big Horn County, Montana",16.20%,± 7.8%
"Big Horn County, Wyoming",14%,± 5.1%
"Big Stone County, Minnesota",21.30%,± 5.2%
"Billings County, North Dakota",38.20%,± 14.9%
"Bingham County, Idaho",18.80%,± 4.3%
"Black Hawk County, Iowa",23.30%,± 3.2%
"Blackford County, Indiana",16.60%,± 6.7%
"Bladen County, North Carolina",20.30%,± 6.9%
"Blaine County, Idaho",8.10%,± 5%
"Blaine County, Montana",23%,± 6.1%
"Blaine County, Nebraska",40%,± 27%
"Blaine County, Oklahoma",26.40%,± 6.9%
"Blair County, Pennsylvania",22.90%,± 2.9%
"Blanco County, Texas",15.50%,± 7.6%
"Bland County, Virginia",32.10%,± 16.3%
"Bleckley County, Georgia",19.60%,± 9.6%
"Bledsoe County, Tennessee",12.90%,± 6.3%
"Blount County, Alabama",16.50%,± 3.1%
"Blount County, Tennessee",19.70%,± 3.1%
"Blue Earth County, Minnesota",30.30%,± 3.3%
"Boise County, Idaho",20.80%,± 10.3%
"Bolivar County, Mississippi",15.30%,± 5.2%
"Bollinger County, Missouri",9.10%,± 7%
"Bon Homme County, South Dakota",30.50%,± 9.3%
"Bond County, Illinois",16.90%,± 5.5%
"Bonner County, Idaho",15.30%,± 3.6%
"Bonneville County, Idaho",21.20%,± 1.8%
"Boone County, Arkansas",24.50%,± 6.5%
"Boone County, Illinois",17.40%,± 4.6%
"Boone County, Indiana",19.40%,± 3.2%
"Boone County, Iowa",22.30%,± 5%
"Boone County, Kentucky",19.80%,± 3%
"Boone County, Missouri",22.70%,± 2.7%
"Boone County, Nebraska",31.10%,± 8.9%
"Boone County, West Virginia",18.50%,± 6.7%
"Borden County, Texas",15.90%,± 15.6%
"Bosque County, Texas",23.30%,± 5.4%
"Bossier Parish, Louisiana",20.50%,± 2.8%
"Botetourt County, Virginia",14.30%,± 4.8%
"Bottineau County, North Dakota",24.70%,± 8.6%
"Boulder County, Colorado",21.20%,± 1.8%
"Boundary County, Idaho",20.60%,± 8%
"Bourbon County, Kansas",25.10%,± 5.6%
"Bourbon County, Kentucky",27.30%,± 8.4%
"Bowie County, Texas",18.50%,± 3.3%
"Bowman County, North Dakota",4.30%,± 3.7%
"Box Butte County, Nebraska",13.20%,± 7.9%
"Box Elder County, Utah",16.80%,± 2.5%
"Boyd County, Kentucky",24.10%,± 4.6%
"Boyd County, Nebraska",8.40%,± 8.3%
"Boyle County, Kentucky",26.70%,± 5.3%
"Bracken County, Kentucky",9.40%,± 5.5%
"Bradford County, Florida",16.10%,± 7.9%
"Bradford County, Pennsylvania",18.70%,± 3.2%
"Bradley County, Arkansas",15%,± 7.3%
"Bradley County, Tennessee",17.80%,± 3.2%
"Branch County, Michigan",23.10%,± 3.9%
"Brantley County, Georgia",19.10%,± 11.8%
"Braxton County, West Virginia",15.50%,± 8.7%
"Brazoria County, Texas",23.10%,± 2.5%
"Brazos County, Texas",24%,± 2.3%
"Breathitt County, Kentucky",23.80%,± 5.9%
"Breckinridge County, Kentucky",19.50%,± 5.1%
"Bremer County, Iowa",20.60%,± 3.8%
"Brevard County, Florida",19.90%,± 1.5%
"Brewster County, Texas",35.70%,± 15.7%
"Briscoe County, Texas",11.20%,± 13.5%
"Bristol Bay Borough, Alaska",15.40%,± 11.5%
"Bristol city, Virginia",13.20%,± 7.4%
"Bristol County, Massachusetts",21.70%,± 1.5%
"Bristol County, Rhode Island",21.40%,± 4.4%
"Broadwater County, Montana",32.40%,± 16.8%
"Bronx County, New York",18.20%,± 1.1%
"Brooke County, West Virginia",19.60%,± 8.2%
"Brookings County, South Dakota",23.80%,± 5.3%
"Brooks County, Georgia",13%,± 10.4%
"Brooks County, Texas",0%,± 9%
"Broome County, New York",22.50%,± 2.2%
"Broomfield County, Colorado",20.40%,± 2.9%
"Broward County, Florida",20.60%,± 1%
"Brown County, Illinois",29.30%,± 10.9%
"Brown County, Indiana",21.70%,± 9.1%
"Brown County, Kansas",18.30%,± 5.7%
"Brown County, Minnesota",19.70%,± 3.1%
"Brown County, Nebraska",45.10%,± 15%
"Brown County, Ohio",15.60%,± 3.6%
"Brown County, South Dakota",22.80%,± 4.1%
"Brown County, Texas",18.80%,± 4.7%
"Brown County, Wisconsin",19.50%,± 1.3%
"Brule County, South Dakota",17.80%,± 7.8%
"Brunswick County, North Carolina",21.80%,± 3.7%
"Brunswick County, Virginia",23.70%,± 9.4%
"Bryan County, Georgia",17.80%,± 4.8%
"Bryan County, Oklahoma",21.60%,± 3.6%
"Buchanan County, Iowa",19.70%,± 3.7%
"Buchanan County, Missouri",19.50%,± 3.1%
"Buchanan County, Virginia",19.10%,± 6.1%
"Buckingham County, Virginia",21.50%,± 7.6%
"Bucks County, Pennsylvania",19%,± 1.2%
"Buena Vista city, Virginia",24.50%,± 16.4%
"Buena Vista County, Iowa",21.90%,± 4.8%
"Buffalo County, Nebraska",25.70%,± 3.9%
"Buffalo County, South Dakota",13%,± 7.4%
"Buffalo County, Wisconsin",26.50%,± 5.5%
"Bullitt County, Kentucky",18.20%,± 3.4%
"Bulloch County, Georgia",22.40%,± 4.8%
"Bullock County, Alabama",19.20%,± 11%
"Buncombe County, North Carolina",23.50%,± 2.3%
"Bureau County, Illinois",18%,± 2.7%
"Burke County, Georgia",20.50%,± 8%
"Burke County, North Carolina",19.60%,± 4.3%
"Burke County, North Dakota",20.50%,± 9.6%
"Burleigh County, North Dakota",23.80%,± 2.8%
"Burleson County, Texas",16.30%,± 7.7%
"Burlington County, New Jersey",19.90%,± 1.5%
"Burnet County, Texas",17.10%,± 5.8%
"Burnett County, Wisconsin",17.90%,± 3.9%
"Burt County, Nebraska",19.60%,± 5.5%
"Butler County, Alabama",14.30%,± 6.8%
"Butler County, Iowa",17.40%,± 3.5%
"Butler County, Kansas",21.10%,± 3%
"Butler County, Kentucky",15.40%,± 6.4%
"Butler County, Missouri",24.50%,± 5.2%
"Butler County, Nebraska",25.60%,± 6.3%
"Butler County, Ohio",21.20%,± 1.6%
"Butler County, Pennsylvania",20.60%,± 1.9%
"Butte County, California",20.80%,± 2.4%
"Butte County, Idaho",22.30%,± 11%
"Butte County, South Dakota",20.60%,± 9.5%
"Butts County, Georgia",18.90%,± 7.5%
"Cabarrus County, North Carolina",20.40%,± 2.5%
"Cabell County, West Virginia",23.20%,± 3.8%
"Cabo Rojo Municipio, Puerto Rico",18.30%,± 4.9%
"Cache County, Utah",23.50%,± 2%
"Caddo County, Oklahoma",17.90%,± 3%
"Caddo Parish, Louisiana",17%,± 2.5%
"Caguas Municipio, Puerto Rico",17.50%,± 3.4%
"Calaveras County, California",30.70%,± 7.4%
"Calcasieu Parish, Louisiana",20.80%,± 3.4%
"Caldwell County, Kentucky",38.20%,± 10.3%
"Caldwell County, Missouri",24.20%,± 5.7%
"Caldwell County, North Carolina",14.80%,± 2.6%
"Caldwell County, Texas",19.10%,± 5.3%
"Caldwell Parish, Louisiana",24.50%,± 8.9%
"Caledonia County, Vermont",25%,± 5.6%
"Calhoun County, Alabama",20.10%,± 3.3%
"Calhoun County, Arkansas",4.60%,± 4.1%
"Calhoun County, Florida",20.90%,± 6.9%
"Calhoun County, Georgia",20.90%,± 12.5%
"Calhoun County, Illinois",21.40%,± 10.7%
"Calhoun County, Iowa",20.40%,± 4.8%
"Calhoun County, Michigan",21.20%,± 2.5%
"Calhoun County, Mississippi",13.90%,± 5.6%
"Calhoun County, South Carolina",27.40%,± 10.6%
"Calhoun County, Texas",21.80%,± 9%
"Calhoun County, West Virginia",15.50%,± 11.5%
"Callahan County, Texas",22.20%,± 6.7%
"Callaway County, Missouri",21.80%,± 5.8%
"Calloway County, Kentucky",23.70%,± 5.3%
"Calumet County, Wisconsin",20.20%,± 2.9%
"Calvert County, Maryland",14.90%,± 2.7%
"Camas County, Idaho",10.10%,± 10.7%
"Cambria County, Pennsylvania",20.40%,± 2.1%
"Camden County, Georgia",22.20%,± 4.4%
"Camden County, Missouri",18.80%,± 4%
"Camden County, New Jersey",20.60%,± 1.3%
"Camden County, North Carolina",16.30%,± 7.7%
"Cameron County, Pennsylvania",31%,± 10%
"Cameron County, Texas",16.90%,± 1.6%
"Cameron Parish, Louisiana",12%,± 13.2%
"Camp County, Texas",21.70%,± 8.5%
"Campbell County, Kentucky",23.20%,± 2.8%
"Campbell County, South Dakota",15.90%,± 10.3%
"Campbell County, Tennessee",26.30%,± 6.3%
"Campbell County, Virginia",17.20%,± 4%
"Campbell County, Wyoming",23.30%,± 4.4%
"Camuy Municipio, Puerto Rico",16.70%,± 6.2%
"Canadian County, Oklahoma",24.10%,± 2.6%
"Candler County, Georgia",5.20%,± 4.9%
"Cannon County, Tennessee",26.80%,± 6.9%
"Canóvanas Municipio, Puerto Rico",12.80%,± 3.7%
"Canyon County, Idaho",20%,± 2.1%
"Cape Girardeau County, Missouri",21.40%,± 4%
"Cape May County, New Jersey",23.30%,± 3.4%
"Capitol Planning Region, Connecticut",21.20%,± 1.1%
"Carbon County, Montana",22.70%,± 6.6%
"Carbon County, Pennsylvania",23.70%,± 4.1%
"Carbon County, Utah",26.20%,± 5.9%
"Carbon County, Wyoming",24.50%,± 7.2%
"Caribou County, Idaho",20.10%,± 7.9%
"Carlisle County, Kentucky",15.40%,± 5.6%
"Carlton County, Minnesota",23%,± 3.3%
"Carolina Municipio, Puerto Rico",15.30%,± 2.6%
"Caroline County, Maryland",17.50%,± 4.3%
"Caroline County, Virginia",13.20%,± 5.1%
"Carroll County, Arkansas",19.50%,± 5.9%
"Carroll County, Georgia",22.60%,± 3%
"Carroll County, Illinois",24.40%,± 6.4%
"Carroll County, Indiana",22.40%,± 5%
"Carroll County, Iowa",27.20%,± 5.4%
"Carroll County, Kentucky",17.20%,± 8.6%
"Carroll County, Maryland",21.90%,± 2%
"Carroll County, Mississippi",42.10%,± 17.3%
"Carroll County, Missouri",25.10%,± 6.9%
"Carroll County, New Hampshire",13.20%,± 3.6%
"Carroll County, Ohio",28.30%,± 5.8%
"Carroll County, Tennessee",23.60%,± 4.9%
"Carroll County, Virginia",19.60%,± 6.3%
"Carson City, Nevada",18.30%,± 4.1%
"Carson County, Texas",17.70%,± 8.2%
"Carter County, Kentucky",22.30%,± 7.5%
"Carter County, Missouri",29.70%,± 14.7%
"Carter County, Montana",34.40%,± 14.2%
"Carter County, Oklahoma",20.80%,± 2.9%
"Carter County, Tennessee",17.50%,± 3.4%
"Carteret County, North Carolina",22.50%,± 2.8%
"Carver County, Minnesota",19.90%,± 2.3%
"Cascade County, Montana",26.10%,± 3.1%
"Casey County, Kentucky",17.60%,± 7.8%
"Cass County, Illinois",19.80%,± 5.6%
"Cass County, Indiana",14.20%,± 3.2%
"Cass County, Iowa",20.60%,± 5.9%
"Cass County, Michigan",18.70%,± 3.2%
"Cass County, Minnesota",16.20%,± 2.1%
"Cass County, Missouri",19%,± 2.7%
"Cass County, Nebraska",22.50%,± 4.5%
"Cass County, North Dakota",27.10%,± 2.9%
"Cass County, Texas",24.20%,± 5.4%
"Cassia County, Idaho",23%,± 4.7%
"Castro County, Texas",10.90%,± 8%
"Caswell County, North Carolina",17.60%,± 6.3%
"Catahoula Parish, Louisiana",15.10%,± 9.9%
"Cataño Municipio, Puerto Rico",17.90%,± 5.2%
"Catawba County, North Carolina",19.60%,± 2.5%
"Catoosa County, Georgia",17.90%,± 3.9%
"Catron County, New Mexico",3%,± 4.9%
"Cattaraugus County, New York",22.30%,± 2.9%
"Cavalier County, North Dakota",21.80%,± 9.2%
"Cayey Municipio, Puerto Rico",14%,± 4.3%
"Cayuga County, New York",26.50%,± 3.4%
"Cecil County, Maryland",20.40%,± 3.2%
"Cedar County, Iowa",18.40%,± 5%
"Cedar County, Missouri",14.60%,± 5.8%
"Cedar County, Nebraska",15.30%,± 4.1%
"Ceiba Municipio, Puerto Rico",19.50%,± 9.7%
"Centre County, Pennsylvania",22.40%,± 2.8%
"Cerro Gordo County, Iowa",25.80%,± 4.4%
"Chaffee County, Colorado",26.10%,± 10.4%
"Chambers County, Alabama",20%,± 5.7%
"Chambers County, Texas",26.40%,± 6.5%
"Champaign County, Illinois",26.70%,± 2.6%
"Champaign County, Ohio",22.70%,± 3.7%
"Chariton County, Missouri",12.40%,± 4.4%
"Charles City County, Virginia",28.40%,± 7.9%
"Charles County, Maryland",17.10%,± 2.3%
"Charles Mix County, South Dakota",19.20%,± 5.8%
"Charleston County, South Carolina",30.30%,± 2.6%
"Charlevoix County, Michigan",23.60%,± 4.7%
"Charlotte County, Florida",20.70%,± 3.6%
"Charlotte County, Virginia",22.50%,± 8.4%
"Charlottesville city, Virginia",28%,± 4.9%
"Charlton County, Georgia",36.40%,± 18.6%
"Chase County, Kansas",11.60%,± 5.3%
"Chase County, Nebraska",23.10%,± 12.2%
"Chatham County, Georgia",22.90%,± 2.2%
"Chatham County, North Carolina",19.20%,± 3.9%
"Chattahoochee County, Georgia",27.40%,± 9.4%
"Chattooga County, Georgia",20.20%,± 5.5%
"Chautauqua County, Kansas",17.60%,± 8.9%
"Chautauqua County, New York",21.10%,± 2.7%
"Chaves County, New Mexico",18.40%,± 3.5%
"Cheatham County, Tennessee",21.90%,± 4.9%
"Cheboygan County, Michigan",25.20%,± 4.6%
"Chelan County, Washington",21.90%,± 3.8%
"Chemung County, New York",21.20%,± 3.1%
"Chenango County, New York",22.10%,± 3.9%
"Cherokee County, Alabama",16.20%,± 5%
"Cherokee County, Georgia",18.60%,± 2.4%
"Cherokee County, Iowa",25.80%,± 6.9%
"Cherokee County, Kansas",19.60%,± 6.6%
"Cherokee County, North Carolina",30.90%,± 9.2%
"Cherokee County, Oklahoma",21%,± 4.4%
"Cherokee County, South Carolina",17.50%,± 5.1%
"Cherokee County, Texas",23.90%,± 5.4%
"Cherry County, Nebraska",18.20%,± 8.3%
"Chesapeake city, Virginia",20%,± 2%
"Cheshire County, New Hampshire",21.40%,± 3.3%
"Chester County, Pennsylvania",19.90%,± 1.2%
"Chester County, South Carolina",26.70%,± 6.5%
"Chester County, Tennessee",18.70%,± 7.7%
"Chesterfield County, South Carolina",29.80%,± 6.2%
"Chesterfield County, Virginia",21.40%,± 1.9%
"Cheyenne County, Colorado",26.80%,± 13.7%
"Cheyenne County, Kansas",11.20%,± 6.3%
"Cheyenne County, Nebraska",29.80%,± 8.1%
"Chickasaw County, Iowa",18.80%,± 5.3%
"Chickasaw County, Mississippi",14.10%,± 5.7%
"Chicot County, Arkansas",20.80%,± 8.6%
"Childress County, Texas",19.70%,± 13.3%
"Chilton County, Alabama",18.90%,± 4.5%
"Chippewa County, Michigan",23%,± 4.6%
"Chippewa County, Minnesota",22.90%,± 4.7%
"Chippewa County, Wisconsin",19%,± 2.3%
"Chisago County, Minnesota",24.40%,± 3.6%
"Chittenden County, Vermont",23.90%,± 2.5%
"Choctaw County, Alabama",36.10%,± 10.9%
"Choctaw County, Mississippi",24.20%,± 9.3%
"Choctaw County, Oklahoma",19.90%,± 5.3%
"Chouteau County, Montana",24.20%,± 7.6%
"Chowan County, North Carolina",30.10%,± 12.1%
"Christian County, Illinois",13.90%,± 3.7%
"Christian County, Kentucky",33.50%,± 4.8%
"Christian County, Missouri",20%,± 3.2%
"Chugach Census Area, Alaska",27.70%,± 12.4%
"Churchill County, Nevada",10.70%,± 5.2%
"Ciales Municipio, Puerto Rico",12%,± 8.6%
"Cibola County, New Mexico",15.70%,± 6.1%
"Cidra Municipio, Puerto Rico",18.20%,± 6%
"Cimarron County, Oklahoma",16.40%,± 12.1%
"Citrus County, Florida",18.70%,± 3.7%
"Clackamas County, Oregon",19.70%,± 1.3%
"Claiborne County, Mississippi",11.40%,± 11.7%
"Claiborne County, Tennessee",21.20%,± 5.1%
"Claiborne Parish, Louisiana",18.90%,± 8.9%
"Clallam County, Washington",21.20%,± 3.4%
"Clare County, Michigan",18.40%,± 4.2%
"Clarendon County, South Carolina",9.70%,± 3.7%
"Clarion County, Pennsylvania",17.10%,± 3.3%
"Clark County, Arkansas",20.30%,± 7.4%
"Clark County, Idaho",30.80%,± 22.9%
"Clark County, Illinois",24.60%,± 6.3%
"Clark County, Indiana",23.30%,± 3%
"Clark County, Kansas",27.30%,± 10%
"Clark County, Kentucky",29.40%,± 5.6%
"Clark County, Missouri",23.10%,± 9.6%
"Clark County, Nevada",20.30%,± 0.7%
"Clark County, Ohio",22.30%,± 2.6%
"Clark County, South Dakota",28.70%,± 10.3%
"Clark County, Washington",20.50%,± 1.3%
"Clark County, Wisconsin",22.80%,± 1.9%
"Clarke County, Alabama",18.30%,± 5.5%
"Clarke County, Georgia",25.30%,± 3.8%
"Clarke County, Iowa",33.90%,± 16.4%
"Clarke County, Mississippi",22.40%,± 5.3%
"Clarke County, Virginia",21.50%,± 6.8%
"Clatsop County, Oregon",21.60%,± 3.9%
"Clay County, Alabama",14.90%,± 6.4%
"Clay County, Arkansas",27.70%,± 6%
"Clay County, Florida",17.60%,± 2.4%
"Clay County, Georgia",10.30%,± 10.7%
"Clay County, Illinois",19.30%,± 6.5%
"Clay County, Indiana",15.80%,± 3.8%
"Clay County, Iowa",12.90%,± 4.4%
"Clay County, Kansas",19.70%,± 8.6%
