Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Bartow County, Georgia",11.90%,± 1%
"Bastrop County, Texas",12.10%,± 1.1%
"Bates County, Missouri",17.70%,± 1.9%
"Bath County, Kentucky",22.60%,± 2.8%
"Bath County, Virginia",15.20%,± 4.7%
"Baxter County, Arkansas",26.10%,± 2.4%
"Bay County, Florida",19.50%,± 0.9%
"Bay County, Michigan",15.80%,± 0.8%
"Bayamón Municipio, Puerto Rico",24.30%,± 0.8%
"Bayfield County, Wisconsin",16.90%,± 1%
"Baylor County, Texas",23.60%,± 4.2%
"Beadle County, South Dakota",12.50%,± 1.8%
"Bear Lake County, Idaho",15.60%,± 2.1%
"Beaufort County, North Carolina",17.10%,± 1.2%
"Beaufort County, South Carolina",13.10%,± 0.8%
"Beauregard Parish, Louisiana",18%,± 1.5%
"Beaver County, Oklahoma",15.90%,± 2%
"Beaver County, Pennsylvania",15.80%,± 0.6%
"Beaver County, Utah",12.90%,± 2.5%
"Beaverhead County, Montana",16.10%,± 2.5%
"Becker County, Minnesota",14.70%,± 1.1%
"Beckham County, Oklahoma",13.80%,± 2%
"Bedford County, Pennsylvania",16.10%,± 1.1%
"Bedford County, Tennessee",15.40%,± 1.3%
"Bedford County, Virginia",13.10%,± 0.8%
"Bee County, Texas",15.20%,± 1.7%
"Belknap County, New Hampshire",16.70%,± 1.3%
"Bell County, Kentucky",25.40%,± 2.3%
"Bell County, Texas",14.80%,± 0.6%
"Belmont County, Ohio",16.10%,± 1.2%
"Beltrami County, Minnesota",14.80%,± 1.1%
"Ben Hill County, Georgia",12%,± 2.4%
"Benewah County, Idaho",22%,± 2.5%
"Bennett County, South Dakota",11.10%,± 2.8%
"Bennington County, Vermont",17.50%,± 1.5%
"Benson County, North Dakota",13.20%,± 1.6%
"Bent County, Colorado",21%,± 2.8%
"Benton County, Arkansas",10%,± 0.4%
"Benton County, Indiana",18.20%,± 2.2%
"Benton County, Iowa",11.70%,± 1.1%
"Benton County, Minnesota",11.20%,± 1.2%
"Benton County, Mississippi",22.40%,± 2.9%
"Benton County, Missouri",23.50%,± 2.1%
"Benton County, Oregon",11.90%,± 0.7%
"Benton County, Tennessee",25%,± 2.1%
"Benton County, Washington",14.20%,± 0.7%
"Benzie County, Michigan",15.60%,± 1.6%
"Bergen County, New Jersey",8.30%,± 0.3%
"Berkeley County, South Carolina",13.40%,± 0.7%
"Berkeley County, West Virginia",13.70%,± 0.9%
"Berks County, Pennsylvania",14.20%,± 0.5%
"Berkshire County, Massachusetts",14.90%,± 0.9%
"Bernalillo County, New Mexico",14.90%,± 0.4%
"Berrien County, Georgia",17.30%,± 2.2%
"Berrien County, Michigan",13.80%,± 0.6%
"Bertie County, North Carolina",23.50%,± 2.6%
"Bethel Census Area, Alaska",11.50%,± 0.9%
"Bexar County, Texas",14.30%,± 0.3%
"Bibb County, Alabama",19.60%,± 2.2%
"Bibb County, Georgia",15.90%,± 0.8%
"Bienville Parish, Louisiana",20.60%,± 2.2%
"Big Horn County, Montana",10.60%,± 1.5%
"Big Horn County, Wyoming",16.80%,± 1.9%
"Big Stone County, Minnesota",13.10%,± 1.3%
"Billings County, North Dakota",7.70%,± 3.2%
"Bingham County, Idaho",16.60%,± 1.8%
"Black Hawk County, Iowa",13.80%,± 0.8%
"Blackford County, Indiana",21.30%,± 2.8%
"Bladen County, North Carolina",14.80%,± 1.8%
"Blaine County, Idaho",10.10%,± 1.7%
"Blaine County, Montana",19.90%,± 2.6%
"Blaine County, Nebraska",23.40%,± 8.7%
"Blaine County, Oklahoma",17.20%,± 2.3%
"Blair County, Pennsylvania",15.50%,± 0.9%
"Blanco County, Texas",14.50%,± 2.4%
"Bland County, Virginia",17.50%,± 3.2%
"Bleckley County, Georgia",19.90%,± 3.3%
"Bledsoe County, Tennessee",26.60%,± 3.3%
"Blount County, Alabama",17%,± 1.4%
"Blount County, Tennessee",13.40%,± 0.8%
"Blue Earth County, Minnesota",10.90%,± 0.9%
"Boise County, Idaho",13.80%,± 2.4%
"Bolivar County, Mississippi",17.50%,± 1.5%
"Bollinger County, Missouri",20%,± 2.6%
"Bon Homme County, South Dakota",13.40%,± 2.1%
"Bond County, Illinois",17.90%,± 2%
"Bonner County, Idaho",17.30%,± 1.5%
"Bonneville County, Idaho",14.20%,± 0.8%
"Boone County, Arkansas",20%,± 1.5%
"Boone County, Illinois",13.20%,± 1.5%
"Boone County, Indiana",9.60%,± 0.9%
"Boone County, Iowa",11.90%,± 1.4%
"Boone County, Kentucky",12.20%,± 0.9%
"Boone County, Missouri",12.30%,± 0.7%
"Boone County, Nebraska",14%,± 1.7%
"Boone County, West Virginia",24%,± 2.7%
"Borden County, Texas",10.50%,± 4.3%
"Bosque County, Texas",19.30%,± 1.7%
"Bossier Parish, Louisiana",13.20%,± 1.2%
"Botetourt County, Virginia",12.50%,± 1.4%
"Bottineau County, North Dakota",13.60%,± 2%
"Boulder County, Colorado",8.50%,± 0.3%
"Boundary County, Idaho",16.90%,± 3.1%
"Bourbon County, Kansas",17.80%,± 2.3%
"Bourbon County, Kentucky",20.10%,± 2.5%
"Bowie County, Texas",12.60%,± 0.8%
"Bowman County, North Dakota",10.80%,± 2.6%
"Box Butte County, Nebraska",13.30%,± 2.6%
"Box Elder County, Utah",11.30%,± 0.8%
"Boyd County, Kentucky",21.90%,± 1.5%
"Boyd County, Nebraska",18.70%,± 3.3%
"Boyle County, Kentucky",17.30%,± 1.5%
"Bracken County, Kentucky",17%,± 3%
"Bradford County, Florida",18.10%,± 2.2%
"Bradford County, Pennsylvania",14.20%,± 0.9%
"Bradley County, Arkansas",20%,± 2.5%
"Bradley County, Tennessee",18.20%,± 1%
"Branch County, Michigan",14.70%,± 1.1%
"Brantley County, Georgia",16.20%,± 3.3%
"Braxton County, West Virginia",18.50%,± 2.3%
"Brazoria County, Texas",9.70%,± 0.4%
"Brazos County, Texas",9.60%,± 0.5%
"Breathitt County, Kentucky",30.60%,± 2.4%
"Breckinridge County, Kentucky",21%,± 2.4%
"Bremer County, Iowa",11.10%,± 1.2%
"Brevard County, Florida",16.30%,± 0.5%
"Brewster County, Texas",12.20%,± 2.5%
"Briscoe County, Texas",21.10%,± 6.9%
"Bristol Bay Borough, Alaska",14.90%,± 4.4%
"Bristol city, Virginia",21.60%,± 2.6%
"Bristol County, Massachusetts",14.30%,± 0.4%
"Bristol County, Rhode Island",10.40%,± 1.2%
"Broadwater County, Montana",14.70%,± 2.7%
"Bronx County, New York",15.80%,± 0.3%
"Brooke County, West Virginia",18.50%,± 1.9%
"Brookings County, South Dakota",9%,± 1%
"Brooks County, Georgia",17%,± 2.2%
"Brooks County, Texas",23.90%,± 4.8%
"Broome County, New York",15.90%,± 0.7%
"Broomfield County, Colorado",7.90%,± 0.7%
"Broward County, Florida",11.10%,± 0.2%
"Brown County, Illinois",19.90%,± 4.3%
"Brown County, Indiana",16.30%,± 2.5%
"Brown County, Kansas",15.30%,± 2.1%
"Brown County, Minnesota",11.50%,± 0.9%
"Brown County, Nebraska",14%,± 2.8%
"Brown County, Ohio",17%,± 1.3%
"Brown County, South Dakota",11.90%,± 1.4%
"Brown County, Texas",21.30%,± 1.5%
"Brown County, Wisconsin",11.30%,± 0.6%
"Brule County, South Dakota",14.70%,± 2.5%
"Brunswick County, North Carolina",14.90%,± 0.8%
"Brunswick County, Virginia",18%,± 2.2%
"Bryan County, Georgia",12.60%,± 1.4%
"Bryan County, Oklahoma",19.70%,± 1.1%
"Buchanan County, Iowa",12.50%,± 1.3%
"Buchanan County, Missouri",17.40%,± 1%
"Buchanan County, Virginia",33.70%,± 3.3%
"Buckingham County, Virginia",17.60%,± 2.1%
"Bucks County, Pennsylvania",10.70%,± 0.3%
"Buena Vista city, Virginia",16.20%,± 4%
"Buena Vista County, Iowa",9.40%,± 1.3%
"Buffalo County, Nebraska",13.20%,± 1.2%
"Buffalo County, South Dakota",14%,± 2.8%
"Buffalo County, Wisconsin",14.20%,± 1.1%
"Bullitt County, Kentucky",15.80%,± 1%
"Bulloch County, Georgia",14.50%,± 1.3%
"Bullock County, Alabama",11.20%,± 2.7%
"Buncombe County, North Carolina",13.60%,± 0.7%
"Bureau County, Illinois",14.20%,± 1%
"Burke County, Georgia",14.80%,± 2%
"Burke County, North Carolina",20.40%,± 1.2%
"Burke County, North Dakota",12.20%,± 2.7%
"Burleigh County, North Dakota",11.30%,± 0.8%
"Burleson County, Texas",13.70%,± 2%
"Burlington County, New Jersey",11.60%,± 0.4%
"Burnet County, Texas",15.90%,± 1.6%
"Burnett County, Wisconsin",17.70%,± 0.9%
"Burt County, Nebraska",18%,± 1.8%
"Butler County, Alabama",16.20%,± 1.8%
"Butler County, Iowa",11.10%,± 0.9%
"Butler County, Kansas",14.10%,± 1.2%
"Butler County, Kentucky",19.70%,± 2.3%
"Butler County, Missouri",22.80%,± 1.9%
"Butler County, Nebraska",11.70%,± 2.1%
"Butler County, Ohio",12.10%,± 0.5%
"Butler County, Pennsylvania",13.10%,± 0.6%
"Butte County, California",16.40%,± 0.7%
"Butte County, Idaho",19.10%,± 4.6%
"Butte County, South Dakota",15.20%,± 2.6%
"Butts County, Georgia",14.60%,± 2.4%
"Cabarrus County, North Carolina",10.70%,± 0.7%
"Cabell County, West Virginia",18.90%,± 1.2%
"Cabo Rojo Municipio, Puerto Rico",19.50%,± 1.6%
"Cache County, Utah",8.50%,± 0.6%
"Caddo County, Oklahoma",19.60%,± 1.1%
"Caddo Parish, Louisiana",17.50%,± 0.7%
"Caguas Municipio, Puerto Rico",24.90%,± 1.1%
"Calaveras County, California",21.30%,± 2%
"Calcasieu Parish, Louisiana",14.10%,± 0.8%
"Caldwell County, Kentucky",28%,± 3.2%
"Caldwell County, Missouri",15%,± 1.4%
"Caldwell County, North Carolina",18.80%,± 1.6%
"Caldwell County, Texas",16.10%,± 1.7%
"Caldwell Parish, Louisiana",18%,± 2.8%
"Caledonia County, Vermont",17.10%,± 1.4%
"Calhoun County, Alabama",20.20%,± 1%
"Calhoun County, Arkansas",24.50%,± 4.2%
"Calhoun County, Florida",24.10%,± 3.7%
"Calhoun County, Georgia",16.90%,± 3.1%
"Calhoun County, Illinois",21.30%,± 3.7%
"Calhoun County, Iowa",14.20%,± 1.4%
"Calhoun County, Michigan",14.30%,± 0.7%
"Calhoun County, Mississippi",22.20%,± 1.9%
"Calhoun County, South Carolina",17.30%,± 2.7%
"Calhoun County, Texas",18.80%,± 2.3%
"Calhoun County, West Virginia",24.10%,± 4.4%
"Callahan County, Texas",21.10%,± 2.3%
"Callaway County, Missouri",13.40%,± 1.2%
"Calloway County, Kentucky",18.10%,± 1.7%
"Calumet County, Wisconsin",9.50%,± 0.8%
"Calvert County, Maryland",9.60%,± 0.8%
"Camas County, Idaho",15.50%,± 7.8%
"Cambria County, Pennsylvania",18.30%,± 0.7%
"Camden County, Georgia",15.70%,± 1.5%
"Camden County, Missouri",18.60%,± 1.4%
"Camden County, New Jersey",14.50%,± 0.4%
"Camden County, North Carolina",15.50%,± 3.3%
"Cameron County, Pennsylvania",22.60%,± 2.5%
"Cameron County, Texas",12.20%,± 0.5%
"Cameron Parish, Louisiana",15.90%,± 4.6%
"Camp County, Texas",17.40%,± 2.8%
"Campbell County, Kentucky",13.30%,± 0.8%
"Campbell County, South Dakota",12.30%,± 2.4%
"Campbell County, Tennessee",28.30%,± 1.9%
"Campbell County, Virginia",14.50%,± 1.2%
"Campbell County, Wyoming",10.40%,± 1.3%
"Camuy Municipio, Puerto Rico",22.60%,± 2.2%
"Canadian County, Oklahoma",13.20%,± 0.7%
"Candler County, Georgia",18.30%,± 2.5%
"Cannon County, Tennessee",19.60%,± 2.3%
"Canóvanas Municipio, Puerto Rico",20.40%,± 1.7%
"Canyon County, Idaho",14.90%,± 0.7%
"Cape Girardeau County, Missouri",14%,± 0.9%
"Cape May County, New Jersey",15%,± 0.9%
"Capitol Planning Region, Connecticut",11.80%,± 0.3%
"Carbon County, Montana",16.80%,± 2%
"Carbon County, Pennsylvania",16.90%,± 1.3%
"Carbon County, Utah",16.80%,± 1.5%
"Carbon County, Wyoming",12.60%,± 2%
"Caribou County, Idaho",12.20%,± 2.3%
"Carlisle County, Kentucky",16.90%,± 2.2%
"Carlton County, Minnesota",15.40%,± 1.5%
"Carolina Municipio, Puerto Rico",19.40%,± 0.9%
"Caroline County, Maryland",14.60%,± 1.2%
"Caroline County, Virginia",12.90%,± 1.7%
"Carroll County, Arkansas",13.90%,± 1.8%
"Carroll County, Georgia",15.20%,± 1%
"Carroll County, Illinois",15.80%,± 1.3%
"Carroll County, Indiana",15.10%,± 1.7%
"Carroll County, Iowa",11.90%,± 1.5%
"Carroll County, Kentucky",17.50%,± 2.5%
"Carroll County, Maryland",12.50%,± 0.6%
"Carroll County, Mississippi",21%,± 3.9%
"Carroll County, Missouri",13.80%,± 2.2%
"Carroll County, New Hampshire",16.30%,± 1.5%
"Carroll County, Ohio",17.60%,± 1.7%
"Carroll County, Tennessee",20.10%,± 1.8%
"Carroll County, Virginia",16.50%,± 1.7%
"Carson City, Nevada",15.30%,± 0.9%
"Carson County, Texas",9.80%,± 1.7%
"Carter County, Kentucky",21.90%,± 2.2%
"Carter County, Missouri",29.60%,± 4.7%
"Carter County, Montana",15.70%,± 4.8%
"Carter County, Oklahoma",21.60%,± 1.2%
"Carter County, Tennessee",22.20%,± 1.5%
"Carteret County, North Carolina",17.40%,± 1%
"Carver County, Minnesota",7.70%,± 0.5%
"Cascade County, Montana",15.10%,± 0.9%
"Casey County, Kentucky",18.30%,± 2.3%
"Cass County, Illinois",15.80%,± 1.8%
"Cass County, Indiana",15.20%,± 1.2%
"Cass County, Iowa",14.90%,± 1.7%
"Cass County, Michigan",16.30%,± 1.4%
"Cass County, Minnesota",15.10%,± 0.7%
"Cass County, Missouri",14%,± 0.9%
"Cass County, Nebraska",12.60%,± 1.1%
"Cass County, North Dakota",10%,± 0.7%
"Cass County, Texas",21%,± 2.3%
"Cassia County, Idaho",13.20%,± 1.4%
"Castro County, Texas",8.20%,± 2.1%
"Caswell County, North Carolina",19.90%,± 2.2%
"Catahoula Parish, Louisiana",17%,± 3.2%
"Cataño Municipio, Puerto Rico",18.80%,± 1.9%
"Catawba County, North Carolina",14%,± 0.7%
"Catoosa County, Georgia",17.30%,± 1.4%
"Catron County, New Mexico",41.20%,± 7.3%
"Cattaraugus County, New York",16.30%,± 0.7%
"Cavalier County, North Dakota",10.70%,± 2.2%
"Cayey Municipio, Puerto Rico",32.30%,± 1.9%
"Cayuga County, New York",14.60%,± 0.8%
"Cecil County, Maryland",13%,± 1%
"Cedar County, Iowa",11.40%,± 1.2%
"Cedar County, Missouri",22.40%,± 2.8%
"Cedar County, Nebraska",10.40%,± 1.3%
"Ceiba Municipio, Puerto Rico",10.80%,± 2.5%
"Centre County, Pennsylvania",10.20%,± 0.7%
"Cerro Gordo County, Iowa",13.90%,± 1.3%
"Chaffee County, Colorado",13%,± 2.4%
"Chambers County, Alabama",20.80%,± 1.6%
"Chambers County, Texas",10.90%,± 1.6%
"Champaign County, Illinois",9.80%,± 0.5%
"Champaign County, Ohio",13.80%,± 1.2%
"Chariton County, Missouri",17.30%,± 2.1%
"Charles City County, Virginia",19.20%,± 1.7%
"Charles County, Maryland",10.40%,± 0.7%
"Charles Mix County, South Dakota",12%,± 1.4%
"Charleston County, South Carolina",10.70%,± 0.5%
"Charlevoix County, Michigan",14.20%,± 1%
"Charlotte County, Florida",21.70%,± 1%
"Charlotte County, Virginia",22%,± 2.2%
"Charlottesville city, Virginia",9%,± 0.8%
"Charlton County, Georgia",18.60%,± 3.3%
"Chase County, Kansas",13.20%,± 2.4%
"Chase County, Nebraska",12.90%,± 2.5%
"Chatham County, Georgia",15.10%,± 0.6%
"Chatham County, North Carolina",12.90%,± 1.1%
"Chattahoochee County, Georgia",7.80%,± 2.2%
"Chattooga County, Georgia",18.10%,± 1.8%
"Chautauqua County, Kansas",22.10%,± 3%
"Chautauqua County, New York",17.60%,± 0.9%
"Chaves County, New Mexico",19.30%,± 1.5%
"Cheatham County, Tennessee",14.60%,± 1.5%
"Cheboygan County, Michigan",19.10%,± 1.4%
"Chelan County, Washington",17.90%,± 1.2%
"Chemung County, New York",16.10%,± 0.9%
"Chenango County, New York",18.70%,± 0.9%
"Cherokee County, Alabama",20.30%,± 1.9%
"Cherokee County, Georgia",10.50%,± 0.6%
"Cherokee County, Iowa",11.20%,± 1.7%
"Cherokee County, Kansas",20.90%,± 1.8%
"Cherokee County, North Carolina",18.10%,± 1.9%
"Cherokee County, Oklahoma",20.80%,± 1.1%
"Cherokee County, South Carolina",15.60%,± 1.2%
"Cherokee County, Texas",12.60%,± 1.3%
"Cherry County, Nebraska",12.10%,± 2.5%
"Chesapeake city, Virginia",11.70%,± 0.6%
"Cheshire County, New Hampshire",14.20%,± 1.2%
"Chester County, Pennsylvania",9.20%,± 0.3%
"Chester County, South Carolina",16.30%,± 1.4%
"Chester County, Tennessee",11.80%,± 2.1%
"Chesterfield County, South Carolina",19.10%,± 1.6%
"Chesterfield County, Virginia",12.50%,± 0.5%
"Cheyenne County, Colorado",11.20%,± 2.9%
"Cheyenne County, Kansas",16%,± 2.6%
"Cheyenne County, Nebraska",15.10%,± 1.9%
"Chickasaw County, Iowa",14.90%,± 2.2%
"Chickasaw County, Mississippi",17.90%,± 2%
"Chicot County, Arkansas",24.40%,± 3%
"Childress County, Texas",16.30%,± 4.8%
"Chilton County, Alabama",19.40%,± 1.5%
"Chippewa County, Michigan",18%,± 1.2%
"Chippewa County, Minnesota",15.30%,± 1.6%
"Chippewa County, Wisconsin",11.20%,± 0.7%
"Chisago County, Minnesota",11.20%,± 0.8%
"Chittenden County, Vermont",11.20%,± 0.7%
"Choctaw County, Alabama",23.60%,± 2.7%
"Choctaw County, Mississippi",25.20%,± 3.1%
"Choctaw County, Oklahoma",26%,± 1.6%
"Chouteau County, Montana",12.40%,± 1.9%
"Chowan County, North Carolina",16.50%,± 2.6%
"Christian County, Illinois",15%,± 1.4%
"Christian County, Kentucky",18.70%,± 1.3%
"Christian County, Missouri",12.90%,± 1%
"Chugach Census Area, Alaska",15.90%,± 3%
"Churchill County, Nevada",19.80%,± 2.2%
"Ciales Municipio, Puerto Rico",24.20%,± 2.8%
"Cibola County, New Mexico",21.60%,± 2.2%
"Cidra Municipio, Puerto Rico",35%,± 1.9%
"Cimarron County, Oklahoma",26.20%,± 4.3%
"Citrus County, Florida",21.70%,± 1.1%
"Clackamas County, Oregon",12.60%,± 0.5%
"Claiborne County, Mississippi",12.30%,± 2.3%
"Claiborne County, Tennessee",25.90%,± 2.2%
"Claiborne Parish, Louisiana",14.70%,± 1.9%
"Clallam County, Washington",20%,± 1.1%
"Clare County, Michigan",23.30%,± 1.4%
"Clarendon County, South Carolina",20.20%,± 1.7%
"Clarion County, Pennsylvania",15.30%,± 0.9%
"Clark County, Arkansas",21.10%,± 2%
"Clark County, Idaho",14.90%,± 5.8%
"Clark County, Illinois",13.40%,± 1.7%
"Clark County, Indiana",14.50%,± 0.8%
"Clark County, Kansas",17.60%,± 3.3%
"Clark County, Kentucky",18.50%,± 1.4%
"Clark County, Missouri",14.20%,± 2.3%
"Clark County, Nevada",12.50%,± 0.2%
"Clark County, Ohio",17.20%,± 0.8%
"Clark County, South Dakota",11.20%,± 2.1%
"Clark County, Washington",12.60%,± 0.4%
"Clark County, Wisconsin",11.80%,± 0.6%
"Clarke County, Alabama",19.60%,± 1.9%
"Clarke County, Georgia",12.40%,± 0.8%
"Clarke County, Iowa",15.90%,± 3.1%
"Clarke County, Mississippi",26.20%,± 3%
"Clarke County, Virginia",13.60%,± 2.5%
"Clatsop County, Oregon",19.50%,± 1.7%
"Clay County, Alabama",19.60%,± 2.6%
"Clay County, Arkansas",20.40%,± 2.3%
"Clay County, Florida",13.40%,± 0.7%
"Clay County, Georgia",17.50%,± 5.8%
"Clay County, Illinois",18.50%,± 2%
"Clay County, Indiana",17%,± 1.6%
"Clay County, Iowa",15.40%,± 1.8%
"Clay County, Kansas",18.70%,± 3.7%
"Clay County, Kentucky",29%,± 2.5%
"Clay County, Minnesota",11.80%,± 0.8%
