Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Bexar County, Texas",34.60%,± 0.5%
"Bibb County, Alabama",30.80%,± 4.5%
"Bibb County, Georgia",28.90%,± 1.4%
"Bienville Parish, Louisiana",26.50%,± 2.7%
"Big Horn County, Montana",41.60%,± 3.8%
"Big Horn County, Wyoming",27.90%,± 3%
"Big Stone County, Minnesota",21.80%,± 1.7%
"Billings County, North Dakota",22.80%,± 6.6%
"Bingham County, Idaho",39.30%,± 2.4%
"Black Hawk County, Iowa",26.50%,± 1.1%
"Blackford County, Indiana",26.50%,± 3.6%
"Bladen County, North Carolina",25.70%,± 2.7%
"Blaine County, Idaho",25%,± 4.1%
"Blaine County, Montana",39.50%,± 3.7%
"Blaine County, Nebraska",10%,± 5.1%
"Blaine County, Oklahoma",30.40%,± 2.8%
"Blair County, Pennsylvania",26.70%,± 1.2%
"Blanco County, Texas",21%,± 3.7%
"Bland County, Virginia",17.80%,± 5%
"Bleckley County, Georgia",35.60%,± 4%
"Bledsoe County, Tennessee",32%,± 5.2%
"Blount County, Alabama",33.20%,± 2.2%
"Blount County, Tennessee",27.30%,± 1.3%
"Blue Earth County, Minnesota",26.40%,± 1.3%
"Boise County, Idaho",23.40%,± 3.2%
"Bolivar County, Mississippi",32.80%,± 2.9%
"Bollinger County, Missouri",22.20%,± 3%
"Bon Homme County, South Dakota",21.50%,± 3%
"Bond County, Illinois",29%,± 3%
"Bonner County, Idaho",24%,± 1.7%
"Bonneville County, Idaho",37.60%,± 1.4%
"Boone County, Arkansas",29.10%,± 2.9%
"Boone County, Illinois",33.60%,± 2.6%
"Boone County, Indiana",37.70%,± 1.8%
"Boone County, Iowa",28.70%,± 1.9%
"Boone County, Kentucky",35.40%,± 1.5%
"Boone County, Missouri",26.90%,± 1.2%
"Boone County, Nebraska",26.20%,± 2.5%
"Boone County, West Virginia",28.90%,± 2.9%
"Borden County, Texas",40%,± 12.9%
"Bosque County, Texas",26.80%,± 2.2%
"Bossier Parish, Louisiana",34.40%,± 1.7%
"Botetourt County, Virginia",25.50%,± 2.1%
"Bottineau County, North Dakota",23.50%,± 2.7%
"Boulder County, Colorado",25.80%,± 0.6%
"Boundary County, Idaho",27%,± 3%
"Bourbon County, Kansas",27.90%,± 2.8%
"Bourbon County, Kentucky",28.30%,± 3.6%
"Bowie County, Texas",32%,± 1.6%
"Bowman County, North Dakota",21.40%,± 3.2%
"Box Butte County, Nebraska",32.10%,± 4.3%
"Box Elder County, Utah",41.60%,± 2%
"Boyd County, Kentucky",30.40%,± 2.1%
"Boyd County, Nebraska",14.30%,± 3.7%
"Boyle County, Kentucky",32.20%,± 2.5%
"Bracken County, Kentucky",29.70%,± 3.4%
"Bradford County, Florida",32.80%,± 3.6%
"Bradford County, Pennsylvania",26.40%,± 1.3%
"Bradley County, Arkansas",26.80%,± 3.6%
"Bradley County, Tennessee",30.80%,± 1.4%
"Branch County, Michigan",29%,± 1.5%
"Brantley County, Georgia",29.10%,± 4.9%
"Braxton County, West Virginia",28.90%,± 4.7%
"Brazoria County, Texas",39.30%,± 1.1%
"Brazos County, Texas",28.30%,± 1%
"Breathitt County, Kentucky",33.10%,± 3%
"Breckinridge County, Kentucky",27.20%,± 2.6%
"Bremer County, Iowa",30.40%,± 1.8%
"Brevard County, Florida",23%,± 0.6%
"Brewster County, Texas",20.60%,± 5.7%
"Briscoe County, Texas",20.30%,± 9.2%
"Bristol Bay Borough, Alaska",19%,± 5.5%
"Bristol city, Virginia",22.70%,± 3.2%
"Bristol County, Massachusetts",30.10%,± 0.6%
"Bristol County, Rhode Island",28.20%,± 2%
"Broadwater County, Montana",24.10%,± 4.7%
"Bronx County, New York",35%,± 0.5%
"Brooke County, West Virginia",19.80%,± 2.6%
"Brookings County, South Dakota",25.50%,± 1.9%
"Brooks County, Georgia",22.80%,± 3.4%
"Brooks County, Texas",28%,± 8.6%
"Broome County, New York",24.10%,± 0.9%
"Broomfield County, Colorado",29%,± 1.3%
"Broward County, Florida",28.70%,± 0.5%
"Brown County, Illinois",24.60%,± 5%
"Brown County, Indiana",26.60%,± 2.8%
"Brown County, Kansas",26.40%,± 2.7%
"Brown County, Minnesota",25.30%,± 1.6%
"Brown County, Nebraska",17.90%,± 4.3%
"Brown County, Ohio",29.90%,± 2.5%
"Brown County, South Dakota",26.30%,± 2.1%
"Brown County, Texas",28.90%,± 2.1%
"Brown County, Wisconsin",29.40%,± 0.9%
"Brule County, South Dakota",31.30%,± 4.4%
"Brunswick County, North Carolina",18.20%,± 1%
"Brunswick County, Virginia",28%,± 3.4%
"Bryan County, Georgia",45.10%,± 2.8%
"Bryan County, Oklahoma",32%,± 1.6%
"Buchanan County, Iowa",31.40%,± 2%
"Buchanan County, Missouri",28.70%,± 1.7%
"Buchanan County, Virginia",25.70%,± 2.8%
"Buckingham County, Virginia",29.50%,± 2.8%
"Bucks County, Pennsylvania",30.90%,± 0.5%
"Buena Vista city, Virginia",28.10%,± 5.3%
"Buena Vista County, Iowa",29.20%,± 3.1%
"Buffalo County, Nebraska",29.10%,± 1.7%
"Buffalo County, South Dakota",46.10%,± 8.1%
"Buffalo County, Wisconsin",25.90%,± 1.6%
"Bullitt County, Kentucky",33.50%,± 1.7%
"Bulloch County, Georgia",31.30%,± 1.7%
"Bullock County, Alabama",35.70%,± 5.6%
"Buncombe County, North Carolina",23.60%,± 1%
"Bureau County, Illinois",27.40%,± 1.7%
"Burke County, Georgia",30.30%,± 3.6%
"Burke County, North Carolina",27.60%,± 1.7%
"Burke County, North Dakota",18.90%,± 3.9%
"Burleigh County, North Dakota",30.20%,± 1.5%
"Burleson County, Texas",27.90%,± 3.5%
"Burlington County, New Jersey",30.70%,± 0.6%
"Burnet County, Texas",28.10%,± 2.2%
"Burnett County, Wisconsin",16.90%,± 1.2%
"Burt County, Nebraska",27.10%,± 2.8%
"Butler County, Alabama",27.50%,± 3%
"Butler County, Iowa",28%,± 1.7%
"Butler County, Kansas",36.30%,± 1.8%
"Butler County, Kentucky",32.30%,± 3.1%
"Butler County, Missouri",29.10%,± 2.3%
"Butler County, Nebraska",28.40%,± 2.3%
"Butler County, Ohio",33%,± 0.8%
"Butler County, Pennsylvania",26.80%,± 0.7%
"Butte County, California",26.30%,± 0.9%
"Butte County, Idaho",24.40%,± 6.2%
"Butte County, South Dakota",31%,± 4.7%
"Butts County, Georgia",34.20%,± 4.2%
"Cabarrus County, North Carolina",37%,± 1.2%
"Cabell County, West Virginia",23.60%,± 1.3%
"Cabo Rojo Municipio, Puerto Rico",22.90%,± 2.1%
"Cache County, Utah",39.80%,± 1.2%
"Caddo County, Oklahoma",33.60%,± 2%
"Caddo Parish, Louisiana",27.60%,± 1.1%
"Caguas Municipio, Puerto Rico",24.90%,± 1.2%
"Calaveras County, California",21.70%,± 2.1%
"Calcasieu Parish, Louisiana",30.90%,± 1.4%
"Caldwell County, Kentucky",29.10%,± 3.3%
"Caldwell County, Missouri",29.10%,± 2.4%
"Caldwell County, North Carolina",27.90%,± 1.7%
"Caldwell County, Texas",35.50%,± 2.2%
"Caldwell Parish, Louisiana",34.20%,± 4.5%
"Caledonia County, Vermont",27.50%,± 1.9%
"Calhoun County, Alabama",28.60%,± 1.8%
"Calhoun County, Arkansas",33.60%,± 6.6%
"Calhoun County, Florida",25.80%,± 3.8%
"Calhoun County, Georgia",36%,± 6.3%
"Calhoun County, Illinois",26.60%,± 4.7%
"Calhoun County, Iowa",27.40%,± 2.1%
"Calhoun County, Michigan",27.50%,± 1%
"Calhoun County, Mississippi",28.80%,± 2.5%
"Calhoun County, South Carolina",27.20%,± 4.6%
"Calhoun County, Texas",31%,± 3.5%
"Calhoun County, West Virginia",23.80%,± 4%
"Callahan County, Texas",26.80%,± 2.7%
"Callaway County, Missouri",32.50%,± 2.2%
"Calloway County, Kentucky",27.40%,± 2%
"Calumet County, Wisconsin",32.10%,± 1.5%
"Calvert County, Maryland",34.10%,± 1.3%
"Camas County, Idaho",26.60%,± 8.5%
"Cambria County, Pennsylvania",23.20%,± 0.7%
"Camden County, Georgia",35.70%,± 2.2%
"Camden County, Missouri",20.60%,± 2%
"Camden County, New Jersey",31%,± 0.6%
"Camden County, North Carolina",41.20%,± 4.9%
"Cameron County, Pennsylvania",21.90%,± 3.1%
"Cameron County, Texas",42.50%,± 0.9%
"Cameron Parish, Louisiana",40.90%,± 8.2%
"Camp County, Texas",32.30%,± 4.4%
"Campbell County, Kentucky",29.50%,± 1%
"Campbell County, South Dakota",19.10%,± 4.2%
"Campbell County, Tennessee",30.70%,± 2.4%
"Campbell County, Virginia",27.80%,± 2.1%
"Campbell County, Wyoming",36.40%,± 2.6%
"Camuy Municipio, Puerto Rico",23.80%,± 2.7%
"Canadian County, Oklahoma",38.10%,± 1.3%
"Candler County, Georgia",25.10%,± 4.6%
"Cannon County, Tennessee",27.50%,± 3.7%
"Canóvanas Municipio, Puerto Rico",29.20%,± 2.7%
"Canyon County, Idaho",38.10%,± 1.1%
"Cape Girardeau County, Missouri",28.10%,± 1.6%
"Cape May County, New Jersey",23.90%,± 1.1%
"Capitol Planning Region, Connecticut",29.20%,± 0.5%
"Carbon County, Montana",22.40%,± 3.1%
"Carbon County, Pennsylvania",25.50%,± 1.7%
"Carbon County, Utah",33.30%,± 2.3%
"Carbon County, Wyoming",29.60%,± 4.1%
"Caribou County, Idaho",30.20%,± 4%
"Carlisle County, Kentucky",32.60%,± 4.2%
"Carlton County, Minnesota",31.30%,± 1.9%
"Carolina Municipio, Puerto Rico",25.60%,± 1.4%
"Caroline County, Maryland",33.80%,± 1.9%
"Caroline County, Virginia",33.50%,± 3.1%
"Carroll County, Arkansas",27.30%,± 2.6%
"Carroll County, Georgia",35.40%,± 1.8%
"Carroll County, Illinois",23.10%,± 1.9%
"Carroll County, Indiana",27.10%,± 2.5%
"Carroll County, Iowa",26.10%,± 2.1%
"Carroll County, Kentucky",35.90%,± 4.4%
"Carroll County, Maryland",32.90%,± 0.9%
"Carroll County, Mississippi",25.10%,± 5.6%
"Carroll County, Missouri",28.80%,± 3.1%
"Carroll County, New Hampshire",18.80%,± 1.7%
"Carroll County, Ohio",26.10%,± 2.3%
"Carroll County, Tennessee",31.60%,± 2.2%
"Carroll County, Virginia",23.30%,± 2.5%
"Carson City, Nevada",28.30%,± 1.8%
"Carson County, Texas",24%,± 3.8%
"Carter County, Kentucky",30.40%,± 2.5%
"Carter County, Missouri",22.50%,± 5.9%
"Carter County, Montana",15.10%,± 4.1%
"Carter County, Oklahoma",32.70%,± 1.4%
"Carter County, Tennessee",25%,± 1.6%
"Carteret County, North Carolina",22.70%,± 1.3%
"Carver County, Minnesota",37.50%,± 1.2%
"Cascade County, Montana",27.10%,± 1.5%
"Casey County, Kentucky",29.40%,± 3.6%
"Cass County, Illinois",27%,± 2.8%
"Cass County, Indiana",30.70%,± 1.8%
"Cass County, Iowa",26.10%,± 2.9%
"Cass County, Michigan",27.40%,± 1.6%
"Cass County, Minnesota",23.60%,± 1.1%
"Cass County, Missouri",32.70%,± 1.5%
"Cass County, Nebraska",30%,± 1.7%
"Cass County, North Dakota",27.30%,± 1.2%
"Cass County, Texas",28.40%,± 2.2%
"Cassia County, Idaho",40%,± 2.5%
"Castro County, Texas",39.50%,± 6.8%
"Caswell County, North Carolina",26.10%,± 2.8%
"Catahoula Parish, Louisiana",35.40%,± 4.1%
"Cataño Municipio, Puerto Rico",27.60%,± 2.1%
"Catawba County, North Carolina",30.40%,± 1.3%
"Catoosa County, Georgia",31.10%,± 2%
"Catron County, New Mexico",12.70%,± 5.3%
"Cattaraugus County, New York",28.70%,± 1.2%
"Cavalier County, North Dakota",22.60%,± 2.8%
"Cayey Municipio, Puerto Rico",26.60%,± 2.2%
"Cayuga County, New York",25.90%,± 1.2%
"Cecil County, Maryland",30.20%,± 1.4%
"Cedar County, Iowa",27.90%,± 2.2%
"Cedar County, Missouri",27.10%,± 3.4%
"Cedar County, Nebraska",29.50%,± 2.2%
"Ceiba Municipio, Puerto Rico",28.20%,± 4.5%
"Centre County, Pennsylvania",21.50%,± 0.9%
"Cerro Gordo County, Iowa",23%,± 1.5%
"Chaffee County, Colorado",20.70%,± 3.4%
"Chambers County, Alabama",28.70%,± 2.5%
"Chambers County, Texas",43.30%,± 3.8%
"Champaign County, Illinois",23.80%,± 1%
"Champaign County, Ohio",31.60%,± 1.8%
"Chariton County, Missouri",26.40%,± 2.7%
"Charles City County, Virginia",18.50%,± 2.7%
"Charles County, Maryland",36.70%,± 1.4%
"Charles Mix County, South Dakota",32.70%,± 2.8%
"Charleston County, South Carolina",24.30%,± 0.9%
"Charlevoix County, Michigan",23%,± 1.5%
"Charlotte County, Florida",15.90%,± 1.1%
"Charlotte County, Virginia",28.10%,± 3.6%
"Charlottesville city, Virginia",22.60%,± 1.7%
"Charlton County, Georgia",27.60%,± 6.1%
"Chase County, Kansas",27.50%,± 4.4%
"Chase County, Nebraska",26.30%,± 4.5%
"Chatham County, Georgia",26.20%,± 0.9%
"Chatham County, North Carolina",27%,± 1.9%
"Chattahoochee County, Georgia",51%,± 6%
"Chattooga County, Georgia",29.70%,± 2.4%
"Chautauqua County, Kansas",29.10%,± 3.6%
"Chautauqua County, New York",25.20%,± 1%
"Chaves County, New Mexico",35.20%,± 2.1%
"Cheatham County, Tennessee",32.70%,± 2.3%
"Cheboygan County, Michigan",20.70%,± 1.5%
"Chelan County, Washington",29.60%,± 1.8%
"Chemung County, New York",27.20%,± 1.2%
"Chenango County, New York",26.90%,± 1.5%
"Cherokee County, Alabama",25.10%,± 2%
"Cherokee County, Georgia",35.90%,± 1.1%
"Cherokee County, Iowa",24.80%,± 2.6%
"Cherokee County, Kansas",25.20%,± 2.3%
"Cherokee County, North Carolina",17.50%,± 2.2%
"Cherokee County, Oklahoma",29%,± 1.7%
"Cherokee County, South Carolina",26.10%,± 1.7%
"Cherokee County, Texas",37.20%,± 2.3%
"Cherry County, Nebraska",27.50%,± 3.7%
"Chesapeake city, Virginia",37.60%,± 1.1%
"Cheshire County, New Hampshire",23.40%,± 1.4%
"Chester County, Pennsylvania",32.30%,± 0.6%
"Chester County, South Carolina",26%,± 2.3%
"Chester County, Tennessee",33.90%,± 3.7%
"Chesterfield County, South Carolina",29.40%,± 2.4%
"Chesterfield County, Virginia",35.40%,± 0.9%
"Cheyenne County, Colorado",25.80%,± 5.9%
"Cheyenne County, Kansas",19.10%,± 3.4%
"Cheyenne County, Nebraska",23.80%,± 3%
"Chickasaw County, Iowa",26.60%,± 2.1%
"Chickasaw County, Mississippi",32.70%,± 3.3%
"Chicot County, Arkansas",27.60%,± 4.1%
"Childress County, Texas",35%,± 6.7%
"Chilton County, Alabama",31.10%,± 3%
"Chippewa County, Michigan",26.30%,± 1.8%
"Chippewa County, Minnesota",28.20%,± 2.1%
"Chippewa County, Wisconsin",27.40%,± 1.3%
"Chisago County, Minnesota",33.50%,± 1.6%
"Chittenden County, Vermont",25%,± 0.9%
"Choctaw County, Alabama",25.40%,± 3.5%
"Choctaw County, Mississippi",28.70%,± 3.5%
"Choctaw County, Oklahoma",27.50%,± 2.2%
"Chouteau County, Montana",28.40%,± 3.8%
"Chowan County, North Carolina",23.80%,± 3.3%
"Christian County, Illinois",24.70%,± 1.7%
"Christian County, Kentucky",38%,± 2.1%
"Christian County, Missouri",38.40%,± 1.7%
"Chugach Census Area, Alaska",30.50%,± 5.2%
"Churchill County, Nevada",27.30%,± 3.2%
"Ciales Municipio, Puerto Rico",26.10%,± 3.7%
"Cibola County, New Mexico",30%,± 3.5%
"Cidra Municipio, Puerto Rico",25.70%,± 2.4%
"Cimarron County, Oklahoma",25.40%,± 6.2%
"Citrus County, Florida",16.50%,± 1%
"Clackamas County, Oregon",31.20%,± 0.7%
"Claiborne County, Mississippi",18.40%,± 3.8%
"Claiborne County, Tennessee",30.60%,± 2.2%
"Claiborne Parish, Louisiana",24.80%,± 3.5%
"Clallam County, Washington",19.80%,± 1%
"Clare County, Michigan",22.20%,± 1.6%
"Clarendon County, South Carolina",25.70%,± 2.5%
"Clarion County, Pennsylvania",27.30%,± 1.3%
"Clark County, Arkansas",25.80%,± 3.5%
"Clark County, Idaho",26%,± 9.3%
"Clark County, Illinois",32.80%,± 2.7%
"Clark County, Indiana",29.50%,± 1.5%
"Clark County, Kansas",26.50%,± 4.8%
"Clark County, Kentucky",30.30%,± 2.1%
"Clark County, Missouri",24.10%,± 3.1%
"Clark County, Nevada",30.90%,± 0.4%
"Clark County, Ohio",30%,± 1%
"Clark County, South Dakota",23.80%,± 3.7%
"Clark County, Washington",32.30%,± 0.7%
"Clark County, Wisconsin",32.80%,± 1.2%
"Clarke County, Alabama",27.80%,± 3.3%
"Clarke County, Georgia",20.70%,± 1.3%
"Clarke County, Iowa",32%,± 4.5%
"Clarke County, Mississippi",31%,± 3.1%
"Clarke County, Virginia",25%,± 2.9%
"Clatsop County, Oregon",21.50%,± 1.8%
"Clay County, Alabama",26.40%,± 3.4%
"Clay County, Arkansas",28%,± 2.9%
"Clay County, Florida",35.20%,± 1.3%
"Clay County, Georgia",19.40%,± 5.8%
"Clay County, Illinois",26.80%,± 3.1%
"Clay County, Indiana",32.30%,± 3%
"Clay County, Iowa",25%,± 2.6%
"Clay County, Kansas",27.80%,± 3.2%
"Clay County, Kentucky",39.60%,± 3.5%
"Clay County, Minnesota",31.30%,± 1.6%
