Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Bee County, Texas",20%,± 3.7%
"Belknap County, New Hampshire",8.60%,± 1.3%
"Bell County, Kentucky",26.30%,± 3.7%
"Bell County, Texas",14.70%,± 1.1%
"Belmont County, Ohio",14%,± 1.6%
"Beltrami County, Minnesota",16.10%,± 1.5%
"Ben Hill County, Georgia",26.50%,± 4.1%
"Benewah County, Idaho",14.50%,± 3.1%
"Bennett County, South Dakota",29.60%,± 10.1%
"Bennington County, Vermont",11.20%,± 1.6%
"Benson County, North Dakota",27.20%,± 4.3%
"Bent County, Colorado",27.10%,± 6.6%
"Benton County, Arkansas",7.90%,± 0.7%
"Benton County, Indiana",14.20%,± 2.9%
"Benton County, Iowa",8.30%,± 1.3%
"Benton County, Minnesota",9.30%,± 1.6%
"Benton County, Mississippi",17.60%,± 4.6%
"Benton County, Missouri",17.50%,± 2.8%
"Benton County, Oregon",19.10%,± 1.3%
"Benton County, Tennessee",18%,± 3.2%
"Benton County, Washington",10.50%,± 0.9%
"Benzie County, Michigan",10.40%,± 1.5%
"Bergen County, New Jersey",6.80%,± 0.5%
"Berkeley County, South Carolina",10.90%,± 1%
"Berkeley County, West Virginia",10.90%,± 1.2%
"Berks County, Pennsylvania",11.80%,± 0.7%
"Berkshire County, Massachusetts",11%,± 1%
"Bernalillo County, New Mexico",16.40%,± 0.7%
"Berrien County, Georgia",23.20%,± 3.6%
"Berrien County, Michigan",15.70%,± 1.1%
"Bertie County, North Carolina",21.40%,± 4.1%
"Bethel Census Area, Alaska",25.30%,± 2.1%
"Bexar County, Texas",15.20%,± 0.5%
"Bibb County, Alabama",20.60%,± 3.6%
"Bibb County, Georgia",25.10%,± 1.9%
"Bienville Parish, Louisiana",31.10%,± 4.6%
"Big Horn County, Montana",25.70%,± 4.1%
"Big Horn County, Wyoming",11.10%,± 2.8%
"Big Stone County, Minnesota",10.50%,± 2.3%
"Billings County, North Dakota",11.10%,± 4.7%
"Bingham County, Idaho",10.40%,± 1.9%
"Black Hawk County, Iowa",15.70%,± 1.2%
"Blackford County, Indiana",17%,± 3.8%
"Bladen County, North Carolina",24.40%,± 3.3%
"Blaine County, Idaho",6.90%,± 2.2%
"Blaine County, Montana",20.20%,± 3.8%
"Blaine County, Nebraska",11.50%,± 5.8%
"Blaine County, Oklahoma",13.70%,± 3.1%
"Blair County, Pennsylvania",13.20%,± 1%
"Blanco County, Texas",9.80%,± 3.1%
"Bland County, Virginia",10.70%,± 4.3%
"Bleckley County, Georgia",17.10%,± 3.7%
"Bledsoe County, Tennessee",26%,± 5%
"Blount County, Alabama",14.20%,± 1.6%
"Blount County, Tennessee",8.60%,± 0.9%
"Blue Earth County, Minnesota",16.40%,± 1.5%
"Boise County, Idaho",9.40%,± 2.7%
"Bolivar County, Mississippi",31.80%,± 2.9%
"Bollinger County, Missouri",14.90%,± 4.2%
"Bon Homme County, South Dakota",11.70%,± 3.6%
"Bond County, Illinois",14.90%,± 3.6%
"Bonner County, Idaho",11.90%,± 1.8%
"Bonneville County, Idaho",9.50%,± 1.2%
"Boone County, Arkansas",13.20%,± 2.5%
"Boone County, Illinois",9.80%,± 1.6%
"Boone County, Indiana",5.80%,± 1.1%
"Boone County, Iowa",7.50%,± 1.5%
"Boone County, Kentucky",5.70%,± 0.9%
"Boone County, Missouri",17.80%,± 1.1%
"Boone County, Nebraska",7.30%,± 1.8%
"Boone County, West Virginia",16.50%,± 2.6%
"Borden County, Texas",1.60%,± 1.8%
"Bosque County, Texas",11.50%,± 2.3%
"Bossier Parish, Louisiana",16.70%,± 1.7%
"Botetourt County, Virginia",7.20%,± 1.8%
"Bottineau County, North Dakota",8.20%,± 2.1%
"Boulder County, Colorado",11.30%,± 0.6%
"Boundary County, Idaho",18.50%,± 4.9%
"Bourbon County, Kansas",12.80%,± 2.3%
"Bourbon County, Kentucky",15.10%,± 2.6%
"Bowie County, Texas",17.40%,± 1.7%
"Bowman County, North Dakota",10.70%,± 4.5%
"Box Butte County, Nebraska",12%,± 3.2%
"Box Elder County, Utah",8.10%,± 1.3%
"Boyd County, Kentucky",17.40%,± 2%
"Boyd County, Nebraska",11.60%,± 3.7%
"Boyle County, Kentucky",15%,± 1.9%
"Bracken County, Kentucky",17%,± 4.7%
"Bradford County, Florida",18.20%,± 3%
"Bradford County, Pennsylvania",13.10%,± 1.2%
"Bradley County, Arkansas",15.20%,± 2.6%
"Bradley County, Tennessee",13.40%,± 1.4%
"Branch County, Michigan",15%,± 1.9%
"Brantley County, Georgia",16.30%,± 3.8%
"Braxton County, West Virginia",18.20%,± 4.9%
"Brazoria County, Texas",7.50%,± 0.7%
"Brazos County, Texas",24.30%,± 1.3%
"Breathitt County, Kentucky",28.50%,± 3.6%
"Breckinridge County, Kentucky",23.50%,± 4.1%
"Bremer County, Iowa",6.60%,± 1.3%
"Brevard County, Florida",10.10%,± 0.7%
"Brewster County, Texas",15.70%,± 4.4%
"Briscoe County, Texas",24.40%,± 8.8%
"Bristol Bay Borough, Alaska",7.90%,± 9.9%
"Bristol city, Virginia",17%,± 3.2%
"Bristol County, Massachusetts",11.10%,± 0.5%
"Bristol County, Rhode Island",7.20%,± 1.3%
"Broadwater County, Montana",9.10%,± 3%
"Bronx County, New York",26.90%,± 0.6%
"Brooke County, West Virginia",11%,± 2.4%
"Brookings County, South Dakota",12.50%,± 2%
"Brooks County, Georgia",26.50%,± 5.5%
"Brooks County, Texas",33.20%,± 10.2%
"Broome County, New York",19.10%,± 1.1%
"Broomfield County, Colorado",5%,± 0.8%
"Broward County, Florida",12.40%,± 0.4%
"Brown County, Illinois",10%,± 3.6%
"Brown County, Indiana",8.20%,± 2%
"Brown County, Kansas",14.50%,± 2.4%
"Brown County, Minnesota",7.70%,± 1.4%
"Brown County, Nebraska",8.90%,± 3.4%
"Brown County, Ohio",15.90%,± 2.3%
"Brown County, South Dakota",10.50%,± 1.7%
"Brown County, Texas",13.30%,± 2%
"Brown County, Wisconsin",9.70%,± 0.6%
"Brule County, South Dakota",13.90%,± 4.3%
"Brunswick County, North Carolina",9.10%,± 1.1%
"Brunswick County, Virginia",17.20%,± 3.7%
"Bryan County, Georgia",7.20%,± 1.5%
"Bryan County, Oklahoma",16.30%,± 1.5%
"Buchanan County, Iowa",8.60%,± 1.5%
"Buchanan County, Missouri",16.60%,± 1.8%
"Buchanan County, Virginia",25.30%,± 3.6%
"Buckingham County, Virginia",14%,± 2.5%
"Bucks County, Pennsylvania",5.60%,± 0.4%
"Buena Vista city, Virginia",21.90%,± 8.5%
"Buena Vista County, Iowa",7.10%,± 1.5%
"Buffalo County, Nebraska",11.80%,± 1.3%
"Buffalo County, South Dakota",36.50%,± 6.3%
"Buffalo County, Wisconsin",8.20%,± 1.1%
"Bullitt County, Kentucky",10.60%,± 1.4%
"Bulloch County, Georgia",22.80%,± 2.4%
"Bullock County, Alabama",27.90%,± 5.9%
"Buncombe County, North Carolina",11.20%,± 0.8%
"Bureau County, Illinois",12.60%,± 1.5%
"Burke County, Georgia",17.30%,± 3.2%
"Burke County, North Carolina",17%,± 1.8%
"Burke County, North Dakota",6.50%,± 2.8%
"Burleigh County, North Dakota",7.90%,± 1.1%
"Burleson County, Texas",12.50%,± 3.3%
"Burlington County, New Jersey",6.60%,± 0.5%
"Burnet County, Texas",7.80%,± 1.5%
"Burnett County, Wisconsin",11.60%,± 1%
"Burt County, Nebraska",14.20%,± 2%
"Butler County, Alabama",21.10%,± 3.2%
"Butler County, Iowa",11.80%,± 1.9%
"Butler County, Kansas",7.90%,± 1.4%
"Butler County, Kentucky",19.80%,± 3.2%
"Butler County, Missouri",21.10%,± 2.6%
"Butler County, Nebraska",7.90%,± 1.6%
"Butler County, Ohio",11.80%,± 0.7%
"Butler County, Pennsylvania",7.90%,± 0.6%
"Butte County, California",18.20%,± 0.9%
"Butte County, Idaho",22.10%,± 6.1%
"Butte County, South Dakota",8.20%,± 2.6%
"Butts County, Georgia",15.80%,± 3.4%
"Cabarrus County, North Carolina",8.40%,± 1.2%
"Cabell County, West Virginia",20.10%,± 1.5%
"Cabo Rojo Municipio, Puerto Rico",42.10%,± 3.4%
"Cache County, Utah",13.50%,± 1.1%
"Caddo County, Oklahoma",18.60%,± 1.6%
"Caddo Parish, Louisiana",21.90%,± 1.4%
"Caguas Municipio, Puerto Rico",37%,± 2%
"Calaveras County, California",13.10%,± 2.3%
"Calcasieu Parish, Louisiana",17.10%,± 1.5%
"Caldwell County, Kentucky",16.20%,± 3.5%
"Caldwell County, Missouri",16.10%,± 3%
"Caldwell County, North Carolina",13.30%,± 1.6%
"Caldwell County, Texas",14%,± 2.3%
"Caldwell Parish, Louisiana",24.90%,± 5.7%
"Caledonia County, Vermont",11.80%,± 1.6%
"Calhoun County, Alabama",18%,± 1.3%
"Calhoun County, Arkansas",12.50%,± 3.6%
"Calhoun County, Florida",19.90%,± 4%
"Calhoun County, Georgia",25.80%,± 6.4%
"Calhoun County, Illinois",8.40%,± 2.6%
"Calhoun County, Iowa",9%,± 1.6%
"Calhoun County, Michigan",14.80%,± 1.1%
"Calhoun County, Mississippi",18.80%,± 3.7%
"Calhoun County, South Carolina",18.70%,± 4.4%
"Calhoun County, Texas",9.20%,± 2.2%
"Calhoun County, West Virginia",33.70%,± 6.9%
"Callahan County, Texas",8.80%,± 2.1%
"Callaway County, Missouri",9.50%,± 2.3%
"Calloway County, Kentucky",18.70%,± 2.5%
"Calumet County, Wisconsin",5.90%,± 1%
"Calvert County, Maryland",4.30%,± 0.7%
"Camas County, Idaho",6.70%,± 5.3%
"Cambria County, Pennsylvania",14.40%,± 1.1%
"Camden County, Georgia",16.40%,± 1.9%
"Camden County, Missouri",13.50%,± 1.5%
"Camden County, New Jersey",12.40%,± 0.6%
"Camden County, North Carolina",5.90%,± 2.9%
"Cameron County, Pennsylvania",15%,± 2.9%
"Cameron County, Texas",25.30%,± 1.1%
"Cameron Parish, Louisiana",12.40%,± 6.9%
"Camp County, Texas",21.50%,± 4.9%
"Campbell County, Kentucky",11.70%,± 1.2%
"Campbell County, South Dakota",5.60%,± 2.5%
"Campbell County, Tennessee",19.40%,± 2.6%
"Campbell County, Virginia",10%,± 1.4%
"Campbell County, Wyoming",9.50%,± 1.8%
"Camuy Municipio, Puerto Rico",41.70%,± 3.5%
"Canadian County, Oklahoma",8%,± 0.9%
"Candler County, Georgia",18.30%,± 4.1%
"Cannon County, Tennessee",15.10%,± 3.8%
"Canóvanas Municipio, Puerto Rico",36.40%,± 3.5%
"Canyon County, Idaho",10.20%,± 0.8%
"Cape Girardeau County, Missouri",14.50%,± 1.5%
"Cape May County, New Jersey",9%,± 1.3%
"Capitol Planning Region, Connecticut",10.80%,± 0.4%
"Carbon County, Montana",10.30%,± 2.2%
"Carbon County, Pennsylvania",11.80%,± 1.6%
"Carbon County, Utah",16.60%,± 3.2%
"Carbon County, Wyoming",13.90%,± 2.9%
"Caribou County, Idaho",6.70%,± 2.1%
"Carlisle County, Kentucky",20.10%,± 4.4%
"Carlton County, Minnesota",12.70%,± 1.7%
"Carolina Municipio, Puerto Rico",31%,± 1.5%
"Caroline County, Maryland",12.90%,± 1.9%
"Caroline County, Virginia",11.60%,± 2.9%
"Carroll County, Arkansas",15.40%,± 2.9%
"Carroll County, Georgia",16.90%,± 1.9%
"Carroll County, Illinois",11.20%,± 2.5%
"Carroll County, Indiana",7.30%,± 1.7%
"Carroll County, Iowa",7.80%,± 1.4%
"Carroll County, Kentucky",20.30%,± 4.6%
"Carroll County, Maryland",5.10%,± 0.5%
"Carroll County, Mississippi",21.80%,± 6.3%
"Carroll County, Missouri",9.40%,± 2.1%
"Carroll County, New Hampshire",8%,± 1.4%
"Carroll County, Ohio",12.20%,± 2.4%
"Carroll County, Tennessee",16.40%,± 2.9%
"Carroll County, Virginia",15.20%,± 3.1%
"Carson City, Nevada",11.20%,± 1.6%
"Carson County, Texas",7.50%,± 3.2%
"Carter County, Kentucky",23.90%,± 3.1%
"Carter County, Missouri",20.60%,± 5.8%
"Carter County, Montana",17%,± 5.7%
"Carter County, Oklahoma",15.30%,± 1.4%
"Carter County, Tennessee",18.10%,± 2.2%
"Carteret County, North Carolina",9.70%,± 1%
"Carver County, Minnesota",3.80%,± 0.5%
"Cascade County, Montana",13.60%,± 1.3%
"Casey County, Kentucky",26.10%,± 4.3%
"Cass County, Illinois",12.30%,± 2.8%
"Cass County, Indiana",13.90%,± 1.8%
"Cass County, Iowa",15.30%,± 2.5%
"Cass County, Michigan",12.90%,± 1.4%
"Cass County, Minnesota",12.20%,± 1.1%
"Cass County, Missouri",7%,± 0.9%
"Cass County, Nebraska",5.60%,± 1.3%
"Cass County, North Dakota",10.80%,± 1%
"Cass County, Texas",18.50%,± 2.3%
"Cassia County, Idaho",10.40%,± 1.9%
"Castro County, Texas",12.40%,± 3.7%
"Caswell County, North Carolina",15.40%,± 2.5%
"Catahoula Parish, Louisiana",24.70%,± 5.3%
"Cataño Municipio, Puerto Rico",45.60%,± 3.9%
"Catawba County, North Carolina",13%,± 1.1%
"Catoosa County, Georgia",8.90%,± 2%
"Catron County, New Mexico",21%,± 8.3%
"Cattaraugus County, New York",17.40%,± 1.3%
"Cavalier County, North Dakota",10%,± 2.7%
"Cayey Municipio, Puerto Rico",39.80%,± 2.9%
"Cayuga County, New York",13.50%,± 1.3%
"Cecil County, Maryland",10.10%,± 1.4%
"Cedar County, Iowa",7.80%,± 1.5%
"Cedar County, Missouri",18.30%,± 4.3%
"Cedar County, Nebraska",5.40%,± 1.3%
"Ceiba Municipio, Puerto Rico",41.80%,± 5.3%
"Centre County, Pennsylvania",17%,± 1%
"Cerro Gordo County, Iowa",9.30%,± 1.4%
"Chaffee County, Colorado",11.80%,± 2.5%
"Chambers County, Alabama",17.90%,± 2.5%
"Chambers County, Texas",13.70%,± 2.9%
"Champaign County, Illinois",18.70%,± 1.1%
"Champaign County, Ohio",9.20%,± 1.6%
"Chariton County, Missouri",13.30%,± 2.5%
"Charles City County, Virginia",12.50%,± 2.4%
"Charles County, Maryland",5.90%,± 0.7%
"Charles Mix County, South Dakota",22.90%,± 4.2%
"Charleston County, South Carolina",12.30%,± 0.8%
"Charlevoix County, Michigan",8.60%,± 1.3%
"Charlotte County, Florida",10.50%,± 0.9%
"Charlotte County, Virginia",20.30%,± 3.1%
"Charlottesville city, Virginia",23.60%,± 1.8%
"Charlton County, Georgia",20.50%,± 4.1%
"Chase County, Kansas",8.80%,± 3.1%
"Chase County, Nebraska",8.20%,± 4.1%
"Chatham County, Georgia",14%,± 0.8%
"Chatham County, North Carolina",10.40%,± 1.5%
"Chattahoochee County, Georgia",16.90%,± 5.6%
"Chattooga County, Georgia",19.90%,± 2.6%
"Chautauqua County, Kansas",17.60%,± 3.9%
"Chautauqua County, New York",17.50%,± 1.1%
"Chaves County, New Mexico",21.80%,± 2%
"Cheatham County, Tennessee",9.30%,± 2%
"Cheboygan County, Michigan",11.90%,± 1.5%
"Chelan County, Washington",9.20%,± 1.3%
"Chemung County, New York",15.20%,± 1.5%
"Chenango County, New York",12.40%,± 1.2%
"Cherokee County, Alabama",14.30%,± 2.4%
"Cherokee County, Georgia",6.60%,± 0.8%
"Cherokee County, Iowa",13.30%,± 3.1%
"Cherokee County, Kansas",13.70%,± 2.3%
"Cherokee County, North Carolina",16.70%,± 2.6%
"Cherokee County, Oklahoma",20.80%,± 2.1%
"Cherokee County, South Carolina",18%,± 1.8%
"Cherokee County, Texas",16.60%,± 2.1%
"Cherry County, Nebraska",9.80%,± 4.4%
"Chesapeake city, Virginia",7.60%,± 0.8%
"Cheshire County, New Hampshire",9%,± 1%
"Chester County, Pennsylvania",6%,± 0.4%
"Chester County, South Carolina",18.90%,± 3%
"Chester County, Tennessee",15.80%,± 3.7%
"Chesterfield County, South Carolina",20.30%,± 2.3%
"Chesterfield County, Virginia",6.70%,± 0.5%
"Cheyenne County, Colorado",10.90%,± 4.4%
"Cheyenne County, Kansas",15.20%,± 4.9%
"Cheyenne County, Nebraska",11.70%,± 2.9%
"Chickasaw County, Iowa",6.30%,± 1.5%
"Chickasaw County, Mississippi",26.60%,± 3.8%
"Chicot County, Arkansas",27.40%,± 4.7%
"Childress County, Texas",15.10%,± 5.2%
"Chilton County, Alabama",14.50%,± 2.2%
"Chippewa County, Michigan",16.50%,± 1.9%
"Chippewa County, Minnesota",11.20%,± 2.3%
"Chippewa County, Wisconsin",9.90%,± 1.2%
"Chisago County, Minnesota",6.30%,± 0.9%
"Chittenden County, Vermont",11.20%,± 0.8%
"Choctaw County, Alabama",19.10%,± 2.9%
"Choctaw County, Mississippi",19.10%,± 4%
"Choctaw County, Oklahoma",22.80%,± 1.9%
"Chouteau County, Montana",15.10%,± 3.2%
"Chowan County, North Carolina",20.90%,± 4.6%
"Christian County, Illinois",11.90%,± 2.2%
"Christian County, Kentucky",16.70%,± 1.8%
"Christian County, Missouri",8.70%,± 1.5%
"Chugach Census Area, Alaska",4.90%,± 2.6%
"Churchill County, Nevada",9.90%,± 2.3%
"Ciales Municipio, Puerto Rico",55.70%,± 5.1%
"Cibola County, New Mexico",27.30%,± 3.7%
"Cidra Municipio, Puerto Rico",39%,± 2.7%
"Cimarron County, Oklahoma",10.90%,± 4.5%
"Citrus County, Florida",15%,± 1.5%
"Clackamas County, Oregon",7.60%,± 0.5%
"Claiborne County, Mississippi",30.40%,± 7.7%
"Claiborne County, Tennessee",18.30%,± 2.8%
"Claiborne Parish, Louisiana",32.60%,± 4.1%
"Clallam County, Washington",10.90%,± 1.2%
"Clare County, Michigan",22.10%,± 2%
"Clarendon County, South Carolina",19.50%,± 2.3%
"Clarion County, Pennsylvania",13.70%,± 1.3%
"Clark County, Arkansas",20%,± 3%
"Clark County, Idaho",9.20%,± 3.8%
"Clark County, Illinois",9%,± 2.2%
"Clark County, Indiana",9.70%,± 1%
"Clark County, Kansas",11.70%,± 4.2%
"Clark County, Kentucky",15.10%,± 2.6%
"Clark County, Missouri",10.90%,± 3.8%
"Clark County, Nevada",13.40%,± 0.3%
"Clark County, Ohio",15.60%,± 1.1%
"Clark County, South Dakota",9.40%,± 3.4%
"Clark County, Washington",8.90%,± 0.6%
"Clark County, Wisconsin",12.20%,± 1.3%
"Clarke County, Alabama",22.40%,± 2.8%
"Clarke County, Georgia",26.60%,± 1.5%
"Clarke County, Iowa",16.90%,± 5.4%
"Clarke County, Mississippi",20.60%,± 4.1%
"Clarke County, Virginia",5.40%,± 1.8%
"Clatsop County, Oregon",10.20%,± 1.6%
"Clay County, Alabama",17.60%,± 4.3%
"Clay County, Arkansas",19.40%,± 3.4%
"Clay County, Florida",9.40%,± 1.3%
"Clay County, Georgia",25.70%,± 9.6%
"Clay County, Illinois",15.70%,± 2.7%
"Clay County, Indiana",10.90%,± 1.9%
"Clay County, Iowa",11.50%,± 2.7%
"Clay County, Kansas",11.40%,± 3.7%
"Clay County, Kentucky",31.20%,± 3.9%
